hostname,value,timestamp
master,1209.87502,1708782281
node_1,410.13358,1708782281
node_3,449.31174,1708782281
node_2,400.54608,1708782281
master,1210.80078,1708782286
node_1,408.0094,1708782286
node_3,437.75548,1708782286
node_2,398.6117,1708782286
master,1210.92502,1708782291
node_1,404.0977,1708782291
node_3,437.41016,1708782291
node_2,395.76952,1708782291
master,1211.48908,1708782296
node_1,399.54298,1708782296
node_3,435.22888,1708782296
node_2,394.30858,1708782296
master,1211.87892,1708782301
node_1,392.87032,1708782301
node_3,435.37734,1708782301
node_2,394.99608,1708782301
master,1211.86408,1708782306
node_1,394.77264,1708782306
node_3,434.44688,1708782306
node_2,395.2617,1708782306
master,1211.92186,1708782311
node_1,397.6125,1708782311
node_3,432.04452,1708782311
node_2,394.46794,1708782311
master,1211.89684,1708782316
node_1,397.83516,1708782316
node_3,422.16486,1708782316
node_2,394.55154,1708782316
master,1212.2,1708782321
node_1,396.26172,1708782321
node_3,423.27654,1708782321
node_2,393.94764,1708782321
master,1212.77108,1708782326
node_1,398.23906,1708782326
node_3,425.9922,1708782326
node_2,393.41402,1708782326
master,1213.27498,1708782331
node_1,403.9414,1708782331
node_3,427.18594,1708782331
node_2,392.25858,1708782331
master,1213.48592,1708782336
node_1,403.5664,1708782336
node_3,432.58516,1708782336
node_2,390.90622,1708782336
master,1213.60156,1708782341
node_1,402.3656,1708782341
node_3,432.26248,1708782341
node_2,390.2156,1708782341
master,1213.56328,1708782346
node_1,400.47342,1708782346
node_3,419.76956,1708782346
node_2,388.7336,1708782346
master,1213.4273,1708782351
node_1,395.67422,1708782351
node_3,421.27732,1708782351
node_2,388.13204,1708782351
master,1213.3117,1708782356
node_1,396.64064,1708782356
node_3,420.61172,1708782356
node_2,390.33824,1708782356
master,1213.31174,1708782361
node_1,392.91328,1708782361
node_3,421.07578,1708782361
node_2,389.44372,1708782361
master,1213.15702,1708782366
node_1,393.92812,1708782366
node_3,417.62892,1708782366
node_2,385.1367,1708782366
master,1212.74216,1708782371
node_1,393.10702,1708782371
node_3,417.4727,1708782371
node_2,386.05,1708782371
master,1212.9023,1708782376
node_1,394.40862,1708782376
node_3,421.55078,1708782376
node_2,387.48362,1708782376
master,1212.8945,1708782381
node_1,402.25472,1708782381
node_3,422.99688,1708782381
node_2,387.99766,1708782381
master,1212.96486,1708782386
node_1,402.41252,1708782386
node_3,423.26326,1708782386
node_2,391.08436,1708782386
master,1212.85472,1708782391
node_1,401.76876,1708782391
node_3,424.5555,1708782391
node_2,391.5117,1708782391
master,1212.84846,1708782396
node_1,402.1172,1708782396
node_3,425.7242,1708782396
node_2,390.39612,1708782396
master,1212.8398,1708782401
node_1,396.37344,1708782401
node_3,426.82732,1708782401
node_2,391.2227,1708782401
master,1212.83356,1708782406
node_1,395.36404,1708782406
node_3,424.71952,1708782406
node_2,384.44452,1708782406
master,1212.82732,1708782411
node_1,394.4297,1708782411
node_3,423.90858,1708782411
node_2,385.32262,1708782411
master,1212.86328,1708782416
node_1,394.59378,1708782416
node_3,424.67344,1708782416
node_2,389.67184,1708782416
master,1213.03204,1708782421
node_1,388.8469,1708782421
node_3,424.83984,1708782421
node_2,390.05078,1708782421
master,1213.02418,1708782426
node_1,388.24684,1708782426
node_3,422.3,1708782426
node_2,397.9906,1708782426
master,1213.01794,1708782431
node_1,387.66328,1708782431
node_3,420.68906,1708782431
node_2,397.90624,1708782431
master,1213.00076,1708782436
node_1,388.83904,1708782436
node_3,423.14064,1708782436
node_2,387.29844,1708782436
master,1213.93672,1708782441
node_1,397.1242,1708782441
node_3,428.9242,1708782441
node_2,390.88594,1708782441
master,1214.69064,1708782446
node_1,418.4711,1708782446
node_3,445.36952,1708782446
node_2,414.63282,1708782446
master,1214.92732,1708782451
node_1,417.57892,1708782451
node_3,446.71876,1708782451
node_2,417.6586,1708782451
node_1,416.9664,1708782456
master,1214.84374,1708782456
node_3,448.28438,1708782456
node_2,412.60158,1708782456
master,1215.1578,1708782461
node_1,420.23284,1708782461
node_3,447.20702,1708782461
node_2,412.27268,1708782461
master,1215.23752,1708782466
node_1,422.63278,1708782466
node_3,447.99764,1708782466
node_2,414.7547,1708782466
master,1215.31876,1708782471
node_1,421.63438,1708782471
node_3,446.21174,1708782471
node_2,419.06718,1708782471
master,1215.7047,1708782476
