hostname,value,timestamp,chart_family
node_1,0.6,1708788131,mmcblk0
node_2,1.4,1708788131,mmcblk0
node_3,0.6,1708788131,mmcblk0
master,1.2,1708788131,nvme0n1
master,1.2,1708788131,ubuntu--vg-ubuntu--lv
node_1,0.4,1708788136,mmcblk0
node_2,0.8,1708788136,mmcblk0
node_3,0,1708788136,mmcblk0
master,0.6,1708788136,nvme0n1
master,0.6,1708788136,ubuntu--vg-ubuntu--lv
node_1,0,1708788141,mmcblk0
node_2,0.4,1708788141,mmcblk0
node_3,0.6,1708788141,mmcblk0
master,0.8,1708788141,nvme0n1
master,0.8,1708788141,ubuntu--vg-ubuntu--lv
node_1,0,1708788146,mmcblk0
node_2,1.2,1708788146,mmcblk0
node_3,2.4,1708788146,mmcblk0
master,0.8,1708788146,nvme0n1
master,0.8,1708788146,ubuntu--vg-ubuntu--lv
node_1,3.6,1708788151,mmcblk0
node_2,3,1708788151,mmcblk0
node_3,6.2,1708788151,mmcblk0
master,0.6,1708788151,nvme0n1
master,0.6,1708788151,ubuntu--vg-ubuntu--lv
node_1,2.2,1708788156,mmcblk0
node_2,1,1708788156,mmcblk0
node_3,0.2,1708788156,mmcblk0
master,0.8,1708788156,nvme0n1
master,0.8,1708788156,ubuntu--vg-ubuntu--lv
node_1,0.2,1708788161,mmcblk0
node_2,0.8,1708788161,mmcblk0
node_3,0.4,1708788161,mmcblk0
master,0.6,1708788161,nvme0n1
master,0.6,1708788161,ubuntu--vg-ubuntu--lv
node_1,0,1708788166,mmcblk0
node_2,20,1708788166,mmcblk0
node_3,0,1708788166,mmcblk0
master,0.2,1708788166,nvme0n1
master,0.2,1708788166,ubuntu--vg-ubuntu--lv
node_1,0,1708788171,mmcblk0
node_2,4.2,1708788171,mmcblk0
node_3,4.6,1708788171,mmcblk0
master,0.2,1708788171,nvme0n1
master,0.2,1708788171,ubuntu--vg-ubuntu--lv
node_1,0,1708788176,mmcblk0
node_2,0.2,1708788176,mmcblk0
node_3,1,1708788176,mmcblk0
master,0.4,1708788176,nvme0n1
master,0.4,1708788176,ubuntu--vg-ubuntu--lv
node_1,3.4,1708788181,mmcblk0
node_2,3.2,1708788181,mmcblk0
node_3,2.8,1708788181,mmcblk0
master,0.6,1708788181,nvme0n1
master,0.6,1708788181,ubuntu--vg-ubuntu--lv
node_1,0,1708788186,mmcblk0
node_2,0.2,1708788186,mmcblk0
node_3,2.6,1708788186,mmcblk0
master,0.4,1708788186,nvme0n1
master,0.4,1708788186,ubuntu--vg-ubuntu--lv
node_1,0.4,1708788191,mmcblk0
node_2,3,1708788191,mmcblk0
node_3,0.4,1708788191,mmcblk0
master,0.2,1708788191,nvme0n1
master,0.2,1708788191,ubuntu--vg-ubuntu--lv
node_1,1.4,1708788196,mmcblk0
node_2,1,1708788196,mmcblk0
node_3,0.2,1708788196,mmcblk0
master,0.4,1708788196,nvme0n1
master,0.4,1708788196,ubuntu--vg-ubuntu--lv
node_1,3.4,1708788201,mmcblk0
node_2,0,1708788201,mmcblk0
node_3,0.4,1708788201,mmcblk0
master,0.6,1708788201,nvme0n1
master,0.6,1708788201,ubuntu--vg-ubuntu--lv
node_1,0,1708788206,mmcblk0
node_2,0,1708788206,mmcblk0
node_3,1.2,1708788206,mmcblk0
master,0.4,1708788206,nvme0n1
master,0.4,1708788206,ubuntu--vg-ubuntu--lv
node_1,2.2,1708788211,mmcblk0
node_2,0,1708788211,mmcblk0
node_3,0.2,1708788211,mmcblk0
master,0.4,1708788211,nvme0n1
master,0.4,1708788211,ubuntu--vg-ubuntu--lv
node_1,0,1708788216,mmcblk0
node_2,3,1708788216,mmcblk0
node_3,0.8,1708788216,mmcblk0
master,0,1708788216,nvme0n1
master,0,1708788216,ubuntu--vg-ubuntu--lv
