hostname,value,timestamp,id,name
node_1,13159.201748,1709019131,InOctets,received
node_1,-446.950652,1709019131,OutOctets,sent
master,915.1750188,1709019131,InOctets,received
master,-2070.08446,1709019131,OutOctets,sent
node_2,13533.445922,1709019131,InOctets,received
node_2,-431.840682,1709019131,OutOctets,sent
node_3,11250.33415,1709019131,InOctets,received
node_3,-435.321322,1709019131,OutOctets,sent
node_1,2416.798696,1709019136,InOctets,received
node_1,-251.3574762,1709019136,OutOctets,sent
master,3.8896066,1709019136,InOctets,received
master,-366.9342849,1709019136,OutOctets,sent
node_2,2055.8846462,1709019136,InOctets,received
node_2,-247.2699112,1709019136,OutOctets,sent
node_3,4343.034411,1709019136,InOctets,received
node_3,-285.0549722,1709019136,OutOctets,sent
node_1,2067.1277204,1709019141,InOctets,received
node_1,-267.8167036,1709019141,OutOctets,sent
master,23.0765156,1709019141,InOctets,received
master,-386.2472354,1709019141,OutOctets,sent
node_2,2065.6600214,1709019141,InOctets,received
node_2,-269.495538,1709019141,OutOctets,sent
node_3,2065.1091983,1709019141,InOctets,received
node_3,-255.7737236,1709019141,OutOctets,sent
node_1,1.583049,1709019146,InOctets,received
node_1,-221.4283661,1709019146,OutOctets,sent
master,4.5247292,1709019146,InOctets,received
master,-369.5303996,1709019146,OutOctets,sent
node_2,6.9291769,1709019146,InOctets,received
node_2,-221.9496417,1709019146,OutOctets,sent
node_3,3.7876546,1709019146,InOctets,received
node_3,-221.411874,1709019146,OutOctets,sent
node_1,28853.9237603,1709019151,InOctets,received
node_1,-516.3593203,1709019151,OutOctets,sent
master,11.3829025,1709019151,InOctets,received
master,-375.9218588,1709019151,OutOctets,sent
node_2,1207.8743563,1709019151,InOctets,received
node_2,-262.1599921,1709019151,OutOctets,sent
node_3,1572.7990098,1709019151,InOctets,received
node_3,-275.3823,1709019151,OutOctets,sent
node_1,116959.85,1709019156,InOctets,received
node_1,-1115.99688,1709019156,OutOctets,sent
master,17.0505058,1709019156,InOctets,received
master,-387.451634,1709019156,OutOctets,sent
node_3,22547.3008,1709019156,InOctets,received
node_3,-683.26408,1709019156,OutOctets,sent
node_2,15543.4284,1709019156,InOctets,received
node_2,-585.13522,1709019156,OutOctets,sent
node_1,17959.7091214,1709019161,InOctets,received
node_1,-345.5337487,1709019161,OutOctets,sent
master,11.211876,1709019161,InOctets,received
master,-382.6441874,1709019161,OutOctets,sent
node_2,56647.28,1709019161,InOctets,received
node_2,-971.63194,1709019161,OutOctets,sent
node_3,81734.132,1709019161,InOctets,received
node_3,-1020.84856,1709019161,OutOctets,sent
node_1,2.4865201,1709019166,InOctets,received
node_1,-224.5484801,1709019166,OutOctets,sent
master,3.9806714,1709019166,InOctets,received
master,-370.2833418,1709019166,OutOctets,sent
node_2,75703.614,1709019166,InOctets,received
node_2,-993.10136,1709019166,OutOctets,sent
node_3,57910.8472228,1709019166,InOctets,received
node_3,-713.34186,1709019166,OutOctets,sent
node_1,8.8889367,1709019171,InOctets,received
node_1,-227.4452401,1709019171,OutOctets,sent
master,12.3350558,1709019171,InOctets,received
master,-370.3386798,1709019171,OutOctets,sent
node_2,14669.7293326,1709019171,InOctets,received
node_2,-349.3882646,1709019171,OutOctets,sent
node_3,2.7581951,1709019171,InOctets,received
node_3,-226.3729737,1709019171,OutOctets,sent
node_1,2.1776264,1709019176,InOctets,received
node_1,-224.2605676,1709019176,OutOctets,sent
master,5.1616876,1709019176,InOctets,received
master,-371.3136754,1709019176,OutOctets,sent
node_2,7.3277378,1709019176,InOctets,received
node_2,-223.6579318,1709019176,OutOctets,sent
node_3,7.7196637,1709019176,InOctets,received
node_3,-225.353432,1709019176,OutOctets,sent
node_1,7.6309907,1709019181,InOctets,received
node_1,-226.2267541,1709019181,OutOctets,sent
master,7.428707,1709019181,InOctets,received
master,-366.3793922,1709019181,OutOctets,sent
node_2,3.6642621,1709019181,InOctets,received
node_2,-224.9804703,1709019181,OutOctets,sent
node_3,2.0410942,1709019181,InOctets,received
node_3,-224.34512,1709019181,OutOctets,sent
node_1,4.271769,1709019186,InOctets,received
node_1,-226.2966611,1709019186,OutOctets,sent
master,9.5168122,1709019186,InOctets,received
master,-373.907908,1709019186,OutOctets,sent
node_2,7.6608,1709019186,InOctets,received
node_2,-225.3136,1709019186,OutOctets,sent
node_3,8.1191064,1709019186,InOctets,received
node_3,-226.6692354,1709019186,OutOctets,sent
node_1,6.9908239,1709019191,InOctets,received
node_1,-225.6198316,1709019191,OutOctets,sent
master,6.4937197,1709019191,InOctets,received
master,-365.405263,1709019191,OutOctets,sent
node_2,2.9933385,1709019191,InOctets,received
node_2,-224.3846057,1709019191,OutOctets,sent
node_3,2.9336254,1709019191,InOctets,received
node_3,-224.982851,1709019191,OutOctets,sent
node_1,3.3742518,1709019196,InOctets,received
node_1,-224.6597574,1709019196,OutOctets,sent
master,5.0126948,1709019196,InOctets,received
master,-373.3646054,1709019196,OutOctets,sent
node_2,9.1154616,1709019196,InOctets,received
node_2,-224.3417912,1709019196,OutOctets,sent
node_3,8.9739157,1709019196,InOctets,received
node_3,-225.3547775,1709019196,OutOctets,sent
node_1,6.585816,1709019201,InOctets,received
node_1,-226.5591799,1709019201,OutOctets,sent
master,10.9855982,1709019201,InOctets,received
master,-366.6995958,1709019201,OutOctets,sent
node_2,3.2602184,1709019201,InOctets,received
node_2,-225.9074315,1709019201,OutOctets,sent
node_3,3.7544276,1709019201,InOctets,received
node_3,-226.822431,1709019201,OutOctets,sent
node_1,3.4024402,1709019206,InOctets,received
node_1,-224.3877758,1709019206,OutOctets,sent
master,6.4362768,1709019206,InOctets,received
master,-373.964764,1709019206,OutOctets,sent
node_2,8.0540062,1709019206,InOctets,received
node_2,-224.6029589,1709019206,OutOctets,sent
node_3,7.90895,1709019206,InOctets,received
node_3,-225.3711628,1709019206,OutOctets,sent
node_1,7.8495908,1709019211,InOctets,received
node_1,-225.8181727,1709019211,OutOctets,sent
master,5.547353,1709019211,InOctets,received
master,-365.5105734,1709019211,OutOctets,sent
node_2,3.3195069,1709019211,InOctets,received
node_2,-224.3985881,1709019211,OutOctets,sent
node_3,1.7798222,1709019211,InOctets,received
node_3,-224.2704,1709019211,OutOctets,sent
node_1,3.4881089,1709019216,InOctets,received
node_1,-225.9020058,1709019216,OutOctets,sent
master,11.9548636,1709019216,InOctets,received
master,-380.656938,1709019216,OutOctets,sent
node_2,8.3461313,1709019216,InOctets,received
node_2,-226.3697322,1709019216,OutOctets,sent
node_3,9.081599,1709019216,InOctets,received
node_3,-227.1968,1709019216,OutOctets,sent
node_1,6.3517799,1709019221,InOctets,received
node_1,-224.9617647,1709019221,OutOctets,sent
master,5.9056349,1709019221,InOctets,received
master,-372.4849589,1709019221,OutOctets,sent
node_2,2.8506362,1709019221,InOctets,received
node_2,-224.027042,1709019221,OutOctets,sent
node_3,2.2896001,1709019221,InOctets,received
node_3,-224.8064075,1709019221,OutOctets,sent
node_1,2004.218794,1709019226,InOctets,received
node_1,-274.2900932,1709019226,OutOctets,sent
master,15.622311,1709019226,InOctets,received
master,-386.218874,1709019226,OutOctets,sent
node_2,7.676701,1709019226,InOctets,received
node_2,-224.3342356,1709019226,OutOctets,sent
node_3,8.4463996,1709019226,InOctets,received
node_3,-225.9952088,1709019226,OutOctets,sent
node_1,17.750213,1709019231,InOctets,received
node_1,-235.4371206,1709019231,OutOctets,sent
master,19.7734078,1709019231,InOctets,received
master,-378.525425,1709019231,OutOctets,sent
node_2,2.8094115,1709019231,InOctets,received
node_2,-225.5671666,1709019231,OutOctets,sent
node_3,2.0096,1709019231,InOctets,received
node_3,-225.8383999,1709019231,OutOctets,sent
node_1,27.6763454,1709019236,InOctets,received
node_1,-239.3030954,1709019236,OutOctets,sent
master,25.0631476,1709019236,InOctets,received
master,-436.069272,1709019236,OutOctets,sent
node_2,31.0416658,1709019236,InOctets,received
node_2,-227.1064444,1709019236,OutOctets,sent
node_3,15.4138328,1709019236,InOctets,received
node_3,-226.0528012,1709019236,OutOctets,sent
node_1,12.6371711,1709019241,InOctets,received
node_1,-233.008884,1709019241,OutOctets,sent
master,15.9853883,1709019241,InOctets,received
master,-400.1966989,1709019241,OutOctets,sent
node_2,6.240994,1709019241,InOctets,received
node_2,-224.1518932,1709019241,OutOctets,sent
node_3,5.0788222,1709019241,InOctets,received
node_3,-224.0448006,1709019241,OutOctets,sent
node_1,51.4516046,1709019246,InOctets,received
node_1,-240.125962,1709019246,OutOctets,sent
master,31.9261328,1709019246,InOctets,received
master,-461.841712,1709019246,OutOctets,sent
node_2,2013.143046,1709019246,InOctets,received
node_2,-270.4992996,1709019246,OutOctets,sent
node_3,38.368143,1709019246,InOctets,received
node_3,-232.2288232,1709019246,OutOctets,sent
node_1,15.5696451,1709019251,InOctets,received
node_1,-234.4183787,1709019251,OutOctets,sent
master,13.7858836,1709019251,InOctets,received
master,-372.6340822,1709019251,OutOctets,sent
node_2,1.6591999,1709019251,InOctets,received
node_2,-223.4000057,1709019251,OutOctets,sent
node_3,2.1216,1709019251,InOctets,received
node_3,-224.2128021,1709019251,OutOctets,sent
node_1,20.0485982,1709019256,InOctets,received
node_1,-235.2159202,1709019256,OutOctets,sent
master,21.8666372,1709019256,InOctets,received
master,-397.208082,1709019256,OutOctets,sent
node_2,9.3264001,1709019256,InOctets,received
node_2,-225.4703969,1709019256,OutOctets,sent
node_3,1782.6315276,1709019256,InOctets,received
node_3,-264.5050504,1709019256,OutOctets,sent
node_1,20.0059371,1709019261,InOctets,received
node_1,-241.404087,1709019261,OutOctets,sent
master,25.9251992,1709019261,InOctets,received
master,-381.330778,1709019261,OutOctets,sent
node_2,2.0928,1709019261,InOctets,received
node_2,-225.0927994,1709019261,OutOctets,sent
node_3,215.9405266,1709019261,InOctets,received
node_3,-229.9205313,1709019261,OutOctets,sent
node_1,22.0432206,1709019266,InOctets,received
node_1,-237.146897,1709019266,OutOctets,sent
master,19.0658568,1709019266,InOctets,received
master,-392.381512,1709019266,OutOctets,sent
node_2,8.9217879,1709019266,InOctets,received
node_2,-225.21384,1709019266,OutOctets,sent
node_3,8.141011,1709019266,InOctets,received
node_3,-225.6912171,1709019266,OutOctets,sent
node_1,15.0886197,1709019271,InOctets,received
node_1,-235.6654519,1709019271,OutOctets,sent
master,16.1515066,1709019271,InOctets,received
master,-374.2191482,1709019271,OutOctets,sent
node_2,2.2238121,1709019271,InOctets,received
node_2,-223.4981676,1709019271,OutOctets,sent
node_3,1.3701447,1709019271,InOctets,received
node_3,-223.8528,1709019271,OutOctets,sent
node_1,22.9968244,1709019276,InOctets,received
node_1,-238.7104804,1709019276,OutOctets,sent
master,30.8023654,1709019276,InOctets,received
master,-408.039674,1709019276,OutOctets,sent
node_2,14.7466619,1709019276,InOctets,received
node_2,-230.4308593,1709019276,OutOctets,sent
node_3,9.454401,1709019276,InOctets,received
node_3,-228.0671998,1709019276,OutOctets,sent
node_1,12.0732295,1709019281,InOctets,received
node_1,-231.9135263,1709019281,OutOctets,sent
master,12.3336448,1709019281,InOctets,received
master,-376.2499312,1709019281,OutOctets,sent
node_2,2.4915352,1709019281,InOctets,received
node_2,-223.4843522,1709019281,OutOctets,sent
node_3,1.991827,1709019281,InOctets,received
node_3,-223.9824,1709019281,OutOctets,sent
node_1,25.4937092,1709019286,InOctets,received
node_1,-238.8343518,1709019286,OutOctets,sent
master,22.6363376,1709019286,InOctets,received
master,-396.251492,1709019286,OutOctets,sent
node_2,8.8624223,1709019286,InOctets,received
node_2,-225.2576,1709019286,OutOctets,sent
node_3,9.0048214,1709019286,InOctets,received
node_3,-225.6960054,1709019286,OutOctets,sent
node_1,22.4855836,1709019291,InOctets,received
node_1,-240.2299402,1709019291,OutOctets,sent
master,23.9617,1709019291,InOctets,received
master,-382.772294,1709019291,OutOctets,sent
node_2,1.8646325,1709019291,InOctets,received
node_2,-224.6724599,1709019291,OutOctets,sent
node_3,5.0545526,1709019291,InOctets,received
node_3,-227.5247991,1709019291,OutOctets,sent
node_1,19.1298522,1709019296,InOctets,received
node_1,-233.6269048,1709019296,OutOctets,sent
master,17.684333,1709019296,InOctets,received
master,-391.68262,1709019296,OutOctets,sent
node_2,8.5389949,1709019296,InOctets,received
node_2,-225.0464121,1709019296,OutOctets,sent
node_3,8.1946573,1709019296,InOctets,received
node_3,-226.0608018,1709019296,OutOctets,sent
node_1,17.8889355,1709019301,InOctets,received
node_1,-236.7702977,1709019301,OutOctets,sent
master,16.0040172,1709019301,InOctets,received
master,-375.4775794,1709019301,OutOctets,sent
node_2,1.4669512,1709019301,InOctets,received
