hostname,value,timestamp
node_1,382.875,1709515211
node_2,375.21642,1709515211
master,1099.16874,1709515211
node_3,389.82968,1709515211
node_1,382.11562,1709515216
node_2,364.39376,1709515216
master,1109.27346,1709515216
node_3,382.71484,1709515216
node_1,381.07344,1709515221
node_2,365.36096,1709515221
master,1097.15782,1709515221
node_3,374.20236,1709515221
node_1,373.72112,1709515226
node_2,356.10002,1709515226
master,1094.68124,1709515226
node_3,372.45236,1709515226
node_1,369.42342,1709515231
node_2,357.1992,1709515231
master,1084.48986,1709515231
node_3,369.76012,1709515231
node_1,373.96406,1709515236
node_2,360.98282,1709515236
master,1082.12582,1709515236
node_3,369.26718,1709515236
node_1,376.98592,1709515241
node_2,362.20078,1709515241
master,1076.92736,1709515241
node_3,365.0875,1709515241
node_1,378.99842,1709515246
node_2,364.3625,1709515246
master,1072.83126,1709515246
node_3,365.94452,1709515246
node_1,380.29064,1709515251
node_2,365.05862,1709515251
master,1077.75234,1709515251
node_3,366.625,1709515251
node_1,377.8469,1709515256
node_2,360.33984,1709515256
master,1081.4742,1709515256
node_3,367.36174,1709515256
node_1,373.68202,1709515261
node_2,359.52498,1709515261
master,1076.26954,1709515261
node_3,368.44846,1709515261
node_1,373.14606,1709515266
node_2,362.32888,1709515266
master,1072.70078,1709515266
node_3,369.70394,1709515266
node_1,372.207,1709515271
node_2,363.71638,1709515271
master,1070.44376,1709515271
node_3,369.06718,1709515271
node_1,369.42576,1709515276
node_2,365.85626,1709515276
master,1069.66718,1709515276
node_3,369.43204,1709515276
node_1,365.48518,1709515281
node_2,364.1914,1709515281
master,1068.85236,1709515281
node_3,368.857,1709515281
node_1,362.96954,1709515286
node_2,359.75236,1709515286
master,1063.70702,1709515286
node_3,368.72892,1709515286
node_1,360.07894,1709515291
node_2,356.81798,1709515291
master,1059.2914,1709515291
node_3,366.60154,1709515291
node_1,359.47892,1709515296
node_2,358.19376,1709515296
master,1053.0875,1709515296
node_3,366.82108,1709515296
node_1,354.56872,1709515301
node_2,359.9586,1709515301
master,1056.6391,1709515301
node_3,364.54922,1709515301
node_1,356.4867,1709515306
node_2,360.82498,1709515306
master,1062.4039,1709515306
node_3,365.36252,1709515306
node_1,362.12968,1709515311
node_2,361.24374,1709515311
master,1062.00546,1709515311
node_3,361.23672,1709515311
node_1,361.8094,1709515316
node_2,360.1547,1709515316
master,1062.19062,1709515316
node_3,362.27424,1709515316
node_1,359.7461,1709515321
node_2,359.6992,1709515321
master,1064.16248,1709515321
node_3,359.65156,1709515321
node_1,359.46798,1709515326
node_2,357.68826,1709515326
master,1065.0625,1709515326
node_3,358.54842,1709515326
node_1,355.5898,1709515331
node_2,353.86952,1709515331
master,1065.09062,1709515331
node_3,359.675,1709515331
node_1,356.37342,1709515336
node_2,354.80236,1709515336
master,1064.95546,1709515336
node_3,360.87344,1709515336
node_1,357.35392,1709515341
node_2,356.00466,1709515341
master,1063.32266,1709515341
node_3,355.425,1709515341
node_1,358.1469,1709515346
node_2,356.64294,1709515346
master,1055.85154,1709515346
node_3,354.36404,1709515346
node_1,352.70548,1709515351
node_2,358.39298,1709515351
master,1057.12656,1709515351
node_3,359.5211,1709515351
node_1,352.97892,1709515356
node_2,359.0031,1709515356
master,1058.84376,1709515356
node_3,361.17812,1709515356
node_1,360.72816,1709515361
node_2,360.40234,1709515361
master,1059.93826,1709515361
node_3,363.45702,1709515361
node_1,361.00938,1709515366
node_2,361.93748,1709515366
master,1060.07578,1709515366
node_3,364.19686,1709515366
node_1,364.42732,1709515371
node_2,365.96172,1709515371
master,1061.87578,1709515371
node_3,364.3383,1709515371
node_1,382.89922,1709515376
node_2,376.36172,1709515376
master,1065.71094,1709515376
node_3,374.81486,1709515376
node_1,390.21796,1709515381
node_2,384.85078,1709515381
master,1066.50314,1709515381
node_3,382.77576,1709515381
node_1,389.09688,1709515386
node_2,388.29608,1709515386
master,1074.27032,1709515386
node_3,389.25312,1709515386
node_1,388.18124,1709515391
node_2,385.18202,1709515391
master,1074.71952,1709515391
node_3,388.7211,1709515391
node_1,390.23672,1709515396
node_2,388.35706,1709515396
master,1073.4031,1709515396
node_3,384.93126,1709515396
node_1,389.75156,1709515401
node_2,392.38362,1709515401
master,1074.13436,1709515401
node_3,387.11014,1709515401
node_1,387.58674,1709515406
node_2,390.26094,1709515406
master,1071.62656,1709515406
node_3,397.16954,1709515406
node_1,383.54846,1709515411
node_2,390.00858,1709515411
master,1071.43674,1709515411
node_3,395.25234,1709515411
node_1,385.1836,1709515416
node_2,391.18592,1709515416
master,1065.0992,1709515416
node_3,392.20546,1709515416
node_1,386.77186,1709515421
node_2,390.24376,1709515421
master,1064.46172,1709515421
node_3,389.73514,1709515421
node_1,395.1625,1709515426
node_2,391.3664,1709515426
master,1066.62108,1709515426
node_3,389.96406,1709515426
node_1,393.66016,1709515431
node_2,399.78124,1709515431
master,1066.99374,1709515431
node_3,388.76718,1709515431
node_1,390.47422,1709515436
node_2,401.6336,1709515436
master,1067.42576,1709515436
node_3,393.35234,1709515436
node_1,391.69296,1709515441
node_2,399.92812,1709515441
master,1067.91328,1709515441
node_3,392.82656,1709515441
node_1,389.8664,1709515446
node_2,397.4875,1709515446
master,1069.7422,1709515446
node_3,391.61092,1709515446
node_1,391.93908,1709515451
node_2,397.41014,1709515451
master,1070.14218,1709515451
node_3,394.11874,1709515451
node_1,401.49842,1709515456
node_2,398.75,1709515456
master,1064.00158,1709515456
node_3,394.11406,1709515456
node_1,401.1461,1709515461
node_2,399.69222,1709515461
node_3,395.49296,1709515461
node_1,397.59142,1709515466
node_2,398.47422,1709515466
node_3,389.73126,1709515466
node_1,399.5711,1709515471
node_2,397.27812,1709515471
node_3,392.0211,1709515471
node_1,393.29452,1709515476
node_2,395.46876,1709515476
node_3,393.69452,1709515476
node_1,395.15702,1709515481
node_2,394.55312,1709515481
node_3,396.45936,1709515481
node_1,396.80938,1709515486
node_2,392.79298,1709515486
node_3,391.16874,1709515486
node_1,395.83204,1709515491
node_2,392.20702,1709515491
node_3,390.46796,1709515491
node_1,392.4,1709515496
node_2,388.18672,1709515496
node_3,388.98908,1709515496
node_1,392.80936,1709515501
node_2,389.59296,1709515501
node_3,391.58986,1709515501
node_1,392.27892,1709515506
node_2,395.7625,1709515506
node_3,388.27654,1709515506
node_1,392.90626,1709515511
node_2,395.23284,1709515511
node_3,388.59998,1709515511
node_1,389.49766,1709515516
node_2,396.40158,1709515516
node_3,392.12106,1709515516
node_1,390.48048,1709515521
node_2,397.58282,1709515521
node_3,394.89922,1709515521
node_1,397.22422,1709515526
node_2,392.67032,1709515526
node_3,396.1383,1709515526
node_1,399.37028,1709515531
node_2,393.33048,1709515531
node_3,396.5992,1709515531
node_1,400.5172,1709515536
node_2,397.62578,1709515536
node_3,396.96172,1709515536
node_1,398.4164,1709515541
node_2,398.2586,1709515541
node_3,392.5289,1709515541
node_1,398.52032,1709515546
node_2,395.30702,1709515546
node_3,395.87108,1709515546
node_1,396.08592,1709515551
node_2,394.61172,1709515551
node_3,399.30078,1709515551
node_1,399.4508,1709515556
node_2,396.45078,1709515556
node_3,398.44216,1709515556
node_1,403.59922,1709515561
node_2,397.67108,1709515561
master,1063.90782,1709515561
node_3,393.02346,1709515561
node_1,405.30858,1709515566
node_2,398.05858,1709515566
master,1063.31486,1709515566
