hostname,value,timestamp
node_2,94.321194,1709527456
node_1,94.916448,1709527456
node_3,94.864474,1709527456
master,99.446124,1709527456
node_2,95.724382,1709527461
node_1,95.809094,1709527461
node_3,94.33953,1709527461
master,99.731656,1709527461
node_2,95.021358,1709527466
node_1,95.302306,1709527466
node_3,95.012062,1709527466
master,99.68129,1709527466
node_2,94.689408,1709527471
node_1,94.395476,1709527471
node_3,95.410228,1709527471
master,99.78185,1709527471
node_2,94.69011,1709527476
node_1,97.731596,1709527476
node_3,95.558982,1709527476
master,99.731288,1709527476
node_2,95.278104,1709527481
node_1,93.711998,1709527481
node_3,95.084744,1709527481
master,99.782034,1709527481
node_2,94.617668,1709527486
node_1,96.97311,1709527486
node_3,95.219924,1709527486
master,99.748224,1709527486
node_2,94.214784,1709527491
node_1,94.15727,1709527491
node_3,95.11985,1709527491
master,99.698212,1709527491
node_2,94.775126,1709527496
node_1,97.279076,1709527496
node_3,95.47445,1709527496
master,99.698114,1709527496
node_2,96.119224,1709527501
node_1,93.63888,1709527501
node_3,95.76009,1709527501
master,99.798714,1709527501
node_2,94.51152,1709527506
node_1,96.829974,1709527506
node_3,95.4179,1709527506
master,99.698014,1709527506
node_2,95.761734,1709527511
node_1,93.645094,1709527511
node_3,94.763222,1709527511
master,99.765212,1709527511
node_2,93.435162,1709527516
node_1,96.417934,1709527516
node_3,95.160818,1709527516
master,99.631124,1709527516
node_2,94.916238,1709527521
node_1,93.082106,1709527521
node_3,94.858724,1709527521
master,99.748448,1709527521
node_2,94.770432,1709527526
node_1,97.683604,1709527526
node_3,95.066256,1709527526
master,99.697926,1709527526
node_2,94.806134,1709527531
node_1,93.269152,1709527531
node_3,94.865506,1709527531
master,99.698226,1709527531
node_2,94.659746,1709527536
node_1,97.684262,1709527536
node_3,95.483696,1709527536
master,99.445858,1709527536
node_2,96.123276,1709527541
node_1,94.135386,1709527541
node_3,94.229638,1709527541
master,99.647916,1709527541
node_2,93.956774,1709527546
node_1,97.129214,1709527546
node_3,94.614792,1709527546
master,99.697942,1709527546
node_2,95.30862,1709527551
node_1,92.987028,1709527551
node_3,95.162588,1709527551
master,99.748406,1709527551
node_2,94.767186,1709527556
node_1,97.177534,1709527556
node_3,95.671724,1709527556
master,99.58114,1709527556
node_2,95.414228,1709527561
node_1,93.439606,1709527561
node_3,94.810018,1709527561
master,99.748348,1709527561
node_2,95.171296,1709527566
node_1,97.685904,1709527566
node_3,95.089946,1709527566
master,99.631154,1709527566
node_2,96.436182,1709527571
node_1,94.087176,1709527571
node_3,96.978554,1709527571
master,99.765044,1709527571
node_2,94.468936,1709527576
node_1,96.728028,1709527576
node_3,94.108772,1709527576
master,99.781796,1709527576
node_2,94.878998,1709527581
node_1,93.721846,1709527581
node_3,96.880466,1709527581
master,99.748504,1709527581
node_2,94.865846,1709527586
node_1,97.583118,1709527586
node_3,93.432322,1709527586
master,99.76496,1709527586
node_2,96.011378,1709527591
node_1,93.517698,1709527591
node_3,96.928588,1709527591
master,99.664624,1709527591
node_2,95.119728,1709527596
node_1,97.327764,1709527596
node_3,94.164142,1709527596
master,99.664612,1709527596
node_2,96.524928,1709527601
node_1,94.141418,1709527601
node_3,97.084788,1709527601
master,99.748248,1709527601
node_2,94.573872,1709527606
node_1,96.164784,1709527606
node_3,92.725024,1709527606
master,99.714524,1709527606
node_2,92.74614,1709527611
node_1,92.73002,1709527611
node_3,95.825532,1709527611
master,99.597848,1709527611
node_2,70.408034,1709527616
node_1,72.180372,1709527616
node_3,68.548762,1709527616
master,99.531254,1709527616
node_2,30.612496,1709527621
node_1,28.27396,1709527621
node_3,31.49517,1709527621
master,99.664696,1709527621
node_2,28.847146,1709527626
node_1,31.409882,1709527626
node_3,28.427762,1709527626
master,99.664962,1709527626
node_2,30.849546,1709527631
node_1,27.493428,1709527631
node_3,31.575994,1709527631
master,99.664764,1709527631
node_2,28.890478,1709527636
node_1,30.708454,1709527636
node_3,29.610496,1709527636
master,99.496444,1709527636
node_2,31.703844,1709527641
node_1,27.755704,1709527641
node_3,31.092498,1709527641
master,99.781952,1709527641
node_2,27.933938,1709527646
node_1,31.503924,1709527646
node_3,28.247334,1709527646
master,99.731414,1709527646
node_2,31.980204,1709527651
node_1,27.5547,1709527651
node_3,31.52671,1709527651
master,99.71496,1709527651
node_2,28.435242,1709527656
node_1,29.650296,1709527656
node_3,28.722952,1709527656
master,99.764988,1709527656
node_2,32.177408,1709527661
node_1,28.91639,1709527661
node_3,31.461456,1709527661
master,99.748518,1709527661
node_2,27.690482,1709527666
node_1,29.637376,1709527666
node_3,28.2276266,1709527666
master,99.78185,1709527666
node_2,31.398564,1709527671
node_1,29.307142,1709527671
node_3,30.578532,1709527671
master,99.71461,1709527671
node_2,27.557876,1709527676
node_1,29.941892,1709527676
node_3,28.3572638,1709527676
master,99.731612,1709527676
node_2,32.14477,1709527681
node_1,26.91328,1709527681
node_3,30.737274,1709527681
master,99.697856,1709527681
node_2,27.599702,1709527686
node_1,30.607658,1709527686
node_3,28.784424,1709527686
master,99.781864,1709527686
node_2,31.758228,1709527691
node_1,29.002842,1709527691
node_3,31.697326,1709527691
master,99.68146,1709527691
node_2,28.630104,1709527696
node_1,30.120974,1709527696
node_3,28.521776,1709527696
master,99.731612,1709527696
node_2,30.435326,1709527701
node_1,29.375746,1709527701
node_3,30.033748,1709527701
node_2,27.730396,1709527706
node_1,30.409826,1709527706
node_3,29.620656,1709527706
node_2,33.033454,1709527711
node_1,28.063944,1709527711
node_3,30.410052,1709527711
node_2,27.41265,1709527716
node_1,30.503854,1709527716
node_3,30.16154,1709527716
node_2,32.04379,1709527721
node_1,28.828812,1709527721
node_3,30.439618,1709527721
node_2,28.0121066,1709527726
node_1,31.092842,1709527726
node_3,29.266148,1709527726
node_2,31.523986,1709527731
node_1,29.117106,1709527731
node_3,29.85193,1709527731
node_2,28.6511824,1709527736
node_1,30.3319,1709527736
node_3,29.398296,1709527736
node_2,32.247396,1709527741
node_1,28.23488,1709527741
node_3,30.633968,1709527741
node_2,28.8290364,1709527746
node_1,30.185012,1709527746
node_3,28.612238,1709527746
node_2,31.997012,1709527751
node_1,28.593894,1709527751
node_3,29.943354,1709527751
node_2,29.006578,1709527756
node_1,29.802368,1709527756
node_3,29.955018,1709527756
