hostname,value,timestamp
node_2,387.97342,1708875641
master,1197.40546,1708875641
node_3,431.23284,1708875641
node_1,404.40468,1708875641
node_2,379.21252,1708875646
master,1198.7742,1708875646
node_3,428.67502,1708875646
node_1,398.09922,1708875646
node_2,379.4422,1708875651
master,1198.74294,1708875651
node_3,424.46092,1708875651
node_1,396.82188,1708875651
node_2,379.72658,1708875656
master,1198.85234,1708875656
node_3,422.01016,1708875656
node_1,389.9617,1708875656
node_2,382.65078,1708875661
master,1198.79842,1708875661
node_3,420.53984,1708875661
node_1,385.6172,1708875661
node_2,382.1562,1708875666
master,1198.84532,1708875666
node_3,419.4945,1708875666
node_1,387.40546,1708875666
node_2,379.84298,1708875671
master,1198.66798,1708875671
node_3,419.70936,1708875671
node_1,388.65234,1708875671
node_2,376.1406,1708875676
master,1198.44764,1708875676
node_3,418.14608,1708875676
node_1,387.40236,1708875676
node_2,377.9414,1708875681
master,1198.51328,1708875681
node_3,418.9992,1708875681
node_1,386.82348,1708875681
node_2,380.35234,1708875686
master,1198.80078,1708875686
node_3,419.51644,1708875686
node_1,384.08204,1708875686
node_2,378.14922,1708875691
master,1198.80392,1708875691
node_3,418.32814,1708875691
node_1,382.47264,1708875691
node_2,375.3172,1708875696
master,1198.81874,1708875696
node_3,415.70234,1708875696
node_1,381.56252,1708875696
node_2,376.92966,1708875701
master,1197.82268,1708875701
node_3,411.97812,1708875701
node_1,379.87268,1708875701
node_2,378.9172,1708875706
master,1196.72422,1708875706
node_3,410.03826,1708875706
node_1,378.4289,1708875706
node_2,377.45314,1708875711
master,1196.78672,1708875711
node_3,409.0375,1708875711
node_1,375.81796,1708875711
node_2,378.41172,1708875716
master,1194.44922,1708875716
node_3,407.89294,1708875716
node_1,372.72344,1708875716
node_2,377.70548,1708875721
master,1194.44296,1708875721
node_3,409.20156,1708875721
node_1,367.6953,1708875721
node_2,374.97262,1708875726
master,1194.16562,1708875726
node_3,411.92422,1708875726
node_1,368.04764,1708875726
node_2,376.24296,1708875731
master,1193.86092,1708875731
node_3,410.75154,1708875731
node_1,369.32578,1708875731
node_2,378.64374,1708875736
master,1193.75702,1708875736
node_3,404.72656,1708875736
node_1,370.0086,1708875736
node_2,381.45074,1708875741
master,1193.9102,1708875741
node_3,405.51562,1708875741
