hostname,value,timestamp
node_3,358.5875,1709535376
node_1,359.47658,1709535376
node_2,359.93672,1709535376
master,1108.30388,1709535376
node_3,355.4422,1709535381
node_1,361.03362,1709535381
node_2,357.23906,1709535381
master,1119.94766,1709535381
node_3,358.85154,1709535386
node_1,358.3281,1709535386
node_2,356.56408,1709535386
master,1108.61872,1709535386
node_3,361.0273,1709535391
node_1,358.5742,1709535391
node_2,356.84532,1709535391
master,1105.6445,1709535391
node_3,359.38358,1709535396
node_1,359.16878,1709535396
node_2,349.41174,1709535396
master,1101.26016,1709535396
node_3,357.14766,1709535401
node_1,359.86016,1709535401
node_2,350.51722,1709535401
master,1100.77578,1709535401
node_3,357.46486,1709535406
node_1,362.71486,1709535406
node_2,354.33126,1709535406
master,1104.77578,1709535406
node_3,358.10392,1709535411
node_1,363.08436,1709535411
node_2,354.66406,1709535411
master,1107.10312,1709535411
node_3,359.20078,1709535416
node_1,372.39062,1709535416
node_2,353.48124,1709535416
master,1100.36876,1709535416
node_3,360.00234,1709535421
node_1,372.48358,1709535421
node_2,353.70938,1709535421
master,1097.41328,1709535421
node_3,354.99064,1709535426
node_1,361.40544,1709535426
node_2,349.6797,1709535426
master,1098.76722,1709535426
node_3,349.05624,1709535431
node_1,358.55154,1709535431
node_2,349.46876,1709535431
master,1099.7492,1709535431
node_3,349.04064,1709535436
node_1,356.33594,1709535436
node_2,350.98826,1709535436
master,1095.39532,1709535436
node_3,347.48828,1709535441
node_1,355.87108,1709535441
node_2,351.48984,1709535441
master,1093.8297,1709535441
node_3,348.59846,1709535446
node_1,356.7789,1709535446
node_2,352.16094,1709535446
master,1092.4797,1709535446
node_3,352.60624,1709535451
node_1,357.407,1709535451
node_2,352.4766,1709535451
master,1090.89532,1709535451
node_3,352.51484,1709535456
node_1,346.96016,1709535456
node_2,350.33594,1709535456
master,1091.24846,1709535456
node_3,351.22894,1709535461
node_1,344.37342,1709535461
node_2,348.80312,1709535461
master,1090.7836,1709535461
node_3,351.9086,1709535466
node_1,347.27266,1709535466
node_2,349.57968,1709535466
master,1088.84142,1709535466
node_3,355.95236,1709535471
node_1,347.24452,1709535471
node_2,350.72186,1709535471
master,1087.62342,1709535471
node_3,357.7422,1709535476
node_1,343.5109,1709535476
node_2,346.46562,1709535476
master,1089.20624,1709535476
node_3,356.71952,1709535481
node_1,341.2664,1709535481
node_2,344.15078,1709535481
master,1090.35622,1709535481
node_3,359.52812,1709535486
node_1,346.77188,1709535486
node_2,346.85002,1709535486
master,1089.99298,1709535486
node_3,354.61798,1709535491
node_1,350.76874,1709535491
node_2,348.1172,1709535491
master,1086.94766,1709535491
node_3,357.41326,1709535496
node_1,356.00158,1709535496
node_2,348.63282,1709535496
master,1084.79766,1709535496
node_3,360.7594,1709535501
node_1,359.24138,1709535501
node_2,349.71956,1709535501
master,1075.45232,1709535501
node_3,361.03828,1709535506
node_1,357.89062,1709535506
node_2,350.26558,1709535506
master,1077.03906,1709535506
node_3,355.65234,1709535511
node_1,352.04846,1709535511
node_2,350.82968,1709535511
master,1080.63986,1709535511
node_3,356.70626,1709535516
node_1,352.1961,1709535516
node_2,350.84608,1709535516
master,1081.94062,1709535516
node_3,356.23518,1709535521
node_1,352.28748,1709535521
node_2,350.70626,1709535521
master,1078.70002,1709535521
node_3,357.58596,1709535526
node_1,351.85624,1709535526
node_2,352.23438,1709535526
master,1079.20468,1709535526
node_3,353.04064,1709535531
node_1,350.67656,1709535531
node_2,354.40624,1709535531
master,1081.48906,1709535531
node_3,352.91328,1709535536
node_1,351.57658,1709535536
node_2,352.32732,1709535536
master,1082.58514,1709535536
node_3,354.28202,1709535541
node_1,352.82892,1709535541
node_2,342.29374,1709535541
master,1079.34296,1709535541
node_3,355.5258,1709535546
node_1,353.98988,1709535546
node_2,343.05388,1709535546
master,1079.54842,1709535546
node_3,357.76014,1709535551
node_1,353.64064,1709535551
node_2,344.8203,1709535551
master,1074.81406,1709535551
node_3,361.15154,1709535556
node_1,353.72816,1709535556
node_2,345.99842,1709535556
master,1075.46172,1709535556
node_3,358.79296,1709535561
node_1,350.61878,1709535561
node_2,349.33124,1709535561
master,1078.75936,1709535561
node_3,357.58358,1709535566
node_1,352.69764,1709535566
node_2,349.89608,1709535566
master,1079.22968,1709535566
node_3,359.96248,1709535571
node_1,357.41874,1709535571
node_2,350.08438,1709535571
master,1079.64532,1709535571
node_3,363.0047,1709535576
node_1,357.51952,1709535576
node_2,351.00158,1709535576
master,1079.96952,1709535576
node_3,359.93672,1709535581
node_1,357.03598,1709535581
node_2,341.61876,1709535581
master,1075.89218,1709535581
