hostname,value,timestamp,chart_family
master,0.8,1709541556,nvme0n1
master,0.8,1709541556,ubuntu--vg-ubuntu--lv
node_2,3,1709541556,mmcblk0
node_1,0.4,1709541556,mmcblk0
node_3,4.4,1709541556,mmcblk0
master,0.6,1709541561,nvme0n1
master,0.6,1709541561,ubuntu--vg-ubuntu--lv
node_2,1.2,1709541561,mmcblk0
node_1,0.2,1709541561,mmcblk0
node_3,0.4,1709541561,mmcblk0
master,0.2,1709541566,nvme0n1
master,0.2,1709541566,ubuntu--vg-ubuntu--lv
node_2,0.2,1709541566,mmcblk0
node_1,0,1709541566,mmcblk0
node_3,1.4,1709541566,mmcblk0
master,0.6,1709541571,nvme0n1
master,0.6,1709541571,ubuntu--vg-ubuntu--lv
node_2,0.2,1709541571,mmcblk0
node_1,0,1709541571,mmcblk0
node_3,0,1709541571,mmcblk0
master,0.8,1709541576,nvme0n1
master,0.8,1709541576,ubuntu--vg-ubuntu--lv
node_2,0.4,1709541576,mmcblk0
node_1,3.4,1709541576,mmcblk0
node_3,2.2,1709541576,mmcblk0
master,0.4,1709541581,nvme0n1
master,0.4,1709541581,ubuntu--vg-ubuntu--lv
node_2,1,1709541581,mmcblk0
node_1,1.8,1709541581,mmcblk0
node_3,0,1709541581,mmcblk0
master,0.2,1709541586,nvme0n1
master,0.2,1709541586,ubuntu--vg-ubuntu--lv
node_2,9.8,1709541586,mmcblk0
node_1,0.4,1709541586,mmcblk0
node_3,0.6,1709541586,mmcblk0
master,0.4,1709541591,nvme0n1
master,0.4,1709541591,ubuntu--vg-ubuntu--lv
node_2,0.2,1709541591,mmcblk0
node_1,0,1709541591,mmcblk0
node_3,3.6,1709541591,mmcblk0
master,0.2,1709541596,nvme0n1
master,0.2,1709541596,ubuntu--vg-ubuntu--lv
node_2,4,1709541596,mmcblk0
node_1,1.6,1709541596,mmcblk0
node_3,0,1709541596,mmcblk0
master,0.2,1709541601,nvme0n1
master,0.2,1709541601,ubuntu--vg-ubuntu--lv
node_2,0,1709541601,mmcblk0
node_1,0,1709541601,mmcblk0
node_3,0,1709541601,mmcblk0
master,0.6,1709541606,nvme0n1
master,0.6,1709541606,ubuntu--vg-ubuntu--lv
node_2,2.2,1709541606,mmcblk0
node_1,0,1709541606,mmcblk0
node_3,1.4,1709541606,mmcblk0
master,0.6,1709541611,nvme0n1
master,0.6,1709541611,ubuntu--vg-ubuntu--lv
node_2,0,1709541611,mmcblk0
node_1,0,1709541611,mmcblk0
node_3,0,1709541611,mmcblk0
master,0.2,1709541616,nvme0n1
master,0.2,1709541616,ubuntu--vg-ubuntu--lv
node_2,5.2,1709541616,mmcblk0
node_1,0.2,1709541616,mmcblk0
node_3,0.2,1709541616,mmcblk0
master,0.8,1709541621,nvme0n1
master,0.8,1709541621,ubuntu--vg-ubuntu--lv
node_2,1,1709541621,mmcblk0
node_1,0.6,1709541621,mmcblk0
node_3,0,1709541621,mmcblk0
master,0.2,1709541626,nvme0n1
master,0.2,1709541626,ubuntu--vg-ubuntu--lv
node_2,0.4,1709541626,mmcblk0
node_1,3.6,1709541626,mmcblk0
node_3,0.2,1709541626,mmcblk0
master,0.2,1709541631,nvme0n1
master,0.2,1709541631,ubuntu--vg-ubuntu--lv
