hostname,value,timestamp
master,98.694662,1709559951
node_3,96.583362,1709559951
node_1,96.52365,1709559951
node_2,96.53227,1709559951
master,99.697916,1709559956
node_3,94.65623,1709559956
node_1,95.71711,1709559956
node_2,95.712472,1709559956
master,99.765196,1709559961
node_3,97.433378,1709559961
node_1,97.334374,1709559961
node_2,97.39146,1709559961
master,99.681066,1709559966
node_3,96.688054,1709559966
node_1,96.263886,1709559966
node_2,96.578068,1709559966
master,99.68164,1709559971
node_3,96.784546,1709559971
node_1,97.282826,1709559971
node_2,95.486758,1709559971
master,99.614376,1709559976
node_3,95.515572,1709559976
node_1,95.984536,1709559976
node_2,95.018682,1709559976
master,99.865714,1709559981
node_3,96.583508,1709559981
node_1,97.639416,1709559981
node_2,97.14093,1709559981
master,99.61422,1709559986
node_3,96.014756,1709559986
node_1,95.410302,1709559986
node_2,94.65978,1709559986
master,99.781864,1709559991
node_3,96.183018,1709559991
node_1,96.118586,1709559991
node_2,97.544216,1709559991
master,99.614628,1709559996
node_3,97.839816,1709559996
node_1,96.616112,1709559996
node_2,95.692544,1709559996
master,99.781948,1709560001
node_3,95.022392,1709560001
node_1,96.77637,1709560001
node_2,95.973668,1709560001
master,99.748278,1709560006
node_3,96.980946,1709560006
node_1,96.024442,1709560006
node_2,95.267584,1709560006
master,99.748462,1709560011
node_3,93.338908,1709560011
node_1,96.87992,1709560011
node_2,95.777052,1709560011
master,99.631476,1709560016
node_3,96.577568,1709560016
node_1,95.214664,1709560016
node_2,95.085002,1709560016
master,99.480678,1709560021
node_3,96.173304,1709560021
node_1,96.06332,1709560021
node_2,96.68455,1709560021
master,99.697872,1709560026
node_3,96.78681,1709560026
node_1,96.165164,1709560026
node_2,95.644656,1709560026
master,99.631614,1709560031
node_3,94.304468,1709560031
node_1,97.380094,1709560031
node_2,97.092092,1709560031
master,99.664426,1709560036
node_3,97.993854,1709560036
node_1,96.214504,1709560036
node_2,96.03896,1709560036
master,99.765198,1709560041
node_3,95.315114,1709560041
node_1,97.586388,1709560041
node_2,96.888528,1709560041
master,99.681346,1709560046
node_3,96.539074,1709560046
node_1,95.715518,1709560046
node_2,95.626216,1709560046
master,99.798656,1709560051
node_3,95.880182,1709560051
node_1,97.280088,1709560051
node_2,97.39121,1709560051
master,99.714808,1709560056
node_3,97.7893,1709560056
node_1,95.698558,1709560056
node_2,95.007034,1709560056
master,99.748476,1709560061
node_3,95.096064,1709560061
node_1,97.12857,1709560061
node_2,96.992846,1709560061
master,99.764874,1709560066
node_3,97.540044,1709560066
node_1,95.812362,1709560066
node_2,95.935878,1709560066
master,99.71506,1709560071
node_3,94.476606,1709560071
node_1,97.73688,1709560071
node_2,97.229308,1709560071
master,99.697842,1709560076
node_3,97.584294,1709560076
node_1,95.916188,1709560076
node_2,95.126246,1709560076
master,99.731936,1709560081
node_3,95.428672,1709560081
node_1,95.994756,1709560081
node_2,97.239802,1709560081
master,99.681108,1709560086
node_3,97.99272,1709560086
node_1,96.07096,1709560086
node_2,96.438504,1709560086
master,99.731656,1709560091
node_3,95.544804,1709560091
node_1,96.834652,1709560091
node_2,96.472688,1709560091
master,99.647748,1709560096
node_3,97.385498,1709560096
node_1,96.279488,1709560096
node_2,96.684636,1709560096
master,99.76531,1709560101
node_3,93.746672,1709560101
node_1,97.381348,1709560101
node_2,94.811052,1709560101
master,99.748336,1709560106
node_3,96.319716,1709560106
node_1,95.917962,1709560106
node_2,96.028468,1709560106
master,99.647902,1709560111
node_3,95.095284,1709560111
node_1,96.725302,1709560111
node_2,96.135348,1709560111
master,99.731512,1709560116
node_3,95.61202,1709560116
node_1,96.322772,1709560116
node_2,95.677872,1709560116
master,99.697818,1709560121
node_3,94.1392,1709560121
node_1,97.029816,1709560121
node_2,95.12297,1709560121
master,99.69835,1709560126
node_3,96.779682,1709560126
node_1,96.99033,1709560126
node_2,97.18946,1709560126
master,99.664288,1709560131
node_3,93.20286,1709560131
node_1,96.26448,1709560131
node_2,95.768222,1709560131
master,99.74822,1709560136
node_3,96.01644,1709560136
node_1,96.879326,1709560136
node_2,97.190572,1709560136
master,99.480202,1709560141
node_3,94.546702,1709560141
node_1,95.880368,1709560141
node_2,96.132996,1709560141
master,99.66454,1709560146
node_3,96.32356,1709560146
node_1,97.127946,1709560146
node_2,97.291106,1709560146
master,99.714554,1709560151
node_3,94.533992,1709560151
node_1,95.98504,1709560151
node_2,94.702868,1709560151
master,99.66471,1709560156
node_3,95.262392,1709560156
node_1,96.987172,1709560156
node_2,97.187746,1709560156
master,99.631042,1709560161
node_3,94.800332,1709560161
node_1,96.12176,1709560161
node_2,95.484454,1709560161
master,99.631224,1709560166
node_3,95.502052,1709560166
node_1,96.568304,1709560166
node_2,96.941572,1709560166
master,99.580822,1709560171
node_3,94.486702,1709560171
node_1,95.562014,1709560171
node_2,95.89597,1709560171
master,99.71499,1709560176
node_3,96.324888,1709560176
node_1,96.928334,1709560176
node_2,97.487908,1709560176
master,99.630984,1709560181
node_3,93.989688,1709560181
node_1,96.060124,1709560181
node_2,94.984612,1709560181
master,99.765056,1709560186
node_3,95.508498,1709560186
node_1,96.784384,1709560186
node_2,97.692208,1709560186
master,99.614626,1709560191
node_3,94.745632,1709560191
node_1,96.773018,1709560191
node_2,95.514482,1709560191
master,99.697928,1709560196
node_3,95.488128,1709560196
node_1,97.021514,1709560196
node_2,95.93242,1709560196
master,99.581226,1709560201
node_1,95.709992,1709560201
node_2,96.087818,1709560201
master,99.631322,1709560206
node_1,97.73362,1709560206
node_2,95.683804,1709560206
master,99.78168,1709560211
node_1,96.156936,1709560211
node_2,96.27123,1709560211
master,99.664794,1709560216
node_1,97.43427,1709560216
node_2,97.243788,1709560216
master,99.765098,1709560221
node_1,96.721858,1709560221
node_2,95.31617,1709560221
master,99.782118,1709560226
node_1,97.58077,1709560226
node_2,97.434518,1709560226
master,99.764988,1709560231
node_1,95.045292,1709560231
node_2,95.211892,1709560231
master,99.08068,1709560236
node_1,96.933116,1709560236
node_2,96.389798,1709560236
master,99.697844,1709560241
node_1,95.801134,1709560241
node_2,95.258588,1709560241
master,99.698238,1709560246
node_1,97.786522,1709560246
node_2,97.143788,1709560246
master,99.698238,1709560251
node_1,96.478738,1709560251
node_2,95.759668,1709560251
master,99.714778,1709560256
node_1,97.52863,1709560256
node_2,95.430702,1709560256
master,99.748178,1709560261
node_1,95.296708,1709560261
node_2,96.179816,1709560261
master,99.664768,1709560266
node_1,97.789062,1709560266
node_2,96.08058,1709560266
master,99.647874,1709560271
node_1,96.22096,1709560271
node_2,95.972024,1709560271
master,99.614766,1709560276
node_1,97.423486,1709560276
node_2,96.473626,1709560276
master,99.681418,1709560281
node_1,95.740096,1709560281
node_2,95.657818,1709560281
master,99.7314,1709560286
node_1,97.231472,1709560286
node_2,96.234732,1709560286
master,99.731628,1709560291
node_1,94.766376,1709560291
node_2,96.68568,1709560291
master,99.748464,1709560296
node_1,97.53627,1709560296
node_2,96.77837,1709560296
master,99.63097,1709560301
node_3,95.729844,1709560301
node_1,96.166316,1709560301
node_2,95.773536,1709560301
master,99.580298,1709560306
node_3,91.479734,1709560306
node_1,97.588292,1709560306
node_2,95.77975,1709560306
master,99.748278,1709560311
node_3,94.297734,1709560311
node_1,96.382498,1709560311
node_2,95.430032,1709560311
master,99.630944,1709560316
node_3,95.111178,1709560316
node_1,97.187876,1709560316
node_2,95.642006,1709560316
master,99.81541,1709560321
node_3,95.511806,1709560321
node_1,96.279078,1709560321
node_2,96.137654,1709560321
master,99.530608,1709560326
node_3,95.052134,1709560326
node_1,96.937818,1709560326
node_2,96.02384,1709560326
master,99.664568,1709560331
node_3,95.304016,1709560331
node_1,97.427266,1709560331
node_2,95.725792,1709560331
master,99.647622,1709560336
node_3,93.203328,1709560336
node_1,95.96792,1709560336
node_2,96.034352,1709560336
master,99.7986,1709560341
node_3,94.974104,1709560341
node_1,98.03729,1709560341
node_2,96.09091,1709560341
master,99.445418,1709560346
node_3,95.073148,1709560346
node_1,96.218158,1709560346
node_2,95.482648,1709560346
master,99.664824,1709560351
node_3,95.95269,1709560351
node_1,97.178798,1709560351
node_2,96.63665,1709560351
master,99.614134,1709560356
node_3,95.18957,1709560356
node_1,95.270548,1709560356
node_2,95.484526,1709560356
master,99.648016,1709560361
node_3,95.071414,1709560361
node_1,97.13678,1709560361
node_2,95.978822,1709560361
master,99.53104,1709560366
node_3,93.60002,1709560366
node_1,96.473166,1709560366
node_2,95.983908,1709560366
master,99.765382,1709560371
node_3,95.533164,1709560371
node_1,97.789294,1709560371
node_2,95.479854,1709560371
master,99.614206,1709560376
node_3,93.560844,1709560376
node_1,95.966428,1709560376
node_2,95.51905,1709560376
master,99.781908,1709560381
node_3,94.821152,1709560381
node_1,96.216608,1709560381
node_2,96.373618,1709560381
master,99.580536,1709560386
node_3,94.474,1709560386
node_1,96.064776,1709560386
node_2,96.262654,1709560386
master,99.631294,1709560391
node_3,95.66109,1709560391
node_1,97.330718,1709560391
node_2,96.075464,1709560391
master,99.53138,1709560396
node_3,95.665616,1709560396
node_1,95.157322,1709560396
node_2,95.950208,1709560396
