hostname,value,timestamp,chart_family
master,1,1708825121,nvme0n1
master,1,1708825121,ubuntu--vg-ubuntu--lv
node_3,1.4,1708825121,mmcblk0
node_2,3.8,1708825121,mmcblk0
node_1,3.8,1708825121,mmcblk0
master,0.6,1708825126,nvme0n1
master,0.6,1708825126,ubuntu--vg-ubuntu--lv
node_3,0.8,1708825126,mmcblk0
node_2,0,1708825126,mmcblk0
node_1,0,1708825126,mmcblk0
master,0.4,1708825131,nvme0n1
master,0.4,1708825131,ubuntu--vg-ubuntu--lv
node_3,0,1708825131,mmcblk0
node_2,0,1708825131,mmcblk0
node_1,0,1708825131,mmcblk0
master,0.6,1708825136,nvme0n1
master,0.6,1708825136,ubuntu--vg-ubuntu--lv
node_3,0,1708825136,mmcblk0
node_2,3,1708825136,mmcblk0
node_1,1.8,1708825136,mmcblk0
master,0.2,1708825141,nvme0n1
master,0.2,1708825141,ubuntu--vg-ubuntu--lv
node_3,4.4,1708825141,mmcblk0
node_2,0,1708825141,mmcblk0
node_1,0.2,1708825141,mmcblk0
master,0.4,1708825146,nvme0n1
master,0.4,1708825146,ubuntu--vg-ubuntu--lv
node_3,2.2,1708825146,mmcblk0
node_2,1.6,1708825146,mmcblk0
node_1,0.2,1708825146,mmcblk0
master,0.6,1708825151,nvme0n1
master,0.6,1708825151,ubuntu--vg-ubuntu--lv
node_3,0,1708825151,mmcblk0
node_2,0.4,1708825151,mmcblk0
node_1,0.2,1708825151,mmcblk0
master,0.8,1708825156,nvme0n1
master,0.8,1708825156,ubuntu--vg-ubuntu--lv
node_3,0.6,1708825156,mmcblk0
node_2,0,1708825156,mmcblk0
node_1,2.6,1708825156,mmcblk0
master,0.6,1708825161,nvme0n1
master,0.6,1708825161,ubuntu--vg-ubuntu--lv
node_3,0,1708825161,mmcblk0
node_2,1.6,1708825161,mmcblk0
node_1,0,1708825161,mmcblk0
master,0.8,1708825166,nvme0n1
master,0.8,1708825166,ubuntu--vg-ubuntu--lv
node_3,0.2,1708825166,mmcblk0
node_2,0.6,1708825166,mmcblk0
node_1,0,1708825166,mmcblk0
master,0.6,1708825171,nvme0n1
master,0.6,1708825171,ubuntu--vg-ubuntu--lv
node_3,2.6,1708825171,mmcblk0
node_2,1,1708825171,mmcblk0
node_1,0.2,1708825171,mmcblk0
master,0.4,1708825176,nvme0n1
master,0.4,1708825176,ubuntu--vg-ubuntu--lv
node_3,0.4,1708825176,mmcblk0
node_2,1.6,1708825176,mmcblk0
node_1,0,1708825176,mmcblk0
master,0.4,1708825181,nvme0n1
master,0.4,1708825181,ubuntu--vg-ubuntu--lv
node_3,0,1708825181,mmcblk0
node_2,3.8,1708825181,mmcblk0
node_1,0.2,1708825181,mmcblk0
master,0.6,1708825186,nvme0n1
master,0.6,1708825186,ubuntu--vg-ubuntu--lv
node_3,0,1708825186,mmcblk0
node_2,0.2,1708825186,mmcblk0
node_1,3.6,1708825186,mmcblk0
master,0.2,1708825191,nvme0n1
master,0.2,1708825191,ubuntu--vg-ubuntu--lv
node_3,0,1708825191,mmcblk0
node_2,0,1708825191,mmcblk0
node_1,0,1708825191,mmcblk0
master,0.2,1708825196,nvme0n1
master,0.2,1708825196,ubuntu--vg-ubuntu--lv
node_3,0.4,1708825196,mmcblk0
node_2,0,1708825196,mmcblk0
node_1,0,1708825196,mmcblk0
master,0.4,1708825201,nvme0n1
master,0.4,1708825201,ubuntu--vg-ubuntu--lv
node_3,3.8,1708825201,mmcblk0
node_2,0,1708825201,mmcblk0
node_1,0,1708825201,mmcblk0
master,0.2,1708825206,nvme0n1
master,0.2,1708825206,ubuntu--vg-ubuntu--lv
node_3,0,1708825206,mmcblk0
node_2,2.6,1708825206,mmcblk0
node_1,3.2,1708825206,mmcblk0
master,0.6,1708825211,nvme0n1
master,0.6,1708825211,ubuntu--vg-ubuntu--lv
node_3,1.6,1708825211,mmcblk0
node_2,1.8,1708825211,mmcblk0
node_1,2,1708825211,mmcblk0
master,0.6,1708825216,nvme0n1
master,0.6,1708825216,ubuntu--vg-ubuntu--lv
node_3,0,1708825216,mmcblk0
node_2,0.2,1708825216,mmcblk0
node_1,0,1708825216,mmcblk0
master,0.8,1708825221,nvme0n1
master,0.8,1708825221,ubuntu--vg-ubuntu--lv
node_3,0,1708825221,mmcblk0
node_2,0,1708825221,mmcblk0
node_1,0,1708825221,mmcblk0
master,0.8,1708825226,nvme0n1
master,0.8,1708825226,ubuntu--vg-ubuntu--lv
node_3,0,1708825226,mmcblk0
node_2,0.4,1708825226,mmcblk0
node_1,0,1708825226,mmcblk0
master,0.4,1708825231,nvme0n1
master,0.4,1708825231,ubuntu--vg-ubuntu--lv
node_3,0.4,1708825231,mmcblk0
node_2,0,1708825231,mmcblk0
node_1,0,1708825231,mmcblk0
master,0.6,1708825236,nvme0n1
master,0.6,1708825236,ubuntu--vg-ubuntu--lv
node_3,0.2,1708825236,mmcblk0
node_2,0.4,1708825236,mmcblk0
node_1,0.8,1708825236,mmcblk0
master,0.6,1708825241,nvme0n1
master,0.6,1708825241,ubuntu--vg-ubuntu--lv
node_3,3,1708825241,mmcblk0
node_2,3,1708825241,mmcblk0
node_1,1.8,1708825241,mmcblk0
master,0.4,1708825246,nvme0n1
master,0.4,1708825246,ubuntu--vg-ubuntu--lv
node_3,0.4,1708825246,mmcblk0
node_2,0,1708825246,mmcblk0
node_1,0,1708825246,mmcblk0
master,0.8,1708825251,nvme0n1
master,0.8,1708825251,ubuntu--vg-ubuntu--lv
node_3,0,1708825251,mmcblk0
node_2,0,1708825251,mmcblk0
node_1,0,1708825251,mmcblk0
master,1,1708825256,nvme0n1
master,1,1708825256,ubuntu--vg-ubuntu--lv
node_3,2,1708825256,mmcblk0
node_2,0,1708825256,mmcblk0
node_1,0,1708825256,mmcblk0
master,0,1708825261,nvme0n1
master,0,1708825261,ubuntu--vg-ubuntu--lv
node_3,1.8,1708825261,mmcblk0
node_2,0,1708825261,mmcblk0
node_1,0,1708825261,mmcblk0
master,0.6,1708825266,nvme0n1
master,0.6,1708825266,ubuntu--vg-ubuntu--lv
node_3,1.2,1708825266,mmcblk0
node_2,0,1708825266,mmcblk0
node_1,0.2,1708825266,mmcblk0
master,0.6,1708825271,nvme0n1
master,0.6,1708825271,ubuntu--vg-ubuntu--lv
node_3,0.4,1708825271,mmcblk0
node_2,0,1708825271,mmcblk0
node_1,2.2,1708825271,mmcblk0
master,0.6,1708825276,nvme0n1
master,0.6,1708825276,ubuntu--vg-ubuntu--lv
node_3,3.4,1708825276,mmcblk0
node_2,1,1708825276,mmcblk0
node_1,0,1708825276,mmcblk0
master,0.4,1708825281,nvme0n1
master,0.4,1708825281,ubuntu--vg-ubuntu--lv
node_3,4.2,1708825281,mmcblk0
node_2,4,1708825281,mmcblk0
node_1,1.6,1708825281,mmcblk0
master,0.4,1708825286,nvme0n1
master,0.4,1708825286,ubuntu--vg-ubuntu--lv
node_3,3.4,1708825286,mmcblk0
node_2,0.2,1708825286,mmcblk0
node_1,0,1708825286,mmcblk0
master,0.2,1708825291,nvme0n1
master,0.2,1708825291,ubuntu--vg-ubuntu--lv
node_3,0.4,1708825291,mmcblk0
node_2,0,1708825291,mmcblk0
node_1,0.2,1708825291,mmcblk0
master,0.4,1708825296,nvme0n1
master,0.4,1708825296,ubuntu--vg-ubuntu--lv
node_3,2.6,1708825296,mmcblk0
node_2,0,1708825296,mmcblk0
node_1,0,1708825296,mmcblk0
node_3,0.4,1708825301,mmcblk0
master,0.4,1708825301,nvme0n1
master,0.4,1708825301,ubuntu--vg-ubuntu--lv
node_2,0.2,1708825301,mmcblk0
node_1,2.4,1708825301,mmcblk0
master,0.4,1708825306,nvme0n1
master,0.4,1708825306,ubuntu--vg-ubuntu--lv
node_3,2,1708825306,mmcblk0
node_2,1.2,1708825306,mmcblk0
node_1,0.2,1708825306,mmcblk0
master,0.2,1708825311,nvme0n1
master,0.2,1708825311,ubuntu--vg-ubuntu--lv
node_3,0,1708825311,mmcblk0
node_2,2.2,1708825311,mmcblk0
node_1,2.2,1708825311,mmcblk0
master,0.4,1708825316,nvme0n1
master,0.4,1708825316,ubuntu--vg-ubuntu--lv
node_3,0,1708825316,mmcblk0
node_2,0.2,1708825316,mmcblk0
node_1,0,1708825316,mmcblk0
master,0.6,1708825321,nvme0n1
master,0.6,1708825321,ubuntu--vg-ubuntu--lv
node_3,2.4,1708825321,mmcblk0
node_2,0.8,1708825321,mmcblk0
node_1,0,1708825321,mmcblk0
node_3,0,1708825326,mmcblk0
master,0.2,1708825326,nvme0n1
master,0.2,1708825326,ubuntu--vg-ubuntu--lv
node_2,0.2,1708825326,mmcblk0
node_1,0,1708825326,mmcblk0
master,0.2,1708825331,nvme0n1
master,0.2,1708825331,ubuntu--vg-ubuntu--lv
node_3,2.4,1708825331,mmcblk0
node_2,0.4,1708825331,mmcblk0
node_1,0,1708825331,mmcblk0
master,0.6,1708825336,nvme0n1
master,0.6,1708825336,ubuntu--vg-ubuntu--lv
node_3,0.2,1708825336,mmcblk0
node_2,0,1708825336,mmcblk0
node_1,0,1708825336,mmcblk0
master,0.6,1708825341,nvme0n1
master,0.6,1708825341,ubuntu--vg-ubuntu--lv
node_3,2.8,1708825341,mmcblk0
node_2,4,1708825341,mmcblk0
node_1,2.8,1708825341,mmcblk0
master,0.2,1708825346,nvme0n1
master,0.2,1708825346,ubuntu--vg-ubuntu--lv
node_3,0.2,1708825346,mmcblk0
node_2,1.2,1708825346,mmcblk0
node_1,0.4,1708825346,mmcblk0
master,0.6,1708825351,nvme0n1
master,0.6,1708825351,ubuntu--vg-ubuntu--lv
node_3,2.4,1708825351,mmcblk0
node_2,0,1708825351,mmcblk0
node_1,2,1708825351,mmcblk0
master,0.6,1708825356,nvme0n1
master,0.6,1708825356,ubuntu--vg-ubuntu--lv
node_3,1,1708825356,mmcblk0
node_2,0,1708825356,mmcblk0
node_1,0.2,1708825356,mmcblk0
master,0.6,1708825361,nvme0n1
master,0.6,1708825361,ubuntu--vg-ubuntu--lv
node_3,2.6,1708825361,mmcblk0
node_2,3.2,1708825361,mmcblk0
node_1,0,1708825361,mmcblk0
master,0,1708825366,nvme0n1
master,0,1708825366,ubuntu--vg-ubuntu--lv
node_3,0.8,1708825366,mmcblk0
node_2,0.4,1708825366,mmcblk0
node_1,0.2,1708825366,mmcblk0
master,0.4,1708825371,nvme0n1
master,0.4,1708825371,ubuntu--vg-ubuntu--lv
node_3,1.6,1708825371,mmcblk0
node_2,2.6,1708825371,mmcblk0
node_1,0.2,1708825371,mmcblk0
master,0.4,1708825376,nvme0n1
master,0.4,1708825376,ubuntu--vg-ubuntu--lv
node_3,0.2,1708825376,mmcblk0
node_2,0.4,1708825376,mmcblk0
node_1,0.6,1708825376,mmcblk0
master,0.6,1708825381,nvme0n1
master,0.6,1708825381,ubuntu--vg-ubuntu--lv
node_3,1.2,1708825381,mmcblk0
node_2,3,1708825381,mmcblk0
node_1,0.6,1708825381,mmcblk0
master,0.4,1708825386,nvme0n1
master,0.4,1708825386,ubuntu--vg-ubuntu--lv
node_3,0,1708825386,mmcblk0
node_2,0,1708825386,mmcblk0
node_1,3.4,1708825386,mmcblk0
master,0,1708825391,nvme0n1
master,0,1708825391,ubuntu--vg-ubuntu--lv
node_3,3.2,1708825391,mmcblk0
node_2,2.8,1708825391,mmcblk0
node_1,0.2,1708825391,mmcblk0
master,0.4,1708825396,nvme0n1
master,0.4,1708825396,ubuntu--vg-ubuntu--lv
node_3,0.6,1708825396,mmcblk0
node_2,0.4,1708825396,mmcblk0
node_1,0.2,1708825396,mmcblk0
master,0.6,1708825401,nvme0n1
master,0.6,1708825401,ubuntu--vg-ubuntu--lv
node_3,1.4,1708825401,mmcblk0
node_2,2.2,1708825401,mmcblk0
node_1,0,1708825401,mmcblk0
master,0.6,1708825406,nvme0n1
master,0.6,1708825406,ubuntu--vg-ubuntu--lv
node_3,0.8,1708825406,mmcblk0
node_2,1.8,1708825406,mmcblk0
node_1,2.8,1708825406,mmcblk0
master,0.6,1708825411,nvme0n1
master,0.6,1708825411,ubuntu--vg-ubuntu--lv
node_3,1.6,1708825411,mmcblk0
node_2,2.2,1708825411,mmcblk0
node_1,0.2,1708825411,mmcblk0
master,0.4,1708825416,nvme0n1
master,0.4,1708825416,ubuntu--vg-ubuntu--lv
node_3,0,1708825416,mmcblk0
node_2,0.2,1708825416,mmcblk0
node_1,3.2,1708825416,mmcblk0
master,0,1708825421,nvme0n1
master,0,1708825421,ubuntu--vg-ubuntu--lv
node_3,3.4,1708825421,mmcblk0
node_2,2.4,1708825421,mmcblk0
