hostname,value,timestamp
master,1207.51954,1708825121
node_3,437.15158,1708825121
node_2,405.3906,1708825121
node_1,404.77972,1708825121
master,1207.70078,1708825126
node_3,437.67498,1708825126
node_2,403.36562,1708825126
node_1,405.40938,1708825126
master,1207.26328,1708825131
node_3,440.08206,1708825131
node_2,399.36482,1708825131
node_1,407.3664,1708825131
master,1207.86092,1708825136
node_3,440.45312,1708825136
node_2,399.66874,1708825136
node_1,404.83988,1708825136
master,1208.07968,1708825141
node_3,428.79764,1708825141
node_2,399.90702,1708825141
node_1,400.96174,1708825141
master,1208.29842,1708825146
node_3,429.09296,1708825146
node_2,400.50078,1708825146
node_1,400.98284,1708825146
master,1208.5125,1708825151
node_3,428.95624,1708825151
node_2,401.20934,1708825151
node_1,400.94066,1708825151
master,1208.63592,1708825156
node_3,429.6656,1708825156
node_2,401.07418,1708825156
node_1,401.59298,1708825156
master,1208.84848,1708825161
node_3,422.4211,1708825161
node_2,400.51172,1708825161
node_1,402.9766,1708825161
master,1208.92972,1708825166
node_3,422.83752,1708825166
node_2,401.37032,1708825166
node_1,404.8805,1708825166
master,1209.14608,1708825171
node_3,424.60938,1708825171
node_2,401.58906,1708825171
node_1,407.78518,1708825171
master,1209.20936,1708825176
node_3,424.7414,1708825176
node_2,402.25078,1708825176
node_1,409.3086,1708825176
master,1209.32656,1708825181
node_3,421.98048,1708825181
node_2,396.06956,1708825181
node_1,411.6211,1708825181
master,1209.54296,1708825186
node_3,421.8797,1708825186
node_2,397.20152,1708825186
node_1,407.63204,1708825186
master,1209.86252,1708825191
node_3,423.38286,1708825191
node_2,387.85392,1708825191
node_1,397.60466,1708825191
master,1210.22032,1708825196
node_3,423.9156,1708825196
node_2,389.0336,1708825196
node_1,398.35232,1708825196
master,1210.39222,1708825201
node_3,422.69218,1708825201
node_2,391.10312,1708825201
node_1,398.9109,1708825201
master,1210.65154,1708825206
node_3,423.4023,1708825206
node_2,391.76486,1708825206
node_1,396.82498,1708825206
master,1211.43512,1708825211
node_3,425.15858,1708825211
node_2,398.28202,1708825211
node_1,387.18436,1708825211
master,1212.73826,1708825216
node_3,427.23516,1708825216
node_2,398.5156,1708825216
node_1,388.06798,1708825216
master,1212.94922,1708825221
node_3,424.75076,1708825221
node_2,400.50236,1708825221
node_1,392.06408,1708825221
master,1213.16094,1708825226
node_3,423.12342,1708825226
node_2,402.11404,1708825226
node_1,392.67108,1708825226
master,1213.27658,1708825231
node_3,427.23126,1708825231
node_2,392.38594,1708825231
node_1,388.707,1708825231
master,1213.0578,1708825236
node_3,430.03282,1708825236
node_2,390.625,1708825236
node_1,389.10076,1708825236
master,1212.98908,1708825241
node_3,426.2797,1708825241
node_2,391.15392,1708825241
node_1,390.80312,1708825241
master,1212.68206,1708825246
node_3,424.04064,1708825246
node_2,391.27422,1708825246
node_1,391.40862,1708825246
master,1212.39768,1708825251
node_3,421.31484,1708825251
node_2,393.60706,1708825251
node_1,385.78516,1708825251
master,1212.42108,1708825256
node_3,418.07734,1708825256
node_2,394.6172,1708825256
node_1,386.75548,1708825256
master,1212.57732,1708825261
node_3,418.7086,1708825261
node_2,391.70622,1708825261
node_1,387.91718,1708825261
master,1212.63828,1708825266
node_3,418.88206,1708825266
node_2,390.38438,1708825266
node_1,388.4961,1708825266
master,1212.75234,1708825271
node_3,418.09298,1708825271
node_2,394.05704,1708825271
node_1,393.15314,1708825271
master,1212.15392,1708825276
node_3,418.09138,1708825276
node_2,397.46174,1708825276
node_1,396.27892,1708825276
master,1211.49608,1708825281
node_3,425.35544,1708825281
node_2,403.1961,1708825281
node_1,400.14374,1708825281
master,1211.68826,1708825286
node_3,445.67032,1708825286
node_2,412.6172,1708825286
node_1,415.375,1708825286
master,1211.95078,1708825291
node_3,449.69686,1708825291
node_2,414.11564,1708825291
node_1,417.1586,1708825291
master,1212.1664,1708825296
node_3,452.46486,1708825296
node_2,415.98048,1708825296
node_1,416.54532,1708825296
node_3,454.18984,1708825301
master,1212.38282,1708825301
node_2,416.475,1708825301
node_1,417.53204,1708825301
master,1212.49844,1708825306
node_3,454.62578,1708825306
node_2,416.16798,1708825306
node_1,419.34062,1708825306
master,1212.4766,1708825311
node_3,452.4336,1708825311
node_2,422.19064,1708825311
node_1,416.83516,1708825311
master,1212.2055,1708825316
node_3,450.29376,1708825316
node_2,428.11564,1708825316
node_1,423.23596,1708825316
master,1212.0164,1708825321
node_3,450.10704,1708825321
node_2,425.97108,1708825321
node_1,424.40154,1708825321
node_3,448.1125,1708825326
master,1212.1789,1708825326
node_2,428.35078,1708825326
node_1,419.72266,1708825326
master,1212.19454,1708825331
node_3,447.3914,1708825331
node_2,430.61952,1708825331
node_1,419.54688,1708825331
master,1212.19218,1708825336
node_3,449.98436,1708825336
node_2,429.70704,1708825336
node_1,418.36016,1708825336
master,1212.2625,1708825341
node_3,456.02422,1708825341
node_2,432.52498,1708825341
node_1,421.97188,1708825341
master,1211.82968,1708825346
node_3,462.82892,1708825346
node_2,433.11954,1708825346
node_1,421.04842,1708825346
master,1211.69532,1708825351
node_3,465.00938,1708825351
node_2,432.11798,1708825351
node_1,421.65938,1708825351
master,1211.65388,1708825356
node_3,457.54064,1708825356
node_2,429.13048,1708825356
node_1,419.99454,1708825356
master,1210.7852,1708825361
node_3,454.20938,1708825361
node_2,425.39296,1708825361
