4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1285.58          ---          ---        14.14386        13.11900        29.43900        50.17500        99.04 
Gets        12854.22         2.33     12851.89        14.13048        13.11900        29.31100        49.40700       500.78 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14139.80         2.33     12851.89        14.13169        13.11900        29.43900        49.40700       599.82 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.967        0.000
SET      11.711        5.000
SET      12.159       10.000
SET      12.351       15.000
SET      12.479       20.000
SET      12.543       25.000
SET      12.671       30.000
SET      12.735       35.000
SET      12.863       40.000
SET      12.991       45.000
SET      13.119       50.000
SET      13.183       52.500
SET      13.247       55.000
SET      13.311       57.500
SET      13.375       60.000
SET      13.503       62.500
SET      13.567       65.000
SET      13.631       67.500
SET      13.695       70.000
SET      13.823       72.500
SET      13.887       75.000
SET      13.951       76.250
SET      14.015       77.500
SET      14.143       78.750
SET      14.207       80.000
SET      14.271       81.250
SET      14.399       82.500
SET      14.527       83.750
SET      14.655       85.000
SET      14.911       86.250
SET      15.231       87.500
SET      15.423       88.125
SET      15.679       88.750
SET      15.999       89.375
SET      16.383       90.000
SET      16.895       90.625
SET      17.535       91.250
SET      18.559       91.875
SET      20.095       92.500
SET      21.887       93.125
SET      23.423       93.750
SET      23.807       94.062
SET      24.191       94.375
SET      24.447       94.688
SET      24.703       95.000
SET      24.959       95.312
SET      25.087       95.625
SET      25.343       95.938
SET      25.599       96.250
SET      25.855       96.562
SET      26.111       96.875
SET      26.239       97.031
SET      26.367       97.188
SET      26.495       97.344
SET      26.623       97.500
SET      26.879       97.656
SET      27.007       97.812
SET      27.135       97.969
SET      27.391       98.125
SET      27.519       98.281
SET      27.775       98.438
SET      28.031       98.516
SET      28.159       98.594
SET      28.287       98.672
SET      28.543       98.750
SET      28.799       98.828
SET      29.055       98.906
SET      29.439       98.984
SET      29.823       99.062
SET      30.335       99.141
SET      31.231       99.219
SET      31.743       99.258
SET      32.255       99.297
SET      32.767       99.336
SET      33.535       99.375
SET      34.047       99.414
SET      34.815       99.453
SET      35.583       99.492
SET      36.607       99.531
SET      37.375       99.570
SET      38.399       99.609
SET      39.167       99.629
SET      39.679       99.648
SET      40.191       99.668
SET      40.703       99.688
SET      41.471       99.707
SET      42.239       99.727
SET      43.007       99.746
SET      43.775       99.766
SET      44.543       99.785
SET      45.311       99.805
SET      45.823       99.814
SET      46.079       99.824
SET      46.335       99.834
SET      46.847       99.844
SET      47.359       99.854
SET      47.871       99.863
SET      48.383       99.873
SET      48.895       99.883
SET      49.407       99.893
SET      50.175       99.902
SET      50.431       99.907
SET      50.943       99.912
SET      51.199       99.917
SET      51.711       99.922
SET      52.223       99.927
SET      52.735       99.932
SET      53.503       99.937
SET      54.015       99.941
SET      54.527       99.946
SET      55.295       99.951
SET      55.551       99.954
SET      56.063       99.956
SET      56.319       99.958
SET      56.575       99.961
SET      56.831       99.963
SET      57.343       99.966
SET      57.599       99.968
SET      58.111       99.971
SET      58.623       99.973
SET      59.135       99.976
SET      59.135       99.977
SET      59.391       99.978
SET      59.647       99.979
SET      60.159       99.980
SET      60.415       99.982
SET      60.671       99.983
SET      61.183       99.984
SET      62.207       99.985
SET      62.719       99.987
SET      63.231       99.988
SET      63.487       99.988
SET      63.999       99.989
SET      64.255       99.990
SET      64.767       99.990
SET      65.535       99.991
SET      66.047       99.991
SET      66.559       99.992
SET      67.071       99.993
SET      67.583       99.993
SET      68.095       99.994
SET      68.095       99.994
SET      68.095       99.995
SET      68.095       99.995
SET      68.607       99.995
SET      68.607       99.995
SET      69.119       99.996
SET      70.143       99.996
SET      70.655       99.996
SET      71.167       99.997
SET      72.191       99.997
SET      72.191       99.997
SET      72.191       99.997
SET      72.191       99.997
SET      72.703       99.998
SET      72.703       99.998
SET      72.703       99.998
SET      73.215       99.998
SET      73.215       99.998
SET      73.727       99.998
SET      74.751       99.998
SET      74.751       99.999
SET      75.263       99.999
SET      75.263       99.999
SET      75.775       99.999
SET      77.311       99.999
SET      77.311       99.999
SET      79.871       99.999
SET      79.871       99.999
SET      88.063       99.999
SET      89.087       99.999
SET      89.087       99.999
SET      89.087       99.999
SET      89.087       99.999
SET      92.159       99.999
SET      92.159       99.999
SET      92.159       99.999
SET      92.159      100.000
SET      92.159      100.000
SET      92.159      100.000
SET      95.743      100.000
SET      95.743      100.000
SET      95.743      100.000
SET      95.743      100.000
SET      95.743      100.000
SET      95.743      100.000
SET      95.743      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.031      100.000
SET     108.543      100.000
SET     108.543      100.000
---
GET       1.575        0.000
GET      11.711        5.000
GET      12.159       10.000
GET      12.351       15.000
GET      12.415       20.000
GET      12.543       25.000
GET      12.671       30.000
GET      12.735       35.000
GET      12.863       40.000
GET      12.991       45.000
GET      13.119       50.000
GET      13.183       52.500
GET      13.247       55.000
GET      13.311       57.500
GET      13.375       60.000
GET      13.439       62.500
GET      13.567       65.000
GET      13.631       67.500
GET      13.695       70.000
GET      13.823       72.500
GET      13.887       75.000
GET      13.951       76.250
GET      14.015       77.500
GET      14.079       78.750
GET      14.207       80.000
GET      14.271       81.250
GET      14.399       82.500
GET      14.527       83.750
GET      14.655       85.000
GET      14.911       86.250
GET      15.167       87.500
GET      15.359       88.125
GET      15.615       88.750
GET      15.935       89.375
GET      16.319       90.000
GET      16.895       90.625
