4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1336.32          ---          ---        13.60248        12.67100        27.00700        44.54300       102.95 
Gets        13361.53         4.67     13356.87        13.59533        12.67100        27.00700        44.79900       520.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14697.86         4.67     13356.87        13.59598        12.67100        27.00700        44.79900       623.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.919        0.000
SET      11.519        5.000
SET      12.031       10.000
SET      12.159       15.000
SET      12.287       20.000
SET      12.351       25.000
SET      12.415       30.000
SET      12.479       35.000
SET      12.543       40.000
SET      12.607       45.000
SET      12.671       50.000
SET      12.671       52.500
SET      12.735       55.000
SET      12.735       57.500
SET      12.799       60.000
SET      12.799       62.500
SET      12.863       65.000
SET      12.927       67.500
SET      12.991       70.000
SET      13.055       72.500
SET      13.119       75.000
SET      13.183       76.250
SET      13.183       77.500
SET      13.247       78.750
SET      13.311       80.000
SET      13.439       81.250
SET      13.503       82.500
SET      13.631       83.750
SET      13.823       85.000
SET      14.079       86.250
SET      14.527       87.500
SET      14.719       88.125
SET      15.039       88.750
SET      15.295       89.375
SET      15.615       90.000
SET      15.935       90.625
SET      16.511       91.250
SET      17.279       91.875
SET      18.687       92.500
SET      20.607       93.125
SET      22.271       93.750
SET      22.911       94.062
SET      23.423       94.375
SET      23.807       94.688
SET      24.063       95.000
SET      24.319       95.312
SET      24.447       95.625
SET      24.703       95.938
SET      24.831       96.250
SET      24.959       96.562
SET      25.087       96.875
SET      25.087       97.031
SET      25.215       97.188
SET      25.343       97.344
SET      25.343       97.500
SET      25.471       97.656
SET      25.471       97.812
SET      25.599       97.969
SET      25.727       98.125
SET      25.855       98.281
SET      25.983       98.438
SET      26.111       98.516
SET      26.111       98.594
SET      26.239       98.672
SET      26.367       98.750
SET      26.495       98.828
SET      26.751       98.906
SET      27.007       98.984
SET      27.263       99.062
SET      27.647       99.141
SET      28.159       99.219
SET      28.415       99.258
SET      28.927       99.297
SET      29.311       99.336
SET      29.823       99.375
SET      30.207       99.414
SET      30.847       99.453
SET      31.615       99.492
SET      32.255       99.531
SET      33.279       99.570
SET      34.047       99.609
SET      34.559       99.629
SET      35.071       99.648
SET      35.583       99.668
