hostname,value,timestamp
node_2,406.00784,1708813361
node_1,410.39058,1708813361
master,1199.88362,1708813361
node_3,432.8695,1708813361
node_2,400.53826,1708813366
node_1,398.17578,1708813366
master,1203.0281,1708813366
node_3,433.34376,1708813366
node_2,401.52658,1708813371
node_1,395.44456,1708813371
master,1203.60858,1708813371
node_3,432.52032,1708813371
node_2,405.21484,1708813376
node_1,392.3594,1708813376
master,1203.72344,1708813376
node_3,431.44454,1708813376
node_2,404.6078,1708813381
node_1,388.68908,1708813381
master,1203.78672,1708813381
node_3,429.88828,1708813381
node_2,401.62972,1708813386
node_1,392.64218,1708813386
master,1203.90392,1708813386
node_3,419.51408,1708813386
node_2,400.53754,1708813391
node_1,394.72032,1708813391
master,1203.57892,1708813391
node_3,419.45316,1708813391
node_2,395.92812,1708813396
node_1,395.42424,1708813396
master,1203.36718,1708813396
node_3,418.83748,1708813396
node_2,396.2617,1708813401
node_1,395.94066,1708813401
master,1203.29998,1708813401
node_3,420.54296,1708813401
node_2,392.31562,1708813406
node_1,393.8672,1708813406
master,1203.53982,1708813406
node_3,426.6367,1708813406
node_2,393.0469,1708813411
node_1,392.73598,1708813411
master,1203.70076,1708813411
node_3,425.33828,1708813411
node_2,396.77342,1708813416
node_1,393.0773,1708813416
master,1203.66874,1708813416
node_3,418.36252,1708813416
node_2,397.24684,1708813421
node_1,388.8398,1708813421
master,1203.97812,1708813421
node_3,420.57268,1708813421
node_2,400.5906,1708813426
node_1,389.62576,1708813426
master,1204.09688,1708813426
node_3,423.607,1708813426
node_2,400.9961,1708813431
node_1,390.80314,1708813431
master,1204.0781,1708813431
node_3,423.11952,1708813431
node_2,394.10312,1708813436
node_1,391.00626,1708813436
master,1204.1969,1708813436
node_3,421.44456,1708813436
node_2,394.66716,1708813441
node_1,390.65856,1708813441
master,1204.13048,1708813441
node_3,422.15626,1708813441
node_2,391.60782,1708813446
node_1,390.88046,1708813446
master,1204.28828,1708813446
node_3,417.043,1708813446
node_2,391.2289,1708813451
node_1,391.21954,1708813451
master,1203.8094,1708813451
node_3,417.27814,1708813451
node_2,390.53126,1708813456
node_1,390.77578,1708813456
master,1204.27028,1708813456
node_3,419.41252,1708813456
node_2,390.40472,1708813461
node_1,382.957,1708813461
master,1203.58358,1708813461
node_3,420.18518,1708813461
node_2,391.40234,1708813466
node_1,384.32654,1708813466
master,1203.49608,1708813466
node_3,415.70936,1708813466
node_2,392.34764,1708813471
node_1,388.8203,1708813471
master,1203.99612,1708813471
node_3,413.68434,1708813471
node_2,392.75624,1708813476
