hostname,value,timestamp
node_3,89.68376,1708819231
node_2,89.030008,1708819231
node_1,90.007452,1708819231
master,96.338126,1708819231
node_3,93.541142,1708819236
node_2,94.381788,1708819236
node_1,94.06282,1708819236
master,98.994004,1708819236
node_3,97.588796,1708819241
node_2,96.481376,1708819241
node_1,95.26977,1708819241
master,98.895424,1708819241
node_3,92.68958,1708819246
node_2,94.877388,1708819246
node_1,95.020054,1708819246
master,98.810492,1708819246
node_3,96.730368,1708819251
node_2,95.627098,1708819251
node_1,95.763128,1708819251
master,98.910772,1708819251
node_3,93.374184,1708819256
node_2,92.804934,1708819256
node_1,95.30351,1708819256
master,98.911668,1708819256
node_3,96.081914,1708819261
node_2,95.877546,1708819261
node_1,95.927232,1708819261
master,98.928952,1708819261
node_3,94.605402,1708819266
node_2,94.80876,1708819266
node_1,94.592286,1708819266
master,99.077786,1708819266
node_3,96.62468,1708819271
node_2,96.189348,1708819271
node_1,96.16758,1708819271
master,99.110964,1708819271
node_3,94.679126,1708819276
node_2,94.820342,1708819276
node_1,95.168146,1708819276
master,98.828968,1708819276
node_3,95.885424,1708819281
node_2,95.500114,1708819281
node_1,94.845748,1708819281
master,98.92745,1708819281
node_3,94.920244,1708819286
node_2,94.915356,1708819286
node_1,94.701506,1708819286
master,98.961148,1708819286
node_3,95.210782,1708819291
node_2,94.9455,1708819291
node_1,95.91912,1708819291
master,98.96185,1708819291
node_3,94.5598,1708819296
node_2,94.221416,1708819296
node_1,94.441206,1708819296
master,98.993646,1708819296
node_3,94.712812,1708819301
node_2,95.163966,1708819301
node_1,95.637894,1708819301
master,98.812048,1708819301
node_3,94.346062,1708819306
node_2,95.12296,1708819306
node_1,95.260524,1708819306
master,98.995014,1708819306
node_3,94.755888,1708819311
node_2,96.1177,1708819311
node_1,95.119938,1708819311
master,98.910588,1708819311
node_3,94.567024,1708819316
node_2,94.864958,1708819316
node_1,95.05964,1708819316
master,98.829412,1708819316
node_3,96.079238,1708819321
node_2,94.910246,1708819321
node_1,95.859038,1708819321
master,98.91064,1708819321
node_3,93.450018,1708819326
node_2,94.224728,1708819326
node_1,94.30917,1708819326
master,98.826022,1708819326
node_3,96.138044,1708819331
node_2,96.374012,1708819331
node_1,95.996562,1708819331
master,98.927732,1708819331
node_3,94.315122,1708819336
node_2,94.833042,1708819336
node_1,95.2539,1708819336
master,99.144564,1708819336
node_3,95.585932,1708819341
node_2,95.225492,1708819341
node_1,95.20678,1708819341
master,98.860676,1708819341
node_3,93.294998,1708819346
node_2,95.1305,1708819346
node_1,94.419804,1708819346
master,98.994382,1708819346
node_3,96.417268,1708819351
node_2,95.267588,1708819351
node_1,95.960444,1708819351
master,98.977618,1708819351
node_3,94.510064,1708819356
node_2,84.482026,1708819356
node_1,94.550542,1708819356
master,98.810384,1708819356
node_3,95.868218,1708819361
node_2,96.418036,1708819361
node_1,95.917462,1708819361
master,98.944636,1708819361
node_3,93.457808,1708819366
node_2,94.872582,1708819366
node_1,95.112798,1708819366
master,98.661014,1708819366
node_3,95.76934,1708819371
node_2,90.148722,1708819371
node_1,95.490572,1708819371
master,98.794122,1708819371
node_3,92.915566,1708819376
node_2,95.125854,1708819376
node_1,94.562088,1708819376
master,98.994566,1708819376
node_3,96.415882,1708819381
node_2,96.613154,1708819381
node_1,97.386148,1708819381
master,98.877986,1708819381
node_3,94.437696,1708819386
node_2,94.661948,1708819386
node_1,93.660368,1708819386
master,98.96143,1708819386
node_3,95.066386,1708819391
node_2,94.268642,1708819391
node_1,96.668544,1708819391
master,98.761572,1708819391
node_3,59.400668,1708819396
node_2,57.699892,1708819396
node_1,55.337608,1708819396
master,98.811444,1708819396
node_3,30.169224,1708819401
node_2,30.299644,1708819401
node_1,30.668308,1708819401
master,98.812106,1708819401
node_3,29.671998,1708819406
node_2,27.414086,1708819406
node_1,27.391398,1708819406
master,99.010964,1708819406
node_3,30.67102,1708819411
node_2,31.911792,1708819411
node_1,31.764482,1708819411
master,98.828548,1708819411
node_3,28.743998,1708819416
node_2,27.453964,1708819416
node_1,26.793826,1708819416
master,99.011272,1708819416
node_3,31.14515,1708819421
node_2,31.877158,1708819421
node_1,31.486682,1708819421
master,98.861234,1708819421
node_3,28.263934,1708819426
node_2,29.282344,1708819426
node_1,27.528794,1708819426
master,98.995808,1708819426
node_3,30.486132,1708819431
node_2,31.56509,1708819431
node_1,31.689882,1708819431
master,98.710902,1708819431
node_3,29.626434,1708819436
node_2,29.715244,1708819436
node_1,27.011152,1708819436
master,98.978588,1708819436
node_3,32.197962,1708819441
node_2,31.932994,1708819441
node_1,31.92694,1708819441
master,98.72876,1708819441
node_3,27.63361,1708819446
node_2,27.1811578,1708819446
node_1,25.891682,1708819446
master,98.7945,1708819446
node_3,31.233036,1708819451
node_2,31.77067,1708819451
node_1,31.246162,1708819451
master,98.99521,1708819451
node_3,27.315304,1708819456
node_2,28.444786,1708819456
node_1,28.227196,1708819456
master,98.777048,1708819456
node_3,32.216904,1708819461
node_2,31.2716,1708819461
node_1,31.032124,1708819461
master,98.643914,1708819461
node_3,28.349314,1708819466
node_2,27.662536,1708819466
node_1,26.467196,1708819466
master,99.027982,1708819466
node_3,31.765872,1708819471
node_2,31.830588,1708819471
node_1,31.766252,1708819471
master,98.927044,1708819471
node_3,28.159954,1708819476
node_2,26.9407946,1708819476
node_1,25.530794,1708819476
master,98.94503,1708819476
node_3,27.9352848,1708819481
node_2,31.392612,1708819481
node_1,31.450954,1708819481
master,98.55893,1708819481
node_3,17.9171766,1708819486
node_2,27.833882,1708819486
node_1,26.998798,1708819486
master,98.963432,1708819486
node_3,32.118094,1708819491
node_2,31.411458,1708819491
node_1,31.803768,1708819491
master,98.81132,1708819491
node_3,28.109234,1708819496
node_2,27.796816,1708819496
node_1,29.19477,1708819496
master,98.962098,1708819496
node_3,32.356462,1708819501
node_2,31.3901,1708819501
node_1,30.057014,1708819501
master,98.961398,1708819501
node_3,28.359572,1708819506
node_2,28.704798,1708819506
node_1,28.465372,1708819506
master,99.177572,1708819506
node_3,32.251876,1708819511
node_2,31.051838,1708819511
node_1,30.592744,1708819511
master,98.794362,1708819511
node_3,28.791438,1708819516
node_2,30.00554,1708819516
node_1,28.83697,1708819516
master,98.978196,1708819516
node_3,32.353212,1708819521
node_2,30.833254,1708819521
node_1,29.509986,1708819521
master,98.693016,1708819521
node_3,28.227756,1708819526
node_2,28.29068,1708819526
node_1,28.594646,1708819526
master,98.979332,1708819526
node_3,32.537216,1708819531
node_2,30.273828,1708819531
node_1,29.688994,1708819531
master,99.011232,1708819531
node_3,28.517558,1708819536
node_2,28.399908,1708819536
node_1,28.460224,1708819536
master,98.89524,1708819536
node_3,32.711732,1708819541
node_2,30.760318,1708819541
node_1,29.073578,1708819541
master,92.938912,1708819541
node_3,27.641938,1708819546
node_2,29.421708,1708819546
node_1,30.11766,1708819546
master,96.695392,1708819546
node_3,31.470692,1708819551
node_2,30.058998,1708819551
node_1,29.88261,1708819551
master,98.811348,1708819551
node_3,29.850458,1708819556
node_2,28.44469,1708819556
node_1,29.023658,1708819556
master,99.112044,1708819556
node_3,31.685028,1708819561
node_2,29.772374,1708819561
node_1,30.855974,1708819561
master,98.994578,1708819561
node_3,29.83617,1708819566
node_2,28.157126,1708819566
node_1,28.140232,1708819566
master,98.877706,1708819566
node_3,30.821344,1708819571
node_2,30.685054,1708819571
node_1,29.528734,1708819571
master,98.827638,1708819571
node_3,29.560366,1708819576
node_2,28.78305,1708819576
node_1,29.059722,1708819576
master,98.927072,1708819576
node_3,24.9588098,1708819581
node_2,30.783034,1708819581
node_1,29.174938,1708819581
master,98.694066,1708819581
node_3,30.07078,1708819586
node_2,28.63247,1708819586
node_1,28.331822,1708819586
master,98.675658,1708819586
node_3,30.427946,1708819591
node_2,30.373958,1708819591
node_1,30.184836,1708819591
master,99.111414,1708819591
