hostname,value,timestamp,chart_family
node_3,6.8,1705423321,mmcblk0
node_1,1,1705423321,mmcblk0
master,5.8,1705423321,nvme0n1
master,5.4,1705423321,ubuntu--vg-ubuntu--lv
node_2,8.6,1705423321,mmcblk0
node_3,21.6,1705423326,mmcblk0
node_1,17.4,1705423326,mmcblk0
master,11.8,1705423326,nvme0n1
master,11.8,1705423326,ubuntu--vg-ubuntu--lv
node_2,28.2,1705423326,mmcblk0
node_3,4.6,1705423331,mmcblk0
node_1,4.6,1705423331,mmcblk0
master,2.2,1705423331,nvme0n1
master,2.2,1705423331,ubuntu--vg-ubuntu--lv
node_2,0.8,1705423331,mmcblk0
node_3,5.8,1705423336,mmcblk0
node_1,0,1705423336,mmcblk0
master,2.2,1705423336,nvme0n1
master,2.2,1705423336,ubuntu--vg-ubuntu--lv
node_2,6,1705423336,mmcblk0
node_3,0.4,1705423341,mmcblk0
node_1,0.2,1705423341,mmcblk0
master,2.2,1705423341,nvme0n1
master,2.2,1705423341,ubuntu--vg-ubuntu--lv
node_2,0.8,1705423341,mmcblk0
node_3,2.6,1705423346,mmcblk0
node_1,0.2,1705423346,mmcblk0
master,2.8,1705423346,nvme0n1
master,2.8,1705423346,ubuntu--vg-ubuntu--lv
node_2,3,1705423346,mmcblk0
node_3,7.4,1705423351,mmcblk0
node_1,3,1705423351,mmcblk0
master,2.6,1705423351,nvme0n1
master,2.4,1705423351,ubuntu--vg-ubuntu--lv
node_2,4,1705423351,mmcblk0
node_3,0.2,1705423356,mmcblk0
node_1,0,1705423356,mmcblk0
master,2.4,1705423356,nvme0n1
master,2.4,1705423356,ubuntu--vg-ubuntu--lv
node_2,10,1705423356,mmcblk0
node_3,23.4,1705423361,mmcblk0
node_1,9.8,1705423361,mmcblk0
master,5,1705423361,nvme0n1
master,5,1705423361,ubuntu--vg-ubuntu--lv
node_2,29,1705423361,mmcblk0
node_3,1.6,1705423366,mmcblk0
node_1,5,1705423366,mmcblk0
master,10.4,1705423366,nvme0n1
master,10.6,1705423366,ubuntu--vg-ubuntu--lv
node_2,11.2,1705423366,mmcblk0
node_3,41.2,1705423371,mmcblk0
node_1,32.2,1705423371,mmcblk0
master,30,1705423371,nvme0n1
master,30,1705423371,ubuntu--vg-ubuntu--lv
node_2,45.6,1705423371,mmcblk0
node_3,73.4,1705423376,mmcblk0
node_1,48.8,1705423376,mmcblk0
master,48.6,1705423376,nvme0n1
master,48.6,1705423376,ubuntu--vg-ubuntu--lv
node_2,94,1705423376,mmcblk0
node_3,54.2,1705423381,mmcblk0
node_1,19.6,1705423381,mmcblk0
master,16,1705423381,nvme0n1
master,16,1705423381,ubuntu--vg-ubuntu--lv
node_2,40.8,1705423381,mmcblk0
node_3,5.4,1705423386,mmcblk0
node_1,8,1705423386,mmcblk0
master,2.6,1705423386,nvme0n1
master,2.6,1705423386,ubuntu--vg-ubuntu--lv
node_2,1.2,1705423386,mmcblk0
node_3,6.8,1705423391,mmcblk0
node_1,1.8,1705423391,mmcblk0
master,2.4,1705423391,nvme0n1
master,2.4,1705423391,ubuntu--vg-ubuntu--lv
node_2,0.6,1705423391,mmcblk0
node_3,3,1705423396,mmcblk0
node_1,0.4,1705423396,mmcblk0
master,2.4,1705423396,nvme0n1
master,2.4,1705423396,ubuntu--vg-ubuntu--lv
node_2,33.4,1705423396,mmcblk0
node_3,7.2,1705423401,mmcblk0
node_1,0,1705423401,mmcblk0
master,2.2,1705423401,nvme0n1
master,2.2,1705423401,ubuntu--vg-ubuntu--lv
node_2,5.2,1705423401,mmcblk0
node_3,1,1705423406,mmcblk0
node_1,0.4,1705423406,mmcblk0
master,3,1705423406,nvme0n1
master,3,1705423406,ubuntu--vg-ubuntu--lv
node_2,1.8,1705423406,mmcblk0
node_3,3.4,1705423411,mmcblk0
node_1,0.4,1705423411,mmcblk0
master,1.8,1705423411,nvme0n1
master,1.8,1705423411,ubuntu--vg-ubuntu--lv
node_2,1.6,1705423411,mmcblk0
node_3,0,1705423416,mmcblk0
node_1,2.6,1705423416,mmcblk0
master,2.8,1705423416,nvme0n1
master,2.8,1705423416,ubuntu--vg-ubuntu--lv
node_2,1,1705423416,mmcblk0
node_3,0,1705423421,mmcblk0
node_1,2,1705423421,mmcblk0
master,1.8,1705423421,nvme0n1
master,1.8,1705423421,ubuntu--vg-ubuntu--lv
node_2,0.2,1705423421,mmcblk0
node_3,0,1705423426,mmcblk0
node_1,6,1705423426,mmcblk0
master,2.6,1705423426,nvme0n1
master,2.6,1705423426,ubuntu--vg-ubuntu--lv
node_2,2.4,1705423426,mmcblk0
node_3,0,1705423431,mmcblk0
node_1,0,1705423431,mmcblk0
master,2.6,1705423431,nvme0n1
master,2.6,1705423431,ubuntu--vg-ubuntu--lv
node_2,0.4,1705423431,mmcblk0
node_3,0.2,1705423436,mmcblk0
node_1,0,1705423436,mmcblk0
master,3,1705423436,nvme0n1
master,3,1705423436,ubuntu--vg-ubuntu--lv
node_2,0.4,1705423436,mmcblk0
node_3,62.2,1705423441,mmcblk0
node_1,52.8,1705423441,mmcblk0
master,25.8,1705423441,nvme0n1
master,25.8,1705423441,ubuntu--vg-ubuntu--lv
node_2,61.2,1705423441,mmcblk0
node_3,69.8,1705423446,mmcblk0
node_1,50,1705423446,mmcblk0
master,26.4,1705423446,nvme0n1
master,26.4,1705423446,ubuntu--vg-ubuntu--lv
node_2,94.2,1705423446,mmcblk0
node_3,29.6,1705423451,mmcblk0
node_1,13.2,1705423451,mmcblk0
master,22.6,1705423451,nvme0n1
master,22.6,1705423451,ubuntu--vg-ubuntu--lv
node_2,18.4,1705423451,mmcblk0
node_3,14.4,1705423456,mmcblk0
node_1,0,1705423456,mmcblk0
master,1.6,1705423456,nvme0n1
master,1.6,1705423456,ubuntu--vg-ubuntu--lv
node_2,40.8,1705423456,mmcblk0
node_3,0,1705423461,mmcblk0
node_1,0,1705423461,mmcblk0
master,3.2,1705423461,nvme0n1
master,3.2,1705423461,ubuntu--vg-ubuntu--lv
node_2,14,1705423461,mmcblk0
node_3,14.4,1705423466,mmcblk0
node_1,1,1705423466,mmcblk0
master,2.2,1705423466,nvme0n1
master,2.2,1705423466,ubuntu--vg-ubuntu--lv
node_2,0,1705423466,mmcblk0
node_3,2.8,1705423471,mmcblk0
node_1,0,1705423471,mmcblk0
master,10.4,1705423471,nvme0n1
master,10.4,1705423471,ubuntu--vg-ubuntu--lv
node_2,17.6,1705423471,mmcblk0
node_3,0,1705423476,mmcblk0
node_1,17.2,1705423476,mmcblk0
master,2,1705423476,nvme0n1
master,2,1705423476,ubuntu--vg-ubuntu--lv
node_2,0.4,1705423476,mmcblk0
node_3,0,1705423481,mmcblk0
node_1,11.8,1705423481,mmcblk0
master,7.6,1705423481,nvme0n1
master,7.6,1705423481,ubuntu--vg-ubuntu--lv
node_2,1.2,1705423481,mmcblk0
node_3,18.2,1705423486,mmcblk0
node_1,13,1705423486,mmcblk0
master,9.2,1705423486,nvme0n1
master,9.2,1705423486,ubuntu--vg-ubuntu--lv
node_2,25,1705423486,mmcblk0
node_3,1.2,1705423491,mmcblk0
node_1,0.2,1705423491,mmcblk0
master,5.6,1705423491,nvme0n1
master,5.6,1705423491,ubuntu--vg-ubuntu--lv
node_2,2,1705423491,mmcblk0
node_3,8,1705423496,mmcblk0
node_1,0.2,1705423496,mmcblk0
master,2.6,1705423496,nvme0n1
master,2.6,1705423496,ubuntu--vg-ubuntu--lv
node_2,0.8,1705423496,mmcblk0
node_3,7,1705423501,mmcblk0
node_1,0.2,1705423501,mmcblk0
master,2.8,1705423501,nvme0n1
master,2.8,1705423501,ubuntu--vg-ubuntu--lv
node_2,10.2,1705423501,mmcblk0
node_3,5.4,1705423506,mmcblk0
node_1,13.4,1705423506,mmcblk0
master,2.2,1705423506,nvme0n1
master,2.2,1705423506,ubuntu--vg-ubuntu--lv
node_2,14,1705423506,mmcblk0
node_3,14.4,1705423511,mmcblk0
node_1,0.2,1705423511,mmcblk0
master,2.2,1705423511,nvme0n1
master,2.2,1705423511,ubuntu--vg-ubuntu--lv
node_2,0,1705423511,mmcblk0
node_3,0.6,1705423516,mmcblk0
node_1,12.4,1705423516,mmcblk0
master,2.4,1705423516,nvme0n1
master,2.4,1705423516,ubuntu--vg-ubuntu--lv
node_2,9.4,1705423516,mmcblk0
node_3,0.2,1705423521,mmcblk0
node_1,0.4,1705423521,mmcblk0
master,3,1705423521,nvme0n1
master,3,1705423521,ubuntu--vg-ubuntu--lv
node_2,3.2,1705423521,mmcblk0
node_3,29.2,1705423526,mmcblk0
node_1,9.6,1705423526,mmcblk0
master,11.2,1705423526,nvme0n1
master,11.4,1705423526,ubuntu--vg-ubuntu--lv
node_2,33,1705423526,mmcblk0
node_1,2.6,1705423531,mmcblk0
node_3,4.8,1705423531,mmcblk0
master,3.4,1705423531,nvme0n1
master,3.4,1705423531,ubuntu--vg-ubuntu--lv
node_2,6.4,1705423531,mmcblk0
node_3,61.8,1705423536,mmcblk0
node_1,52,1705423536,mmcblk0
master,41,1705423536,nvme0n1
master,41,1705423536,ubuntu--vg-ubuntu--lv
node_2,67.4,1705423536,mmcblk0
node_3,50.2,1705423541,mmcblk0
node_1,41,1705423541,mmcblk0
master,45.6,1705423541,nvme0n1
master,45.6,1705423541,ubuntu--vg-ubuntu--lv
node_2,96.8,1705423541,mmcblk0
node_3,27.8,1705423546,mmcblk0
node_1,5.8,1705423546,mmcblk0
master,9.2,1705423546,nvme0n1
master,9.2,1705423546,ubuntu--vg-ubuntu--lv
node_2,55.8,1705423546,mmcblk0
node_3,8,1705423551,mmcblk0
node_1,0.2,1705423551,mmcblk0
master,2.4,1705423551,nvme0n1
master,2.4,1705423551,ubuntu--vg-ubuntu--lv
node_2,8.4,1705423551,mmcblk0
node_3,0,1705423556,mmcblk0
node_1,10.4,1705423556,mmcblk0
master,2.4,1705423556,nvme0n1
master,2.4,1705423556,ubuntu--vg-ubuntu--lv
node_2,1.6,1705423556,mmcblk0
node_3,0,1705423561,mmcblk0
node_1,0,1705423561,mmcblk0
master,2.8,1705423561,nvme0n1
master,2.8,1705423561,ubuntu--vg-ubuntu--lv
node_2,20,1705423561,mmcblk0
node_3,9.4,1705423566,mmcblk0
node_1,0.8,1705423566,mmcblk0
master,2.4,1705423566,nvme0n1
master,2.4,1705423566,ubuntu--vg-ubuntu--lv
node_2,3.4,1705423566,mmcblk0
node_3,38.4,1705423571,mmcblk0
node_1,11.6,1705423571,mmcblk0
master,3,1705423571,nvme0n1
master,3,1705423571,ubuntu--vg-ubuntu--lv
node_2,9.6,1705423571,mmcblk0
node_3,3.6,1705423576,mmcblk0
node_1,3.8,1705423576,mmcblk0
master,2.4,1705423576,nvme0n1
master,2.4,1705423576,ubuntu--vg-ubuntu--lv
node_2,0.8,1705423576,mmcblk0
node_3,1,1705423581,mmcblk0
node_1,0,1705423581,mmcblk0
