hostname,value,timestamp
master,96.128726,1705388536
node_1,96.734642,1705388536
node_3,89.802456,1705388536
node_2,97.13786,1705388536
master,98.027988,1705388541
node_1,96.51997,1705388541
node_2,96.125918,1705388541
node_3,93.95306,1705388541
master,98.183408,1705388546
node_1,97.02503,1705388546
node_3,96.385082,1705388546
node_2,97.043444,1705388546
master,98.212382,1705388551
node_1,96.328902,1705388551
node_3,95.677238,1705388551
node_2,95.688576,1705388551
master,98.213714,1705388556
node_1,97.080318,1705388556
node_3,88.487352,1705388556
node_2,97.13503,1705388556
master,98.11426,1705388561
node_1,96.439308,1705388561
node_3,95.481018,1705388561
node_2,95.822546,1705388561
master,97.584364,1705388566
node_1,83.741954,1705388566
node_3,87.682738,1705388566
node_2,81.196304,1705388566
master,98.298242,1705388571
node_1,95.01773,1705388571
node_3,95.677466,1705388571
node_2,95.321508,1705388571
master,98.231708,1705388576
node_1,96.825224,1705388576
node_3,96.983496,1705388576
node_2,96.05152,1705388576
master,98.366372,1705388581
node_1,96.265126,1705388581
node_3,95.627302,1705388581
node_2,93.825056,1705388581
master,98.032834,1705388586
node_1,96.980876,1705388586
node_3,95.778316,1705388586
node_2,96.777684,1705388586
master,98.200292,1705388591
node_1,95.71576,1705388591
node_3,96.284024,1705388591
node_2,95.62687,1705388591
master,98.194042,1705388596
node_1,95.529002,1705388596
node_3,95.817956,1705388596
node_2,96.030978,1705388596
master,98.099062,1705388601
node_1,96.225312,1705388601
node_2,95.082028,1705388601
node_3,96.481878,1705388601
master,97.758032,1705388606
node_1,86.16071,1705388606
node_3,89.033996,1705388606
node_2,80.537044,1705388606
master,97.960162,1705388611
node_1,95.875008,1705388611
node_3,95.824212,1705388611
node_2,95.625102,1705388611
master,98.162008,1705388616
node_1,96.218764,1705388616
node_3,96.936164,1705388616
node_2,96.434382,1705388616
master,98.297568,1705388621
node_1,97.02498,1705388621
node_3,95.77294,1705388621
node_2,95.581892,1705388621
master,98.216332,1705388626
node_1,97.031616,1705388626
node_3,95.202982,1705388626
node_2,97.185368,1705388626
master,97.64071,1705388631
node_1,96.110718,1705388631
node_3,95.679818,1705388631
node_2,93.943304,1705388631
master,98.249718,1705388636
node_1,96.773376,1705388636
node_3,96.579052,1705388636
node_2,94.515642,1705388636
master,98.22982,1705388641
node_1,96.172908,1705388641
node_3,95.969382,1705388641
node_2,96.116288,1705388641
master,98.281662,1705388646
node_1,96.977894,1705388646
node_3,96.327336,1705388646
node_2,93.32179,1705388646
master,97.928684,1705388651
node_1,95.78516,1705388651
node_3,96.03147,1705388651
node_2,89.677278,1705388651
master,98.315744,1705388656
node_1,95.468048,1705388656
node_3,96.737798,1705388656
node_2,94.968878,1705388656
master,98.533758,1705388661
node_1,96.217916,1705388661
node_3,96.625942,1705388661
node_2,94.880654,1705388661
master,98.163544,1705388666
node_1,96.61899,1705388666
node_2,86.998968,1705388666
node_3,96.585432,1705388666
master,98.146414,1705388671
node_1,96.219242,1705388671
node_3,96.42575,1705388671
node_2,94.314074,1705388671
master,97.120418,1705388676
node_1,90.542724,1705388676
node_3,81.459232,1705388676
node_2,78.56995,1705388676
master,97.997506,1705388681
node_1,94.450834,1705388681
node_3,94.349468,1705388681
node_2,94.859108,1705388681
master,98.34814,1705388686
node_1,96.526366,1705388686
node_3,96.73023,1705388686
node_2,96.43211,1705388686
master,98.128298,1705388691
node_1,96.167542,1705388691
node_3,94.973014,1705388691
node_2,92.27859,1705388691
master,98.31673,1705388696
node_1,96.985384,1705388696
node_3,96.881132,1705388696
node_2,96.53442,1705388696
master,98.213714,1705388701
node_1,95.472138,1705388701
node_3,96.07922,1705388701
node_2,94.553292,1705388701
master,98.065628,1705388706
node_1,97.017468,1705388706
node_3,96.388518,1705388706
node_2,96.68225,1705388706
master,98.1801,1705388711
node_1,95.975342,1705388711
node_3,96.368102,1705388711
node_2,94.970364,1705388711
master,97.808922,1705388716
node_1,91.130046,1705388716
node_3,84.678562,1705388716
node_2,78.16683,1705388716
master,98.095358,1705388721
node_1,94.928948,1705388721
node_3,95.712518,1705388721
node_2,95.519868,1705388721
master,97.982024,1705388726
node_1,96.679788,1705388726
node_3,95.934306,1705388726
node_2,95.776466,1705388726
master,98.178632,1705388731
node_1,96.57631,1705388731
node_3,96.379972,1705388731
node_2,96.322192,1705388731
master,97.891174,1705388736
node_1,96.943034,1705388736
node_3,96.938748,1705388736
node_2,96.879704,1705388736
master,98.077498,1705388741
node_1,95.912462,1705388741
node_3,96.119232,1705388741
node_2,95.51952,1705388741
master,98.130414,1705388746
node_1,97.079306,1705388746
node_3,94.791182,1705388746
node_2,96.34633,1705388746
master,97.977398,1705388751
node_1,95.728284,1705388751
node_3,95.719618,1705388751
node_2,92.577396,1705388751
