time="2024-03-08T11:56:10.277" level=info msg="Starting kbench..."
time="2024-03-08T11:56:10.279" level=info msg="Created a new Pod manager."
time="2024-03-08T11:56:10.288" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-08T11:56:10.288" level=info msg="Performing pod actions in operation 0"
time="2024-03-08T11:56:10.288" level=info msg="Waiting all threads to finish on the current operation"
time="2024-03-08T11:56:10.308" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-08T11:56:10.314" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-08T11:56:10.314" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-08T11:57:50.314" level=info msg="One operation completed. Continue to run the next..."
time="2024-03-08T11:57:50.437" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:57:50.437" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:57:50.437" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:57:53.552" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:57:53.552" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:57:53.552" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:57:56.663" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:57:56.663" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:57:56.663" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:57:59.776" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:57:59.776" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:57:59.776" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
