hostname,value,timestamp
node_2,84.224936,1705573051
master,97.109506,1705573051
node_3,90.710994,1705573051
node_1,90.106886,1705573051
node_2,96.474506,1705573056
master,98.23209,1705573056
node_3,95.919614,1705573056
node_1,96.734002,1705573056
node_2,96.284624,1705573061
master,98.364794,1705573061
node_3,96.222106,1705573061
node_1,96.63505,1705573061
node_2,96.82835,1705573066
master,98.16403,1705573066
node_3,97.132226,1705573066
node_1,97.026612,1705573066
node_2,96.733258,1705573071
master,98.149652,1705573071
node_3,96.723518,1705573071
node_1,96.278176,1705573071
node_2,96.117416,1705573076
master,98.149484,1705573076
node_3,97.185794,1705573076
node_1,97.119008,1705573076
node_2,95.683016,1705573081
master,98.316952,1705573081
node_3,95.412486,1705573081
node_1,96.433494,1705573081
node_2,96.331892,1705573086
master,98.033582,1705573086
node_3,97.128322,1705573086
node_1,96.791744,1705573086
node_2,96.880732,1705573091
master,98.348032,1705573091
node_3,96.421764,1705573091
node_1,95.602592,1705573091
node_2,96.837254,1705573096
master,98.382592,1705573096
node_3,96.986432,1705573096
node_1,96.776608,1705573096
node_2,96.78669,1705573101
master,97.996162,1705573101
node_3,96.922036,1705573101
node_1,96.59108,1705573101
node_2,96.383268,1705573106
master,98.247296,1705573106
node_3,97.023806,1705573106
node_1,96.731092,1705573106
node_2,96.871826,1705573111
master,98.217494,1705573111
node_3,96.27302,1705573111
node_1,96.278946,1705573111
node_2,95.874706,1705573116
master,98.029052,1705573116
node_3,97.378004,1705573116
node_1,96.930346,1705573116
node_2,95.49031,1705573121
master,98.248378,1705573121
node_3,95.654,1705573121
node_1,94.976386,1705573121
node_2,95.82699,1705573126
master,98.063928,1705573126
node_3,97.082564,1705573126
node_1,96.834012,1705573126
node_2,96.784008,1705573131
master,98.248068,1705573131
node_3,96.523146,1705573131
node_1,96.688152,1705573131
node_2,96.726268,1705573136
master,98.16526,1705573136
node_3,97.244118,1705573136
node_1,97.38866,1705573136
node_2,96.931594,1705573141
master,98.20034,1705573141
node_3,95.117994,1705573141
node_1,95.678504,1705573141
node_2,96.236908,1705573146
master,98.06495,1705573146
node_3,96.622836,1705573146
node_1,96.332894,1705573146
node_2,96.885294,1705573151
master,98.231678,1705573151
node_3,96.86515,1705573151
node_1,95.89332,1705573151
node_2,96.780474,1705573156
master,98.345296,1705573156
node_3,96.783262,1705573156
node_1,97.134034,1705573156
node_2,96.980174,1705573161
master,98.14776,1705573161
node_3,96.77823,1705573161
node_1,96.684152,1705573161
node_2,96.529576,1705573166
master,97.933688,1705573166
node_3,97.129442,1705573166
node_1,96.634474,1705573166
node_2,96.7383,1705573171
master,98.247036,1705573171
node_3,96.431714,1705573171
node_1,96.38094,1705573171
node_2,96.628082,1705573176
master,98.149948,1705573176
node_3,97.337138,1705573176
node_1,96.92653,1705573176
node_2,96.167996,1705573181
master,98.296992,1705573181
node_3,96.105028,1705573181
node_1,96.53602,1705573181
node_2,96.388458,1705573186
master,98.316074,1705573186
node_3,96.888774,1705573186
node_1,96.401066,1705573186
node_2,96.880958,1705573191
master,98.182654,1705573191
node_3,96.62999,1705573191
node_1,96.396074,1705573191
node_2,96.589828,1705573196
master,98.182318,1705573196
node_3,97.275118,1705573196
node_1,96.72644,1705573196
node_2,96.832008,1705573201
master,98.130866,1705573201
node_3,96.830398,1705573201
node_1,96.634836,1705573201
node_2,96.778332,1705573206
master,98.249254,1705573206
node_3,96.828686,1705573206
node_1,96.875792,1705573206
node_2,96.344364,1705573211
master,98.164976,1705573211
node_3,96.830408,1705573211
node_1,96.287176,1705573211
node_2,97.337138,1705573216
master,98.116262,1705573216
node_3,96.989196,1705573216
node_1,96.83439,1705573216
node_2,96.980468,1705573221
master,97.879876,1705573221
node_3,96.73351,1705573221
node_1,96.438806,1705573221
node_2,96.524388,1705573226
master,98.284764,1705573226
node_3,97.133614,1705573226
node_1,96.784888,1705573226
node_2,96.845456,1705573231
master,98.20029,1705573231
node_3,96.320356,1705573231
node_1,96.636174,1705573231
node_2,96.38467,1705573236
master,98.314738,1705573236
node_3,97.526768,1705573236
