hostname,value,timestamp
node_3,367.70466,1705583736
master,1050.89688,1705583736
node_2,374.4789,1705583736
node_1,364.10624,1705583736
node_3,368.1398,1705583741
master,1053.51798,1705583741
node_2,374.4461,1705583741
node_1,363.96488,1705583741
node_3,368.2906,1705583746
node_2,374.07578,1705583746
master,1054.07266,1705583746
node_1,363.9641,1705583746
node_3,368.62972,1705583751
master,1054.23514,1705583751
node_2,374.40936,1705583751
node_1,363.64376,1705583751
node_3,369.2414,1705583756
node_2,374.60234,1705583756
master,1054.35622,1705583756
node_1,363.96094,1705583756
node_3,369.0828,1705583761
master,1054.41092,1705583761
node_2,374.64218,1705583761
node_1,364.12186,1705583761
node_3,368.58206,1705583766
master,1054.74766,1705583766
node_2,374.96094,1705583766
node_1,364.09376,1705583766
node_3,368.23906,1705583771
master,1054.7539,1705583771
node_2,374.96486,1705583771
node_1,364.38748,1705583771
node_3,368.12656,1705583776
master,1054.55076,1705583776
node_2,375.27892,1705583776
node_1,364.67656,1705583776
node_3,367.86562,1705583781
master,1054.50312,1705583781
node_2,374.6586,1705583781
node_1,365.06406,1705583781
node_3,367.49062,1705583786
master,1054.55154,1705583786
node_2,374.69376,1705583786
node_1,365.42188,1705583786
node_3,366.682,1705583791
master,1054.69842,1705583791
node_2,373.06718,1705583791
node_1,365.71252,1705583791
node_3,365.70234,1705583796
master,1051.0969,1705583796
node_2,370.80702,1705583796
node_1,365.53986,1705583796
node_3,364.38436,1705583801
node_2,367.42656,1705583801
master,1050.8031,1705583801
node_1,363.25704,1705583801
node_3,362.3312,1705583806
master,1046.75544,1705583806
node_2,363.98828,1705583806
node_1,360.43046,1705583806
node_3,362.5578,1705583811
node_2,364.19766,1705583811
master,1045.84218,1705583811
node_1,360.30936,1705583811
node_3,362.76718,1705583816
master,1045.85628,1705583816
node_2,363.66016,1705583816
node_1,360.23048,1705583816
node_3,362.94608,1705583821
master,1045.7016,1705583821
node_2,363.62266,1705583821
node_1,360.61796,1705583821
node_3,363.1758,1705583826
master,1045.58362,1705583826
node_2,363.17734,1705583826
node_1,360.91326,1705583826
node_3,363.44924,1705583831
node_2,363.36796,1705583831
master,1045.94924,1705583831
node_1,360.96876,1705583831
node_3,363.20236,1705583836
master,1045.82424,1705583836
node_2,363.1922,1705583836
node_1,360.5758,1705583836
node_3,362.43282,1705583841
master,1045.89064,1705583841
node_2,363.0289,1705583841
node_1,360.50392,1705583841
node_3,362.43752,1705583846
master,1045.86014,1705583846
node_2,362.70002,1705583846
node_1,360.49376,1705583846
node_3,362.2461,1705583851
node_2,362.61954,1705583851
master,1045.59062,1705583851
node_1,360.4742,1705583851
node_3,361.77814,1705583856
master,1045.47422,1705583856
node_2,362.4742,1705583856
node_1,360.69062,1705583856
node_3,361.72032,1705583861
master,1045.4336,1705583861
node_2,362.4453,1705583861
node_1,360.9125,1705583861
node_3,361.71796,1705583866
master,1045.40002,1705583866
node_2,362.24452,1705583866
