4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1712.81          ---          ---        10.61406         9.59900        21.88700        41.21500       131.95 
Gets        17126.36         3.67     17122.70        10.60593         9.59900        21.75900        40.95900       667.24 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      18839.18         3.67     17122.70        10.60667         9.59900        21.75900        40.95900       799.19 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.463        0.000
SET       8.639        5.000
SET       9.023       10.000
SET       9.151       15.000
SET       9.279       20.000
SET       9.343       25.000
SET       9.407       30.000
SET       9.471       35.000
SET       9.535       40.000
SET       9.599       45.000
SET       9.599       50.000
SET       9.663       52.500
SET       9.663       55.000
SET       9.727       57.500
SET       9.727       60.000
SET       9.791       62.500
SET       9.791       65.000
SET       9.855       67.500
SET       9.919       70.000
SET       9.919       72.500
SET      10.047       75.000
SET      10.047       76.250
SET      10.111       77.500
SET      10.239       78.750
SET      10.367       80.000
SET      10.495       81.250
SET      10.815       82.500
SET      11.135       83.750
SET      11.519       85.000
SET      11.967       86.250
SET      12.351       87.500
SET      12.543       88.125
SET      12.863       88.750
SET      13.375       89.375
SET      14.399       90.000
SET      15.935       90.625
SET      16.895       91.250
SET      17.535       91.875
SET      17.791       92.500
SET      18.175       93.125
SET      18.431       93.750
SET      18.431       94.062
SET      18.559       94.375
SET      18.687       94.688
SET      18.815       95.000
SET      18.815       95.312
SET      18.943       95.625
SET      19.071       95.938
SET      19.071       96.250
SET      19.199       96.562
SET      19.327       96.875
SET      19.327       97.031
SET      19.455       97.188
SET      19.455       97.344
SET      19.455       97.500
SET      19.583       97.656
SET      19.583       97.812
SET      19.711       97.969
SET      19.839       98.125
SET      19.839       98.281
SET      19.967       98.438
SET      20.095       98.516
SET      20.223       98.594
SET      20.351       98.672
SET      20.607       98.750
SET      20.863       98.828
SET      21.247       98.906
SET      21.759       98.984
SET      22.271       99.062
SET      22.911       99.141
SET      23.807       99.219
SET      24.191       99.258
SET      24.575       99.297
SET      24.959       99.336
SET      25.471       99.375
SET      25.983       99.414
SET      26.623       99.453
SET      27.263       99.492
SET      28.159       99.531
SET      29.055       99.570
SET      29.951       99.609
SET      30.463       99.629
SET      31.103       99.648
SET      31.743       99.668
SET      32.255       99.688
SET      33.023       99.707
SET      33.791       99.727
SET      34.303       99.746
SET      35.071       99.766
SET      35.839       99.785
SET      36.351       99.805
SET      36.863       99.814
SET      37.119       99.824
SET      37.631       99.834
SET      38.143       99.844
SET      38.399       99.854
SET      39.167       99.863
SET      39.423       99.873
SET      39.935       99.883
SET      40.703       99.893
SET      41.215       99.902
SET      41.471       99.907
SET      41.983       99.912
SET      42.239       99.917
