4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1154.19          ---          ---        15.73892        13.31100        47.10300        75.77500        88.92 
Gets        11540.30         3.67     11536.63        15.73759        13.31100        47.10300        76.28700       449.65 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      12694.49         3.67     11536.63        15.73771        13.31100        47.10300        76.28700       538.56 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.703        0.000
SET      11.007        5.000
SET      11.455       10.000
SET      11.775       15.000
SET      12.159       20.000
SET      12.415       25.000
SET      12.671       30.000
SET      12.863       35.000
SET      12.991       40.000
SET      13.119       45.000
SET      13.311       50.000
SET      13.375       52.500
SET      13.439       55.000
SET      13.503       57.500
SET      13.567       60.000
SET      13.695       62.500
SET      13.759       65.000
SET      13.887       67.500
SET      14.015       70.000
SET      14.271       72.500
SET      14.783       75.000
SET      15.231       76.250
SET      15.743       77.500
SET      16.383       78.750
SET      17.151       80.000
SET      18.303       81.250
SET      19.967       82.500
SET      21.631       83.750
SET      22.783       85.000
SET      23.935       86.250
SET      24.831       87.500
SET      25.215       88.125
SET      25.471       88.750
SET      25.855       89.375
SET      25.983       90.000
SET      26.239       90.625
SET      26.495       91.250
SET      26.623       91.875
SET      26.879       92.500
SET      27.007       93.125
SET      27.263       93.750
SET      27.391       94.062
SET      27.519       94.375
SET      27.647       94.688
SET      27.775       95.000
SET      28.031       95.312
SET      28.287       95.625
SET      28.543       95.938
SET      29.183       96.250
SET      29.951       96.562
SET      30.847       96.875
SET      31.487       97.031
SET      32.127       97.188
SET      32.767       97.344
SET      33.535       97.500
SET      34.303       97.656
SET      35.071       97.812
SET      36.095       97.969
SET      37.119       98.125
SET      38.399       98.281
SET      39.935       98.438
SET      40.703       98.516
SET      41.727       98.594
SET      42.751       98.672
SET      43.519       98.750
SET      44.543       98.828
SET      45.823       98.906
SET      46.847       98.984
SET      47.871       99.062
SET      49.151       99.141
SET      50.175       99.219
SET      50.687       99.258
SET      51.199       99.297
SET      51.711       99.336
SET      52.223       99.375
SET      52.479       99.414
SET      52.991       99.453
SET      53.503       99.492
SET      54.015       99.531
SET      54.527       99.570
SET      55.295       99.609
SET      55.807       99.629
SET      56.319       99.648
SET      56.831       99.668
SET      57.599       99.688
SET      58.623       99.707
SET      59.647       99.727
SET      60.671       99.746
SET      61.951       99.766
SET      63.231       99.785
SET      64.767       99.805
SET      66.047       99.814
SET      66.559       99.824
SET      67.583       99.834
SET      68.607       99.844
SET      69.631       99.854
SET      70.655       99.863
SET      72.191       99.873
SET      73.215       99.883
SET      74.751       99.893
SET      76.287       99.902
SET      77.311       99.907
SET      78.335       99.912
SET      79.359       99.917
SET      80.383       99.922
SET      81.919       99.927
SET      82.431       99.932
SET      83.967       99.937
SET      85.503       99.941
SET      86.527       99.946
SET      88.063       99.951
SET      89.599       99.954
SET      90.623       99.956
SET      91.135       99.958
SET      92.159       99.961
SET      93.183       99.963
SET      94.719       99.966
SET      96.255       99.968
SET      97.791       99.971
SET      99.327       99.973
SET     100.351       99.976
SET     101.375       99.977
SET     102.399       99.978
SET     103.935       99.979
SET     104.447       99.980
SET     104.959       99.982
SET     106.495       99.983
SET     107.007       99.984
SET     108.031       99.985
SET     110.079       99.987
SET     111.615       99.988
SET     111.615       99.988
SET     112.127       99.989
SET     113.151       99.990
SET     114.687       99.990
SET     115.711       99.991
SET     116.735       99.991
SET     118.783       99.992
SET     119.807       99.993
SET     120.831       99.993
SET     121.343       99.994
SET     123.391       99.994
SET     124.927       99.995
SET     125.439       99.995
SET     126.975       99.995
SET     129.535       99.995
SET     130.559       99.996
SET     132.095       99.996
SET     134.143       99.996
SET     135.167       99.997
SET     136.191       99.997
SET     136.191       99.997
SET     136.191       99.997
SET     143.359       99.997
SET     144.383       99.998
SET     144.383       99.998
SET     146.431       99.998
SET     147.455       99.998
SET     149.503       99.998
SET     150.527       99.998
SET     152.575       99.998
SET     152.575       99.999
SET     155.647       99.999
SET     157.695       99.999
