hostname,value,timestamp,chart_family
node_3,11,1709891776,mmcblk0
node_1,5.4,1709891776,mmcblk0
master,7.2,1709891776,nvme0n1
master,7.2,1709891776,ubuntu--vg-ubuntu--lv
node_2,9,1709891776,mmcblk0
node_3,0.6,1709891781,mmcblk0
node_1,2.2,1709891781,mmcblk0
master,4.2,1709891781,nvme0n1
master,4.2,1709891781,ubuntu--vg-ubuntu--lv
node_2,4.6,1709891781,mmcblk0
node_3,10.4,1709891786,mmcblk0
node_1,1.6,1709891786,mmcblk0
master,2.8,1709891786,nvme0n1
master,2.8,1709891786,ubuntu--vg-ubuntu--lv
node_2,7.6,1709891786,mmcblk0
node_3,0.2,1709891791,mmcblk0
node_1,1.2,1709891791,mmcblk0
master,4.2,1709891791,nvme0n1
master,4.2,1709891791,ubuntu--vg-ubuntu--lv
node_2,6,1709891791,mmcblk0
node_3,0,1709891796,mmcblk0
node_1,0.2,1709891796,mmcblk0
master,2.6,1709891796,nvme0n1
master,2.6,1709891796,ubuntu--vg-ubuntu--lv
node_2,1.6,1709891796,mmcblk0
node_3,12.4,1709891801,mmcblk0
node_1,7,1709891801,mmcblk0
master,4.2,1709891801,nvme0n1
master,4.2,1709891801,ubuntu--vg-ubuntu--lv
node_2,13.6,1709891801,mmcblk0
node_3,0.2,1709891806,mmcblk0
node_1,0.2,1709891806,mmcblk0
master,2.8,1709891806,nvme0n1
master,2.8,1709891806,ubuntu--vg-ubuntu--lv
node_2,2.6,1709891806,mmcblk0
node_3,0,1709891811,mmcblk0
node_1,0,1709891811,mmcblk0
master,3.6,1709891811,nvme0n1
master,3.6,1709891811,ubuntu--vg-ubuntu--lv
node_2,0.6,1709891811,mmcblk0
node_3,1,1709891816,mmcblk0
node_1,0.2,1709891816,mmcblk0
master,2.6,1709891816,nvme0n1
master,2.6,1709891816,ubuntu--vg-ubuntu--lv
node_2,0.8,1709891816,mmcblk0
node_3,1.2,1709891821,mmcblk0
node_1,0.4,1709891821,mmcblk0
master,4,1709891821,nvme0n1
master,4,1709891821,ubuntu--vg-ubuntu--lv
node_2,1.2,1709891821,mmcblk0
node_3,0,1709891826,mmcblk0
node_1,0,1709891826,mmcblk0
master,2.4,1709891826,nvme0n1
master,2.4,1709891826,ubuntu--vg-ubuntu--lv
node_2,0.6,1709891826,mmcblk0
node_3,0,1709891831,mmcblk0
node_1,0,1709891831,mmcblk0
master,3.8,1709891831,nvme0n1
master,3.8,1709891831,ubuntu--vg-ubuntu--lv
node_2,0.8,1709891831,mmcblk0
node_3,3.2,1709891836,mmcblk0
node_1,1.8,1709891836,mmcblk0
master,2.6,1709891836,nvme0n1
master,2.6,1709891836,ubuntu--vg-ubuntu--lv
node_2,5,1709891836,mmcblk0
node_3,0,1709891841,mmcblk0
node_1,0.4,1709891841,mmcblk0
master,4.4,1709891841,nvme0n1
master,4.4,1709891841,ubuntu--vg-ubuntu--lv
node_2,2.2,1709891841,mmcblk0
node_3,2.6,1709891846,mmcblk0
node_1,2.2,1709891846,mmcblk0
master,2.6,1709891846,nvme0n1
master,2.6,1709891846,ubuntu--vg-ubuntu--lv
node_2,3,1709891846,mmcblk0
node_3,1.6,1709891851,mmcblk0
node_1,0,1709891851,mmcblk0
master,4.2,1709891851,nvme0n1
master,4.2,1709891851,ubuntu--vg-ubuntu--lv
node_2,3.2,1709891851,mmcblk0
node_3,0.2,1709891856,mmcblk0
node_1,0.2,1709891856,mmcblk0
master,2.4,1709891856,nvme0n1
master,2.4,1709891856,ubuntu--vg-ubuntu--lv
node_2,1,1709891856,mmcblk0
node_3,1,1709891861,mmcblk0
node_1,0,1709891861,mmcblk0
master,4,1709891861,nvme0n1
master,4,1709891861,ubuntu--vg-ubuntu--lv
node_2,1,1709891861,mmcblk0
node_3,0.2,1709891866,mmcblk0
node_1,0.2,1709891866,mmcblk0
master,2.2,1709891866,nvme0n1
master,2.2,1709891866,ubuntu--vg-ubuntu--lv
node_2,0.4,1709891866,mmcblk0
node_3,0.4,1709891871,mmcblk0
node_1,0,1709891871,mmcblk0
master,4.8,1709891871,nvme0n1
master,4.8,1709891871,ubuntu--vg-ubuntu--lv
node_2,0.8,1709891871,mmcblk0
node_3,0,1709891876,mmcblk0
node_1,0.4,1709891876,mmcblk0
master,2.2,1709891876,nvme0n1
master,2.2,1709891876,ubuntu--vg-ubuntu--lv
node_2,2.8,1709891876,mmcblk0
node_3,0.2,1709891881,mmcblk0
node_1,0,1709891881,mmcblk0
master,4.2,1709891881,nvme0n1
master,4.2,1709891881,ubuntu--vg-ubuntu--lv
node_2,1.8,1709891881,mmcblk0
node_3,0,1709891886,mmcblk0
