4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1323.07          ---          ---        13.73402        12.47900        31.87100        56.83100       101.93 
Gets        13228.98         4.67     13224.31        13.73060        12.47900        31.87100        56.31900       515.46 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14552.05         4.67     13224.31        13.73091        12.47900        31.87100        56.31900       617.38 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.031        0.000
SET      10.687        5.000
SET      11.071       10.000
SET      11.327       15.000
SET      11.455       20.000
SET      11.583       25.000
SET      11.775       30.000
SET      11.967       35.000
SET      12.159       40.000
SET      12.351       45.000
SET      12.479       50.000
SET      12.607       52.500
SET      12.671       55.000
SET      12.735       57.500
SET      12.799       60.000
SET      12.927       62.500
SET      12.991       65.000
SET      13.119       67.500
SET      13.183       70.000
SET      13.311       72.500
SET      13.439       75.000
SET      13.503       76.250
SET      13.631       77.500
SET      13.695       78.750
SET      13.823       80.000
SET      13.951       81.250
SET      14.143       82.500
SET      14.463       83.750
SET      14.847       85.000
SET      15.359       86.250
SET      15.999       87.500
SET      16.511       88.125
SET      17.023       88.750
SET      17.791       89.375
SET      18.943       90.000
SET      20.223       90.625
SET      21.247       91.250
SET      21.887       91.875
SET      22.527       92.500
SET      22.911       93.125
SET      23.423       93.750
SET      23.551       94.062
SET      23.807       94.375
SET      24.063       94.688
SET      24.319       95.000
SET      24.703       95.312
SET      24.959       95.625
SET      25.215       95.938
SET      25.471       96.250
SET      25.727       96.562
SET      25.983       96.875
SET      26.111       97.031
SET      26.239       97.188
SET      26.495       97.344
SET      26.623       97.500
SET      26.751       97.656
SET      27.007       97.812
SET      27.135       97.969
SET      27.391       98.125
SET      27.775       98.281
SET      28.159       98.438
SET      28.287       98.516
SET      28.671       98.594
SET      29.183       98.672
SET      29.695       98.750
SET      30.207       98.828
SET      30.975       98.906
SET      31.743       98.984
SET      32.639       99.062
SET      33.791       99.141
SET      34.815       99.219
SET      35.583       99.258
SET      36.351       99.297
SET      36.863       99.336
SET      37.631       99.375
SET      38.655       99.414
SET      39.423       99.453
SET      40.191       99.492
SET      41.215       99.531
