hostname,value,timestamp
master,1038.8711,1705606851
node_3,373.59998,1705606851
node_2,362.14376,1705606851
node_1,361.93044,1705606851
master,1046.35156,1705606856
node_3,373.21018,1705606856
node_2,362.91798,1705606856
node_1,362.35856,1705606856
master,1046.84766,1705606861
node_3,373.22344,1705606861
node_2,363.4336,1705606861
node_1,363.20936,1705606861
master,1046.9797,1705606866
node_3,373.17502,1705606866
node_2,363.4336,1705606866
node_1,364.14218,1705606866
master,1047.18436,1705606871
node_3,373.09376,1705606871
node_2,363.52108,1705606871
node_1,364.62424,1705606871
master,1047.30232,1705606876
node_3,373.28672,1705606876
node_2,363.73982,1705606876
node_1,364.74296,1705606876
master,1047.47268,1705606881
node_3,373.85234,1705606881
node_2,363.8711,1705606881
node_1,365.00234,1705606881
master,1047.89298,1705606886
node_3,374.22966,1705606886
node_2,364.06798,1705606886
node_1,365.68282,1705606886
master,1048.1883,1705606891
node_3,374.29374,1705606891
node_2,364.3633,1705606891
node_1,365.99996,1705606891
master,1048.6914,1705606896
node_3,374.09844,1705606896
node_2,364.75706,1705606896
node_1,365.82738,1705606896
master,1048.95078,1705606901
node_3,373.72108,1705606901
node_2,365.1016,1705606901
node_1,365.7664,1705606901
master,1049.04142,1705606906
node_3,373.28904,1705606906
node_2,365.3477,1705606906
node_1,365.64062,1705606906
master,1047.26564,1705606911
node_3,371.97736,1705606911
node_2,365.43518,1705606911
node_1,365.20858,1705606911
master,1045.9586,1705606916
node_3,370.51016,1705606916
node_2,365.21562,1705606916
node_1,364.09684,1705606916
master,1044.6578,1705606921
node_3,367.03436,1705606921
node_2,364.21482,1705606921
node_1,360.23828,1705606921
master,1042.625,1705606926
node_3,367.22502,1705606926
node_2,364.11404,1705606926
node_1,359.9453,1705606926
master,1043.35782,1705606931
node_3,366.7039,1705606931
node_2,363.86404,1705606931
node_1,359.81952,1705606931
master,1043.95628,1705606936
node_3,366.19686,1705606936
node_2,363.69298,1705606936
node_1,359.52268,1705606936
master,1044.05626,1705606941
node_3,366.08906,1705606941
node_2,363.37264,1705606941
node_1,359.4008,1705606941
master,1044.34452,1705606946
node_3,365.41954,1705606946
node_2,362.77266,1705606946
node_1,358.49608,1705606946
master,1044.96406,1705606951
node_3,365.07344,1705606951
node_2,362.38984,1705606951
node_1,358.45546,1705606951
master,1045.0328,1705606956
node_3,364.27654,1705606956
node_2,362.33048,1705606956
node_1,358.65392,1705606956
master,1044.97658,1705606961
node_3,364.06014,1705606961
node_2,362.19686,1705606961
node_1,359.28908,1705606961
master,1045.2203,1705606966
node_3,363.95156,1705606966
node_2,361.9875,1705606966
node_1,359.18518,1705606966
master,1045.52344,1705606971
node_3,363.55548,1705606971
node_2,361.93282,1705606971
node_1,359.92656,1705606971
master,1045.6836,1705606976
node_3,363.16328,1705606976
node_2,362.04608,1705606976
node_1,360.13282,1705606976
master,1045.79296,1705606981
node_3,362.6461,1705606981
node_2,361.36718,1705606981
node_1,360.25078,1705606981
master,1045.87734,1705606986
node_3,362.1297,1705606986
node_2,361.22422,1705606986
node_1,360.59532,1705606986
master,1046.04768,1705606991
node_3,361.78518,1705606991
node_2,361.3672,1705606991
node_1,361.025,1705606991
master,1046.26328,1705606996
node_3,361.62108,1705606996
node_2,361.41798,1705606996
node_1,360.86718,1705606996
master,1046.43124,1705607001
node_3,361.25236,1705607001
node_2,361.82032,1705607001
node_1,361.41016,1705607001
master,1046.43828,1705607006
node_3,361.34532,1705607006
node_2,361.7578,1705607006
node_1,361.76564,1705607006
master,1046.77502,1705607011
node_3,361.68516,1705607011
node_2,361.24842,1705607011
node_1,361.72264,1705607011
master,1046.8203,1705607016
node_3,361.48906,1705607016
node_2,361.4,1705607016
node_1,361.82734,1705607016
master,1046.81874,1705607021
node_3,361.64846,1705607021
