hostname,value,timestamp
node_2,77.24406,1705544711
node_3,78.239718,1705544711
master,95.3058,1705544711
node_1,79.32307,1705544711
node_2,75.84588,1705544716
node_3,79.168704,1705544716
master,98.29672,1705544716
node_1,74.697832,1705544716
node_2,73.51831,1705544721
node_3,71.800456,1705544721
master,98.200074,1705544721
node_1,72.461574,1705544721
node_2,70.553396,1705544726
node_3,71.389174,1705544726
master,98.065532,1705544726
node_1,69.517374,1705544726
node_2,76.921238,1705544731
node_3,76.68183,1705544731
master,98.316704,1705544731
node_1,82.093092,1705544731
node_2,90.830586,1705544736
node_3,90.771038,1705544736
master,98.165376,1705544736
node_1,86.47994,1705544736
node_2,91.34866,1705544741
node_3,86.850906,1705544741
master,97.966504,1705544741
node_1,86.399074,1705544741
node_2,93.325442,1705544746
node_3,86.03756,1705544746
master,98.116414,1705544746
node_1,74.739162,1705544746
node_2,77.784188,1705544751
node_3,68.35818,1705544751
master,98.21695,1705544751
node_1,62.71164,1705544751
node_2,81.808614,1705544756
node_3,63.58798,1705544756
master,98.151096,1705544756
node_1,63.39509,1705544756
node_2,63.530992,1705544761
node_3,61.708188,1705544761
master,98.314166,1705544761
node_1,64.207646,1705544761
node_2,64.545248,1705544766
node_3,64.797474,1705544766
master,98.050146,1705544766
node_1,51.459592,1705544766
node_2,64.53519,1705544771
node_3,55.484574,1705544771
master,97.946806,1705544771
node_1,61.243318,1705544771
node_2,64.23632,1705544776
node_3,54.011342,1705544776
master,98.129706,1705544776
node_1,61.005476,1705544776
node_2,52.278044,1705544781
node_3,55.02364,1705544781
master,98.231734,1705544781
node_1,43.064008,1705544781
node_2,62.290922,1705544786
node_3,35.238894,1705544786
master,98.081384,1705544786
node_1,42.731004,1705544786
node_2,50.288188,1705544791
node_3,43.578776,1705544791
master,97.967326,1705544791
node_1,53.584922,1705544791
node_2,49.439398,1705544796
node_3,54.474986,1705544796
master,97.878954,1705544796
node_1,64.934908,1705544796
node_2,39.253368,1705544801
node_3,43.438048,1705544801
master,97.94853,1705544801
node_1,73.251272,1705544801
node_2,57.77033,1705544806
node_3,49.878786,1705544806
master,97.680604,1705544806
node_1,72.089648,1705544806
node_2,61.565694,1705544811
node_3,61.970692,1705544811
master,98.033184,1705544811
node_1,71.081784,1705544811
node_2,61.522022,1705544816
node_3,66.417866,1705544816
master,97.964528,1705544816
node_1,68.347966,1705544816
node_2,62.028714,1705544821
node_3,67.601918,1705544821
master,98.167038,1705544821
node_1,70.626982,1705544821
node_2,60.136582,1705544826
node_3,71.07333,1705544826
master,98.215784,1705544826
node_1,68.060784,1705544826
node_2,71.617348,1705544831
node_3,69.500422,1705544831
master,97.998524,1705544831
node_1,71.858226,1705544831
node_2,70.659064,1705544836
node_3,63.282082,1705544836
master,98.047276,1705544836
node_1,69.456946,1705544836
node_2,68.746584,1705544841
node_3,67.94155,1705544841
master,97.901792,1705544841
node_1,72.28491,1705544841
node_2,66.231478,1705544846
node_3,67.255934,1705544846
master,97.979624,1705544846
node_1,69.346734,1705544846
node_2,67.862896,1705544851
node_3,60.215602,1705544851
master,97.9335,1705544851
node_1,72.646032,1705544851
node_2,66.778924,1705544856
node_3,71.985398,1705544856
master,98.247952,1705544856
node_1,67.177198,1705544856
node_2,69.401758,1705544861
node_3,68.16178,1705544861
master,98.066074,1705544861
node_1,71.856672,1705544861
node_2,68.360184,1705544866
node_3,72.00826,1705544866
master,98.163634,1705544866
node_1,68.745546,1705544866
node_2,70.108704,1705544871
node_3,68.756456,1705544871
master,98.217426,1705544871
node_1,71.515654,1705544871
node_2,69.339006,1705544876
node_3,72.390524,1705544876
master,98.047228,1705544876
node_1,69.649844,1705544876
node_2,69.376478,1705544881
node_3,69.451428,1705544881
master,98.046886,1705544881
node_1,72.298004,1705544881
node_2,68.322268,1705544886
node_3,70.439314,1705544886
master,97.79772,1705544886
node_1,88.446348,1705544886
node_2,70.11689,1705544891
node_3,69.783932,1705544891
master,97.813786,1705544891
node_1,95.628616,1705544891
node_2,67.7495,1705544896
node_3,71.513658,1705544896
master,97.89365,1705544896
node_1,93.907066,1705544896
node_2,71.00868,1705544901
node_3,67.998776,1705544901
master,98.183222,1705544901
node_1,96.830984,1705544901
node_2,68.56113,1705544906
node_3,71.958014,1705544906
master,98.264738,1705544906
node_1,93.910836,1705544906
node_2,68.530726,1705544911
node_3,69.785744,1705544911
master,98.046318,1705544911
node_1,96.437196,1705544911
node_2,85.58417,1705544916
node_3,93.443166,1705544916
master,97.980788,1705544916
node_1,93.032888,1705544916
node_2,74.307706,1705544921
node_3,70.929446,1705544921
master,97.96617,1705544921
node_1,72.913246,1705544921
node_2,26.26165,1705544926
node_3,28.075862,1705544926
master,98.183484,1705544926
node_1,26.081602,1705544926
node_2,28.370288,1705544931
node_3,26.616072,1705544931
master,98.163712,1705544931
node_1,28.658016,1705544931
node_2,26.48913,1705544936
node_3,28.459292,1705544936
master,98.151104,1705544936
node_1,26.2924604,1705544936
node_2,28.613784,1705544941
node_3,26.008492,1705544941
master,98.047112,1705544941
node_1,28.643368,1705544941
node_2,26.077004,1705544946
node_3,28.011726,1705544946
master,98.466732,1705544946
node_1,25.6314276,1705544946
node_2,28.155986,1705544951
node_3,26.016492,1705544951
master,98.228514,1705544951
node_1,27.989838,1705544951
node_2,26.479344,1705544956
node_3,28.904266,1705544956
master,98.065332,1705544956
node_1,26.233676,1705544956
node_2,23.4489982,1705544961
node_3,27.011726,1705544961
master,98.211618,1705544961
node_1,29.273156,1705544961
node_2,20.3304202,1705544966
