hostname,value,timestamp,id,name
node_2,2199.6763218,1705544711,InOctets,received
node_2,-295.803296,1705544711,OutOctets,sent
node_3,3314.8652696,1705544711,InOctets,received
node_3,-300.161874,1705544711,OutOctets,sent
master,1755.596294,1705544711,InOctets,received
master,-2090.798004,1705544711,OutOctets,sent
node_1,4850.1694374,1705544711,InOctets,received
node_1,-311.541906,1705544711,OutOctets,sent
node_2,13129.2625562,1705544716,InOctets,received
node_2,-343.933364,1705544716,OutOctets,sent
node_3,12010.7490472,1705544716,InOctets,received
node_3,-353.094714,1705544716,OutOctets,sent
master,11.8463538,1705544716,InOctets,received
master,-382.7941838,1705544716,OutOctets,sent
node_1,10476.5493502,1705544716,InOctets,received
node_1,-319.212299,1705544716,OutOctets,sent
node_2,1516.0497945,1705544721,InOctets,received
node_2,-251.9726994,1705544721,OutOctets,sent
node_3,61.3790317,1705544721,InOctets,received
node_3,-224.1207454,1705544721,OutOctets,sent
master,11.311675,1705544721,InOctets,received
master,-357.492862,1705544721,OutOctets,sent
node_1,2033.3614506,1705544721,InOctets,received
node_1,-247.8581717,1705544721,OutOctets,sent
node_2,520.9077816,1705544726,InOctets,received
node_2,-244.6838218,1705544726,OutOctets,sent
node_3,1973.3464138,1705544726,InOctets,received
node_3,-255.4701176,1705544726,OutOctets,sent
master,14.5480926,1705544726,InOctets,received
master,-362.9567318,1705544726,OutOctets,sent
node_1,3.9029961,1705544726,InOctets,received
node_1,-229.7348086,1705544726,OutOctets,sent
node_2,2913.2929211,1705544731,InOctets,received
node_2,-295.512866,1705544731,OutOctets,sent
node_3,2885.8050865,1705544731,InOctets,received
node_3,-283.32978,1705544731,OutOctets,sent
master,8.8456145,1705544731,InOctets,received
master,-358.8636462,1705544731,OutOctets,sent
node_1,11238.8131473,1705544731,InOctets,received
node_1,-357.492043,1705544731,OutOctets,sent
node_2,15300.115,1705544736,InOctets,received
node_2,-456.2595,1705544736,OutOctets,sent
node_3,23394.934,1705544736,InOctets,received
node_3,-465.98004,1705544736,OutOctets,sent
master,7.4639046,1705544736,InOctets,received
master,-356.8025182,1705544736,OutOctets,sent
node_1,47245.95,1705544736,InOctets,received
node_1,-449.51738,1705544736,OutOctets,sent
node_2,8079.7502,1705544741,InOctets,received
node_2,-394.372008,1705544741,OutOctets,sent
node_3,27313.042,1705544741,InOctets,received
node_3,-464.1098,1705544741,OutOctets,sent
master,9.8111762,1705544741,InOctets,received
