4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1681.78          ---          ---        10.79907         9.79100        21.75900        39.93500       129.56 
Gets        16816.18         7.33     16808.84        10.80261         9.79100        21.88700        39.93500       655.28 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      18497.96         7.33     16808.84        10.80229         9.79100        21.88700        39.93500       784.83 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.807        0.000
SET       8.703        5.000
SET       9.151       10.000
SET       9.279       15.000
SET       9.407       20.000
SET       9.471       25.000
SET       9.535       30.000
SET       9.599       35.000
SET       9.663       40.000
SET       9.727       45.000
SET       9.791       50.000
SET       9.855       52.500
SET       9.855       55.000
SET       9.919       57.500
SET       9.983       60.000
SET       9.983       62.500
SET      10.047       65.000
SET      10.111       67.500
SET      10.175       70.000
SET      10.303       72.500
SET      10.367       75.000
SET      10.431       76.250
SET      10.559       77.500
SET      10.623       78.750
SET      10.751       80.000
SET      10.879       81.250
SET      11.071       82.500
SET      11.391       83.750
SET      11.775       85.000
SET      12.159       86.250
SET      12.607       87.500
SET      12.863       88.125
SET      13.183       88.750
SET      13.631       89.375
SET      14.591       90.000
SET      15.935       90.625
SET      17.023       91.250
SET      17.663       91.875
SET      18.047       92.500
SET      18.431       93.125
SET      18.687       93.750
SET      18.687       94.062
SET      18.815       94.375
SET      18.943       94.688
SET      19.071       95.000
SET      19.199       95.312
SET      19.199       95.625
SET      19.327       95.938
SET      19.455       96.250
SET      19.583       96.562
SET      19.711       96.875
SET      19.711       97.031
SET      19.839       97.188
SET      19.839       97.344
SET      19.967       97.500
SET      19.967       97.656
SET      20.095       97.812
SET      20.223       97.969
SET      20.351       98.125
SET      20.479       98.281
SET      20.607       98.438
SET      20.735       98.516
SET      20.863       98.594
SET      20.991       98.672
SET      21.119       98.750
SET      21.247       98.828
SET      21.503       98.906
SET      21.759       98.984
SET      22.015       99.062
SET      22.527       99.141
SET      23.167       99.219
SET      23.551       99.258
SET      23.935       99.297
SET      24.447       99.336
SET      24.831       99.375
SET      25.343       99.414
SET      25.983       99.453
SET      26.623       99.492
SET      27.391       99.531
SET      28.159       99.570
SET      28.927       99.609
SET      29.439       99.629
SET      29.951       99.648
SET      30.463       99.668
SET      30.975       99.688
SET      31.487       99.707
SET      31.999       99.727
SET      32.767       99.746
SET      33.535       99.766
SET      34.303       99.785
SET      35.071       99.805
SET      35.327       99.814
SET      35.839       99.824
SET      36.351       99.834
SET      36.863       99.844
SET      37.119       99.854
SET      37.631       99.863
SET      38.143       99.873
SET      38.655       99.883
SET      39.423       99.893
SET      39.935       99.902
SET      40.447       99.907
SET      40.703       99.912
SET      40.959       99.917
SET      41.471       99.922
SET      41.727       99.927
SET      41.983       99.932
SET      42.239       99.937
SET      42.751       99.941
SET      43.263       99.946
SET      43.775       99.951
SET      43.775       99.954
SET      44.031       99.956
SET      44.287       99.958
SET      44.799       99.961
SET      45.055       99.963
SET      45.311       99.966
SET      45.823       99.968
SET      46.079       99.971
SET      46.335       99.973
SET      46.847       99.976
SET      46.847       99.977
SET      47.103       99.978
SET      47.359       99.979
SET      47.615       99.980
SET      48.127       99.982
SET      48.127       99.983
SET      48.639       99.984
SET      48.895       99.985
SET      49.151       99.987
SET      49.407       99.988
SET      49.663       99.988
SET      49.919       99.989
SET      50.175       99.990
SET      50.431       99.990
SET      50.687       99.991
SET      50.943       99.991
SET      51.199       99.992
SET      51.455       99.993
SET      51.967       99.993
SET      52.223       99.994
SET      52.479       99.994
SET      52.479       99.995
SET      52.735       99.995
SET      52.735       99.995
SET      52.991       99.995
SET      53.247       99.996
SET      53.503       99.996
SET      53.759       99.996
SET      54.015       99.997
SET      54.527       99.997
SET      54.783       99.997
SET      55.295       99.997
SET      55.295       99.997
SET      55.551       99.998
SET      55.551       99.998
SET      56.575       99.998
SET      56.575       99.998
SET      57.087       99.998
SET      58.367       99.998
SET      59.391       99.998
SET      59.903       99.999
SET      60.159       99.999
SET      60.159       99.999
SET      60.415       99.999
SET      61.183       99.999
SET      61.183       99.999
SET      61.183       99.999
SET      63.487       99.999
SET      64.767       99.999
SET      65.279       99.999
SET      65.279       99.999
SET      66.047       99.999
SET      66.047       99.999
SET      66.047       99.999
SET      68.607       99.999
SET      68.607       99.999
SET      68.607      100.000
SET      69.631      100.000
SET      69.631      100.000
SET      79.871      100.000
SET      79.871      100.000
SET      79.871      100.000
SET      79.871      100.000
SET      79.871      100.000
SET      80.895      100.000
