4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1662.42          ---          ---        10.93451         9.91900        22.39900        40.70300       128.06 
Gets        16622.61         7.25     16615.36        10.92756         9.91900        22.27100        40.70300       647.73 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      18285.03         7.25     16615.36        10.92819         9.91900        22.27100        40.70300       775.80 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.847        0.000
SET       8.767        5.000
SET       9.215       10.000
SET       9.343       15.000
SET       9.471       20.000
SET       9.535       25.000
SET       9.599       30.000
SET       9.663       35.000
SET       9.727       40.000
SET       9.855       45.000
SET       9.919       50.000
SET       9.983       52.500
SET      10.047       55.000
SET      10.047       57.500
SET      10.111       60.000
SET      10.175       62.500
SET      10.239       65.000
SET      10.303       67.500
SET      10.431       70.000
SET      10.495       72.500
SET      10.623       75.000
SET      10.687       76.250
SET      10.751       77.500
SET      10.879       78.750
SET      10.943       80.000
SET      11.071       81.250
SET      11.263       82.500
SET      11.583       83.750
SET      11.903       85.000
SET      12.287       86.250
SET      12.735       87.500
SET      12.991       88.125
SET      13.311       88.750
SET      13.759       89.375
SET      14.527       90.000
SET      15.807       90.625
SET      17.023       91.250
SET      17.663       91.875
SET      18.175       92.500
SET      18.431       93.125
SET      18.815       93.750
SET      18.943       94.062
SET      18.943       94.375
SET      19.071       94.688
SET      19.199       95.000
SET      19.327       95.312
SET      19.455       95.625
SET      19.583       95.938
SET      19.711       96.250
SET      19.839       96.562
SET      19.967       96.875
SET      19.967       97.031
SET      20.095       97.188
SET      20.223       97.344
SET      20.351       97.500
SET      20.351       97.656
SET      20.479       97.812
SET      20.607       97.969
SET      20.735       98.125
SET      20.991       98.281
SET      21.119       98.438
SET      21.247       98.516
SET      21.375       98.594
SET      21.503       98.672
SET      21.631       98.750
SET      21.759       98.828
SET      22.015       98.906
SET      22.271       98.984
SET      22.655       99.062
SET      23.167       99.141
SET      23.807       99.219
SET      24.191       99.258
SET      24.703       99.297
SET      24.959       99.336
SET      25.343       99.375
SET      25.855       99.414
SET      26.367       99.453
SET      27.007       99.492
SET      27.775       99.531
SET      28.543       99.570
SET      29.439       99.609
SET      29.951       99.629
SET      30.463       99.648
SET      31.103       99.668
SET      31.743       99.688
SET      32.255       99.707
SET      33.023       99.727
SET      33.791       99.746
SET      34.559       99.766
SET      35.327       99.785
SET      36.095       99.805
SET      36.351       99.814
SET      36.863       99.824
SET      37.375       99.834
SET      37.631       99.844
SET      38.143       99.854
SET      38.655       99.863
SET      39.167       99.873
SET      39.679       99.883
SET      40.191       99.893
SET      40.703       99.902
SET      41.215       99.907
SET      41.471       99.912
SET      41.727       99.917
SET      42.239       99.922
SET      42.495       99.927
SET      43.007       99.932
SET      43.263       99.937
SET      43.775       99.941
SET      44.287       99.946
SET      44.799       99.951
SET      45.055       99.954
SET      45.311       99.956
SET      45.567       99.958
SET      45.823       99.961
SET      46.079       99.963
SET      46.591       99.966
SET      46.847       99.968
SET      47.103       99.971
SET      47.615       99.973
SET      48.127       99.976
SET      48.127       99.977
SET      48.383       99.978
SET      48.639       99.979
SET      48.895       99.980
SET      49.151       99.982
SET      49.407       99.983
SET      49.919       99.984
SET      50.175       99.985
SET      50.943       99.987
SET      51.455       99.988
SET      51.455       99.988
SET      51.711       99.989
SET      51.967       99.990
SET      52.223       99.990
SET      52.735       99.991
SET      52.991       99.991
SET      53.247       99.992
SET      53.503       99.993
SET      54.015       99.993
SET      54.271       99.994
SET      54.271       99.994
SET      54.527       99.995
SET      54.527       99.995
SET      54.783       99.995
SET      55.295       99.995
SET      55.295       99.996
SET      55.295       99.996
SET      55.807       99.996
SET      56.063       99.997
SET      56.063       99.997
SET      56.319       99.997
SET      56.319       99.997
SET      56.319       99.997
SET      56.575       99.998
SET      56.575       99.998
SET      56.575       99.998
SET      56.831       99.998
SET      56.831       99.998
SET      57.087       99.998
SET      57.599       99.998
SET      57.599       99.999
SET      58.111       99.999
SET      58.111       99.999
SET      58.111       99.999
SET      58.111       99.999
SET      58.879       99.999
SET      59.135       99.999
SET      59.135       99.999
SET      59.135       99.999
SET      59.647       99.999
SET      59.647       99.999
SET      60.159       99.999
SET      60.159       99.999
SET      60.159       99.999
SET      60.415       99.999
SET      60.415       99.999
SET      60.927      100.000
SET      60.927      100.000
SET      60.927      100.000
SET      61.439      100.000
SET      61.439      100.000
SET      61.439      100.000
SET      61.439      100.000
SET      61.439      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      65.279      100.000
SET      68.095      100.000
SET      68.095      100.000
---
GET       1.719        0.000
GET       8.767        5.000
GET       9.215       10.000
GET       9.343       15.000
GET       9.471       20.000
GET       9.535       25.000
GET       9.599       30.000
GET       9.663       35.000
GET       9.727       40.000
GET       9.855       45.000
GET       9.919       50.000
GET       9.983       52.500
GET       9.983       55.000
GET      10.047       57.500
GET      10.111       60.000
GET      10.175       62.500
GET      10.239       65.000
GET      10.303       67.500
GET      10.431       70.000
GET      10.495       72.500
GET      10.623       75.000
GET      10.687       76.250
GET      10.751       77.500
GET      10.815       78.750
GET      10.943       80.000
GET      11.071       81.250
GET      11.263       82.500
GET      11.583       83.750
GET      11.903       85.000
GET      12.287       86.250
GET      12.735       87.500
GET      12.991       88.125
GET      13.311       88.750
GET      13.759       89.375
GET      14.463       90.000
GET      15.743       90.625
GET      17.023       91.250
GET      17.663       91.875
GET      18.175       92.500
GET      18.431       93.125
GET      18.687       93.750
GET      18.815       94.062
GET      18.943       94.375
GET      19.071       94.688
GET      19.199       95.000
GET      19.327       95.312
GET      19.455       95.625
GET      19.583       95.938
GET      19.711       96.250
GET      19.839       96.562
GET      19.967       96.875
GET      19.967       97.031
GET      20.095       97.188
GET      20.223       97.344
GET      20.223       97.500
GET      20.351       97.656
GET      20.479       97.812
GET      20.607       97.969
GET      20.735       98.125
GET      20.863       98.281
GET      21.119       98.438
GET      21.119       98.516
GET      21.247       98.594
GET      21.375       98.672
GET      21.503       98.750
GET      21.759       98.828
GET      21.887       98.906
GET      22.143       98.984
GET      22.527       99.062
GET      23.039       99.141
GET      23.679       99.219
GET      24.063       99.258
GET      24.447       99.297
GET      24.831       99.336
GET      25.215       99.375
GET      25.727       99.414
GET      26.239       99.453
GET      27.007       99.492
GET      27.775       99.531
GET      28.543       99.570
GET      29.439       99.609
GET      29.951       99.629
GET      30.463       99.648
GET      31.103       99.668
GET      31.743       99.688
GET      32.383       99.707
GET      33.023       99.727
GET      33.791       99.746
GET      34.559       99.766
GET      35.327       99.785
GET      36.095       99.805
GET      36.607       99.814
GET      36.863       99.824
GET      37.375       99.834
GET      37.887       99.844
GET      38.399       99.854
GET      38.655       99.863
GET      39.167       99.873
GET      39.679       99.883
GET      40.191       99.893
GET      40.959       99.902
GET      41.215       99.907
GET      41.471       99.912
GET      41.727       99.917
GET      42.239       99.922
GET      42.495       99.927
GET      42.751       99.932
GET      43.263       99.937
GET      43.519       99.941
GET      44.031       99.946
GET      44.543       99.951
GET      44.799       99.954
GET      45.055       99.956
GET      45.311       99.958
GET      45.567       99.961
GET      45.823       99.963
GET      46.079       99.966
GET      46.591       99.968
GET      46.847       99.971
GET      47.359       99.973
GET      47.615       99.976
GET      47.871       99.977
GET      48.127       99.978
GET      48.383       99.979
GET      48.639       99.980
GET      49.151       99.982
GET      49.407       99.983
GET      49.663       99.984
GET      49.919       99.985
GET      50.175       99.987
GET      50.687       99.988
GET      50.943       99.988
GET      51.199       99.989
GET      51.455       99.990
GET      51.711       99.990
GET      51.967       99.991
GET      52.223       99.991
GET      52.479       99.992
GET      52.991       99.993
GET      53.247       99.993
GET      53.759       99.994
GET      54.015       99.994
GET      54.271       99.995
GET      54.527       99.995
GET      54.783       99.995
GET      55.039       99.995
GET      55.295       99.996
GET      55.551       99.996
GET      55.807       99.996
GET      56.063       99.997
GET      56.319       99.997
GET      56.575       99.997
GET      56.831       99.997
GET      57.087       99.997
GET      57.087       99.998
GET      57.343       99.998
GET      57.599       99.998
GET      57.855       99.998
GET      58.111       99.998
GET      58.367       99.998
GET      58.623       99.998
GET      58.879       99.999
GET      58.879       99.999
GET      59.135       99.999
GET      59.647       99.999
GET      59.903       99.999
GET      59.903       99.999
GET      60.415       99.999
GET      60.671       99.999
GET      61.183       99.999
GET      61.439       99.999
GET      61.695       99.999
GET      61.695       99.999
GET      61.951       99.999
GET      61.951       99.999
GET      62.207       99.999
GET      62.207       99.999
GET      62.463      100.000
GET      62.719      100.000
GET      62.975      100.000
GET      62.975      100.000
GET      63.231      100.000
GET      63.487      100.000
GET      63.487      100.000
GET      63.487      100.000
GET      63.999      100.000
GET      63.999      100.000
GET      63.999      100.000
GET      64.255      100.000
GET      64.511      100.000
GET      64.511      100.000
GET      64.511      100.000
GET      64.511      100.000
GET      64.767      100.000
GET      64.767      100.000
GET      64.767      100.000
