hostname,value,timestamp
node_2,57.897154,1706603961
node_3,53.658654,1706603961
node_1,73.310426,1706603961
master,95.98518,1706603961
node_2,89.864968,1706603966
node_3,86.84349,1706603966
node_1,94.63669,1706603966
master,97.573482,1706603966
node_2,93.437994,1706603971
node_3,91.915242,1706603971
node_1,95.6638,1706603971
master,98.175764,1706603971
node_2,92.009086,1706603976
node_3,91.837908,1706603976
node_1,93.522388,1706603976
master,98.079412,1706603976
node_2,93.721656,1706603981
node_3,92.483826,1706603981
node_1,96.71228,1706603981
master,97.773914,1706603981
node_2,86.274278,1706603986
node_3,87.536368,1706603986
node_1,89.326908,1706603986
master,97.265476,1706603986
node_2,61.371236,1706603991
node_3,52.941112,1706603991
node_1,80.401394,1706603991
master,97.08151,1706603991
node_2,92.84406,1706603996
node_3,87.901144,1706603996
node_1,94.753672,1706603996
master,98.160334,1706603996
node_2,94.520274,1706604001
node_3,92.665174,1706604001
node_1,95.355598,1706604001
master,97.909954,1706604001
node_2,92.623476,1706604006
node_3,94.388054,1706604006
node_1,94.46035,1706604006
master,97.893442,1706604006
node_2,90.38862,1706604011
node_3,92.851006,1706604011
node_1,95.258376,1706604011
master,98.142676,1706604011
node_2,91.45429,1706604016
node_3,94.301226,1706604016
node_1,93.450058,1706604016
master,98.215112,1706604016
node_2,91.246844,1706604021
node_3,90.741622,1706604021
node_1,94.233638,1706604021
master,97.812462,1706604021
node_2,57.297038,1706604026
node_3,66.52339,1706604026
node_1,47.734372,1706604026
master,93.950408,1706604026
node_2,29.06567,1706604031
node_3,54.859648,1706604031
node_1,27.1231958,1706604031
master,96.17446,1706604031
node_2,69.736236,1706604036
node_3,90.727308,1706604036
node_1,85.529092,1706604036
master,96.774098,1706604036
node_2,89.55379,1706604041
node_3,89.85475,1706604041
node_1,94.998864,1706604041
master,97.745142,1706604041
node_2,87.672198,1706604046
node_3,91.676922,1706604046
node_1,88.567626,1706604046
master,98.046318,1706604046
node_2,87.952134,1706604051
node_3,86.44167,1706604051
node_1,91.222148,1706604051
master,98.111138,1706604051
node_2,88.802732,1706604056
node_3,91.23696,1706604056
node_1,89.354082,1706604056
master,98.028366,1706604056
node_2,90.256846,1706604061
node_3,88.98839,1706604061
node_1,94.007178,1706604061
master,98.213482,1706604061
node_2,90.509658,1706604066
node_3,90.139674,1706604066
node_1,91.742538,1706604066
master,97.678488,1706604066
node_2,89.318394,1706604071
node_3,90.79698,1706604071
node_1,94.475086,1706604071
master,97.215296,1706604071
node_2,34.805344,1706604076
node_3,56.9391,1706604076
node_1,22.7602202,1706604076
