hostname,value,timestamp
node_2,381.73436,1706603961
node_3,372.54766,1706603961
node_1,382.53906,1706603961
master,1243.63516,1706603961
node_2,394.27264,1706603966
node_3,392.025,1706603966
node_1,378.19608,1706603966
master,1244.94842,1706603966
node_2,393.92812,1706603971
node_3,382.64534,1706603971
node_1,376.68594,1706603971
master,1246.03672,1706603971
node_2,391.4398,1706603976
node_3,376.66642,1706603976
node_1,376.03206,1706603976
master,1246.24612,1706603976
node_2,392.99998,1706603981
node_3,378.91404,1706603981
node_1,375.99218,1706603981
master,1246.87812,1706603981
node_2,386.57344,1706603986
node_3,379.26326,1706603986
node_1,380.25156,1706603986
master,1247.17656,1706603986
node_2,379.1656,1706603991
node_3,371.59062,1706603991
node_1,380.8328,1706603991
master,1247.79844,1706603991
node_2,369.40624,1706603996
node_3,366.19298,1706603996
node_1,379.14842,1706603996
master,1248.19374,1706603996
node_2,372.19298,1706604001
node_3,369.0492,1706604001
node_1,378.16172,1706604001
master,1248.73436,1706604001
node_2,364.26328,1706604006
node_3,369.2461,1706604006
node_1,373.41016,1706604006
master,1248.85784,1706604006
node_2,365.58906,1706604011
node_3,368.1633,1706604011
node_1,366.2375,1706604011
master,1249.06562,1706604011
node_2,370.07812,1706604016
node_3,366.48988,1706604016
node_1,366.02268,1706604016
master,1249.33906,1706604016
node_2,370.85078,1706604021
node_3,364.88832,1706604021
node_1,367.15702,1706604021
master,1249.83514,1706604021
node_2,371.54998,1706604026
node_3,362.78284,1706604026
node_1,379.53046,1706604026
master,1251.03126,1706604026
node_2,401.9906,1706604031
node_3,386.91952,1706604031
node_1,449.31174,1706604031
master,1252.3672,1706604031
node_2,425.94376,1706604036
node_3,390.11172,1706604036
node_1,460.00624,1706604036
master,1252.40936,1706604036
node_2,425.68516,1706604041
node_3,389.88674,1706604041
node_1,462.58986,1706604041
master,1252.66954,1706604041
node_2,421.86564,1706604046
node_3,385.21796,1706604046
node_1,463.20784,1706604046
master,1252.92972,1706604046
node_2,420.88906,1706604051
node_3,384.70936,1706604051
node_1,461.85078,1706604051
master,1253.43594,1706604051
node_2,421.65236,1706604056
node_3,382.51092,1706604056
node_1,461.08672,1706604056
master,1255.02734,1706604056
node_2,422.31174,1706604061
node_3,381.043,1706604061
node_1,458.31638,1706604061
master,1255.4828,1706604061
node_2,418.62112,1706604066
node_3,373.6625,1706604066
node_1,459.36638,1706604066
master,1255.75316,1706604066
node_2,417.3086,1706604071
node_3,375.12814,1706604071
node_1,457.4992,1706604071
master,1257.24998,1706604071
node_2,421.49844,1706604076
node_3,376.88752,1706604076
node_1,428.26484,1706604076
master,1262.48124,1706604076
node_3,374.75702,1706604081
node_2,406.04064,1706604081
node_1,393.39064,1706604081
master,1263.93982,1706604081
node_3,380.26018,1706604086
node_2,395.06954,1706604086
node_1,396.2414,1706604086
master,1264.44768,1706604086
node_2,395.02344,1706604091
node_3,393.0328,1706604091
node_1,390.33282,1706604091
master,1264.63984,1706604091
node_2,387.45702,1706604096
node_3,382.24922,1706604096
node_1,396.59532,1706604096
master,1265.3375,1706604096
node_2,383.925,1706604101
node_3,380.41562,1706604101
node_1,389.37266,1706604101
master,1265.63752,1706604101
node_2,384.0875,1706604106
node_3,371.6289,1706604106
node_1,388.88438,1706604106
master,1265.83672,1706604106
node_2,379.84922,1706604111
node_3,374.06174,1706604111
node_1,378.37106,1706604111
master,1266.0633,1706604111
node_2,380.8297,1706604116
node_3,374.84064,1706604116
node_1,380.43594,1706604116
master,1266.29614,1706604116
node_2,373.83752,1706604121
node_3,375.07498,1706604121
node_1,373.96016,1706604121
master,1266.32732,1706604121
node_2,372.33676,1706604126
node_3,372.94372,1706604126
node_1,377.52108,1706604126
master,1266.56094,1706604126
node_2,371.79528,1706604131
node_3,372.7133,1706604131
node_1,381.83124,1706604131
master,1266.5508,1706604131
node_2,376.68982,1706604136
node_3,376.43752,1706604136
node_1,383.0125,1706604136
master,1266.54066,1706604136
node_2,376.4922,1706604141
node_3,377.84532,1706604141
node_1,383.28204,1706604141
master,1266.53046,1706604141
node_2,380.9672,1706604146
node_3,375.69842,1706604146
node_1,383.8664,1706604146
master,1266.51794,1706604146
node_2,383.36562,1706604151
node_3,393.27892,1706604151
node_1,380.23672,1706604151
master,1267.06718,1706604151
node_2,386.8,1706604156
node_3,385.7633,1706604156
node_1,380.11952,1706604156
master,1267.1797,1706604156
node_2,374.34608,1706604161
node_3,383.23282,1706604161
node_1,374.41172,1706604161
master,1267.73906,1706604161
node_2,374.66952,1706604166
node_3,374.71874,1706604166
node_1,373.7117,1706604166
master,1268.02812,1706604166
node_2,376.55312,1706604171
node_3,370.17032,1706604171
node_1,377.15238,1706604171
master,1268.35858,1706604171
node_2,376.67888,1706604176
node_3,374.69376,1706604176
node_1,379.6578,1706604176
