hostname,value,timestamp
master,1193.76716,1706577706
node_3,361.00156,1706577706
node_1,352.2922,1706577706
node_2,357.5961,1706577706
master,1192.58594,1706577711
node_3,363.18046,1706577711
node_1,351.24764,1706577711
node_2,363.4242,1706577711
master,1193.5867,1706577716
node_3,359.1789,1706577716
node_1,349.2328,1706577716
node_2,361.81174,1706577716
master,1193.66094,1706577721
node_3,353.13594,1706577721
node_1,353.09608,1706577721
node_2,361.94294,1706577721
master,1194.29296,1706577726
node_3,354.3328,1706577726
node_1,359.4711,1706577726
node_2,363.70702,1706577726
master,1194.62186,1706577731
node_3,353.00548,1706577731
node_1,356.7758,1706577731
node_2,357.95546,1706577731
master,1195.43986,1706577736
node_3,356.25156,1706577736
node_1,355.4914,1706577736
node_2,355.00078,1706577736
master,1195.79222,1706577741
node_3,352.98672,1706577741
node_1,355.7578,1706577741
node_2,354.31952,1706577741
master,1196.44766,1706577746
node_3,353.42422,1706577746
node_1,355.62032,1706577746
node_2,352.5289,1706577746
master,1196.71096,1706577751
node_3,353.47498,1706577751
node_1,356.47186,1706577751
node_2,353.63986,1706577751
master,1197.0203,1706577756
node_3,354.70626,1706577756
node_1,361.21954,1706577756
node_2,353.72888,1706577756
master,1197.31638,1706577761
node_3,359.1875,1706577761
node_1,362.1211,1706577761
node_2,352.8414,1706577761
master,1197.66796,1706577766
node_3,360.98048,1706577766
node_1,362.59298,1706577766
node_2,351.58592,1706577766
master,1198.3719,1706577771
node_3,359.47032,1706577771
node_1,362.0211,1706577771
node_2,351.20154,1706577771
master,1198.58436,1706577776
node_3,360.43828,1706577776
node_1,361.05938,1706577776
node_2,355.53594,1706577776
master,1199.2289,1706577781
node_3,355.95702,1706577781
node_1,361.31324,1706577781
node_2,357.31092,1706577781
master,1199.48826,1706577786
node_3,356.88514,1706577786
node_1,360.14688,1706577786
node_2,358.56328,1706577786
master,1199.6633,1706577791
node_3,366.29844,1706577791
node_1,363.02968,1706577791
node_2,359.05312,1706577791
master,1199.92966,1706577796
node_3,382.62186,1706577796
node_1,367.54218,1706577796
node_2,372.60468,1706577796
master,1200.39296,1706577801
node_3,377.92656,1706577801
node_1,367.6961,1706577801
node_2,370.28202,1706577801
master,1201.74534,1706577806
node_3,378.20546,1706577806
node_1,365.9797,1706577806
node_2,362.47106,1706577806
master,1202.19142,1706577811
node_3,373.3422,1706577811
node_1,367.29374,1706577811
node_2,357.71564,1706577811
master,1202.50076,1706577816
node_3,373.33986,1706577816
node_1,363.94842,1706577816
node_2,361.66486,1706577816
master,1203.39528,1706577821
node_3,363.16092,1706577821
node_1,364.62426,1706577821
node_2,364.27578,1706577821
master,1203.78826,1706577826
node_3,361.7883,1706577826
node_1,362.26172,1706577826
node_2,363.53674,1706577826
master,1204.35468,1706577831
node_3,362.30468,1706577831
node_1,361.36876,1706577831
node_2,365.04298,1706577831
master,1204.48362,1706577836
node_3,364.32498,1706577836
node_1,354.51952,1706577836
node_2,360.78904,1706577836
master,1204.67654,1706577841
node_3,359.66484,1706577841
node_1,355.21954,1706577841
node_2,356.6914,1706577841
master,1204.98358,1706577846
node_3,360.22184,1706577846
node_1,355.0969,1706577846
node_2,355.48516,1706577846
master,1205.38518,1706577851
node_3,355.2422,1706577851
node_1,355.64296,1706577851
node_2,352.63906,1706577851
master,1206.55548,1706577856
node_3,354.38982,1706577856
node_1,353.35782,1706577856
node_2,354.30862,1706577856
master,1207.26018,1706577861
node_3,355.88984,1706577861
node_1,352.91642,1706577861
node_2,356.61562,1706577861
master,1207.56328,1706577866
node_3,359.31876,1706577866
node_1,355.04062,1706577866
node_2,358.0086,1706577866
master,1208.50468,1706577871
node_3,362.1875,1706577871
node_1,357.63828,1706577871
node_2,362.84298,1706577871
master,1208.78358,1706577876
node_3,363.58596,1706577876
node_1,358.41564,1706577876
node_2,372.9586,1706577876
master,1209.12578,1706577881
node_3,361.43984,1706577881
node_1,361.6758,1706577881
node_2,371.91876,1706577881
master,1209.11484,1706577886
node_3,360.01406,1706577886
node_1,362.16718,1706577886
node_2,369.4047,1706577886
master,1209.27504,1706577891
node_3,358.8953,1706577891
node_1,362.83826,1706577891
node_2,361.41328,1706577891
master,1209.35624,1706577896
node_3,359.87032,1706577896
node_1,356.17108,1706577896
node_2,353.4219,1706577896
master,1210.7633,1706577901
node_3,363.6703,1706577901
node_1,358.40858,1706577901
node_2,353.66718,1706577901
master,1213.77344,1706577906
node_3,370.14456,1706577906
node_1,372.75394,1706577906
node_2,377.74844,1706577906
master,1214.22654,1706577911
node_3,369.40078,1706577911
node_1,363.8867,1706577911
node_2,365.81404,1706577911
master,1214.61404,1706577916
node_3,365.71486,1706577916
node_1,362.37812,1706577916
node_2,366.28904,1706577916
master,1214.7164,1706577921
node_3,360.6961,1706577921
node_1,362.63284,1706577921
node_2,368.81174,1706577921
master,1215.35624,1706577926
node_3,353.16564,1706577926
node_1,362.54142,1706577926
node_2,369.16954,1706577926
master,1215.81484,1706577931
node_3,354.92816,1706577931
node_1,364.7617,1706577931
node_2,362.09766,1706577931
master,1216.0133,1706577936
node_3,357.46954,1706577936
node_1,367.10624,1706577936
node_2,362.37422,1706577936
master,1215.925,1706577941
node_3,359.98436,1706577941
node_1,369.84374,1706577941
node_2,364.5539,1706577941
master,1215.82654,1706577946
node_3,362.37108,1706577946
node_1,367.2125,1706577946
node_2,361.57188,1706577946
master,1215.7969,1706577951
node_3,364.98984,1706577951
node_1,361.65936,1706577951
node_2,360.11484,1706577951
master,1216.17576,1706577956
node_3,365.75316,1706577956
node_1,360.6992,1706577956
node_2,359.24846,1706577956
master,1216.41326,1706577961
node_3,364.5141,1706577961
node_1,357.07734,1706577961
node_2,360.55392,1706577961
master,1216.45936,1706577966
node_3,359.0234,1706577966
node_1,357.55706,1706577966
node_2,362.78906,1706577966
master,1216.38358,1706577971
node_3,357.47502,1706577971
node_1,358.4508,1706577971
node_2,354.49298,1706577971
master,1216.56484,1706577976
node_3,350.56174,1706577976
node_1,358.68364,1706577976
node_2,353.6094,1706577976
