hostname,value,timestamp
master,96.602788,1706582616
node_2,93.610328,1706582616
node_1,96.582018,1706582616
node_3,90.709194,1706582616
master,97.38827,1706582621
node_2,90.38907,1706582621
node_1,83.774168,1706582621
node_3,92.387358,1706582621
master,97.966978,1706582626
node_2,93.753724,1706582626
node_1,95.662374,1706582626
node_3,95.388056,1706582626
master,97.949178,1706582631
node_2,94.397558,1706582631
node_1,79.202504,1706582631
node_3,94.845836,1706582631
master,97.745744,1706582636
node_2,94.362736,1706582636
node_1,53.590098,1706582636
node_3,96.395682,1706582636
master,97.997966,1706582641
node_2,95.719768,1706582641
node_1,29.7294888,1706582641
node_3,92.354076,1706582641
master,96.971198,1706582646
node_2,82.80417,1706582646
node_1,51.718228,1706582646
node_3,84.24518,1706582646
master,97.357272,1706582651
node_2,78.497856,1706582651
node_1,68.060546,1706582651
node_3,75.381398,1706582651
master,97.929142,1706582656
node_2,94.523838,1706582656
node_1,71.48086,1706582656
node_3,96.848098,1706582656
master,98.181844,1706582661
node_2,95.378346,1706582661
node_1,86.92406,1706582661
node_3,88.532248,1706582661
master,98.031432,1706582666
node_2,90.625658,1706582666
node_1,94.80272,1706582666
node_3,95.953542,1706582666
master,98.063944,1706582671
node_2,96.581506,1706582671
node_1,92.825714,1706582671
node_3,93.352368,1706582671
master,97.609958,1706582676
node_2,91.741818,1706582676
node_1,92.355492,1706582676
node_3,95.46811,1706582676
master,97.84388,1706582681
node_2,94.925542,1706582681
node_1,89.112922,1706582681
node_3,92.681848,1706582681
master,97.74615,1706582686
node_2,73.536642,1706582686
node_1,84.796236,1706582686
node_3,72.676664,1706582686
master,97.289966,1706582691
node_2,89.520936,1706582691
node_1,96.08109,1706582691
node_3,82.490682,1706582691
master,98.077912,1706582696
node_2,92.935578,1706582696
node_1,93.734666,1706582696
node_3,96.085762,1706582696
master,98.19525,1706582701
node_2,93.243498,1706582701
node_1,95.58319,1706582701
node_3,93.407874,1706582701
master,98.03063,1706582706
node_2,93.68434,1706582706
node_1,94.691442,1706582706
node_3,95.815078,1706582706
master,97.58756,1706582711
node_2,93.191668,1706582711
node_1,93.209068,1706582711
node_3,90.945304,1706582711
master,97.413578,1706582716
node_2,92.837044,1706582716
node_1,91.070216,1706582716
node_3,94.178074,1706582716
master,97.909784,1706582721
node_2,94.600422,1706582721
node_1,96.169728,1706582721
node_3,85.840484,1706582721
master,98.04384,1706582726
node_2,90.260712,1706582726
node_1,91.505328,1706582726
node_3,92.873772,1706582726
master,97.761164,1706582731
node_2,95.477386,1706582731
node_1,85.576176,1706582731
node_3,90.749806,1706582731
master,97.994898,1706582736
node_2,95.31476,1706582736
node_1,94.75686,1706582736
node_3,96.602576,1706582736
master,97.979828,1706582741
node_2,95.764052,1706582741
node_1,96.076988,1706582741
node_3,93.473648,1706582741
master,98.042746,1706582746
node_2,95.181334,1706582746
node_1,90.690278,1706582746
node_3,92.935384,1706582746
master,97.529982,1706582751
node_2,95.463936,1706582751
node_1,87.93689,1706582751
node_3,93.307596,1706582751
master,97.236718,1706582756
node_2,87.880194,1706582756
node_1,84.577526,1706582756
node_3,88.436356,1706582756
master,97.657074,1706582761
node_2,83.55112,1706582761
node_1,83.070986,1706582761
node_3,68.448302,1706582761
master,98.013146,1706582766
node_2,95.766484,1706582766
node_1,94.295166,1706582766
node_3,96.406972,1706582766
master,98.042682,1706582771
node_2,92.99139,1706582771
node_1,93.58427,1706582771
node_3,91.911712,1706582771
master,98.04714,1706582776
node_2,95.665316,1706582776
node_1,94.894148,1706582776
node_3,95.51697,1706582776
master,98.095314,1706582781
node_2,93.486158,1706582781
node_1,94.561338,1706582781
node_3,91.698504,1706582781
master,97.765738,1706582786
node_2,93.262358,1706582786
node_1,94.996218,1706582786
node_3,96.11273,1706582786
master,98.047682,1706582791
node_2,92.74666,1706582791
node_1,94.694724,1706582791
node_3,91.775742,1706582791
master,97.441702,1706582796
node_2,83.543506,1706582796
node_1,78.51795,1706582796
node_3,73.4503,1706582796
master,97.340142,1706582801
node_2,90.044956,1706582801
node_1,95.266994,1706582801
node_3,88.267718,1706582801
master,97.994028,1706582806
node_2,95.615252,1706582806
node_1,95.469754,1706582806
node_3,92.5047,1706582806
master,97.964318,1706582811
node_2,94.216442,1706582811
node_1,96.272856,1706582811
node_3,87.891748,1706582811
master,98.128986,1706582816
node_2,95.98519,1706582816
node_1,95.251194,1706582816
node_3,95.74408,1706582816
master,97.625182,1706582821
node_2,89.618314,1706582821
node_1,94.34133,1706582821
node_3,89.554262,1706582821
master,97.976256,1706582826
node_2,94.066036,1706582826
node_1,93.89812,1706582826
node_3,95.786176,1706582826
master,98.00729,1706582831
node_2,93.489024,1706582831
node_1,94.304018,1706582831
node_3,93.135346,1706582831
master,97.827892,1706582836
node_2,95.359634,1706582836
node_1,93.312108,1706582836
node_3,94.586458,1706582836
master,97.452104,1706582841
node_2,91.678614,1706582841
node_1,93.515512,1706582841
node_3,92.305764,1706582841
master,98.109826,1706582846
node_2,96.32457,1706582846
node_1,95.347176,1706582846
node_3,94.856426,1706582846
master,97.741096,1706582851
node_2,92.714806,1706582851
node_1,93.108188,1706582851
node_3,93.638318,1706582851
