hostname,value,timestamp
node_2,95.15819,1706659236
node_1,92.87421,1706659236
master,96.1612,1706659236
node_3,91.422574,1706659236
node_2,92.798322,1706659241
node_1,93.849414,1706659241
master,97.978388,1706659241
node_3,91.900438,1706659241
node_2,94.56752,1706659246
node_1,94.292396,1706659246
master,97.809354,1706659246
node_3,94.65739,1706659246
node_2,89.826482,1706659251
node_1,94.296024,1706659251
master,98.080144,1706659251
node_3,91.435304,1706659251
node_2,95.178548,1706659256
node_1,94.773352,1706659256
master,98.044212,1706659256
node_3,94.494606,1706659256
node_2,91.544326,1706659261
node_1,93.113326,1706659261
master,98.100156,1706659261
node_3,91.817226,1706659261
node_2,94.971222,1706659266
node_1,92.518668,1706659266
master,98.111468,1706659266
node_3,91.856608,1706659266
node_2,92.52086,1706659271
node_1,94.13322,1706659271
master,98.032028,1706659271
node_3,91.955708,1706659271
node_2,94.887844,1706659276
node_1,93.237208,1706659276
master,97.573354,1706659276
node_3,94.689334,1706659276
node_2,90.418668,1706659281
node_1,93.324088,1706659281
master,97.915468,1706659281
node_3,91.649874,1706659281
node_2,94.567186,1706659286
node_1,93.26297,1706659286
master,97.626976,1706659286
node_3,95.4524,1706659286
node_2,92.32501,1706659291
node_1,94.657654,1706659291
master,97.99692,1706659291
node_3,91.765584,1706659291
node_2,93.709834,1706659296
node_1,92.538126,1706659296
master,97.915784,1706659296
node_3,95.238362,1706659296
node_2,92.174256,1706659301
node_1,92.703594,1706659301
master,98.246684,1706659301
node_3,89.282132,1706659301
node_2,94.891966,1706659306
node_1,94.329636,1706659306
master,97.994824,1706659306
node_3,92.959078,1706659306
node_2,91.969708,1706659311
node_1,93.995344,1706659311
master,98.112062,1706659311
node_3,92.133116,1706659311
node_2,93.22363,1706659316
node_1,95.656328,1706659316
master,98.262198,1706659316
node_3,94.260074,1706659316
node_2,92.250074,1706659321
node_1,92.536958,1706659321
master,98.081344,1706659321
node_3,92.580358,1706659321
node_2,93.90378,1706659326
node_1,94.951416,1706659326
master,97.776436,1706659326
node_3,94.428232,1706659326
node_2,92.467142,1706659331
node_1,91.378936,1706659331
master,98.01227,1706659331
node_3,90.54652,1706659331
node_2,94.963938,1706659336
node_1,94.705232,1706659336
master,98.029854,1706659336
node_3,92.946078,1706659336
node_2,92.288484,1706659341
node_1,92.68584,1706659341
master,98.091154,1706659341
node_3,92.414952,1706659341
node_2,94.014588,1706659346
node_1,95.650124,1706659346
master,98.148224,1706659346
node_3,94.988674,1706659346
node_2,90.749814,1706659351
node_1,92.76188,1706659351
master,98.01266,1706659351
node_3,92.008564,1706659351
node_2,93.563866,1706659356
node_1,95.222668,1706659356
master,98.161994,1706659356
node_3,92.81525,1706659356
node_2,91.986902,1706659361
node_1,90.064928,1706659361
master,98.096778,1706659361
node_3,92.1539,1706659361
node_2,94.868864,1706659366
node_1,95.506782,1706659366
master,98.081304,1706659366
node_3,92.118196,1706659366
node_2,92.895766,1706659371
node_1,91.967786,1706659371
master,98.177524,1706659371
node_3,92.550782,1706659371
node_2,91.805588,1706659376
node_1,95.165886,1706659376
master,97.795622,1706659376
node_3,92.913242,1706659376
node_2,90.875024,1706659381
node_1,92.263352,1706659381
master,98.0455,1706659381
node_3,91.306782,1706659381
node_2,94.378452,1706659386
node_1,95.310582,1706659386
master,98.163846,1706659386
node_3,94.555608,1706659386
node_2,93.353544,1706659391
node_1,92.627508,1706659391
master,97.980734,1706659391
node_3,91.81365,1706659391
node_2,93.216596,1706659396
node_1,92.44706,1706659396
master,97.355414,1706659396
node_3,90.352446,1706659396
node_2,73.684044,1706659401
node_1,70.21983,1706659401
master,97.859498,1706659401
node_3,68.089736,1706659401
node_2,29.017082,1706659406
node_1,30.377936,1706659406
master,97.691982,1706659406
node_3,30.264396,1706659406
node_2,27.283828,1706659411
node_1,27.734972,1706659411
master,97.713918,1706659411
node_3,26.055998,1706659411
node_2,28.788318,1706659416
node_1,30.306846,1706659416
master,97.929366,1706659416
node_3,30.073102,1706659416
node_2,28.562404,1706659421
node_1,28.143104,1706659421
master,98.244718,1706659421
node_3,27.322864,1706659421
node_2,27.350494,1706659426
node_1,29.219226,1706659426
master,98.044682,1706659426
node_3,28.487006,1706659426
node_2,28.624534,1706659431
node_1,27.057296,1706659431
master,98.061742,1706659431
node_3,25.63449,1706659431
node_2,28.682418,1706659436
node_1,30.73691,1706659436
master,98.180046,1706659436
node_3,28.885718,1706659436
node_2,28.597604,1706659441
node_1,25.20008,1706659441
master,98.13056,1706659441
node_3,27.83035,1706659441
node_2,26.42524,1706659446
node_1,30.687684,1706659446
master,98.211692,1706659446
node_3,28.851916,1706659446
node_2,25.90184,1706659451
node_1,26.320648,1706659451
master,97.680004,1706659451
node_3,26.400814,1706659451
node_2,26.101376,1706659456
node_1,29.726226,1706659456
master,97.795572,1706659456
node_3,29.869276,1706659456
node_2,28.214418,1706659461
node_1,27.482174,1706659461
master,98.081186,1706659461
node_3,27.209586,1706659461
node_2,28.642954,1706659466
node_1,30.64923,1706659466
master,97.86609,1706659466
node_3,29.323642,1706659466
node_2,27.495374,1706659471
node_1,28.039982,1706659471
master,98.01138,1706659471
node_3,26.662936,1706659471
node_2,28.046214,1706659476
node_1,30.976824,1706659476
master,98.164502,1706659476
node_3,28.82042,1706659476
node_2,27.3494074,1706659481
node_1,27.95088,1706659481
master,97.881404,1706659481
node_3,27.655978,1706659481
node_2,29.17691,1706659486
node_1,29.078336,1706659486
master,98.06527,1706659486
node_3,28.711106,1706659486
node_2,25.382882,1706659491
node_1,26.727338,1706659491
master,97.713584,1706659491
node_3,26.830202,1706659491
node_2,29.62667,1706659496
node_1,30.030604,1706659496
master,98.061314,1706659496
node_3,28.383406,1706659496
node_2,27.389722,1706659501
node_1,27.938002,1706659501
master,98.161472,1706659501
node_3,26.657076,1706659501
node_2,28.75882,1706659506
node_1,28.643434,1706659506
master,97.814678,1706659506
node_3,30.166882,1706659506
node_2,25.8412314,1706659511
node_1,28.740646,1706659511
master,98.127832,1706659511
node_3,27.667472,1706659511
node_2,30.073782,1706659516
node_1,28.749922,1706659516
master,97.244334,1706659516
node_3,30.003242,1706659516
node_2,25.988432,1706659521
node_1,26.519382,1706659521
master,97.846302,1706659521
node_3,27.843328,1706659521
node_2,30.257494,1706659526
node_1,28.909232,1706659526
master,97.71018,1706659526
node_3,27.849566,1706659526
node_2,26.585402,1706659531
node_1,28.056264,1706659531
master,97.859878,1706659531
node_3,26.394614,1706659531
node_2,30.156064,1706659536
node_1,29.109836,1706659536
master,98.129682,1706659536
node_3,31.001716,1706659536
node_2,24.891996,1706659541
node_1,27.787174,1706659541
master,97.89443,1706659541
node_3,25.91115,1706659541
node_2,29.289462,1706659546
node_1,29.146538,1706659546
master,98.197882,1706659546
node_3,30.9674,1706659546
node_2,26.89803,1706659551
node_1,28.107836,1706659551
master,97.684122,1706659551
node_3,26.384186,1706659551
node_2,29.912522,1706659556
node_1,29.156904,1706659556
master,98.048588,1706659556
node_3,30.750736,1706659556
node_2,26.721072,1706659561
node_1,27.54499,1706659561
master,98.013746,1706659561
node_3,24.723928,1706659561
node_2,30.321278,1706659566
node_1,29.515202,1706659566
master,97.992144,1706659566
node_3,30.73873,1706659566
node_2,25.454162,1706659571
node_1,27.744698,1706659571
master,97.79735,1706659571
node_3,25.576302,1706659571
node_2,30.85154,1706659576
node_1,28.596556,1706659576
master,98.131678,1706659576
node_3,31.289314,1706659576
node_2,26.6634,1706659581
node_1,28.888528,1706659581
master,98.080208,1706659581
node_3,25.685582,1706659581
node_2,30.489788,1706659586
node_1,28.099794,1706659586
master,97.931446,1706659586
node_3,30.919858,1706659586
node_2,26.17806,1706659591
node_1,29.025616,1706659591
master,97.865584,1706659591
node_3,24.689102,1706659591
node_2,30.47389,1706659596
node_1,29.833344,1706659596
master,98.230288,1706659596
node_3,29.770604,1706659596
node_2,25.072684,1706659601
node_1,28.699848,1706659601
master,97.691612,1706659601
node_3,26.429532,1706659601
node_2,28.412072,1706659606
node_1,30.177204,1706659606
master,97.997644,1706659606
node_3,30.809966,1706659606
node_2,27.507894,1706659611
node_1,26.839892,1706659611
master,97.894972,1706659611
node_3,27.052126,1706659611
node_2,29.8078,1706659616
node_1,28.84323,1706659616
master,98.13153,1706659616
node_3,30.07927,1706659616
node_2,28.4146,1706659621
node_1,26.258822,1706659621
master,98.043882,1706659621
node_3,26.06051,1706659621
node_2,28.79631,1706659626
node_1,30.66793,1706659626
master,97.976358,1706659626
node_3,29.566324,1706659626
node_2,28.508986,1706659631
node_1,26.943666,1706659631
master,97.928096,1706659631
node_3,26.286802,1706659631
node_2,27.466442,1706659636
node_1,30.773354,1706659636
master,97.608628,1706659636
node_3,30.488304,1706659636
node_2,27.986172,1706659641
node_1,26.744382,1706659641
master,97.810594,1706659641
node_3,26.4523974,1706659641
node_2,29.566648,1706659646
node_1,29.359394,1706659646
master,97.597606,1706659646
node_3,31.204954,1706659646
node_2,27.834946,1706659651
node_1,26.041142,1706659651
master,97.625598,1706659651
node_3,27.137538,1706659651
node_2,29.961198,1706659656
node_1,31.195734,1706659656
master,97.827386,1706659656
node_3,28.013126,1706659656
node_2,27.471462,1706659661
node_1,27.337378,1706659661
master,97.962406,1706659661
node_3,27.116336,1706659661
node_2,26.758222,1706659666
node_1,30.615158,1706659666
master,98.07828,1706659666
node_3,29.229784,1706659666
node_2,27.340732,1706659671
node_1,27.18472,1706659671
master,98.165176,1706659671
node_3,26.263806,1706659671
node_2,29.289358,1706659676
node_1,30.831002,1706659676
master,97.994832,1706659676
node_3,29.45955,1706659676
node_2,27.180314,1706659681
node_1,27.068204,1706659681
master,97.929278,1706659681
node_3,25.941284,1706659681
node_2,29.135394,1706659686
node_1,30.627862,1706659686
master,97.980996,1706659686
node_3,28.294996,1706659686
node_2,26.203082,1706659691
node_1,26.692752,1706659691
master,97.711722,1706659691
node_3,26.470444,1706659691
node_2,29.736312,1706659696
node_1,30.543348,1706659696
master,97.946794,1706659696
node_3,29.47932,1706659696
node_2,26.462828,1706659701
node_1,27.169302,1706659701
master,97.979112,1706659701
node_3,26.119756,1706659701
node_2,30.462272,1706659706
node_1,31.01366,1706659706
master,98.013822,1706659706
node_3,29.328834,1706659706
node_2,26.3453766,1706659711
node_1,26.480248,1706659711
master,97.979978,1706659711
node_3,26.882736,1706659711
node_2,29.821464,1706659716
node_1,30.482422,1706659716
master,98.162526,1706659716
node_3,29.004578,1706659716
node_2,25.7835212,1706659721
node_1,28.075576,1706659721
master,98.347622,1706659721
node_3,25.450774,1706659721
node_2,29.513136,1706659726
node_1,29.065554,1706659726
master,97.795614,1706659726
node_3,30.40466,1706659726
node_2,22.684176,1706659731
node_1,27.696122,1706659731
master,97.877216,1706659731
node_3,27.516506,1706659731
node_2,28.447906,1706659736
node_1,30.355448,1706659736
master,98.413512,1706659736
node_3,28.990668,1706659736
node_2,26.495304,1706659741
node_1,26.327548,1706659741
master,97.863006,1706659741
node_3,26.87136,1706659741
node_2,28.342854,1706659746
node_1,29.258802,1706659746
master,98.02786,1706659746
node_3,30.120664,1706659746
node_2,26.27782,1706659751
node_1,27.256846,1706659751
master,97.829846,1706659751
node_3,26.573674,1706659751
node_2,28.05048,1706659756
node_1,30.083292,1706659756
master,97.911562,1706659756
node_3,29.736646,1706659756
node_2,24.75174,1706659761
node_1,27.818216,1706659761
master,97.44417,1706659761
node_3,26.660454,1706659761
node_2,27.665046,1706659766
node_1,28.77178,1706659766
master,97.843084,1706659766
node_3,29.846648,1706659766
node_2,26.020328,1706659771
node_1,28.118292,1706659771
master,97.946828,1706659771
node_3,27.280278,1706659771
node_2,30.130748,1706659776
node_1,28.14504,1706659776
master,97.86427,1706659776
node_3,30.184514,1706659776
node_2,27.019428,1706659781
node_1,27.352092,1706659781
master,97.997292,1706659781
node_3,26.268084,1706659781
node_2,28.346188,1706659786
node_1,29.45943,1706659786
master,97.83034,1706659786
node_3,28.765102,1706659786
node_2,27.578418,1706659791
node_1,27.52762,1706659791
master,97.677462,1706659791
node_3,26.831344,1706659791
node_2,26.374534,1706659796
node_1,29.76836,1706659796
master,97.610594,1706659796
node_3,29.68304,1706659796
node_2,27.47195,1706659801
node_1,27.241452,1706659801
master,97.880968,1706659801
node_3,27.027668,1706659801
node_2,28.46029,1706659806
node_1,27.99604,1706659806
master,97.843948,1706659806
node_3,30.586786,1706659806
node_2,26.963532,1706659811
node_1,27.340346,1706659811
master,97.89681,1706659811
node_3,26.052626,1706659811
node_2,27.609116,1706659816
node_1,29.41588,1706659816
master,98.07819,1706659816
node_3,28.608388,1706659816
node_2,27.546208,1706659821
node_1,27.479186,1706659821
master,98.197628,1706659821
node_3,27.027952,1706659821
node_2,26.277996,1706659826
node_1,29.780766,1706659826
master,97.761092,1706659826
node_3,30.378472,1706659826
node_2,27.825778,1706659831
node_1,27.809352,1706659831
master,98.162966,1706659831
node_3,26.475238,1706659831
node_2,27.88619,1706659836
node_1,29.336822,1706659836
master,97.944974,1706659836
node_3,30.506824,1706659836
node_2,29.363442,1706659841
node_1,26.168942,1706659841
master,98.061454,1706659841
node_3,27.127776,1706659841
node_2,27.11902,1706659846
node_1,30.103414,1706659846
master,97.979924,1706659846
node_3,29.722996,1706659846
node_2,28.089036,1706659851
node_1,27.100858,1706659851
master,97.895546,1706659851
node_3,24.722294,1706659851
node_2,27.341192,1706659856
node_1,30.313542,1706659856
master,97.82872,1706659856
node_3,30.630344,1706659856
node_2,26.5492516,1706659861
node_1,27.151988,1706659861
master,97.983552,1706659861
node_3,26.592916,1706659861
node_2,27.778868,1706659866
node_1,29.716256,1706659866
master,97.928636,1706659866
node_3,30.779262,1706659866
node_2,28.490588,1706659871
node_1,25.5826046,1706659871
master,98.196552,1706659871
node_3,27.538722,1706659871
node_2,28.559066,1706659876
node_1,30.121186,1706659876
master,97.630822,1706659876
node_3,30.230874,1706659876
node_2,27.61459,1706659881
node_1,29.104098,1706659881
master,97.457696,1706659881
node_3,24.37602,1706659881
node_2,27.30918,1706659886
node_1,29.39358,1706659886
master,97.675548,1706659886
node_3,30.351312,1706659886
node_2,25.933344,1706659891
node_1,26.1800242,1706659891
master,97.980074,1706659891
node_3,25.83775,1706659891
node_2,28.141808,1706659896
node_1,29.951278,1706659896
master,97.927366,1706659896
node_3,30.828426,1706659896
node_2,27.991126,1706659901
node_1,26.09021,1706659901
master,97.845552,1706659901
node_3,27.619322,1706659901
node_2,28.523026,1706659906
node_1,30.205886,1706659906
master,98.347524,1706659906
node_3,29.670092,1706659906
node_2,28.33014,1706659911
node_1,27.094124,1706659911
master,97.816028,1706659911
node_3,27.50361,1706659911
node_2,29.135132,1706659916
node_1,30.281318,1706659916
master,97.915892,1706659916
node_3,28.240902,1706659916
node_2,24.555363,1706659921
node_1,26.518216,1706659921
master,97.996734,1706659921
node_3,27.975328,1706659921
node_2,28.779088,1706659926
node_1,29.749734,1706659926
master,97.881112,1706659926
node_3,28.95628,1706659926
node_2,25.9112626,1706659931
node_1,25.259704,1706659931
master,97.796956,1706659931
node_3,26.647714,1706659931
node_2,29.679022,1706659936
node_1,29.568618,1706659936
master,98.06258,1706659936
node_3,29.315092,1706659936
node_2,26.254714,1706659941
node_1,27.126864,1706659941
master,98.11437,1706659941
node_3,28.10225,1706659941
node_2,29.67206,1706659946
node_1,29.928018,1706659946
master,97.945786,1706659946
node_3,27.81909,1706659946
node_2,26.664318,1706659951
node_1,30.899014,1706659951
master,97.930366,1706659951
node_3,27.062796,1706659951
node_2,27.829904,1706659956
node_1,28.929964,1706659956
master,98.04424,1706659956
node_3,30.029798,1706659956
node_2,26.21068,1706659961
node_1,27.831302,1706659961
master,98.04579,1706659961
node_3,26.60534,1706659961
node_2,28.602682,1706659966
node_1,28.00867,1706659966
master,98.065026,1706659966
node_3,29.725912,1706659966
node_2,25.8293598,1706659971
node_1,29.135184,1706659971
master,97.924366,1706659971
node_3,27.497818,1706659971
node_1,28.626036,1706659976
node_2,29.819188,1706659976
master,98.097296,1706659976
node_3,27.55675,1706659976
node_2,25.0187414,1706659981
node_1,27.735854,1706659981
master,97.894868,1706659981
node_3,26.699418,1706659981
node_2,28.310474,1706659986
node_1,28.938192,1706659986
master,97.962842,1706659986
node_3,30.230464,1706659986
node_2,25.642738,1706659991
node_1,27.786178,1706659991
master,97.780288,1706659991
node_3,28.296714,1706659991
node_2,29.963256,1706659996
node_1,28.633,1706659996
master,97.945902,1706659996
node_3,29.230302,1706659996
node_2,41.771976,1706660001
node_1,43.204128,1706660001
master,97.589514,1706660001
node_3,43.996288,1706660001
node_2,94.210964,1706660006
node_1,92.314686,1706660006
master,97.663072,1706660006
node_3,94.40181,1706660006
node_2,89.684334,1706660011
node_1,93.23124,1706660011
master,97.545392,1706660011
node_3,88.684788,1706660011
node_2,95.6271,1706660016
node_1,94.43748,1706660016
master,98.06434,1706660016
node_3,95.598758,1706660016
node_2,89.681122,1706660021
node_1,94.203172,1706660021
master,98.009168,1706660021
node_3,92.309616,1706660021
