hostname,value,timestamp
node_2,405.85392,1706659236
node_1,415.67032,1706659236
master,1237.74606,1706659236
node_3,401.225,1706659236
node_2,410.82578,1706659241
node_1,415.79062,1706659241
master,1235.78358,1706659241
node_3,403.6383,1706659241
node_2,411.95938,1706659246
node_1,417.15,1706659246
master,1236.74532,1706659246
node_3,406.27032,1706659246
node_2,414.93046,1706659251
node_1,416.16406,1706659251
master,1236.73674,1706659251
node_3,407.41876,1706659251
node_2,416.6164,1706659256
node_1,414.11408,1706659256
master,1237.07108,1706659256
node_3,406.23436,1706659256
node_2,408.14142,1706659261
node_1,410.55544,1706659261
master,1237.45544,1706659261
node_3,394.62656,1706659261
node_2,402.95312,1706659266
node_1,411.57186,1706659266
master,1237.44686,1706659266
node_3,397.02184,1706659266
node_2,403.21954,1706659271
node_1,410.8867,1706659271
master,1237.48672,1706659271
node_3,398.67578,1706659271
node_2,403.38514,1706659276
node_1,412.51172,1706659276
master,1237.6758,1706659276
node_3,397.58986,1706659276
node_2,407.65154,1706659281
node_1,414.14452,1706659281
master,1237.99376,1706659281
node_3,400.20548,1706659281
node_2,410.95626,1706659286
node_1,415.55,1706659286
master,1238.36876,1706659286
node_3,403.48202,1706659286
node_2,412.68516,1706659291
node_1,416.40472,1706659291
master,1237.85074,1706659291
node_3,400.68906,1706659291
node_2,416.96718,1706659296
node_1,416.4555,1706659296
master,1238.17502,1706659296
node_3,398.95938,1706659296
node_2,416.21874,1706659301
node_1,413.95312,1706659301
master,1237.99998,1706659301
node_3,401.15314,1706659301
node_2,414.3797,1706659306
node_1,414.79298,1706659306
master,1238.19062,1706659306
node_3,402.93596,1706659306
node_2,412.94846,1706659311
node_1,414.43982,1706659311
master,1238.18126,1706659311
node_3,402.8289,1706659311
node_2,411.98516,1706659316
node_1,415.0617,1706659316
master,1238.4219,1706659316
node_3,401.75466,1706659316
node_2,407.85626,1706659321
node_1,414.46328,1706659321
master,1238.41332,1706659321
node_3,400.94218,1706659321
node_2,403.34842,1706659326
node_1,415.51564,1706659326
master,1238.4039,1706659326
node_3,402.1539,1706659326
node_2,408.24924,1706659331
node_1,414.94532,1706659331
master,1238.35078,1706659331
node_3,397.82968,1706659331
node_2,412.26328,1706659336
node_1,417.00468,1706659336
master,1238.89922,1706659336
node_3,393.74686,1706659336
node_2,411.39844,1706659341
node_1,417.78672,1706659341
master,1239.39452,1706659341
node_3,395.70156,1706659341
node_2,408.5617,1706659346
node_1,418.13906,1706659346
master,1239.72656,1706659346
node_3,398.83046,1706659346
node_2,411.35626,1706659351
node_1,416.54374,1706659351
master,1239.9172,1706659351
node_3,402.87108,1706659351
node_2,412.39608,1706659356
node_1,418.27812,1706659356
master,1240.3289,1706659356
node_3,404.74608,1706659356
node_2,409.72188,1706659361
node_1,416.87892,1706659361
master,1240.36016,1706659361
node_3,403.47892,1706659361
node_2,404.71638,1706659366
node_1,416.8258,1706659366
master,1240.79768,1706659366
node_3,403.80546,1706659366
node_2,405.48594,1706659371
node_1,415.78828,1706659371
master,1240.87268,1706659371
node_3,402.45546,1706659371
node_2,407.83828,1706659376
node_1,416.36406,1706659376
master,1241.08592,1706659376
node_3,399.52812,1706659376
node_2,407.8461,1706659381
node_1,415.06094,1706659381
master,1241.29608,1706659381
node_3,397.81796,1706659381
node_2,403.26016,1706659386
node_1,415.13596,1706659386
master,1241.75002,1706659386
node_3,393.35858,1706659386
node_2,403.62736,1706659391
node_1,414.69922,1706659391
master,1241.96014,1706659391
node_3,394.17112,1706659391
node_2,410.59456,1706659396
node_1,417.33988,1706659396
master,1242.95544,1706659396
node_3,400.55546,1706659396
node_2,422.45702,1706659401
node_1,427.47734,1706659401
master,1244.09142,1706659401
node_3,411.23048,1706659401
node_2,438.89296,1706659406
node_1,441.66796,1706659406
master,1244.43204,1706659406
node_3,420.17188,1706659406
node_2,442.8383,1706659411
node_1,440.41874,1706659411
master,1244.51094,1706659411
node_3,420.27188,1706659411
node_2,440.00468,1706659416
node_1,439.61094,1706659416
master,1244.52578,1706659416
node_3,420.88672,1706659416
node_2,443.99142,1706659421
node_1,439.52578,1706659421
master,1244.7875,1706659421
node_3,420.20156,1706659421
node_2,449.76094,1706659426
node_1,439.73282,1706659426
master,1244.95546,1706659426
node_3,421.05078,1706659426
node_2,447.43436,1706659431
node_1,439.99296,1706659431
master,1245.47658,1706659431
node_3,424.07498,1706659431
node_2,444.64296,1706659436
node_1,440.60076,1706659436
master,1245.25704,1706659436
node_3,423.33594,1706659436
node_2,449.21172,1706659441
node_1,443.975,1706659441
master,1245.4164,1706659441
node_3,425.23518,1706659441
node_2,448.55314,1706659446
node_1,443.0883,1706659446
master,1246.01254,1706659446
node_3,425.51876,1706659446
node_2,443.8336,1706659451
node_1,443.50468,1706659451
master,1246.32658,1706659451
node_3,425.32972,1706659451
node_2,444.8367,1706659456
node_1,443.91876,1706659456
master,1246.8094,1706659456
node_3,424.89688,1706659456
node_2,444.14374,1706659461
node_1,444.94844,1706659461
master,1246.93126,1706659461
node_3,425.13986,1706659461
node_2,448.125,1706659466
node_1,444.88282,1706659466
master,1247.01172,1706659466
node_3,427.48516,1706659466
node_2,453.51796,1706659471
node_1,448.82968,1706659471
master,1247.41876,1706659471
node_3,426.61016,1706659471
node_2,450.85624,1706659476
node_1,444.66406,1706659476
master,1247.8242,1706659476
node_3,426.3789,1706659476
node_2,448.64298,1706659481
node_1,444.29218,1706659481
master,1248.3336,1706659481
node_3,428.33518,1706659481
node_2,447.3336,1706659486
node_1,447.3414,1706659486
master,1248.90394,1706659486
node_3,429.62342,1706659486
node_2,439.60626,1706659491
node_1,448.76796,1706659491
master,1249.14996,1706659491
node_3,427.35078,1706659491
node_2,440.56718,1706659496
node_1,446.95156,1706659496
master,1249.23046,1706659496
node_3,429.78204,1706659496
node_2,437.22188,1706659501
node_1,449.41484,1706659501
master,1249.63518,1706659501
node_3,430.32812,1706659501
node_2,441.1797,1706659506
node_1,451.49612,1706659506
master,1249.89296,1706659506
node_3,433.90858,1706659506
node_2,441.34296,1706659511
node_1,449.26014,1706659511
master,1250.1,1706659511
node_3,434.46094,1706659511
node_2,441.20154,1706659516
node_1,448.26874,1706659516
master,1250.42192,1706659516
node_3,432.04764,1706659516
node_2,440.41484,1706659521
node_1,450.99842,1706659521
master,1250.7797,1706659521
node_3,431.62892,1706659521
node_2,442.32342,1706659526
node_1,453.40702,1706659526
master,1250.90548,1706659526
node_3,432.77968,1706659526
node_2,448.2289,1706659531
node_1,452.54766,1706659531
master,1250.72812,1706659531
node_3,433.48672,1706659531
node_2,448.5172,1706659536
node_1,451.3297,1706659536
master,1250.79606,1706659536
node_3,433.66408,1706659536
node_2,451.96172,1706659541
node_1,451.88906,1706659541
master,1250.83122,1706659541
node_3,435.26796,1706659541
node_2,455.21876,1706659546
node_1,451.96954,1706659546
master,1251.01094,1706659546
node_3,434.89608,1706659546
node_2,459.47422,1706659551
node_1,452.81642,1706659551
master,1251.3617,1706659551
node_3,435.77498,1706659551
node_2,462.42266,1706659556
node_1,452.75,1706659556
master,1251.57032,1706659556
node_3,436.2492,1706659556
node_2,456.95078,1706659561
node_1,453.04298,1706659561
master,1251.77812,1706659561
node_3,437.69064,1706659561
node_2,454.375,1706659566
node_1,452.52108,1706659566
master,1251.9906,1706659566
node_3,435.74688,1706659566
node_2,460.27108,1706659571
node_1,453.56172,1706659571
master,1252.43752,1706659571
node_3,436.38908,1706659571
node_2,463.34216,1706659576
node_1,457.12344,1706659576
master,1253.18672,1706659576
node_3,437.84142,1706659576
node_2,464.00234,1706659581
node_1,455.28516,1706659581
master,1253.36326,1706659581
node_3,438.7828,1706659581
node_2,466.61096,1706659586
node_1,456.0781,1706659586
master,1253.46564,1706659586
node_3,439.20314,1706659586
node_2,465.73984,1706659591
node_1,457.43672,1706659591
master,1253.24374,1706659591
node_3,439.575,1706659591
node_2,458.28282,1706659596
node_1,458.56328,1706659596
master,1253.33596,1706659596
node_3,440.02186,1706659596
node_2,459.1336,1706659601
node_1,458.13438,1706659601
master,1253.38204,1706659601
node_3,438.79998,1706659601
node_2,458.54688,1706659606
node_1,458.68204,1706659606
master,1253.49844,1706659606
node_3,438.94844,1706659606
node_2,458.32188,1706659611
node_1,459.34532,1706659611
master,1253.43594,1706659611
node_3,440.22658,1706659611
node_2,461.84374,1706659616
node_1,460.55938,1706659616
master,1253.09532,1706659616
node_3,442.19064,1706659616
node_2,460.65312,1706659621
node_1,459.84298,1706659621
master,1253.22498,1706659621
node_3,443.53516,1706659621
node_2,462.36718,1706659626
node_1,458.63594,1706659626
master,1253.35624,1706659626
node_3,444.63124,1706659626
node_2,462.90782,1706659631
node_1,458.9828,1706659631
master,1253.68594,1706659631
node_3,444.0422,1706659631
node_2,466.66954,1706659636
node_1,460.88358,1706659636
master,1253.56408,1706659636
node_3,443.74844,1706659636
node_2,466.45314,1706659641
node_1,460.03358,1706659641
master,1253.77968,1706659641
node_3,442.7242,1706659641
node_2,468.2711,1706659646
node_1,462.69608,1706659646
master,1252.00002,1706659646
node_3,444.01094,1706659646
node_2,469.3961,1706659651
node_1,463.3992,1706659651
master,1251.25626,1706659651
node_3,444.10704,1706659651
node_2,470.0789,1706659656
node_1,461.55626,1706659656
master,1251.03204,1706659656
