4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1427.31          ---          ---        12.73395        11.71100        25.98300        43.26300       109.95 
Gets        14271.45         5.28     14266.17        12.72824        11.71100        25.98300        43.26300       556.10 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      15698.76         5.28     14266.17        12.72876        11.71100        25.98300        43.26300       666.05 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.815        0.000
SET      10.367        5.000
SET      11.007       10.000
SET      11.199       15.000
SET      11.327       20.000
SET      11.455       25.000
SET      11.519       30.000
SET      11.583       35.000
SET      11.647       40.000
SET      11.711       45.000
SET      11.711       50.000
SET      11.775       52.500
SET      11.775       55.000
SET      11.839       57.500
SET      11.839       60.000
SET      11.903       62.500
SET      11.903       65.000
SET      11.967       67.500
SET      12.031       70.000
SET      12.095       72.500
SET      12.159       75.000
SET      12.223       76.250
SET      12.287       77.500
SET      12.351       78.750
SET      12.479       80.000
SET      12.607       81.250
SET      12.799       82.500
SET      13.119       83.750
SET      13.439       85.000
SET      13.823       86.250
SET      14.271       87.500
SET      14.463       88.125
SET      14.719       88.750
SET      15.039       89.375
SET      15.487       90.000
SET      16.127       90.625
SET      17.279       91.250
SET      18.687       91.875
SET      20.095       92.500
SET      20.991       93.125
SET      21.759       93.750
SET      22.015       94.062
SET      22.143       94.375
SET      22.399       94.688
SET      22.527       95.000
SET      22.655       95.312
SET      22.783       95.625
SET      22.911       95.938
SET      23.039       96.250
SET      23.167       96.562
SET      23.295       96.875
SET      23.423       97.031
SET      23.423       97.188
SET      23.551       97.344
SET      23.551       97.500
SET      23.679       97.656
SET      23.807       97.812
SET      23.807       97.969
SET      23.935       98.125
SET      24.063       98.281
SET      24.191       98.438
SET      24.319       98.516
SET      24.447       98.594
SET      24.575       98.672
SET      24.831       98.750
SET      25.087       98.828
SET      25.471       98.906
SET      25.855       98.984
SET      26.367       99.062
SET      26.879       99.141
SET      27.647       99.219
SET      28.031       99.258
SET      28.287       99.297
SET      28.671       99.336
SET      29.055       99.375
SET      29.567       99.414
SET      30.207       99.453
SET      30.847       99.492
SET      31.487       99.531
SET      32.255       99.570
SET      33.023       99.609
SET      33.535       99.629
SET      34.047       99.648
SET      34.559       99.668
SET      35.071       99.688
SET      35.583       99.707
SET      36.095       99.727
SET      36.607       99.746
SET      37.375       99.766
SET      38.143       99.785
SET      38.911       99.805
SET      39.167       99.814
SET      39.679       99.824
SET      40.191       99.834
SET      40.447       99.844
SET      40.959       99.854
SET      41.471       99.863
SET      41.983       99.873
SET      42.495       99.883
SET      43.007       99.893
SET      43.519       99.902
SET      43.775       99.907
SET      44.031       99.912
SET      44.287       99.917
SET      44.543       99.922
SET      44.799       99.927
SET      45.311       99.932
SET      45.567       99.937
SET      46.079       99.941
SET      46.335       99.946
SET      46.847       99.951
SET      47.359       99.954
SET      47.615       99.956
SET      47.871       99.958
SET      48.127       99.961
SET      48.639       99.963
SET      48.895       99.966
SET      49.407       99.968
SET      49.663       99.971
SET      50.175       99.973
SET      50.943       99.976
SET      51.199       99.977
SET      51.455       99.978
SET      51.711       99.979
SET      51.711       99.980
SET      52.223       99.982
SET      52.735       99.983
SET      52.991       99.984
SET      53.247       99.985
SET      53.503       99.987
SET      54.271       99.988
SET      54.527       99.988
SET      54.783       99.989
SET      55.039       99.990
SET      55.295       99.990
SET      55.551       99.991
SET      55.807       99.991
SET      56.319       99.992
SET      56.575       99.993
SET      56.831       99.993
SET      57.087       99.994
SET      57.343       99.994
SET      57.343       99.995
SET      57.855       99.995
SET      58.111       99.995
SET      58.367       99.995
SET      58.879       99.996
