hostname,value,timestamp
node_2,94.61837,1706546681
master,97.946236,1706546681
node_1,95.376226,1706546681
node_3,94.850092,1706546681
node_2,93.72676,1706546686
master,98.249276,1706546686
node_1,95.709678,1706546686
node_3,93.551594,1706546686
node_2,95.674934,1706546691
master,98.011804,1706546691
node_1,93.419214,1706546691
node_3,93.483106,1706546691
node_2,93.875128,1706546696
master,97.866582,1706546696
node_1,95.725956,1706546696
node_3,93.168944,1706546696
node_2,95.82161,1706546701
master,97.976498,1706546701
node_1,95.465564,1706546701
node_3,95.164152,1706546701
node_2,93.46102,1706546706
master,97.912696,1706546706
node_1,96.059442,1706546706
node_3,95.844326,1706546706
node_2,94.403418,1706546711
master,97.845804,1706546711
node_1,95.669506,1706546711
node_3,94.089048,1706546711
node_2,95.633406,1706546716
master,97.914294,1706546716
node_1,95.77329,1706546716
node_3,94.38732,1706546716
node_2,95.011398,1706546721
master,98.19645,1706546721
node_1,94.548574,1706546721
node_3,94.713676,1706546721
node_2,95.546978,1706546726
master,98.094858,1706546726
node_1,96.222416,1706546726
node_3,92.77263,1706546726
node_2,93.412596,1706546731
master,97.94405,1706546731
node_1,94.96676,1706546731
node_3,94.781664,1706546731
node_2,95.84057,1706546736
master,98.042398,1706546736
node_1,95.967836,1706546736
node_3,94.58794,1706546736
node_2,94.036552,1706546741
master,98.29729,1706546741
node_1,96.380614,1706546741
node_3,94.353258,1706546741
node_2,94.87817,1706546746
master,98.112962,1706546746
node_1,95.011564,1706546746
node_3,94.402308,1706546746
node_2,94.263068,1706546751
master,98.210684,1706546751
node_1,94.955206,1706546751
node_3,94.355942,1706546751
node_2,95.43491,1706546756
master,98.097142,1706546756
node_1,94.293314,1706546756
node_3,94.16812,1706546756
node_2,94.905444,1706546761
master,98.11175,1706546761
node_1,95.67143,1706546761
node_3,94.858244,1706546761
node_2,95.025864,1706546766
master,98.048258,1706546766
node_3,94.05234,1706546766
node_1,94.852528,1706546766
node_2,95.03315,1706546771
master,97.942792,1706546771
node_1,96.621078,1706546771
node_3,93.49944,1706546771
node_2,92.059636,1706546776
master,98.080488,1706546776
node_1,94.99,1706546776
node_3,93.604064,1706546776
node_2,94.041248,1706546781
master,98.182456,1706546781
node_1,96.486394,1706546781
node_3,94.838252,1706546781
node_2,95.627486,1706546786
master,98.062906,1706546786
node_1,93.06471,1706546786
node_3,94.334666,1706546786
node_2,94.969286,1706546791
master,97.20364,1706546791
node_1,96.722874,1706546791
node_3,93.442362,1706546791
node_2,95.347476,1706546796
master,97.979682,1706546796
node_1,94.709674,1706546796
node_3,94.010578,1706546796
node_2,94.600734,1706546801
master,98.081018,1706546801
node_1,96.128956,1706546801
node_3,95.012612,1706546801
node_2,94.167362,1706546806
master,98.195508,1706546806
node_1,95.33867,1706546806
node_3,93.14221,1706546806
node_2,94.913484,1706546811
master,98.07893,1706546811
node_1,94.441646,1706546811
node_3,94.769854,1706546811
node_2,95.678946,1706546816
master,98.029662,1706546816
node_1,93.326282,1706546816
node_3,95.039356,1706546816
node_2,94.861298,1706546821
master,98.032386,1706546821
node_1,95.86404,1706546821
node_3,93.104124,1706546821
node_2,95.436824,1706546826
master,98.147482,1706546826
node_1,94.366858,1706546826
node_3,95.498234,1706546826
node_2,94.87165,1706546831
master,98.011914,1706546831
node_1,96.569718,1706546831
node_3,94.031368,1706546831
node_2,94.234776,1706546836
master,97.930308,1706546836
node_1,94.91279,1706546836
node_3,95.755174,1706546836
node_2,94.708546,1706546841
master,98.246386,1706546841
node_1,96.373426,1706546841
node_3,93.027454,1706546841
node_2,95.730614,1706546846
master,98.012496,1706546846
node_1,93.908566,1706546846
node_3,93.466388,1706546846
node_2,95.021542,1706546851
master,98.194296,1706546851
node_1,96.73037,1706546851
node_3,91.506314,1706546851
node_2,92.892012,1706546856
master,98.112452,1706546856
node_1,94.446972,1706546856
node_3,95.184674,1706546856
node_2,94.696138,1706546861
master,98.044028,1706546861
node_1,96.531866,1706546861
node_3,94.185414,1706546861
node_2,93.961904,1706546866
master,98.165066,1706546866
node_1,94.60908,1706546866
node_3,94.199966,1706546866
node_2,94.75123,1706546871
master,97.827054,1706546871
node_1,96.776314,1706546871
node_3,94.378524,1706546871
node_2,95.471136,1706546876
master,98.449034,1706546876
node_1,93.922728,1706546876
node_3,95.587576,1706546876
node_2,94.46374,1706546881
master,97.793184,1706546881
node_1,95.569906,1706546881
node_3,92.843328,1706546881
node_2,95.572212,1706546886
master,98.083306,1706546886
node_1,94.81825,1706546886
node_3,95.938676,1706546886
node_2,94.127374,1706546891
master,97.977,1706546891
node_1,96.481734,1706546891
node_3,94.780366,1706546891
node_2,95.281826,1706546896
master,98.146474,1706546896
node_1,93.199796,1706546896
node_3,95.496496,1706546896
node_2,92.242148,1706546901
master,98.010714,1706546901
node_1,96.824778,1706546901
node_3,94.756326,1706546901
node_2,93.490738,1706546906
master,98.168188,1706546906
node_1,94.465872,1706546906
node_3,95.73858,1706546906
