hostname,value,timestamp,chart_family
node_1,0.8,1706561261,mmcblk0
node_2,4.4,1706561261,mmcblk0
master,3.2,1706561261,nvme0n1
master,3.2,1706561261,ubuntu--vg-ubuntu--lv
node_3,2,1706561261,mmcblk0
node_1,2.2,1706561266,mmcblk0
node_2,0.8,1706561266,mmcblk0
master,1.6,1706561266,nvme0n1
master,1.6,1706561266,ubuntu--vg-ubuntu--lv
node_3,2.6,1706561266,mmcblk0
node_1,1.2,1706561271,mmcblk0
node_2,13.4,1706561271,mmcblk0
master,3.4,1706561271,nvme0n1
master,3.4,1706561271,ubuntu--vg-ubuntu--lv
node_3,2.8,1706561271,mmcblk0
node_1,2.8,1706561276,mmcblk0
node_2,2.2,1706561276,mmcblk0
master,2,1706561276,nvme0n1
master,2,1706561276,ubuntu--vg-ubuntu--lv
node_3,0.8,1706561276,mmcblk0
node_1,3.4,1706561281,mmcblk0
node_2,8,1706561281,mmcblk0
master,3.2,1706561281,nvme0n1
master,3.2,1706561281,ubuntu--vg-ubuntu--lv
node_3,2.2,1706561281,mmcblk0
node_1,3.6,1706561286,mmcblk0
node_2,1,1706561286,mmcblk0
master,1.8,1706561286,nvme0n1
master,1.8,1706561286,ubuntu--vg-ubuntu--lv
node_3,1,1706561286,mmcblk0
node_1,1.2,1706561291,mmcblk0
node_2,4.8,1706561291,mmcblk0
master,3.2,1706561291,nvme0n1
master,3.2,1706561291,ubuntu--vg-ubuntu--lv
node_3,3.2,1706561291,mmcblk0
node_1,2.4,1706561296,mmcblk0
node_2,0.6,1706561296,mmcblk0
master,2.2,1706561296,nvme0n1
master,2.2,1706561296,ubuntu--vg-ubuntu--lv
node_3,1.4,1706561296,mmcblk0
node_1,2,1706561301,mmcblk0
node_2,8.8,1706561301,mmcblk0
master,3.4,1706561301,nvme0n1
master,3.4,1706561301,ubuntu--vg-ubuntu--lv
node_3,5,1706561301,mmcblk0
node_1,0.8,1706561306,mmcblk0
node_2,0.4,1706561306,mmcblk0
master,1.6,1706561306,nvme0n1
master,1.6,1706561306,ubuntu--vg-ubuntu--lv
node_3,1,1706561306,mmcblk0
node_1,0.8,1706561311,mmcblk0
node_2,4.8,1706561311,mmcblk0
