hostname,value,timestamp
node_1,352.88126,1706561261
node_2,351.21328,1706561261
master,1170.02732,1706561261
node_3,350.98124,1706561261
node_1,353.04452,1706561266
node_2,351.8844,1706561266
master,1170.13982,1706561266
node_3,354.33984,1706561266
node_1,344.24062,1706561271
node_2,350.0477,1706561271
master,1170.12422,1706561271
node_3,355.24688,1706561271
node_1,342.80934,1706561276
node_2,349.37814,1706561276
master,1170.11096,1706561276
node_3,354.87112,1706561276
node_1,346.47658,1706561281
node_2,346.0672,1706561281
master,1170.0016,1706561281
node_3,355.09454,1706561281
node_1,347.75158,1706561286
node_2,347.26092,1706561286
master,1169.93048,1706561286
node_3,351.48594,1706561286
node_1,351.15156,1706561291
node_2,350.55078,1706561291
master,1169.92736,1706561291
node_3,350.83126,1706561291
node_1,352.40156,1706561296
node_2,350.93982,1706561296
master,1169.81642,1706561296
node_3,346.1672,1706561296
node_1,352.54612,1706561301
node_2,352.48672,1706561301
master,1169.76874,1706561301
node_3,345.30154,1706561301
node_1,352.79296,1706561306
node_2,353.63362,1706561306
master,1169.87656,1706561306
node_3,347.49532,1706561306
node_1,355.882,1706561311
node_2,353.90156,1706561311
master,1169.83206,1706561311
node_3,353.64692,1706561311
node_1,357.40702,1706561316
node_2,354.48672,1706561316
master,1169.69534,1706561316
node_3,355.87188,1706561316
node_1,356.11092,1706561321
node_2,363.21484,1706561321
master,1169.51796,1706561321
node_3,357.30544,1706561321
node_1,354.1172,1706561326
node_2,363.35234,1706561326
master,1169.5172,1706561326
node_3,359.3289,1706561326
node_1,357.8164,1706561331
node_2,360.65156,1706561331
master,1169.77264,1706561331
node_3,364.4125,1706561331
node_1,359.16326,1706561336
node_2,360.9914,1706561336
master,1169.88202,1706561336
node_3,358.6297,1706561336
node_1,356.57892,1706561341
node_2,355.2375,1706561341
master,1169.85702,1706561341
node_3,355.1211,1706561341
node_1,354.3164,1706561346
node_2,355.48908,1706561346
master,1169.94374,1706561346
node_3,354.97422,1706561346
node_1,349.02266,1706561351
node_2,350.19218,1706561351
master,1170.25546,1706561351
node_3,354.08672,1706561351
node_1,341.28046,1706561356
node_2,349.6484,1706561356
master,1170.2289,1706561356
node_3,355.87812,1706561356
node_1,343.3203,1706561361
node_2,348.01248,1706561361
master,1170.18516,1706561361
node_3,358.50704,1706561361
node_1,345.67032,1706561366
node_2,350.175,1706561366
master,1170.13592,1706561366
node_3,354.45156,1706561366
node_1,346.73988,1706561371
node_2,352.29608,1706561371
master,1170.08436,1706561371
node_3,348.99376,1706561371
node_1,347.70624,1706561376
node_2,353.3117,1706561376
master,1170.17888,1706561376
node_3,351.87186,1706561376
node_1,348.43438,1706561381
node_2,353.63672,1706561381
master,1170.13982,1706561381
node_3,356.1719,1706561381
node_1,349.71954,1706561386
node_2,354.42656,1706561386
master,1170.20394,1706561386
node_3,355.08908,1706561386
node_1,350.3742,1706561391
node_2,352.03048,1706561391
master,1170.17498,1706561391
node_3,351.02262,1706561391
node_1,344.45858,1706561396
node_2,348.768,1706561396
master,1170.42266,1706561396
node_3,349.61718,1706561396
node_1,347.52656,1706561401
node_2,344.52968,1706561401
master,1170.5133,1706561401
node_3,345.65466,1706561401
node_1,354,1706561406
node_2,342.17266,1706561406
master,1170.66406,1706561406
node_3,346.5242,1706561406
node_1,353.99218,1706561411
node_2,346.17736,1706561411
master,1170.97344,1706561411
node_3,348.20236,1706561411
node_1,349.61486,1706561416
node_2,351.5703,1706561416
master,1171.07426,1706561416
node_3,349.66252,1706561416
node_1,351.63596,1706561421
node_2,353.87968,1706561421
master,1171.02574,1706561421
node_3,354.35782,1706561421
node_1,354.44688,1706561426
node_2,356.15862,1706561426
master,1171.00624,1706561426
node_3,354.925,1706561426
node_1,355.94532,1706561431
node_2,356.78594,1706561431
master,1170.75,1706561431
node_3,356.12422,1706561431
node_1,365.04142,1706561436
node_2,355.8281,1706561436
master,1170.57188,1706561436
node_3,357.13672,1706561436
node_1,365.55548,1706561441
node_2,355.21796,1706561441
master,1170.6797,1706561441
node_3,357.27736,1706561441
node_1,358.58516,1706561446
node_2,354.80078,1706561446
master,1170.63906,1706561446
node_3,357.79842,1706561446
node_1,359.125,1706561451
node_2,352.19222,1706561451
master,1170.70234,1706561451
node_3,354.31328,1706561451
node_1,349.8703,1706561456
node_2,352.74768,1706561456
master,1171.0164,1706561456
node_3,354.78594,1706561456
node_1,350.34528,1706561461
node_2,351.27112,1706561461
master,1171.30002,1706561461
node_3,358.38126,1706561461
node_1,353.9281,1706561466
node_2,349.21482,1706561466
master,1171.29222,1706561466
node_3,358.63126,1706561466
node_1,354.45546,1706561471
node_2,351.40936,1706561471
master,1171.28676,1706561471
node_3,354.98828,1706561471
node_1,352.36408,1706561476
node_2,352.72186,1706561476
master,1171.27654,1706561476
node_3,354.56718,1706561476
node_1,352.67812,1706561481
node_2,352.9672,1706561481
master,1171.26482,1706561481
node_3,352.86486,1706561481
node_1,348.4922,1706561486
node_2,356.02498,1706561486
master,1170.96798,1706561486
node_3,352.93986,1706561486
node_1,347.6016,1706561491
node_2,353.92656,1706561491
master,1170.9453,1706561491
node_3,352.9508,1706561491
node_1,348.99532,1706561496
node_2,353.24688,1706561496
master,1170.93048,1706561496
node_3,354.89064,1706561496
node_1,349.78362,1706561501
node_2,351.01486,1706561501
master,1171.10856,1706561501
node_3,355.19452,1706561501
node_1,344.35782,1706561506
node_2,346.02736,1706561506
master,1171.13904,1706561506
node_3,358.63434,1706561506
node_1,343.5547,1706561511
node_2,348.10628,1706561511
master,1170.9055,1706561511
node_3,354.86876,1706561511
node_1,345.57342,1706561516
node_2,352.60472,1706561516
master,1170.83746,1706561516
node_3,352.49144,1706561516
node_1,346.73516,1706561521
node_2,354.00392,1706561521
master,1170.76094,1706561521
node_3,350.86016,1706561521
node_1,343.40234,1706561526
node_2,351.72736,1706561526
master,1170.79456,1706561526
node_3,349.7625,1706561526
node_1,341.21876,1706561531
node_2,353.07112,1706561531
master,1170.78594,1706561531
node_3,346.8422,1706561531
node_1,344.0281,1706561536
node_2,349.50078,1706561536
master,1170.77418,1706561536
node_3,345.28592,1706561536
node_1,346.28046,1706561541
node_2,351.1672,1706561541
master,1170.75,1706561541
node_3,347.74454,1706561541
node_1,346.49844,1706561546
node_2,352.582,1706561546
master,1170.73596,1706561546
node_3,350.20156,1706561546
node_1,347.12968,1706561551
node_2,353.3258,1706561551
master,1170.72036,1706561551
node_3,350.40938,1706561551
node_1,346.75236,1706561556
node_2,347.62736,1706561556
master,1170.69686,1706561556
node_3,350.8406,1706561556
