hostname,value,timestamp
node_2,422.8453,1706742826
node_1,400.07812,1706742826
node_3,393.0281,1706742826
master,1241.71562,1706742826
node_1,397.01876,1706742831
node_2,420.71248,1706742831
node_3,393.7211,1706742831
master,1240.80156,1706742831
node_2,409.43518,1706742836
node_1,391.47894,1706742836
node_3,395.06176,1706742836
master,1241.00626,1706742836
node_1,389.8289,1706742841
node_2,406.95628,1706742841
node_3,389.18908,1706742841
master,1241.52654,1706742841
node_2,400.95076,1706742846
node_1,386.13596,1706742846
node_3,380.25706,1706742846
master,1241.42888,1706742846
node_2,399.93202,1706742851
node_1,384.98282,1706742851
node_3,381.4766,1706742851
master,1241.20858,1706742851
node_2,405.50156,1706742856
node_1,388.49844,1706742856
node_3,383.56248,1706742856
master,1241.40706,1706742856
node_1,389.73124,1706742861
node_2,407.34686,1706742861
node_3,385.07422,1706742861
master,1241.51642,1706742861
node_2,411.95624,1706742866
node_1,385.7828,1706742866
node_3,387.50622,1706742866
master,1241.64218,1706742866
node_1,381.07968,1706742871
node_2,411.9414,1706742871
node_3,387.2539,1706742871
master,1241.6719,1706742871
node_1,379.19686,1706742876
node_2,407.38436,1706742876
node_3,383.21484,1706742876
master,1241.83126,1706742876
node_2,404.67032,1706742881
node_1,377.91326,1706742881
node_3,382.25468,1706742881
master,1241.88282,1706742881
node_2,405.82424,1706742886
node_1,378.21874,1706742886
node_3,377.21954,1706742886
master,1239.79764,1706742886
node_2,406.67732,1706742891
node_1,379.00938,1706742891
node_3,379.1328,1706742891
master,1236.64294,1706742891
node_2,405.23438,1706742896
node_1,374.80782,1706742896
node_3,382.36172,1706742896
master,1235.20076,1706742896
node_1,371.7227,1706742901
node_2,403.14218,1706742901
node_3,381.66012,1706742901
master,1233.65314,1706742901
node_2,405.72812,1706742906
node_1,371.41796,1706742906
node_3,386.03828,1706742906
master,1233.96092,1706742906
node_2,409.18282,1706742911
node_1,366.2773,1706742911
node_3,387.03362,1706742911
master,1234.64142,1706742911
node_2,406.71716,1706742916
node_1,367.47732,1706742916
