hostname,value,timestamp
node_3,87.469398,1706748506
node_2,86.968648,1706748506
node_1,88.819012,1706748506
master,97.11946,1706748506
node_3,93.975318,1706748511
node_2,94.626598,1706748511
node_1,96.674164,1706748511
master,97.694956,1706748511
node_3,93.483514,1706748516
node_2,87.251914,1706748516
node_1,94.259254,1706748516
master,97.914012,1706748516
node_3,93.212246,1706748521
node_2,74.544976,1706748521
node_1,95.82382,1706748521
master,98.029334,1706748521
node_3,93.125978,1706748526
node_2,92.5465,1706748526
node_1,93.302478,1706748526
master,97.91071,1706748526
node_3,95.128256,1706748531
node_2,93.365,1706748531
node_1,95.305974,1706748531
master,97.72937,1706748531
node_3,94.285012,1706748536
node_2,94.569256,1706748536
node_1,94.93839,1706748536
master,97.874884,1706748536
node_3,95.283274,1706748541
node_2,95.375848,1706748541
node_1,96.728298,1706748541
master,97.861284,1706748541
node_3,94.977352,1706748546
node_2,95.180158,1706748546
node_1,94.490086,1706748546
master,98.0975,1706748546
node_3,92.678174,1706748551
node_2,95.863174,1706748551
node_1,96.52818,1706748551
master,98.07802,1706748551
node_3,94.119896,1706748556
node_2,94.003334,1706748556
node_1,93.776414,1706748556
master,98.011966,1706748556
node_3,95.521174,1706748561
node_2,94.91241,1706748561
node_1,95.710674,1706748561
master,98.11296,1706748561
node_3,93.47008,1706748566
node_2,92.32906,1706748566
node_1,94.590132,1706748566
master,97.893384,1706748566
node_3,94.822114,1706748571
node_2,95.670706,1706748571
node_1,96.482484,1706748571
master,98.194978,1706748571
node_3,94.530408,1706748576
node_2,93.985288,1706748576
node_1,94.378248,1706748576
master,97.745646,1706748576
node_3,95.042858,1706748581
node_2,94.426304,1706748581
node_1,96.4197,1706748581
master,98.314482,1706748581
node_3,91.54633,1706748586
node_2,91.19543,1706748586
node_1,94.639218,1706748586
master,98.079828,1706748586
node_3,94.834924,1706748591
node_2,95.940666,1706748591
node_1,94.537182,1706748591
master,98.063692,1706748591
node_3,95.570034,1706748596
node_2,91.502158,1706748596
node_1,95.153282,1706748596
master,98.112646,1706748596
node_3,93.304242,1706748601
node_2,95.670262,1706748601
node_1,96.077952,1706748601
master,97.812932,1706748601
node_3,94.926518,1706748606
node_2,93.482838,1706748606
node_1,94.198536,1706748606
master,98.062034,1706748606
node_3,94.876178,1706748611
node_2,95.720388,1706748611
node_1,96.628468,1706748611
master,98.030352,1706748611
node_3,93.747476,1706748616
node_2,94.755862,1706748616
node_1,94.554216,1706748616
master,98.161356,1706748616
node_3,93.523566,1706748621
node_2,94.827106,1706748621
node_1,94.506472,1706748621
master,98.012812,1706748621
node_3,94.980906,1706748626
node_2,94.026256,1706748626
node_1,94.605208,1706748626
master,98.029352,1706748626
node_3,95.305934,1706748631
node_2,92.691224,1706748631
node_1,96.477054,1706748631
master,97.943522,1706748631
node_3,95.504606,1706748636
node_2,94.59933,1706748636
node_1,93.857778,1706748636
master,97.813844,1706748636
node_3,94.910724,1706748641
node_2,95.314706,1706748641
node_1,96.056884,1706748641
master,97.793312,1706748641
node_3,94.18824,1706748646
node_2,93.946396,1706748646
node_1,95.499,1706748646
master,98.229268,1706748646
node_3,93.923348,1706748651
node_2,93.714922,1706748651
node_1,94.242146,1706748651
master,98.028912,1706748651
node_3,93.839044,1706748656
node_2,90.979948,1706748656
node_1,94.38658,1706748656
master,97.6572,1706748656
node_3,96.307766,1706748661
node_2,94.27857,1706748661
node_1,95.408196,1706748661
master,98.094966,1706748661
node_3,92.481142,1706748666
node_2,93.880874,1706748666
node_1,96.62099,1706748666
master,97.978068,1706748666
node_3,97.134026,1706748671
node_2,95.460102,1706748671
node_1,94.083228,1706748671
master,97.861452,1706748671
