hostname,value,timestamp
node_1,89.504926,1710300111
master,97.075202,1710300111
node_2,87.191226,1710300111
node_3,93.940526,1710300111
master,98.028986,1710300116
node_1,94.794166,1710300116
node_2,95.76253,1710300116
node_3,96.7339,1710300116
node_1,95.606342,1710300121
master,97.838816,1710300121
node_2,92.380944,1710300121
node_3,94.761706,1710300121
node_1,95.118828,1710300126
master,97.84866,1710300126
node_2,90.540544,1710300126
node_3,94.526058,1710300126
node_1,94.2878,1710300131
master,97.726576,1710300131
node_2,94.348478,1710300131
node_3,95.821754,1710300131
node_1,95.26584,1710300136
master,97.907642,1710300136
node_2,93.728818,1710300136
node_3,93.825064,1710300136
node_1,95.57481,1710300141
master,97.808536,1710300141
node_2,93.268232,1710300141
node_3,93.3507,1710300141
node_1,95.614182,1710300146
master,97.878212,1710300146
node_2,95.820338,1710300146
node_3,93.985322,1710300146
node_1,95.277806,1710300151
master,97.943566,1710300151
node_2,92.646592,1710300151
node_3,95.966542,1710300151
node_1,95.709674,1710300156
master,97.792106,1710300156
node_2,95.687484,1710300156
node_3,94.549566,1710300156
node_1,95.318448,1710300161
master,97.743906,1710300161
node_2,90.94031,1710300161
node_3,95.731696,1710300161
node_1,94.299886,1710300166
master,97.860844,1710300166
node_2,91.713992,1710300166
node_3,93.43974,1710300166
node_1,95.231154,1710300171
master,97.62692,1710300171
node_2,93.9335,1710300171
node_3,96.018468,1710300171
node_1,95.375376,1710300176
master,97.808168,1710300176
node_2,89.832076,1710300176
node_3,93.89991,1710300176
master,97.72775,1710300181
node_1,94.160644,1710300181
node_2,90.2464,1710300181
node_3,95.975448,1710300181
node_1,93.914886,1710300186
master,97.797622,1710300186
node_2,95.368166,1710300186
node_3,93.167456,1710300186
node_1,95.830234,1710300191
master,97.995374,1710300191
node_2,91.365166,1710300191
node_3,96.471174,1710300191
node_1,93.83852,1710300196
master,97.864892,1710300196
node_2,94.617014,1710300196
node_3,94.85367,1710300196
node_1,95.065016,1710300201
master,98.096776,1710300201
node_2,92.740694,1710300201
node_3,93.93412,1710300201
master,97.892844,1710300206
node_1,94.703678,1710300206
node_2,93.249936,1710300206
node_3,95.003328,1710300206
node_1,95.819938,1710300211
master,98.14648,1710300211
node_2,92.145034,1710300211
node_3,95.421044,1710300211
node_1,96.08478,1710300216
master,97.524638,1710300216
node_2,94.007074,1710300216
node_3,95.753796,1710300216
node_1,94.29923,1710300221
master,98.19387,1710300221
node_2,94.104566,1710300221
node_3,94.050814,1710300221
node_1,95.164888,1710300226
master,97.845022,1710300226
node_2,90.125006,1710300226
node_3,94.137078,1710300226
node_1,94.356536,1710300231
master,97.895504,1710300231
node_2,96.033916,1710300231
node_3,93.140326,1710300231
node_1,96.641888,1710300236
master,97.594114,1710300236
node_2,87.683694,1710300236
node_3,95.349746,1710300236
master,97.942404,1710300241
node_1,93.998436,1710300241
node_2,95.154822,1710300241
node_3,95.87117,1710300241
master,97.62765,1710300246
node_1,96.927698,1710300246
node_2,90.183442,1710300246
node_3,94.718034,1710300246
node_1,94.7345,1710300251
master,97.844646,1710300251
node_2,94.951108,1710300251
node_3,94.929292,1710300251
node_1,95.365094,1710300256
master,97.679954,1710300256
node_2,95.16281,1710300256
node_3,94.585024,1710300256
master,98.062222,1710300261
node_1,93.840418,1710300261
node_2,93.322294,1710300261
node_3,93.223166,1710300261
node_1,95.922408,1710300266
master,97.809556,1710300266
node_2,95.935538,1710300266
node_3,94.107496,1710300266
master,97.859654,1710300271
node_1,94.221678,1710300271
node_2,93.336664,1710300271
