hostname,value,timestamp
node_3,91.888604,1706688361
node_2,88.26554,1706688361
node_1,91.489092,1706688361
master,97.072652,1706688361
master,97.980092,1706688366
node_3,94.902108,1706688366
node_2,95.882634,1706688366
node_1,95.679232,1706688366
master,98.045104,1706688371
node_3,92.063082,1706688371
node_2,89.517142,1706688371
node_1,89.850096,1706688371
master,97.978688,1706688376
node_3,91.05996,1706688376
node_2,94.968596,1706688376
node_1,96.067914,1706688376
node_3,92.06038,1706688381
node_2,91.178554,1706688381
node_1,90.98041,1706688381
master,97.962082,1706688381
node_3,93.13492,1706688386
master,97.965686,1706688386
node_2,93.15768,1706688386
node_1,95.883562,1706688386
master,98.146678,1706688391
node_3,91.945128,1706688391
node_2,90.346724,1706688391
node_1,92.124602,1706688391
master,97.96385,1706688396
node_3,94.168602,1706688396
node_2,93.521492,1706688396
node_1,95.877598,1706688396
node_3,93.2996,1706688401
node_2,91.740878,1706688401
node_1,92.024116,1706688401
master,98.14646,1706688401
node_3,92.679454,1706688406
node_1,93.972672,1706688406
node_2,95.016638,1706688406
master,97.944186,1706688406
master,97.959694,1706688411
node_3,91.664236,1706688411
node_2,91.183998,1706688411
node_1,91.703694,1706688411
master,98.014986,1706688416
node_3,92.700456,1706688416
node_2,94.495694,1706688416
node_1,95.471538,1706688416
node_2,91.831886,1706688421
master,97.997996,1706688421
node_3,93.259174,1706688421
node_1,90.607744,1706688421
master,98.014338,1706688426
node_3,93.08151,1706688426
node_2,91.485016,1706688426
node_1,95.36396,1706688426
master,98.329778,1706688431
node_3,92.670958,1706688431
node_2,93.425338,1706688431
node_1,92.272372,1706688431
master,97.760736,1706688436
node_3,94.447012,1706688436
node_1,94.021676,1706688436
node_2,92.509084,1706688436
master,97.758168,1706688441
node_3,90.782302,1706688441
node_2,93.747404,1706688441
node_1,90.83334,1706688441
node_3,94.154776,1706688446
master,98.146908,1706688446
node_2,93.481082,1706688446
node_1,95.761964,1706688446
master,97.90846,1706688451
node_3,92.828978,1706688451
node_2,93.979996,1706688451
node_1,91.461212,1706688451
master,98.027886,1706688456
node_3,93.129956,1706688456
node_2,92.032386,1706688456
node_1,96.222634,1706688456
node_3,93.138768,1706688461
node_2,89.486676,1706688461
node_1,91.916144,1706688461
master,98.160602,1706688461
node_3,94.455354,1706688466
node_2,91.526078,1706688466
node_1,95.208016,1706688466
master,98.095272,1706688466
node_3,91.330772,1706688471
master,97.826012,1706688471
node_2,93.875314,1706688471
node_1,90.330214,1706688471
node_3,93.292984,1706688476
master,98.06304,1706688476
node_2,93.359762,1706688476
node_1,95.903212,1706688476
node_3,91.551182,1706688481
node_2,92.786918,1706688481
node_1,92.188362,1706688481
master,97.878734,1706688481
