hostname,value,timestamp
node_3,423.87422,1706688361
node_2,419.82968,1706688361
node_1,409.1523,1706688361
master,1269.38828,1706688361
master,1270.5547,1706688366
node_3,418.81094,1706688366
node_2,410.58356,1706688366
node_1,408.17108,1706688366
master,1271.0281,1706688371
node_3,418.65156,1706688371
node_2,412.21874,1706688371
node_1,407.22266,1706688371
master,1271.2828,1706688376
node_3,419.0086,1706688376
node_2,412.75464,1706688376
node_1,407.59376,1706688376
node_3,419.59608,1706688381
node_2,414.18986,1706688381
node_1,409.28832,1706688381
master,1271.67972,1706688381
node_3,416.81252,1706688386
master,1271.95392,1706688386
node_2,415.06172,1706688386
node_1,409.11486,1706688386
master,1272.07192,1706688391
node_3,415.18128,1706688391
node_2,415.8172,1706688391
node_1,406.57656,1706688391
master,1272.5492,1706688396
node_3,417.97656,1706688396
node_2,416.12656,1706688396
node_1,406.29218,1706688396
node_3,419.85076,1706688401
node_2,416.34764,1706688401
node_1,410.9836,1706688401
master,1272.56484,1706688401
node_3,412.80858,1706688406
node_1,413.34062,1706688406
node_2,416.29922,1706688406
master,1272.72578,1706688406
master,1272.64998,1706688411
node_3,408.6211,1706688411
node_2,417.18124,1706688411
node_1,408.757,1706688411
master,1272.85624,1706688416
node_3,410.17734,1706688416
node_2,419.83752,1706688416
node_1,404.67344,1706688416
node_2,421.40782,1706688421
master,1273.1719,1706688421
node_3,409.10548,1706688421
node_1,399.74218,1706688421
master,1273.56406,1706688426
node_3,411.09532,1706688426
node_2,412.17032,1706688426
node_1,391.01486,1706688426
master,1273.843,1706688431
node_3,411.43048,1706688431
node_2,412.60548,1706688431
node_1,390.1211,1706688431
master,1274.29456,1706688436
node_3,413.06248,1706688436
node_1,391.75626,1706688436
node_2,407.31254,1706688436
master,1274.71328,1706688441
node_3,415.69612,1706688441
node_2,407.98124,1706688441
node_1,392.86328,1706688441
node_3,416.52424,1706688446
master,1274.8211,1706688446
node_2,407.93518,1706688446
node_1,391.26718,1706688446
master,1275.27422,1706688451
node_3,416.93752,1706688451
node_2,410.26718,1706688451
node_1,390.70702,1706688451
master,1275.42576,1706688456
node_3,411.15938,1706688456
node_2,409.16092,1706688456
node_1,390.40938,1706688456
node_3,401.7461,1706688461
node_2,409.4992,1706688461
node_1,393.48514,1706688461
master,1275.76488,1706688461
node_3,401.65078,1706688466
node_2,416.5531,1706688466
node_1,396.1953,1706688466
master,1276.06718,1706688466
node_3,401.81718,1706688471
master,1276.40388,1706688471
node_2,416.6789,1706688471
node_1,394.71482,1706688471
node_3,402.09452,1706688476
master,1276.43046,1706688476
node_2,413.0445,1706688476
node_1,393.02032,1706688476
node_3,400.96876,1706688481
node_2,412.72656,1706688481
node_1,395.9375,1706688481
master,1276.38904,1706688481
node_3,401.10158,1706688486
master,1276.45,1706688486
node_2,417.15862,1706688486
node_1,401.60702,1706688486
master,1276.55388,1706688491
node_3,400.96248,1706688491
node_2,418.65938,1706688491
node_1,403.56954,1706688491
master,1276.90624,1706688496
node_3,401.2453,1706688496
node_2,411.58752,1706688496
node_1,402.90468,1706688496
node_3,402.47892,1706688501
node_2,410.58828,1706688501
node_1,403.70782,1706688501
master,1276.86484,1706688501
node_3,403.19766,1706688506
node_2,409.56174,1706688506
node_1,400.36798,1706688506
master,1276.93672,1706688506
node_3,405.14766,1706688511
node_2,408.73908,1706688511
node_1,402.15392,1706688511
master,1277.14138,1706688511
node_3,405.8836,1706688516
master,1277.3922,1706688516
node_2,407.7617,1706688516
node_1,401.27266,1706688516
node_3,406.63674,1706688521
node_2,411.04298,1706688521
node_1,399.76794,1706688521
master,1277.53204,1706688521
master,1277.5414,1706688526
node_1,421.32188,1706688526
node_3,427.85234,1706688526
node_2,430.6992,1706688526
master,1277.49842,1706688531
node_3,431.27578,1706688531
node_2,435.7664,1706688531
node_1,421.91954,1706688531
node_2,434.45466,1706688536
node_3,431.7336,1706688536
master,1277.51094,1706688536
node_1,417.96486,1706688536
node_2,434.68436,1706688541
node_1,419.08516,1706688541
master,1277.6789,1706688541
node_3,434.7906,1706688541
master,1277.69686,1706688546
node_3,433.10234,1706688546
node_2,438.70702,1706688546
node_1,425.23984,1706688546
node_3,436.02576,1706688551
node_2,444.34376,1706688551
master,1277.60704,1706688551
node_1,421.58282,1706688551
master,1277.51638,1706688556
node_3,438.70548,1706688556
node_1,418.7078,1706688556
node_2,441.45782,1706688556
master,1277.57188,1706688561
node_1,416.49296,1706688561
node_3,437.47344,1706688561
node_2,440.33904,1706688561
node_2,437.25234,1706688566
node_1,422.70938,1706688566
node_3,437.55936,1706688566
master,1277.81016,1706688566
node_3,431.93282,1706688571
master,1279.11642,1706688571
node_2,435.23592,1706688571
node_1,427.32812,1706688571
node_3,429.79452,1706688576
master,1279.53672,1706688576
node_2,436.6789,1706688576
node_1,423.62812,1706688576
node_3,430.95624,1706688581
node_1,421.59378,1706688581
node_2,440.66718,1706688581
master,1279.54372,1706688581
node_2,443.73908,1706688586
node_3,432.66094,1706688586
node_1,421.56012,1706688586
master,1279.51564,1706688586
node_3,436.93748,1706688591
master,1279.62348,1706688591
node_1,423.50782,1706688591
node_2,450.44532,1706688591
node_3,444.79374,1706688596
master,1279.71798,1706688596
node_2,449.20078,1706688596
node_1,423.41718,1706688596
node_3,446.59922,1706688601
node_2,439.4172,1706688601
node_1,426.4586,1706688601
master,1279.72656,1706688601
master,1279.77966,1706688606
node_1,426.1297,1706688606
node_2,445.5328,1706688606
node_3,447.21956,1706688606
node_3,445.48128,1706688611
node_2,442.02498,1706688611
master,1282.4445,1706688611
node_1,429.78046,1706688611
master,1284.3414,1706688616
node_2,438.6914,1706688616
node_3,434.7,1706688616
node_1,432.71406,1706688616
master,1284.7336,1706688621
node_2,446.03362,1706688621
node_3,436.8164,1706688621
node_1,426.85388,1706688621
node_3,442.75232,1706688626
master,1284.99764,1706688626
node_2,449.01328,1706688626
node_1,424.76562,1706688626
master,1285.21172,1706688631
node_3,445.62736,1706688631
