hostname,value,timestamp
node_2,387.43748,1710105766
master,1019.39062,1710105766
node_1,375.6203,1710105766
node_3,371.33514,1710105766
node_2,385.83436,1710105771
master,1011.15704,1710105771
node_1,376.6047,1710105771
node_3,370.05702,1710105771
node_2,382.575,1710105776
master,1011.90466,1710105776
node_1,375.78206,1710105776
node_3,373.62656,1710105776
node_2,381.23048,1710105781
master,1011.99608,1710105781
node_1,375.96876,1710105781
node_3,374.48514,1710105781
node_2,373.8336,1710105786
master,1012.3242,1710105786
node_1,375.15466,1710105786
node_3,368.97266,1710105786
node_2,374.63674,1710105791
master,1012.5469,1710105791
node_1,375.59686,1710105791
node_3,368.09918,1710105791
node_2,378.0664,1710105796
master,1012.53124,1710105796
node_1,378.17658,1710105796
node_3,372.63984,1710105796
node_2,379.0664,1710105801
master,1012.67656,1710105801
node_1,378.2969,1710105801
node_3,374.37816,1710105801
node_2,375.42814,1710105806
master,1012.7703,1710105806
node_1,384.29456,1710105806
node_3,378.43594,1710105806
node_2,376.05784,1710105811
master,1012.88124,1710105811
node_1,386.23282,1710105811
node_3,378.47032,1710105811
node_2,380.98204,1710105816
master,1013.1297,1710105816
node_1,385.52576,1710105816
node_3,375.59064,1710105816
node_2,382.24298,1710105821
master,1013.1203,1710105821
node_1,385.48358,1710105821
node_3,372.86172,1710105821
node_2,386.45626,1710105826
master,1013.63126,1710105826
node_1,382.00312,1710105826
node_3,374.0703,1710105826
node_2,385.4297,1710105831
master,1013.75392,1710105831
node_1,380.05704,1710105831
node_3,373.0953,1710105831
node_2,377.88828,1710105836
master,1013.72344,1710105836
node_1,367.62654,1710105836
node_3,369.56252,1710105836
node_2,377.63048,1710105841
master,1014.14764,1710105841
node_1,362.72108,1710105841
node_3,367.52192,1710105841
node_2,367.31952,1710105846
master,1014.4414,1710105846
node_1,366.07892,1710105846
node_3,370.17342,1710105846
node_2,366.25702,1710105851
master,1015.10626,1710105851
node_1,365.64612,1710105851
node_3,368.82732,1710105851
node_2,368.28438,1710105856
master,1015.425,1710105856
node_1,371.40546,1710105856
node_3,366.56876,1710105856
node_2,370.2633,1710105861
master,1015.31326,1710105861
node_1,375.2719,1710105861
node_3,364.07732,1710105861
node_2,371.61252,1710105866
master,1015.26952,1710105866
node_1,376.25624,1710105866
node_3,363.9117,1710105866
node_2,371.3164,1710105871
master,1015.59142,1710105871
node_1,377.8875,1710105871
node_3,364.5617,1710105871
node_2,362.7047,1710105876
master,1016.13436,1710105876
node_1,377.32188,1710105876
node_3,363.43124,1710105876
node_2,363.24846,1710105881
master,1016.3172,1710105881
node_1,374.13754,1710105881
node_3,361.86014,1710105881
node_2,363.3953,1710105886
master,1016.52108,1710105886
node_1,370.51952,1710105886
node_3,368.03282,1710105886
node_2,366.01328,1710105891
master,1016.61094,1710105891
node_1,362.78518,1710105891
node_3,374.10784,1710105891
node_2,365.02502,1710105896
master,1016.51562,1710105896
node_1,363.5234,1710105896
node_3,375.44998,1710105896
node_2,363.01328,1710105901
master,1016.79998,1710105901
node_1,365.09844,1710105901
node_3,377.1406,1710105901
node_2,365.90546,1710105906
master,1017.1828,1710105906
node_1,366.34454,1710105906
node_3,376.04374,1710105906
node_2,367.84298,1710105911
master,1016.88828,1710105911
node_1,370.12498,1710105911
node_3,370.18514,1710105911
node_2,363.34064,1710105916
master,1016.83986,1710105916
node_1,368.47654,1710105916
node_3,367.72812,1710105916
node_2,361.42266,1710105921
master,1017.13282,1710105921
node_1,358.79606,1710105921
node_3,358.3555,1710105921
node_2,365.49846,1710105926
master,1017.90472,1710105926
node_1,367.66638,1710105926
node_3,364.97892,1710105926
node_2,385.04062,1710105931
master,1018.19688,1710105931
node_1,384.99454,1710105931
node_3,390.15702,1710105931
node_2,388.82656,1710105936
master,1018.34142,1710105936
node_1,391.28984,1710105936
node_3,397.69142,1710105936
node_2,390.45626,1710105941
master,1018.6219,1710105941
node_1,399.1,1710105941
node_3,398.44686,1710105941
node_2,397.03046,1710105946
master,1019.02032,1710105946
node_1,400.8,1710105946
node_3,397.24608,1710105946
node_2,398.9781,1710105951
master,1019.46874,1710105951
node_1,400.32812,1710105951
node_3,393.1547,1710105951
node_2,397.4,1710105956
master,1019.7289,1710105956
node_1,400.50626,1710105956
node_3,393.02892,1710105956
node_2,396.73672,1710105961
master,1019.69528,1710105961
node_1,392.41486,1710105961
node_3,395.63672,1710105961
node_2,400.0172,1710105966
master,1019.66094,1710105966
node_1,392.36328,1710105966
node_3,396.89138,1710105966
node_2,393.07266,1710105971
master,1019.66328,1710105971
node_1,394.63908,1710105971
node_3,393.79374,1710105971
node_2,395.4078,1710105976
master,1019.6703,1710105976
node_1,398.19142,1710105976
node_3,393.58906,1710105976
node_2,400.44064,1710105981
master,1019.63982,1710105981
node_1,396.07346,1710105981
node_3,395.89062,1710105981
node_2,400.44064,1710105986
