4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1389.98          ---          ---        13.07945        11.96700        27.39100        46.59100       107.08 
Gets        13898.11         4.67     13893.44        13.06955        11.96700        27.26300        46.33500       541.53 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      15288.09         4.67     13893.44        13.07045        11.96700        27.39100        46.33500       648.61 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.735        0.000
SET      10.559        5.000
SET      11.135       10.000
SET      11.327       15.000
SET      11.455       20.000
SET      11.519       25.000
SET      11.647       30.000
SET      11.711       35.000
SET      11.775       40.000
SET      11.839       45.000
SET      11.967       50.000
SET      11.967       52.500
SET      12.031       55.000
SET      12.095       57.500
SET      12.159       60.000
SET      12.223       62.500
SET      12.287       65.000
SET      12.351       67.500
SET      12.479       70.000
SET      12.607       72.500
SET      12.735       75.000
SET      12.799       76.250
SET      12.863       77.500
SET      12.991       78.750
SET      13.119       80.000
SET      13.247       81.250
SET      13.439       82.500
SET      13.695       83.750
SET      14.015       85.000
SET      14.399       86.250
SET      14.847       87.500
SET      15.167       88.125
SET      15.487       88.750
SET      15.935       89.375
SET      16.511       90.000
SET      17.407       90.625
SET      18.559       91.250
SET      19.839       91.875
SET      20.863       92.500
SET      21.631       93.125
SET      22.271       93.750
SET      22.399       94.062
SET      22.655       94.375
SET      22.783       94.688
SET      22.911       95.000
SET      23.167       95.312
SET      23.295       95.625
SET      23.423       95.938
SET      23.551       96.250
SET      23.679       96.562
SET      23.935       96.875
SET      23.935       97.031
SET      24.063       97.188
SET      24.191       97.344
SET      24.319       97.500
SET      24.447       97.656
SET      24.575       97.812
SET      24.703       97.969
SET      24.959       98.125
SET      25.215       98.281
SET      25.471       98.438
SET      25.599       98.516
SET      25.727       98.594
SET      25.983       98.672
SET      26.239       98.750
SET      26.495       98.828
SET      26.879       98.906
SET      27.391       98.984
SET      27.903       99.062
SET      28.543       99.141
SET      29.311       99.219
SET      29.823       99.258
SET      30.335       99.297
SET      30.847       99.336
SET      31.487       99.375
SET      32.127       99.414
SET      32.639       99.453
SET      33.279       99.492
SET      34.047       99.531
SET      34.815       99.570
SET      35.583       99.609
SET      36.095       99.629
SET      36.607       99.648
SET      37.119       99.668
SET      37.631       99.688
SET      38.399       99.707
SET      38.911       99.727
SET      39.423       99.746
SET      40.191       99.766
SET      40.959       99.785
SET      41.471       99.805
SET      41.983       99.814
SET      42.239       99.824
SET      42.751       99.834
SET      43.263       99.844
SET      43.775       99.854
SET      44.287       99.863
SET      44.799       99.873
SET      45.311       99.883
SET      45.823       99.893
SET      46.847       99.902
SET      47.103       99.907
SET      47.615       99.912
SET      47.871       99.917
SET      48.639       99.922
SET      49.151       99.927
SET      49.663       99.932
SET      49.919       99.937
SET      50.687       99.941
SET      51.199       99.946
SET      51.967       99.951
SET      52.223       99.954
SET      52.735       99.956
SET      53.247       99.958
SET      53.759       99.961
SET      54.015       99.963
SET      54.527       99.966
SET      55.039       99.968
SET      55.551       99.971
SET      56.063       99.973
SET      56.575       99.976
SET      57.087       99.977
SET      57.599       99.978
SET      57.855       99.979
SET      58.367       99.980
SET      58.879       99.982
SET      59.391       99.983
SET      59.647       99.984
SET      60.159       99.985
SET      60.927       99.987
SET      61.695       99.988
SET      61.951       99.988
SET      62.719       99.989
SET      63.487       99.990
SET      63.999       99.990
SET      64.511       99.991
SET      66.047       99.991
SET      66.559       99.992
SET      67.071       99.993
SET      68.095       99.993
