hostname,value,timestamp,chart_family
node_3,2,1706772966,mmcblk0
node_1,1.8,1706772966,mmcblk0
node_2,1.6,1706772966,mmcblk0
master,3,1706772966,nvme0n1
master,3,1706772966,ubuntu--vg-ubuntu--lv
node_3,5.2,1706772971,mmcblk0
node_1,0,1706772971,mmcblk0
node_2,5.6,1706772971,mmcblk0
master,2.6,1706772971,nvme0n1
master,2.6,1706772971,ubuntu--vg-ubuntu--lv
node_3,1,1706772976,mmcblk0
node_1,1.6,1706772976,mmcblk0
node_2,1.6,1706772976,mmcblk0
master,3,1706772976,nvme0n1
master,3,1706772976,ubuntu--vg-ubuntu--lv
node_3,3.4,1706772981,mmcblk0
node_1,0.2,1706772981,mmcblk0
node_2,2.8,1706772981,mmcblk0
master,2.2,1706772981,nvme0n1
master,2.2,1706772981,ubuntu--vg-ubuntu--lv
node_3,0.4,1706772986,mmcblk0
node_1,5.8,1706772986,mmcblk0
node_2,0.8,1706772986,mmcblk0
master,2.8,1706772986,nvme0n1
master,2.8,1706772986,ubuntu--vg-ubuntu--lv
node_3,4.6,1706772991,mmcblk0
node_1,4.8,1706772991,mmcblk0
node_2,2.2,1706772991,mmcblk0
master,4,1706772991,nvme0n1
master,4,1706772991,ubuntu--vg-ubuntu--lv
node_3,10.6,1706772996,mmcblk0
node_1,1.4,1706772996,mmcblk0
node_2,3.6,1706772996,mmcblk0
master,3.4,1706772996,nvme0n1
master,3.4,1706772996,ubuntu--vg-ubuntu--lv
node_3,3.6,1706773001,mmcblk0
node_1,0.8,1706773001,mmcblk0
node_2,1.6,1706773001,mmcblk0
master,3,1706773001,nvme0n1
master,3,1706773001,ubuntu--vg-ubuntu--lv
node_3,4,1706773006,mmcblk0
node_1,1,1706773006,mmcblk0
node_2,1.8,1706773006,mmcblk0
master,2.6,1706773006,nvme0n1
master,2.6,1706773006,ubuntu--vg-ubuntu--lv
node_3,6,1706773011,mmcblk0
node_1,0.2,1706773011,mmcblk0
node_2,1,1706773011,mmcblk0
master,2.4,1706773011,nvme0n1
master,2.4,1706773011,ubuntu--vg-ubuntu--lv
node_3,2.4,1706773016,mmcblk0
node_1,1.6,1706773016,mmcblk0
node_2,1.6,1706773016,mmcblk0
master,2.2,1706773016,nvme0n1
master,2.2,1706773016,ubuntu--vg-ubuntu--lv
node_3,2.4,1706773021,mmcblk0
node_1,0.2,1706773021,mmcblk0
node_2,3.2,1706773021,mmcblk0
master,2.4,1706773021,nvme0n1
master,2.4,1706773021,ubuntu--vg-ubuntu--lv
node_3,1,1706773026,mmcblk0
node_1,5.2,1706773026,mmcblk0
node_2,4,1706773026,mmcblk0
master,2.6,1706773026,nvme0n1
master,2.6,1706773026,ubuntu--vg-ubuntu--lv
node_3,2.6,1706773031,mmcblk0
node_1,0.2,1706773031,mmcblk0
node_2,1.2,1706773031,mmcblk0
master,2.8,1706773031,nvme0n1
master,2.8,1706773031,ubuntu--vg-ubuntu--lv
node_3,6.4,1706773036,mmcblk0
node_1,1.2,1706773036,mmcblk0
node_2,1.4,1706773036,mmcblk0
master,2.8,1706773036,nvme0n1
master,2.8,1706773036,ubuntu--vg-ubuntu--lv
node_3,3.8,1706773041,mmcblk0
node_1,0.2,1706773041,mmcblk0
node_2,4.4,1706773041,mmcblk0
master,3,1706773041,nvme0n1
master,3,1706773041,ubuntu--vg-ubuntu--lv
node_3,1,1706773046,mmcblk0
node_1,1.6,1706773046,mmcblk0
node_2,4.4,1706773046,mmcblk0
master,2.4,1706773046,nvme0n1
master,2.4,1706773046,ubuntu--vg-ubuntu--lv
node_3,7,1706773051,mmcblk0
node_1,0,1706773051,mmcblk0
node_2,1.6,1706773051,mmcblk0
master,2.2,1706773051,nvme0n1
master,2.2,1706773051,ubuntu--vg-ubuntu--lv
node_3,2.6,1706773056,mmcblk0
node_1,8.8,1706773056,mmcblk0
node_2,3.4,1706773056,mmcblk0
master,2,1706773056,nvme0n1
master,2,1706773056,ubuntu--vg-ubuntu--lv
node_3,2.6,1706773061,mmcblk0
node_1,0,1706773061,mmcblk0
node_2,1.8,1706773061,mmcblk0
master,2.2,1706773061,nvme0n1
master,2.2,1706773061,ubuntu--vg-ubuntu--lv
node_3,1.6,1706773066,mmcblk0
node_1,1,1706773066,mmcblk0
node_2,3,1706773066,mmcblk0
master,2.2,1706773066,nvme0n1
master,2.2,1706773066,ubuntu--vg-ubuntu--lv
node_3,2.4,1706773071,mmcblk0
node_1,0.8,1706773071,mmcblk0
