hostname,value,timestamp,id,name
node_3,22.147744,1706772966,InOctets,received
node_3,-262.2042546,1706772966,OutOctets,sent
node_1,42.6228128,1706772966,InOctets,received
node_1,-270.613346,1706772966,OutOctets,sent
node_2,34.3419748,1706772966,InOctets,received
node_2,-276.4599268,1706772966,OutOctets,sent
master,843.561366,1706772966,InOctets,received
master,-1967.15164,1706772966,OutOctets,sent
node_3,41.1788722,1706772971,InOctets,received
node_3,-264.3839906,1706772971,OutOctets,sent
node_1,23.238363,1706772971,InOctets,received
node_1,-256.6848,1706772971,OutOctets,sent
node_2,47.826094,1706772971,InOctets,received
node_2,-277.2489432,1706772971,OutOctets,sent
master,38.396506,1706772971,InOctets,received
master,-433.0102742,1706772971,OutOctets,sent
node_3,17.5470158,1706772976,InOctets,received
node_3,-256.8502804,1706772976,OutOctets,sent
node_1,35.0442212,1706772976,InOctets,received
node_1,-258.2048182,1706772976,OutOctets,sent
node_2,36.7254572,1706772976,InOctets,received
node_2,-271.2358447,1706772976,OutOctets,sent
master,28.485538,1706772976,InOctets,received
master,-430.44358,1706772976,OutOctets,sent
node_3,42.148908,1706772981,InOctets,received
node_3,-270.4279166,1706772981,OutOctets,sent
node_1,22.231143,1706772981,InOctets,received
node_1,-255.06254,1706772981,OutOctets,sent
node_2,29.1524138,1706772981,InOctets,received
node_2,-273.1627314,1706772981,OutOctets,sent
master,38.340714,1706772981,InOctets,received
master,-416.9907624,1706772981,OutOctets,sent
node_3,15.5725314,1706772986,InOctets,received
node_3,-257.6962198,1706772986,OutOctets,sent
node_1,41.968618,1706772986,InOctets,received
node_1,-260.956847,1706772986,OutOctets,sent
node_2,26.5149018,1706772986,InOctets,received
node_2,-270.5471904,1706772986,OutOctets,sent
master,27.060452,1706772986,InOctets,received
master,-428.374564,1706772986,OutOctets,sent
node_3,36.6965864,1706772991,InOctets,received
node_3,-263.3934488,1706772991,OutOctets,sent
node_1,32.8925382,1706772991,InOctets,received
node_1,-258.6023245,1706772991,OutOctets,sent
node_2,21.9504748,1706772991,InOctets,received
node_2,-272.5409545,1706772991,OutOctets,sent
master,29.127232,1706772991,InOctets,received
master,-443.833406,1706772991,OutOctets,sent
node_3,37.749667,1706772996,InOctets,received
node_3,-262.4625449,1706772996,OutOctets,sent
node_1,41.642074,1706772996,InOctets,received
node_1,-260.0791106,1706772996,OutOctets,sent
node_2,25.6832704,1706772996,InOctets,received
node_2,-269.8611412,1706772996,OutOctets,sent
master,33.27328,1706772996,InOctets,received
master,-455.4738,1706772996,OutOctets,sent
node_3,30.4603238,1706773001,InOctets,received
node_3,-261.3380212,1706773001,OutOctets,sent
node_1,15.0343862,1706773001,InOctets,received
node_1,-253.664,1706773001,OutOctets,sent
node_2,22.3630662,1706773001,InOctets,received
node_2,-270.4375656,1706773001,OutOctets,sent
master,24.978048,1706773001,InOctets,received
master,-410.364504,1706773001,OutOctets,sent
node_3,14.513771,1706773006,InOctets,received
node_3,-257.3194593,1706773006,OutOctets,sent
node_1,29.6727276,1706773006,InOctets,received
node_1,-258.3104042,1706773006,OutOctets,sent
node_2,27.1982442,1706773006,InOctets,received
node_2,-271.0095882,1706773006,OutOctets,sent
master,22.2801934,1706773006,InOctets,received
master,-427.03831,1706773006,OutOctets,sent
node_3,36.9404398,1706773011,InOctets,received
node_3,-262.8597744,1706773011,OutOctets,sent
node_1,16.3269924,1706773011,InOctets,received
node_1,-262.9030508,1706773011,OutOctets,sent
node_2,17.9933998,1706773011,InOctets,received
node_2,-271.0760536,1706773011,OutOctets,sent
master,32.8636654,1706773011,InOctets,received
master,-419.551614,1706773011,OutOctets,sent
node_3,13.4680144,1706773016,InOctets,received
node_3,-256.8699353,1706773016,OutOctets,sent
node_1,30.787186,1706773016,InOctets,received
node_1,-263.106734,1706773016,OutOctets,sent
node_2,26.4174224,1706773016,InOctets,received
node_2,-270.5387076,1706773016,OutOctets,sent
master,31.1690232,1706773016,InOctets,received
master,-430.886744,1706773016,OutOctets,sent
node_3,32.7599474,1706773021,InOctets,received
node_3,-264.417026,1706773021,OutOctets,sent
node_1,22.5067454,1706773021,InOctets,received
node_1,-257.5114958,1706773021,OutOctets,sent
node_2,24.9334372,1706773021,InOctets,received
node_2,-274.10121,1706773021,OutOctets,sent
master,25.740734,1706773021,InOctets,received
master,-407.064239,1706773021,OutOctets,sent
node_3,30.367311,1706773026,InOctets,received
node_3,-260.8314086,1706773026,OutOctets,sent
node_1,38.3508002,1706773026,InOctets,received
node_1,-260.5754881,1706773026,OutOctets,sent
node_2,38.617043,1706773026,InOctets,received
node_2,-273.480357,1706773026,OutOctets,sent
master,33.409876,1706773026,InOctets,received
master,-429.459182,1706773026,OutOctets,sent
node_3,30.9023444,1706773031,InOctets,received
node_3,-263.1019804,1706773031,OutOctets,sent
node_1,21.231666,1706773031,InOctets,received
node_1,-257.1144104,1706773031,OutOctets,sent
node_2,21.3629226,1706773031,InOctets,received
node_2,-272.8477235,1706773031,OutOctets,sent
master,27.5708032,1706773031,InOctets,received
master,-404.9185944,1706773031,OutOctets,sent
node_3,18.1571654,1706773036,InOctets,received
node_3,-258.2219977,1706773036,OutOctets,sent
node_1,25.699044,1706773036,InOctets,received
node_1,-257.6699748,1706773036,OutOctets,sent
node_2,25.9678958,1706773036,InOctets,received
node_2,-270.3712002,1706773036,OutOctets,sent
master,20.605756,1706773036,InOctets,received
master,-427.609524,1706773036,OutOctets,sent
node_3,27.8854564,1706773041,InOctets,received
node_3,-262.2303902,1706773041,OutOctets,sent
node_1,20.6366882,1706773041,InOctets,received
node_1,-256.4837515,1706773041,OutOctets,sent
node_2,18.9282254,1706773041,InOctets,received
node_2,-272.2536956,1706773041,OutOctets,sent
master,26.7746752,1706773041,InOctets,received
master,-406.73031,1706773041,OutOctets,sent
node_3,22.449417,1706773046,InOctets,received
node_3,-259.2371972,1706773046,OutOctets,sent
node_1,30.313837,1706773046,InOctets,received
node_1,-258.7503892,1706773046,OutOctets,sent
