hostname,value,timestamp
master,1245.70782,1706778656
node_2,415.65702,1706778656
node_1,407.42576,1706778656
node_3,396.42264,1706778656
master,1253.47188,1706778661
node_2,401.22422,1706778661
node_1,405.45468,1706778661
node_3,393.93282,1706778661
master,1254.05862,1706778666
node_2,403.10238,1706778666
node_1,399.42266,1706778666
node_3,382.31172,1706778666
master,1254.86094,1706778671
node_2,399.7617,1706778671
node_1,397.78282,1706778671
node_3,382.55154,1706778671
master,1255.39608,1706778676
node_2,402.61954,1706778676
node_1,397.7266,1706778676
node_3,388.6047,1706778676
master,1255.35468,1706778681
node_2,405.01016,1706778681
node_1,395.8875,1706778681
node_3,388.9914,1706778681
master,1255.66564,1706778686
node_2,405.92886,1706778686
node_1,392.2375,1706778686
node_3,385.56638,1706778686
master,1256.23826,1706778691
node_2,408.93358,1706778691
node_1,390.53906,1706778691
node_3,386.11794,1706778691
master,1256.45078,1706778696
node_2,409.24764,1706778696
node_1,383.83986,1706778696
node_3,384.91718,1706778696
master,1256.88282,1706778701
node_2,412.46564,1706778701
node_1,379.45626,1706778701
node_3,384.95,1706778701
master,1256.82188,1706778706
node_2,412.98988,1706778706
node_1,381.52732,1706778706
node_3,383.61952,1706778706
master,1257.03126,1706778711
node_2,412.18046,1706778711
node_1,381.43674,1706778711
node_3,383.03828,1706778711
master,1257.24612,1706778716
node_2,411.2461,1706778716
node_1,381.54766,1706778716
node_3,380.66248,1706778716
master,1252.17656,1706778721
node_2,409.40236,1706778721
node_1,383.4914,1706778721
node_3,379.45152,1706778721
master,1252.49612,1706778726
node_2,408.8703,1706778726
node_1,379.08436,1706778726
node_3,379.3039,1706778726
master,1249.39844,1706778731
node_2,405.6195,1706778731
node_1,371.9102,1706778731
node_3,379.41874,1706778731
master,1249.07344,1706778736
node_2,405.65,1706778736
node_1,373.5992,1706778736
node_3,381.31876,1706778736
master,1249.28124,1706778741
node_2,396.92264,1706778741
node_1,372.57892,1706778741
node_3,381.33438,1706778741
master,1249.2578,1706778746
node_2,396.00156,1706778746
node_1,373.83514,1706778746
node_3,383.14688,1706778746
master,1249.26406,1706778751
node_2,399.67582,1706778751
node_1,375.06406,1706778751
node_3,384.54688,1706778751
master,1249.87658,1706778756
node_2,402.2133,1706778756
node_1,377.8445,1706778756
node_3,383.46876,1706778756
master,1250.0914,1706778761
node_2,397.718,1706778761
node_1,379.0039,1706778761
node_3,382.94998,1706778761
master,1249.875,1706778766
node_2,394.49842,1706778766
node_1,378.98986,1706778766
node_3,378.98438,1706778766
master,1250.18128,1706778771
node_2,398.1969,1706778771
node_1,377.09844,1706778771
node_3,376.47344,1706778771
master,1250.26874,1706778776
node_2,400.0508,1706778776
node_1,377.74376,1706778776
node_3,373.7,1706778776
master,1250.02188,1706778781
node_2,396.3008,1706778781
node_1,378.50158,1706778781
node_3,367.88828,1706778781
master,1250.02966,1706778786
node_2,394.44298,1706778786
node_1,379.2711,1706778786
node_3,371.12656,1706778786
master,1250.03518,1706778791
node_2,394.71094,1706778791
node_1,378.61644,1706778791
node_3,373.9883,1706778791
master,1250.04686,1706778796
node_2,394.98986,1706778796
node_1,378.9328,1706778796
node_3,375.56016,1706778796
master,1250.14922,1706778801
node_2,398.4242,1706778801
node_1,382.8414,1706778801
node_3,377.41716,1706778801
master,1250.27812,1706778806
node_2,402.72032,1706778806
node_1,383.1664,1706778806
node_3,378.69528,1706778806
master,1250.22812,1706778811
node_2,402.58752,1706778811
node_1,381.83282,1706778811
node_3,378.59064,1706778811
master,1250.27738,1706778816
node_2,402.06484,1706778816
node_1,382.63122,1706778816
node_3,379.45782,1706778816
master,1250.53126,1706778821
node_2,404.9766,1706778821
node_1,380.85078,1706778821
node_3,378.3555,1706778821
master,1250.56798,1706778826
node_2,409.05,1706778826
node_1,381.66094,1706778826
node_3,378.41406,1706778826
master,1250.79296,1706778831
node_2,407.78906,1706778831
node_1,376.30704,1706778831
node_3,379.4328,1706778831
master,1250.7383,1706778836
node_2,400.66874,1706778836
node_1,377.3125,1706778836
node_3,379.44456,1706778836
master,1250.69998,1706778841
node_2,401.4039,1706778841
node_1,376.45626,1706778841
node_3,375.91716,1706778841
master,1250.4828,1706778846
