hostname,value,timestamp
node_2,82.138106,1706784361
node_1,84.09085,1706784361
master,96.704026,1706784361
node_3,85.20293,1706784361
node_2,93.65134,1706784366
node_1,92.202166,1706784366
master,98.028904,1706784366
node_3,94.982596,1706784366
node_2,94.739054,1706784371
node_1,95.495036,1706784371
master,98.127828,1706784371
node_3,95.809466,1706784371
node_2,91.612068,1706784376
node_1,95.764432,1706784376
master,97.960114,1706784376
node_3,94.85039,1706784376
node_2,94.854226,1706784381
node_1,95.863246,1706784381
master,97.99451,1706784381
node_3,94.124318,1706784381
node_2,95.526722,1706784386
node_1,95.718942,1706784386
master,98.04501,1706784386
node_3,93.291622,1706784386
node_2,93.33149,1706784391
node_1,95.663912,1706784391
master,97.997014,1706784391
node_3,94.1925,1706784391
node_2,95.615966,1706784396
node_1,93.533868,1706784396
master,98.129926,1706784396
node_3,93.198574,1706784396
node_2,94.221978,1706784401
node_1,95.286698,1706784401
master,98.04808,1706784401
node_3,95.618464,1706784401
node_2,93.951738,1706784406
node_1,96.122282,1706784406
master,97.588472,1706784406
node_3,95.397032,1706784406
node_2,93.319504,1706784411
node_1,95.268576,1706784411
master,97.982252,1706784411
node_3,96.045044,1706784411
node_2,94.3851,1706784416
node_1,95.021268,1706784416
master,97.663072,1706784416
node_3,91.34774,1706784416
node_2,94.040078,1706784421
node_1,95.666992,1706784421
master,97.96063,1706784421
node_3,94.879428,1706784421
node_2,95.360576,1706784426
node_1,95.235522,1706784426
master,97.849512,1706784426
node_3,94.544446,1706784426
node_2,92.95021,1706784431
node_1,92.882364,1706784431
master,97.647176,1706784431
node_3,94.990358,1706784431
node_2,96.325436,1706784436
node_1,95.622186,1706784436
master,97.696298,1706784436
node_3,92.511972,1706784436
node_2,89.337592,1706784441
node_1,94.500376,1706784441
master,98.029788,1706784441
node_3,94.505952,1706784441
node_2,95.362528,1706784446
node_1,95.798192,1706784446
master,98.065776,1706784446
node_3,94.33583,1706784446
node_2,94.029186,1706784451
node_1,95.222544,1706784451
master,97.761136,1706784451
node_3,93.71108,1706784451
node_2,96.227974,1706784456
node_1,95.454378,1706784456
master,98.061254,1706784456
node_3,94.790832,1706784456
node_2,93.463738,1706784461
node_1,93.851076,1706784461
master,98.03028,1706784461
node_3,95.51711,1706784461
node_2,95.523028,1706784466
node_1,95.409154,1706784466
master,98.045022,1706784466
node_3,94.461236,1706784466
node_2,93.147126,1706784471
node_1,95.433514,1706784471
master,98.028492,1706784471
node_3,96.4623,1706784471
node_2,92.96798,1706784476
node_1,96.10895,1706784476
master,98.096264,1706784476
node_3,93.064182,1706784476
node_2,95.369208,1706784481
node_1,94.795922,1706784481
master,98.161318,1706784481
node_3,93.952078,1706784481
node_2,94.624066,1706784486
node_1,94.288538,1706784486
master,98.19257,1706784486
node_3,93.32279,1706784486
node_2,94.46806,1706784491
node_1,95.612118,1706784491
master,98.195776,1706784491
node_3,96.367808,1706784491
node_2,94.48503,1706784496
node_1,94.19636,1706784496
master,97.930306,1706784496
node_3,95.243272,1706784496
node_2,94.813974,1706784501
node_1,94.791668,1706784501
master,98.065348,1706784501
node_3,94.917338,1706784501
node_2,91.426438,1706784506
node_1,96.309908,1706784506
master,98.007056,1706784506
node_3,92.908112,1706784506
node_2,91.434432,1706784511
node_1,94.74639,1706784511
master,97.976842,1706784511
node_3,94.263158,1706784511
node_2,93.599566,1706784516
node_1,96.469172,1706784516
master,98.027528,1706784516
node_3,90.588912,1706784516
node_2,94.705558,1706784521
node_1,94.047328,1706784521
master,98.077952,1706784521
node_3,96.574268,1706784521
node_2,94.394884,1706784526
node_1,94.114928,1706784526
master,97.556122,1706784526
node_3,94.611138,1706784526
node_2,94.857474,1706784531
node_1,94.467538,1706784531
master,97.925368,1706784531
node_3,96.128308,1706784531
node_2,92.938852,1706784536
node_1,96.01781,1706784536
master,98.012994,1706784536
node_3,94.894606,1706784536
node_2,93.61313,1706784541
node_1,95.448754,1706784541
master,98.213382,1706784541
node_3,96.32161,1706784541
node_2,94.004622,1706784546
node_1,95.659008,1706784546
master,97.925106,1706784546
node_3,92.599366,1706784546
node_2,95.296596,1706784551
node_1,95.628514,1706784551
master,98.232348,1706784551
node_3,89.61198,1706784551
node_2,94.704826,1706784556
node_1,95.759058,1706784556
master,97.793974,1706784556
node_3,94.529872,1706784556
node_2,94.912428,1706784561
node_1,93.544218,1706784561
master,98.248814,1706784561
node_3,95.762678,1706784561
node_2,94.19998,1706784566
node_1,96.01868,1706784566
master,98.01386,1706784566
node_3,94.445238,1706784566
node_2,91.545998,1706784571
node_1,94.936866,1706784571
master,97.843558,1706784571
node_3,95.117468,1706784571
node_2,93.755174,1706784576
node_1,95.609304,1706784576
master,97.765616,1706784576
node_3,94.102984,1706784576
node_2,95.343136,1706784581
node_1,94.47167,1706784581
master,98.297804,1706784581
node_3,85.632462,1706784581
node_2,94.333382,1706784586
node_1,95.47618,1706784586
master,97.614836,1706784586
node_3,94.951072,1706784586
node_2,95.569776,1706784591
node_1,93.230514,1706784591
master,98.296678,1706784591
node_3,95.468058,1706784591
node_2,94.25844,1706784596
node_1,96.059158,1706784596
master,98.17742,1706784596
node_3,95.16719,1706784596
node_2,92.54494,1706784601
node_1,95.446466,1706784601
master,98.031468,1706784601
node_3,95.56544,1706784601
node_2,92.647598,1706784606
node_1,94.403522,1706784606
master,97.778822,1706784606
node_3,94.354814,1706784606
node_2,95.509122,1706784611
node_1,91.0611,1706784611
master,98.213064,1706784611
node_3,95.10162,1706784611
node_2,94.631952,1706784616
node_1,81.845364,1706784616
master,97.75942,1706784616
node_3,92.47428,1706784616
node_2,94.661044,1706784621
node_1,94.036696,1706784621
master,98.316984,1706784621
node_3,87.86841,1706784621
node_2,94.46977,1706784626
node_1,95.493074,1706784626
master,97.74708,1706784626
node_3,94.40658,1706784626
node_2,95.399916,1706784631
node_1,95.401122,1706784631
master,98.14922,1706784631
node_3,87.65656,1706784631
node_2,90.700696,1706784636
node_1,95.602434,1706784636
master,97.946118,1706784636
node_3,92.950716,1706784636
node_2,95.200182,1706784641
node_1,95.60166,1706784641
master,98.13202,1706784641
node_3,94.328784,1706784641
node_2,93.833692,1706784646
node_1,96.314866,1706784646
master,97.589996,1706784646
node_3,90.868482,1706784646
node_2,95.174066,1706784651
node_1,94.3602,1706784651
master,98.195932,1706784651
node_3,94.95165,1706784651
node_2,94.803908,1706784656
node_1,94.17702,1706784656
master,97.981522,1706784656
node_3,93.637852,1706784656
node_2,95.619776,1706784661
node_1,94.7602,1706784661
master,97.863712,1706784661
node_3,95.016868,1706784661
node_2,92.616676,1706784666
node_1,96.299768,1706784666
master,98.18072,1706784666
node_3,94.959614,1706784666
node_2,94.252812,1706784671
node_1,93.815732,1706784671
master,97.975758,1706784671
node_3,95.414814,1706784671
node_2,93.568046,1706784676
node_1,96.017558,1706784676
master,97.84649,1706784676
node_3,95.107164,1706784676
node_2,95.080104,1706784681
node_1,94.827104,1706784681
master,97.97971,1706784681
node_3,92.753686,1706784681
node_2,95.758696,1706784686
node_1,94.585814,1706784686
master,98.062326,1706784686
node_3,94.328174,1706784686
node_2,94.97345,1706784691
node_1,94.472512,1706784691
master,97.79279,1706784691
node_3,93.57202,1706784691
node_2,94.606198,1706784696
node_1,95.56646,1706784696
master,97.830042,1706784696
node_3,95.027266,1706784696
node_2,92.549106,1706784701
node_1,96.155322,1706784701
master,97.979788,1706784701
node_3,93.822472,1706784701
node_2,93.631794,1706784706
node_1,95.57424,1706784706
master,97.92914,1706784706
node_3,94.194162,1706784706
node_2,95.408616,1706784711
node_1,94.862086,1706784711
