hostname,value,timestamp
node_3,381.34298,1706772966
node_1,382.55234,1706772966
node_2,415.87812,1706772966
master,1242.67268,1706772966
node_3,379.53126,1706772971
node_1,384.05392,1706772971
node_2,414.5367,1706772971
master,1246.74766,1706772971
node_3,378.37814,1706772976
node_1,383.75938,1706772976
node_2,416.98436,1706772976
master,1247.0961,1706772976
node_3,381.67032,1706772981
node_1,385.91564,1706772981
node_2,419.82894,1706772981
master,1247.49842,1706772981
node_3,384.61172,1706772986
node_1,390.97738,1706772986
node_2,414.76174,1706772986
master,1247.41014,1706772986
node_3,385.56876,1706772991
node_1,394.5344,1706772991
node_2,407.10308,1706772991
master,1247.21642,1706772991
node_3,383.15784,1706772996
node_1,391.67112,1706772996
node_2,407.88904,1706772996
master,1247.1781,1706772996
node_3,385.00938,1706773001
node_1,389.2891,1706773001
node_2,409.3594,1706773001
master,1247.18592,1706773001
node_3,384.00392,1706773006
node_1,385.92498,1706773006
node_2,409.80158,1706773006
master,1247.09454,1706773006
node_3,382.37346,1706773011
node_1,383.72108,1706773011
node_2,411.66718,1706773011
master,1247.05624,1706773011
node_3,382.9641,1706773016
node_1,381.05236,1706773016
node_2,412.78282,1706773016
master,1247.04532,1706773016
node_3,384.65314,1706773021
node_1,377.21332,1706773021
node_2,415.39298,1706773021
master,1246.95234,1706773021
node_3,383.54218,1706773026
node_1,379.34768,1706773026
node_2,413.79924,1706773026
master,1245.92734,1706773026
node_3,382.10468,1706773031
node_1,384.1,1706773031
node_2,408.3133,1706773031
master,1245.43278,1706773031
node_3,372.42422,1706773036
node_1,385.22344,1706773036
node_2,406.7633,1706773036
master,1242.85234,1706773036
node_3,366.8281,1706773041
node_1,387.33514,1706773041
node_2,398.79924,1706773041
master,1241.02736,1706773041
node_3,368.98516,1706773046
node_1,387.2367,1706773046
node_2,398.53594,1706773046
master,1241.20158,1706773046
node_3,369.09532,1706773051
node_1,387.2508,1706773051
node_2,394.89138,1706773051
master,1241.22344,1706773051
node_3,370.60156,1706773056
node_1,385.76016,1706773056
node_2,395.67578,1706773056
master,1241.5711,1706773056
node_3,372.34142,1706773061
node_1,375.93128,1706773061
node_2,391.15546,1706773061
master,1242.12186,1706773061
node_3,374.15002,1706773066
node_1,376.41564,1706773066
node_2,393.3984,1706773066
master,1242.13514,1706773066
node_3,375.85,1706773071
node_1,375.28516,1706773071
node_2,396.25782,1706773071
master,1242.33046,1706773071
node_3,374.75938,1706773076
node_1,377.70702,1706773076
node_2,396.66874,1706773076
master,1242.37658,1706773076
node_3,374.53282,1706773081
node_1,384.32968,1706773081
node_2,401.55624,1706773081
master,1242.52262,1706773081
node_3,375.08906,1706773086
node_1,381.62732,1706773086
node_2,402.07734,1706773086
master,1242.45078,1706773086
node_3,376.11172,1706773091
