hostname,value,timestamp
node_1,90.05138,1706795861
node_2,88.890686,1706795861
master,96.758704,1706795861
node_3,87.216922,1706795861
node_1,96.160952,1706795866
node_2,95.151704,1706795866
master,97.9792,1706795866
node_3,94.108526,1706795866
node_1,93.41647,1706795871
node_2,95.430136,1706795871
master,97.829058,1706795871
node_3,95.710862,1706795871
node_1,95.534926,1706795876
node_2,94.706766,1706795876
master,98.197156,1706795876
node_3,94.3921,1706795876
node_1,95.371748,1706795881
node_2,95.61001,1706795881
master,97.789938,1706795881
node_3,95.160506,1706795881
node_1,95.645298,1706795886
node_2,94.652504,1706795886
master,98.24778,1706795886
node_3,95.024462,1706795886
node_1,93.633008,1706795891
node_2,93.456076,1706795891
master,97.93005,1706795891
node_3,93.098482,1706795891
node_1,97.189308,1706795896
master,98.381208,1706795896
node_2,93.562632,1706795896
node_3,93.976636,1706795896
node_1,92.288906,1706795901
node_2,95.80222,1706795901
master,97.748638,1706795901
node_3,95.577888,1706795901
node_1,95.782876,1706795906
node_2,94.576208,1706795906
master,98.313204,1706795906
node_3,94.312462,1706795906
node_1,92.85507,1706795911
node_2,96.06925,1706795911
master,97.621242,1706795911
node_3,95.165488,1706795911
node_1,96.397994,1706795916
node_2,95.194578,1706795916
master,98.16475,1706795916
node_3,95.129792,1706795916
node_1,93.901352,1706795921
node_2,94.95945,1706795921
master,98.060256,1706795921
node_3,92.47826,1706795921
node_1,96.456442,1706795926
node_2,93.74176,1706795926
master,98.06245,1706795926
node_3,90.84142,1706795926
node_1,91.60997,1706795931
node_2,93.605062,1706795931
master,97.960588,1706795931
node_3,94.26162,1706795931
node_1,95.059116,1706795936
node_2,95.072778,1706795936
master,97.911424,1706795936
node_3,93.569232,1706795936
node_1,93.254582,1706795941
node_2,93.775994,1706795941
master,98.045398,1706795941
node_3,95.272796,1706795941
node_1,97.156664,1706795946
node_2,96.035612,1706795946
master,98.230904,1706795946
node_3,92.793768,1706795946
node_1,94.261764,1706795951
node_2,94.297338,1706795951
master,98.244096,1706795951
node_3,94.983416,1706795951
node_1,96.292568,1706795956
node_2,93.83421,1706795956
master,97.879292,1706795956
node_3,92.960648,1706795956
node_1,94.432622,1706795961
master,98.147462,1706795961
node_2,94.356752,1706795961
node_3,93.403312,1706795961
node_1,95.251814,1706795966
node_2,97.02665,1706795966
master,98.131606,1706795966
node_3,94.871918,1706795966
node_1,94.084816,1706795971
master,97.793788,1706795971
node_2,93.763338,1706795971
node_3,94.84334,1706795971
node_1,97.079468,1706795976
node_2,96.778458,1706795976
master,97.97669,1706795976
node_3,94.945688,1706795976
node_1,94.416754,1706795981
node_2,94.399918,1706795981
master,98.111702,1706795981
node_3,95.11813,1706795981
node_1,97.038294,1706795986
node_2,95.25918,1706795986
master,98.096646,1706795986
node_3,94.423612,1706795986
node_1,93.983286,1706795991
master,97.947468,1706795991
node_2,91.287632,1706795991
node_3,91.941776,1706795991
node_1,96.722966,1706795996
node_2,96.687418,1706795996
master,98.063672,1706795996
node_3,94.47212,1706795996
node_1,91.999906,1706796001
node_2,94.662162,1706796001
master,98.04118,1706796001
node_3,93.782942,1706796001
node_1,95.916182,1706796006
node_2,96.079978,1706796006
master,98.211634,1706796006
node_3,95.323522,1706796006
node_1,94.951234,1706796011
master,97.895674,1706796011
node_2,93.36906,1706796011
node_3,93.550938,1706796011
node_1,96.78946,1706796016
node_2,94.124884,1706796016
master,98.110808,1706796016
node_3,93.880544,1706796016
node_1,94.552476,1706796021
node_2,93.189538,1706796021
master,98.128476,1706796021
node_3,94.259134,1706796021
node_1,97.032748,1706796026
node_2,95.934072,1706796026
master,97.898662,1706796026
node_3,92.7466,1706796026
node_1,91.733062,1706796031
node_2,94.600602,1706796031
master,97.672504,1706796031
node_3,95.530732,1706796031
node_1,95.973008,1706796036
node_2,95.780898,1706796036
master,98.064118,1706796036
node_3,95.378608,1706796036
node_1,93.849552,1706796041
master,97.929664,1706796041
node_2,94.653634,1706796041
node_3,95.472204,1706796041
node_1,96.72987,1706796046
node_2,95.874748,1706796046
master,98.097722,1706796046
node_3,94.48282,1706796046
node_1,93.898338,1706796051
master,98.328602,1706796051
node_2,95.459736,1706796051
node_3,85.34574,1706796051
node_1,96.82655,1706796056
node_2,93.146648,1706796056
master,97.998584,1706796056
node_3,92.84327,1706796056
node_1,94.308306,1706796061
node_2,96.101136,1706796061
master,97.779208,1706796061
node_3,95.480838,1706796061
node_1,94.697514,1706796066
node_2,95.199614,1706796066
master,98.1964,1706796066
node_3,87.707124,1706796066
node_1,94.46864,1706796071
node_2,94.843066,1706796071
master,98.228884,1706796071
node_3,94.829292,1706796071
node_1,95.837522,1706796076
node_2,93.338404,1706796076
master,98.180314,1706796076
node_3,91.007888,1706796076
node_1,96.12112,1706796081
node_2,95.359976,1706796081
master,97.997382,1706796081
node_3,95.371098,1706796081
node_1,94.597784,1706796086
node_2,92.802258,1706796086
master,98.029388,1706796086
node_3,92.831392,1706796086
node_1,95.868082,1706796091
node_2,96.110124,1706796091
master,98.029774,1706796091
node_3,93.03427,1706796091
node_1,93.321912,1706796096
master,97.863694,1706796096
node_2,95.06962,1706796096
node_3,93.34097,1706796096
node_1,95.227424,1706796101
node_2,94.528004,1706796101
master,98.215872,1706796101
node_3,95.776394,1706796101
node_1,94.458878,1706796106
node_2,95.55565,1706796106
master,98.029602,1706796106
node_3,93.368106,1706796106
node_1,93.436952,1706796111
node_2,96.02482,1706796111
master,98.198192,1706796111
node_3,94.932104,1706796111
node_1,81.793562,1706796116
node_2,94.758288,1706796116
master,97.87953,1706796116
node_3,94.042286,1706796116
node_1,95.964954,1706796121
master,98.280532,1706796121
node_2,95.129676,1706796121
node_3,92.81607,1706796121
node_1,95.160772,1706796126
node_2,93.449978,1706796126
master,97.881964,1706796126
node_3,93.321692,1706796126
node_1,93.75604,1706796131
node_2,97.377038,1706796131
master,97.994964,1706796131
node_3,94.50203,1706796131
node_1,95.516802,1706796136
node_2,92.62632,1706796136
master,98.28167,1706796136
node_3,94.632424,1706796136
node_1,96.233214,1706796141
node_2,95.464192,1706796141
master,97.947576,1706796141
node_3,94.47618,1706796141
node_1,95.254254,1706796146
node_2,93.784954,1706796146
master,98.162534,1706796146
node_3,91.441408,1706796146
node_1,96.271318,1706796151
master,97.361316,1706796151
node_2,95.090698,1706796151
node_3,94.677724,1706796151
node_1,93.99996,1706796156
node_2,93.98446,1706796156
master,98.042812,1706796156
node_3,91.189444,1706796156
node_1,94.075996,1706796161
node_2,97.292188,1706796161
master,98.164428,1706796161
node_3,94.875674,1706796161
node_1,95.670282,1706796166
node_2,93.31388,1706796166
master,98.2303,1706796166
node_3,94.355482,1706796166
node_1,94.866202,1706796171
node_2,97.283642,1706796171
master,98.03162,1706796171
node_3,94.086822,1706796171
node_1,94.443026,1706796176
node_2,93.765036,1706796176
master,97.91097,1706796176
node_3,94.638356,1706796176
node_1,96.276946,1706796181
master,97.978162,1706796181
node_2,96.828092,1706796181
node_3,94.928382,1706796181
node_1,95.154474,1706796186
node_2,91.639476,1706796186
master,98.213936,1706796186
node_3,93.60369,1706796186
node_1,95.43279,1706796191
node_2,96.572334,1706796191
master,97.93262,1706796191
node_3,90.807816,1706796191
node_1,93.92707,1706796196
node_2,94.465238,1706796196
master,98.065554,1706796196
node_3,92.527114,1706796196
node_1,95.212426,1706796201
node_2,95.96072,1706796201
master,98.080454,1706796201
node_3,95.297212,1706796201
node_1,96.017556,1706796206
node_2,92.448138,1706796206
master,97.85132,1706796206
node_3,93.66723,1706796206
node_1,95.817098,1706796211
node_2,96.26706,1706796211
master,97.891896,1706796211
node_3,94.639398,1706796211
node_1,94.85116,1706796216
node_2,92.456628,1706796216
master,98.063524,1706796216
node_3,94.088086,1706796216
node_1,95.679304,1706796221
master,97.763042,1706796221
node_2,96.080344,1706796221
node_3,93.971772,1706796221
node_1,93.917886,1706796226
node_2,93.907144,1706796226
master,98.228914,1706796226
node_3,92.72946,1706796226
node_1,94.573462,1706796231
node_2,95.576962,1706796231
master,97.913726,1706796231
node_3,93.470896,1706796231
node_1,96.178494,1706796236
node_2,95.14902,1706796236
master,97.965296,1706796236
node_3,94.39457,1706796236
node_1,94.975546,1706796241
node_2,95.0704,1706796241
master,97.945748,1706796241
node_3,95.616214,1706796241
node_1,95.922274,1706796246
node_2,94.805474,1706796246
master,98.164718,1706796246
node_3,93.82957,1706796246
node_1,94.886356,1706796251
node_2,93.162966,1706796251
master,98.012514,1706796251
node_3,95.276996,1706796251
node_1,93.794896,1706796256
node_2,94.903264,1706796256
master,98.063626,1706796256
node_3,92.315534,1706796256
node_1,94.427764,1706796261
node_2,93.76655,1706796261
master,98.047078,1706796261
node_3,95.145124,1706796261
node_1,95.771404,1706796266
node_2,94.77473,1706796266
master,97.960852,1706796266
node_3,93.385666,1706796266
node_1,95.374694,1706796271
node_2,94.047378,1706796271
master,97.69708,1706796271
node_3,94.699984,1706796271
node_1,94.459456,1706796276
node_2,94.936424,1706796276
master,97.943754,1706796276
node_3,94.27258,1706796276
node_1,95.758338,1706796281
node_2,93.478398,1706796281
master,98.19843,1706796281
node_3,95.838286,1706796281
node_1,96.879226,1706796286
node_2,94.35943,1706796286
master,98.183588,1706796286
node_3,93.042512,1706796286
node_1,92.045216,1706796291
node_2,95.18016,1706796291
master,97.98348,1706796291
node_3,93.679656,1706796291
node_1,97.031372,1706796296
node_2,94.708626,1706796296
master,97.996372,1706796296
node_3,92.803172,1706796296
node_1,94.099166,1706796301
node_2,95.574942,1706796301
master,97.944262,1706796301
node_3,96.170358,1706796301
node_1,96.107146,1706796306
node_2,96.176212,1706796306
master,98.03006,1706796306
node_3,93.378158,1706796306
node_1,94.171464,1706796311
node_2,93.879458,1706796311
master,97.663366,1706796311
node_3,93.577816,1706796311
node_1,96.57909,1706796316
node_2,92.621728,1706796316
master,98.096226,1706796316
node_3,92.746414,1706796316
node_1,92.062878,1706796321
node_2,94.509166,1706796321
master,98.149972,1706796321
node_3,95.10053,1706796321
node_1,95.286188,1706796326
node_2,95.713484,1706796326
master,98.062656,1706796326
node_3,92.266492,1706796326
node_1,94.91497,1706796331
node_2,94.66554,1706796331
master,97.947136,1706796331
node_3,96.830478,1706796331
node_1,95.886018,1706796336
node_2,95.927988,1706796336
master,97.94242,1706796336
node_3,91.541768,1706796336
node_1,95.013452,1706796341
node_2,93.682868,1706796341
master,97.99631,1706796341
node_3,96.440688,1706796341
node_1,95.995166,1706796346
node_2,93.141356,1706796346
master,97.713742,1706796346
node_3,93.260884,1706796346
node_1,94.493096,1706796351
node_2,94.469796,1706796351
master,98.114316,1706796351
node_3,96.879876,1706796351
node_1,94.059332,1706796356
node_2,93.463488,1706796356
master,97.974678,1706796356
node_3,91.285036,1706796356
node_1,94.606282,1706796361
node_2,95.511648,1706796361
master,98.164648,1706796361
node_3,96.98124,1706796361
node_1,96.173884,1706796366
node_2,95.066868,1706796366
master,97.883204,1706796366
node_3,93.789396,1706796366
node_1,94.708752,1706796371
node_2,94.93186,1706796371
master,97.864696,1706796371
node_3,96.531848,1706796371
node_1,96.430124,1706796376
node_2,95.215738,1706796376
master,98.081698,1706796376
node_3,92.360632,1706796376
node_1,95.116884,1706796381
node_2,90.982702,1706796381
master,98.096548,1706796381
node_3,96.54736,1706796381
node_1,93.998404,1706796386
node_2,95.304416,1706796386
master,98.047288,1706796386
node_3,93.518108,1706796386
node_1,95.029976,1706796391
node_2,95.721392,1706796391
master,97.928962,1706796391
node_3,94.66162,1706796391
node_1,93.812764,1706796396
node_2,94.553374,1706796396
master,97.627352,1706796396
node_3,94.492578,1706796396
node_1,94.812548,1706796401
node_2,95.950218,1706796401
master,97.928412,1706796401
node_3,95.244092,1706796401
node_1,96.41703,1706796406
node_2,94.265154,1706796406
master,98.14786,1706796406
node_3,94.643414,1706796406
node_1,93.858188,1706796411
node_2,95.454342,1706796411
master,98.000426,1706796411
node_3,93.947526,1706796411
node_1,96.374506,1706796416
node_2,93.033572,1706796416
master,98.093932,1706796416
node_3,94.602358,1706796416
node_1,92.922206,1706796421
node_2,93.392564,1706796421
master,98.04637,1706796421
node_3,93.06271,1706796421
node_1,96.622508,1706796426
node_2,94.157904,1706796426
master,98.060456,1706796426
node_3,94.272628,1706796426
node_1,94.25443,1706796431
node_2,95.81771,1706796431
master,97.796516,1706796431
node_3,94.698416,1706796431
node_1,96.578332,1706796436
node_2,94.21741,1706796436
master,98.013728,1706796436
node_3,93.98559,1706796436
node_1,94.846302,1706796441
node_2,95.772692,1706796441
master,98.129966,1706796441
node_3,95.258034,1706796441
node_1,97.021434,1706796446
node_2,92.360064,1706796446
master,98.013732,1706796446
node_3,94.24873,1706796446
node_1,92.91175,1706796451
node_2,96.209916,1706796451
master,97.74344,1706796451
node_3,94.584074,1706796451
node_1,96.718796,1706796456
node_2,94.511364,1706796456
master,97.713428,1706796456
node_3,92.449408,1706796456
node_1,95.54384,1706796461
node_2,95.923308,1706796461
master,97.961934,1706796461
node_3,93.49441,1706796461
node_1,95.259784,1706796466
node_2,94.397364,1706796466
master,98.013664,1706796466
node_3,95.537198,1706796466
node_1,94.611742,1706796471
node_2,95.72541,1706796471
master,98.097496,1706796471
node_3,94.184402,1706796471
node_1,96.424988,1706796476
node_2,85.92193,1706796476
master,97.978464,1706796476
node_3,95.43552,1706796476
node_1,93.673252,1706796481
node_2,84.017284,1706796481
master,98.14853,1706796481
node_3,94.354666,1706796481
node_1,95.342488,1706796486
node_2,95.068524,1706796486
master,98.079404,1706796486
node_3,94.742358,1706796486
node_1,96.329026,1706796491
node_2,94.969072,1706796491
master,97.963852,1706796491
node_3,93.381824,1706796491
node_1,94.801122,1706796496
node_2,96.01682,1706796496
master,98.049834,1706796496
node_3,96.24762,1706796496
node_1,96.425452,1706796501
node_2,92.303572,1706796501
master,98.129522,1706796501
node_3,94.466724,1706796501
node_1,95.098192,1706796506
node_2,95.919354,1706796506
master,98.046124,1706796506
node_3,95.944796,1706796506
node_1,96.63312,1706796511
node_2,87.112282,1706796511
master,97.97557,1706796511
node_3,93.52032,1706796511
node_1,92.516858,1706796516
node_2,94.296584,1706796516
master,97.695558,1706796516
node_3,96.197224,1706796516
node_1,94.357392,1706796521
node_2,85.434426,1706796521
master,98.164012,1706796521
node_3,92.261376,1706796521
node_1,95.36281,1706796526
node_2,94.289686,1706796526
master,98.180636,1706796526
node_3,96.08768,1706796526
node_1,95.063474,1706796531
node_2,95.516098,1706796531
master,98.29507,1706796531
node_3,94.272012,1706796531
node_1,95.593992,1706796536
node_2,90.22047,1706796536
master,97.860712,1706796536
node_3,94.689958,1706796536
node_1,96.119204,1706796541
node_2,92.84759,1706796541
master,98.29704,1706796541
node_3,93.826372,1706796541
node_1,93.209228,1706796546
node_2,91.576698,1706796546
master,97.946316,1706796546
node_3,96.339028,1706796546
node_1,95.71572,1706796551
node_2,94.146244,1706796551
master,98.063268,1706796551
node_3,91.903044,1706796551
node_1,95.342026,1706796556
node_2,90.387036,1706796556
master,97.931714,1706796556
node_3,92.91742,1706796556
node_1,96.274366,1706796561
