hostname,value,timestamp,id,name
master,606.9961586,1710336356,InOctets,received
master,-1714.5861334,1710336356,OutOctets,sent
node_2,124.0171248,1710336356,InOctets,received
node_2,-274.765124,1710336356,OutOctets,sent
node_3,137.7342034,1710336356,InOctets,received
node_3,-282.968661,1710336356,OutOctets,sent
node_1,164.2907626,1710336356,InOctets,received
node_1,-288.487168,1710336356,OutOctets,sent
master,222.61244,1710336361,InOctets,received
master,-440.055074,1710336361,OutOctets,sent
node_2,19.7496262,1710336361,InOctets,received
node_2,-268.59388,1710336361,OutOctets,sent
node_3,22.2780866,1710336361,InOctets,received
node_3,-285.4145082,1710336361,OutOctets,sent
node_1,15.5630926,1710336361,InOctets,received
node_1,-280.751833,1710336361,OutOctets,sent
master,12.8617136,1710336366,InOctets,received
master,-398.3845296,1710336366,OutOctets,sent
node_2,12.6311771,1710336366,InOctets,received
node_2,-268.1997055,1710336366,OutOctets,sent
node_3,4.2419165,1710336366,InOctets,received
node_3,-270.972699,1710336366,OutOctets,sent
node_1,9.1727761,1710336366,InOctets,received
node_1,-274.2799631,1710336366,OutOctets,sent
master,20.1910282,1710336371,InOctets,received
master,-438.75077,1710336371,OutOctets,sent
node_2,11.2412306,1710336371,InOctets,received
node_2,-263.5730199,1710336371,OutOctets,sent
node_3,16.2046824,1710336371,InOctets,received
node_3,-274.5597177,1710336371,OutOctets,sent
node_1,34.335902,1710336371,InOctets,received
node_1,-281.6616374,1710336371,OutOctets,sent
master,9.6598126,1710336376,InOctets,received
master,-411.041886,1710336376,OutOctets,sent
node_2,9.8320448,1710336376,InOctets,received
node_2,-262.8749752,1710336376,OutOctets,sent
node_3,12.0864116,1710336376,InOctets,received
node_3,-271.5938802,1710336376,OutOctets,sent
node_1,20.7838072,1710336376,InOctets,received
node_1,-276.704778,1710336376,OutOctets,sent
master,14.5448176,1710336381,InOctets,received
master,-425.186056,1710336381,OutOctets,sent
node_2,26.4219242,1710336381,InOctets,received
node_2,-265.550877,1710336381,OutOctets,sent
node_3,15.4470868,1710336381,InOctets,received
node_3,-274.0844259,1710336381,OutOctets,sent
node_1,11.8386918,1710336381,InOctets,received
node_1,-276.4640004,1710336381,OutOctets,sent
master,8.810522,1710336386,InOctets,received
master,-396.5899668,1710336386,OutOctets,sent
node_2,10.0488023,1710336386,InOctets,received
node_2,-262.8219187,1710336386,OutOctets,sent
node_3,4.8283539,1710336386,InOctets,received
node_3,-271.4470128,1710336386,OutOctets,sent
node_1,9.3199957,1710336386,InOctets,received
node_1,-274.7119854,1710336386,OutOctets,sent
master,24.5584468,1710336391,InOctets,received
master,-428.113354,1710336391,OutOctets,sent
node_2,46.0650052,1710336391,InOctets,received
node_2,-278.4300572,1710336391,OutOctets,sent
node_3,27.9364044,1710336391,InOctets,received
node_3,-278.5471546,1710336391,OutOctets,sent
node_1,28.5177106,1710336391,InOctets,received
node_1,-282.7324252,1710336391,OutOctets,sent
master,13.5648154,1710336396,InOctets,received
master,-417.934702,1710336396,OutOctets,sent
node_2,30.2373967,1710336396,InOctets,received
node_2,-268.6739272,1710336396,OutOctets,sent
node_3,12.6074609,1710336396,InOctets,received
node_3,-274.0013968,1710336396,OutOctets,sent
node_1,11.9655256,1710336396,InOctets,received
node_1,-275.4964378,1710336396,OutOctets,sent
master,11.833495,1710336401,InOctets,received
master,-418.2317594,1710336401,OutOctets,sent
node_2,9.6063995,1710336401,InOctets,received
node_2,-261.6016,1710336401,OutOctets,sent
node_3,11.4451682,1710336401,InOctets,received
node_3,-273.2016523,1710336401,OutOctets,sent
node_1,12.5392066,1710336401,InOctets,received
node_1,-277.0368082,1710336401,OutOctets,sent
master,22.6997188,1710336406,InOctets,received
master,-420.3348738,1710336406,OutOctets,sent
node_2,16.8973057,1710336406,InOctets,received
node_2,-267.7568,1710336406,OutOctets,sent
node_3,23.8459208,1710336406,InOctets,received
node_3,-276.5663484,1710336406,OutOctets,sent
node_1,16.562867,1710336406,InOctets,received
node_1,-286.8303214,1710336406,OutOctets,sent
master,16.7932337,1710336411,InOctets,received
master,-433.83858,1710336411,OutOctets,sent
node_2,14.7272004,1710336411,InOctets,received
node_2,-262.54774,1710336411,OutOctets,sent
node_3,35.6343977,1710336411,InOctets,received
node_3,-278.2705755,1710336411,OutOctets,sent
node_1,12.150128,1710336411,InOctets,received
node_1,-276.7792028,1710336411,OutOctets,sent
master,12.2446784,1710336416,InOctets,received
master,-406.2315402,1710336416,OutOctets,sent
node_2,22.210696,1710336416,InOctets,received
node_2,-264.8410604,1710336416,OutOctets,sent
node_3,19.828153,1710336416,InOctets,received
node_3,-274.1326959,1710336416,OutOctets,sent
node_1,17.8693506,1710336416,InOctets,received
node_1,-274.891173,1710336416,OutOctets,sent
master,9.4695982,1710336421,InOctets,received
master,-402.4884736,1710336421,OutOctets,sent
node_2,10.0128001,1710336421,InOctets,received
node_2,-262.6544025,1710336421,OutOctets,sent
node_3,10.2095559,1710336421,InOctets,received
node_3,-272.3519171,1710336421,OutOctets,sent
node_1,11.4007172,1710336421,InOctets,received
node_1,-276.6581819,1710336421,OutOctets,sent
master,19.0393736,1710336426,InOctets,received
master,-414.153946,1710336426,OutOctets,sent
node_2,20.1919988,1710336426,InOctets,received
node_2,-270.6863924,1710336426,OutOctets,sent
node_3,11.6880046,1710336426,InOctets,received
node_3,-274.350404,1710336426,OutOctets,sent
node_1,10.276095,1710336426,InOctets,received
node_1,-275.257038,1710336426,OutOctets,sent
master,10.6421844,1710336431,InOctets,received
master,-417.3322,1710336431,OutOctets,sent
node_2,9.3162058,1710336431,InOctets,received
node_2,-261.496,1710336431,OutOctets,sent
node_3,9.2939406,1710336431,InOctets,received
