hostname,value,timestamp
master,1277.74764,1706724021
node_2,419.97656,1706724021
node_3,407.50236,1706724021
node_1,409.7539,1706724021
master,1278.35232,1706724026
node_2,422.8703,1706724026
node_3,392.39844,1706724026
node_1,409.99294,1706724026
master,1278.98672,1706724031
node_2,428.45624,1706724031
node_3,393.12424,1706724031
node_1,404.26016,1706724031
master,1279.24924,1706724036
node_2,431.93984,1706724036
node_3,393.28438,1706724036
node_1,405.45938,1706724036
master,1279.79688,1706724041
node_2,429.25312,1706724041
node_3,394.2836,1706724041
node_1,404.40548,1706724041
master,1280.35782,1706724046
node_2,428.95236,1706724046
node_3,387.8586,1706724046
node_1,404.87342,1706724046
master,1280.69454,1706724051
node_2,423.83904,1706724051
node_3,388.95154,1706724051
node_1,399.4922,1706724051
master,1280.71564,1706724056
node_2,424.20154,1706724056
node_3,393.13596,1706724056
node_1,398.1625,1706724056
master,1280.77342,1706724061
node_2,421.78672,1706724061
node_3,393.11252,1706724061
node_1,402.35706,1706724061
master,1280.88202,1706724066
node_2,421.61094,1706724066
node_3,399.00704,1706724066
node_1,403.69066,1706724066
node_2,420.99998,1706724071
master,1280.84454,1706724071
node_3,400.8516,1706724071
node_1,402.53124,1706724071
master,1280.90546,1706724076
node_2,420.80858,1706724076
node_3,389.30004,1706724076
node_1,403.94456,1706724076
master,1281.2617,1706724081
node_2,416.93984,1706724081
node_3,386.48598,1706724081
node_1,401.72344,1706724081
node_2,414.32186,1706724086
master,1281.38518,1706724086
node_3,389.6953,1706724086
node_1,400.83986,1706724086
master,1281.21252,1706724091
node_2,412.76016,1706724091
node_3,389.525,1706724091
node_1,395.61174,1706724091
node_2,412.93674,1706724096
master,1281.27108,1706724096
node_3,390.57812,1706724096
node_1,393.43986,1706724096
master,1281.37422,1706724101
node_2,413.47424,1706724101
node_3,392.00468,1706724101
node_1,395.28282,1706724101
master,1281.63284,1706724106
node_2,411.7992,1706724106
node_3,389.16406,1706724106
node_1,396.48592,1706724106
master,1282.18204,1706724111
node_2,409.7797,1706724111
node_3,387.47262,1706724111
node_1,389.75236,1706724111
master,1282.50544,1706724116
node_2,409.12736,1706724116
node_3,389.21406,1706724116
node_1,385.34064,1706724116
master,1282.8594,1706724121
node_2,410.09764,1706724121
node_3,390.52734,1706724121
node_1,386.57424,1706724121
master,1282.83284,1706724126
node_2,409.52108,1706724126
node_3,388.85002,1706724126
node_1,388.08044,1706724126
master,1282.38984,1706724131
node_2,407.10778,1706724131
node_3,387.2375,1706724131
node_1,388.50704,1706724131
master,1282.15,1706724136
node_2,406.03358,1706724136
node_3,384.62654,1706724136
node_1,389.36956,1706724136
master,1282.3508,1706724141
node_2,407.52344,1706724141
node_3,383.00548,1706724141
node_1,389.8117,1706724141
master,1282.63124,1706724146
node_2,406.62188,1706724146
node_3,381.45076,1706724146
node_1,390.42966,1706724146
node_2,407.21018,1706724151
master,1282.25392,1706724151
node_3,377.5977,1706724151
node_1,388.31252,1706724151
master,1282.38204,1706724156
node_2,416.30156,1706724156
node_3,378.24922,1706724156
node_1,382.36248,1706724156
master,1282.6367,1706724161
node_2,417.95702,1706724161
node_3,379.81012,1706724161
node_1,383.1953,1706724161
node_2,419.88124,1706724166
master,1282.93906,1706724166
node_3,382.61876,1706724166
node_1,386.91406,1706724166
master,1283.00392,1706724171
node_2,420.58982,1706724171
node_3,385.73514,1706724171
node_1,387.59998,1706724171
master,1283.21798,1706724176
node_2,422.75782,1706724176
node_3,385.05778,1706724176
node_1,382.57112,1706724176
node_2,424.90858,1706724181
master,1283.31796,1706724181
node_3,394.35546,1706724181
node_1,383.45546,1706724181
master,1283.21248,1706724186
node_2,430.96014,1706724186
node_3,411.19296,1706724186
node_1,410.4125,1706724186
master,1283.3492,1706724191
node_2,433.53126,1706724191
node_3,412.47186,1706724191
node_1,420.3508,1706724191
node_2,436.0953,1706724196
master,1283.56488,1706724196
node_3,415.52576,1706724196
node_1,419.78674,1706724196
master,1283.65466,1706724201
node_2,439.19764,1706724201
node_3,413.45936,1706724201
node_1,419.07186,1706724201
node_2,441.83282,1706724206
master,1283.74684,1706724206
node_3,416.3422,1706724206
node_1,423.98436,1706724206
master,1283.63904,1706724211
node_2,442.15936,1706724211
node_3,410.38438,1706724211
node_1,427.75704,1706724211
master,1283.95468,1706724216
node_2,442.15702,1706724216
node_3,414.81796,1706724216
node_1,421.02656,1706724216
master,1284.41094,1706724221
node_2,439.94374,1706724221
node_3,419.15548,1706724221
node_1,420.01796,1706724221
master,1284.51956,1706724226
node_2,447.30858,1706724226
node_3,422.22732,1706724226
node_1,418.61718,1706724226
master,1284.65158,1706724231
node_2,445.06016,1706724231
node_3,420.42812,1706724231
node_1,424.26252,1706724231
node_2,440.56876,1706724236
master,1285.54764,1706724236
node_3,422.3125,1706724236
node_1,424.51718,1706724236
node_2,440.1625,1706724241
master,1285.7039,1706724241
node_3,422.14686,1706724241
node_1,422.62422,1706724241
node_2,442.76172,1706724246
master,1285.86564,1706724246
node_3,423.71252,1706724246
node_1,425.9594,1706724246
node_2,443.04374,1706724251
master,1286.09062,1706724251
node_3,418.6414,1706724251
node_1,429.8039,1706724251
node_2,445.68518,1706724256
master,1286.2922,1706724256
node_3,420.81718,1706724256
node_1,426.87266,1706724256
master,1286.44844,1706724261
node_2,450.07502,1706724261
node_3,422.39686,1706724261
node_1,425.75624,1706724261
master,1286.66094,1706724266
node_2,450.8711,1706724266
node_3,422.9672,1706724266
node_1,426.33048,1706724266
master,1286.91642,1706724271
node_2,457.10312,1706724271
node_3,426.28204,1706724271
node_1,424.47892,1706724271
master,1286.97734,1706724276
node_2,478.06564,1706724276
node_3,425.48204,1706724276
node_1,427.34768,1706724276
master,1287.08906,1706724281
node_2,473.48594,1706724281
node_3,422.17968,1706724281
node_1,428.7914,1706724281
node_2,473.30704,1706724286
master,1287.11098,1706724286
node_3,418.34454,1706724286
node_1,427.5633,1706724286
node_2,467.9047,1706724291
master,1287.157,1706724291
node_3,422.26564,1706724291
node_1,420.82968,1706724291
master,1287.40154,1706724296
node_2,471.418,1706724296
node_3,422.88828,1706724296
node_1,423.9047,1706724296
node_2,465.4797,1706724301
master,1287.2117,1706724301
node_3,425.67814,1706724301
node_1,432.41642,1706724301
master,1286.98362,1706724306
node_2,467.95392,1706724306
node_3,427.07812,1706724306
node_1,431.84062,1706724306
node_2,475.24844,1706724311
master,1286.97894,1706724311
node_3,429.3664,1706724311
node_1,428.17814,1706724311
node_2,475.84296,1706724316
master,1287.01406,1706724316
node_3,434.26796,1706724316
node_1,428.55626,1706724316
node_2,479.10392,1706724321
master,1286.70154,1706724321
node_3,433.89844,1706724321
node_1,426.76876,1706724321
master,1286.84062,1706724326
node_2,479.22656,1706724326
node_3,426.2469,1706724326
node_1,426.06486,1706724326
master,1286.9336,1706724331
node_2,478.09764,1706724331
node_3,425.6164,1706724331
node_1,429.4078,1706724331
master,1287.17112,1706724336
node_2,473.21094,1706724336
node_3,419.13984,1706724336
node_1,432.01718,1706724336
master,1286.9141,1706724341
node_2,475.793,1706724341
node_3,422.95158,1706724341
node_1,430.12108,1706724341
node_2,477.9992,1706724346
master,1286.6094,1706724346
node_3,432.82812,1706724346
node_1,430.26014,1706724346
node_2,476.79764,1706724351
master,1286.4406,1706724351
node_3,434.7922,1706724351
node_1,433.02892,1706724351
master,1286.40312,1706724356
node_2,475.3961,1706724356
node_3,440.4547,1706724356
node_1,436.41484,1706724356
master,1286.32966,1706724361
node_2,477.23828,1706724361
node_3,441.16328,1706724361
node_1,437.24608,1706724361
master,1286.32498,1706724366
node_2,479.65858,1706724366
node_3,438.37814,1706724366
node_1,434.65,1706724366
node_2,476.38986,1706724371
master,1286.4164,1706724371
node_3,437.31798,1706724371
node_1,437.13204,1706724371
master,1286.45236,1706724376
node_2,460.6836,1706724376
node_3,439.66484,1706724376
node_1,439.32812,1706724376
node_2,463.9664,1706724381
master,1286.193,1706724381
node_3,440.62658,1706724381
node_1,437.41486,1706724381
master,1286.37652,1706724386
node_2,472.25936,1706724386
node_3,439.76408,1706724386
node_1,435.37184,1706724386
node_2,472.95546,1706724391
master,1286.51872,1706724391
node_3,437.65702,1706724391
node_1,436.22108,1706724391
node_2,463.7742,1706724396
master,1286.51248,1706724396
node_3,434.18356,1706724396
node_1,437.51954,1706724396
node_2,464.57342,1706724401
master,1286.44218,1706724401
node_3,431.43984,1706724401
node_1,442.42968,1706724401
node_2,465.67032,1706724406
master,1286.09142,1706724406
node_3,432.32028,1706724406
node_1,439.97268,1706724406
node_2,469.91408,1706724411
master,1286.21404,1706724411
node_3,439.4203,1706724411
node_1,437.99532,1706724411
node_2,472.00002,1706724416
master,1286.0492,1706724416
node_3,439.05156,1706724416
node_1,435.92576,1706724416
node_2,472.46482,1706724421
master,1285.92502,1706724421
node_3,437.43986,1706724421
node_1,436.85704,1706724421
master,1286.20626,1706724426
node_2,474.19998,1706724426
node_3,438.14218,1706724426
node_1,434.91638,1706724426
node_2,473.33984,1706724431
master,1286.1664,1706724431
node_3,442.92654,1706724431
node_1,437.54534,1706724431
master,1286.27264,1706724436
node_2,466.85468,1706724436
node_3,441.7547,1706724436
node_1,447.88358,1706724436
master,1286.54144,1706724441
node_2,462.6539,1706724441
node_3,438.75078,1706724441
node_1,445.90468,1706724441
master,1286.51016,1706724446
node_2,455.5414,1706724446
node_3,441.76404,1706724446
node_1,444.2953,1706724446
master,1286.22972,1706724451
node_2,454.64608,1706724451
node_3,438.27186,1706724451
node_1,448.47736,1706724451
node_2,462.99298,1706724456
master,1286.21716,1706724456
node_3,438.1031,1706724456
node_1,443.61718,1706724456
master,1286.43984,1706724461
node_2,461.40312,1706724461
node_3,427.30312,1706724461
node_1,446.59296,1706724461
master,1286.23438,1706724466
node_2,461.0453,1706724466
node_3,429.28826,1706724466
node_1,442.51482,1706724466
node_2,464.4961,1706724471
master,1285.9914,1706724471
node_3,435.59532,1706724471
node_1,439.20468,1706724471
master,1285.8773,1706724476
node_2,465.1453,1706724476
node_3,436.66328,1706724476
node_1,445.91016,1706724476
node_2,469.97344,1706724481
master,1286.2844,1706724481
node_3,435.60314,1706724481
node_1,448.6781,1706724481
master,1286.31174,1706724486
node_2,466.92892,1706724486
node_3,436.24608,1706724486
node_1,445.63906,1706724486
master,1286.43828,1706724491
node_2,466.00232,1706724491
node_3,443.65078,1706724491
node_1,449.63516,1706724491
master,1286.51562,1706724496
