4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1429.30          ---          ---        12.71985        11.64700        26.62300        44.54300       110.11 
Gets        14291.19         5.29     14285.90        12.71008        11.64700        26.62300        44.79900       556.87 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      15720.49         5.29     14285.90        12.71097        11.64700        26.62300        44.79900       666.97 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.431        0.000
SET      10.367        5.000
SET      10.943       10.000
SET      11.135       15.000
SET      11.263       20.000
SET      11.327       25.000
SET      11.455       30.000
SET      11.519       35.000
SET      11.519       40.000
SET      11.583       45.000
SET      11.647       50.000
SET      11.711       52.500
SET      11.711       55.000
SET      11.775       57.500
SET      11.775       60.000
SET      11.839       62.500
SET      11.839       65.000
SET      11.903       67.500
SET      11.967       70.000
SET      12.031       72.500
SET      12.095       75.000
SET      12.159       76.250
SET      12.223       77.500
SET      12.287       78.750
SET      12.415       80.000
SET      12.607       81.250
SET      12.799       82.500
SET      13.119       83.750
SET      13.503       85.000
SET      13.951       86.250
SET      14.335       87.500
SET      14.591       88.125
SET      14.911       88.750
SET      15.295       89.375
SET      15.999       90.000
SET      17.023       90.625
SET      18.303       91.250
SET      19.711       91.875
SET      20.479       92.500
SET      21.247       93.125
SET      21.759       93.750
SET      22.015       94.062
SET      22.143       94.375
SET      22.399       94.688
SET      22.527       95.000
SET      22.655       95.312
SET      22.783       95.625
SET      22.911       95.938
SET      23.039       96.250
SET      23.167       96.562
SET      23.295       96.875
SET      23.295       97.031
SET      23.423       97.188
SET      23.423       97.344
SET      23.551       97.500
SET      23.551       97.656
SET      23.679       97.812
SET      23.807       97.969
SET      23.935       98.125
SET      24.063       98.281
SET      24.319       98.438
SET      24.447       98.516
SET      24.575       98.594
SET      24.959       98.672
SET      25.215       98.750
SET      25.599       98.828
SET      25.983       98.906
SET      26.495       98.984
SET      27.135       99.062
SET      27.903       99.141
SET      28.543       99.219
SET      28.927       99.258
SET      29.311       99.297
SET      29.823       99.336
SET      30.207       99.375
SET      30.847       99.414
SET      31.359       99.453
SET      31.999       99.492
SET      32.639       99.531
SET      33.535       99.570
SET      34.303       99.609
SET      34.815       99.629
SET      35.327       99.648
SET      35.839       99.668
SET      36.351       99.688
SET      37.119       99.707
SET      37.631       99.727
SET      38.143       99.746
SET      38.655       99.766
SET      39.423       99.785
SET      40.191       99.805
SET      40.447       99.814
SET      40.959       99.824
SET      41.215       99.834
SET      41.727       99.844
SET      41.983       99.854
SET      42.495       99.863
SET      43.007       99.873
SET      43.519       99.883
SET      44.031       99.893
SET      44.543       99.902
SET      44.799       99.907
SET      45.311       99.912
SET      45.823       99.917
SET      46.079       99.922
SET      46.591       99.927
SET      47.103       99.932
SET      47.359       99.937
SET      47.871       99.941
SET      48.639       99.946
SET      49.407       99.951
SET      49.663       99.954
SET      49.919       99.956
SET      50.431       99.958
SET      50.687       99.961
SET      51.199       99.963
SET      51.711       99.966
SET      52.223       99.968
SET      52.735       99.971
SET      53.247       99.973
SET      53.759       99.976
SET      54.015       99.977
SET      54.271       99.978
SET      54.783       99.979
SET      55.295       99.980
SET      55.551       99.982
SET      56.063       99.983
SET      56.319       99.984
SET      57.343       99.985
SET      57.599       99.987
SET      58.111       99.988
SET      58.367       99.988
SET      59.135       99.989
SET      59.391       99.990
SET      59.647       99.990
SET      59.903       99.991
SET      60.415       99.991
SET      60.927       99.992
SET      61.183       99.993
SET      61.695       99.993
