4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1429.45          ---          ---        12.70807        11.64700        26.75100        45.05500       110.12 
Gets        14292.83         5.32     14287.52        12.70984        11.64700        26.75100        45.31100       556.93 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      15722.28         5.32     14287.52        12.70968        11.64700        26.75100        45.31100       667.05 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.791        0.000
SET      10.367        5.000
SET      11.007       10.000
SET      11.199       15.000
SET      11.263       20.000
SET      11.391       25.000
SET      11.455       30.000
SET      11.519       35.000
SET      11.583       40.000
SET      11.647       45.000
SET      11.647       50.000
SET      11.711       52.500
SET      11.711       55.000
SET      11.775       57.500
SET      11.775       60.000
SET      11.839       62.500
SET      11.839       65.000
SET      11.903       67.500
SET      11.967       70.000
SET      12.031       72.500
SET      12.095       75.000
SET      12.159       76.250
SET      12.159       77.500
SET      12.287       78.750
SET      12.351       80.000
SET      12.543       81.250
SET      12.735       82.500
SET      12.991       83.750
SET      13.375       85.000
SET      13.823       86.250
SET      14.271       87.500
SET      14.463       88.125
SET      14.719       88.750
SET      15.103       89.375
SET      15.615       90.000
SET      16.511       90.625
SET      17.791       91.250
SET      19.327       91.875
SET      20.351       92.500
SET      21.119       93.125
SET      21.759       93.750
SET      21.887       94.062
SET      22.143       94.375
SET      22.271       94.688
SET      22.527       95.000
SET      22.655       95.312
SET      22.783       95.625
SET      22.911       95.938
SET      23.039       96.250
SET      23.167       96.562
SET      23.295       96.875
SET      23.295       97.031
SET      23.423       97.188
SET      23.423       97.344
SET      23.551       97.500
SET      23.551       97.656
SET      23.679       97.812
SET      23.807       97.969
SET      23.935       98.125
SET      24.063       98.281
SET      24.191       98.438
SET      24.319       98.516
SET      24.575       98.594
SET      24.831       98.672
SET      25.087       98.750
SET      25.471       98.828
SET      25.983       98.906
SET      26.495       98.984
SET      27.263       99.062
SET      27.903       99.141
SET      28.671       99.219
SET      29.055       99.258
SET      29.439       99.297
SET      29.823       99.336
SET      30.335       99.375
SET      30.847       99.414
SET      31.487       99.453
SET      32.127       99.492
SET      33.023       99.531
SET      33.791       99.570
SET      34.815       99.609
SET      35.583       99.629
SET      36.095       99.648
SET      36.607       99.668
SET      37.119       99.688
SET      37.631       99.707
SET      38.143       99.727
SET      38.911       99.746
SET      39.679       99.766
SET      40.191       99.785
SET      40.959       99.805
SET      41.215       99.814
SET      41.471       99.824
SET      41.983       99.834
SET      42.239       99.844
SET      42.751       99.854
SET      43.263       99.863
SET      43.775       99.873
SET      44.287       99.883
SET      44.799       99.893
SET      45.311       99.902
SET      45.567       99.907
SET      46.079       99.912
SET      46.335       99.917
SET      46.591       99.922
SET      47.103       99.927
SET      47.615       99.932
SET      48.127       99.937
SET      48.639       99.941
SET      49.151       99.946
SET      49.663       99.951
SET      50.175       99.954
SET      50.431       99.956
SET      50.943       99.958
SET      51.199       99.961
SET      51.455       99.963
SET      51.967       99.966
SET      52.479       99.968
SET      53.503       99.971
SET      54.015       99.973
SET      54.271       99.976
SET      54.783       99.977
SET      54.783       99.978
SET      55.295       99.979
SET      55.551       99.980
SET      56.063       99.982
SET      56.319       99.983
SET      56.831       99.984
SET      57.343       99.985
SET      57.855       99.987
SET      58.367       99.988
SET      58.623       99.988
SET      58.623       99.989
SET      59.135       99.990
SET      59.391       99.990
SET      59.647       99.991
SET      59.647       99.991
SET      59.903       99.992
SET      60.415       99.993
SET      60.671       99.993
SET      60.927       99.994
SET      61.439       99.994
SET      61.695       99.995
SET      61.951       99.995
SET      62.719       99.995
SET      62.975       99.995
SET      63.743       99.996
SET      64.255       99.996
SET      65.279       99.996
SET      66.559       99.997
SET      67.071       99.997
SET      68.095       99.997
SET      70.143       99.997
SET      70.655       99.997
SET      71.679       99.998
SET      72.191       99.998
SET      72.703       99.998
SET      72.703       99.998
SET      73.215       99.998
SET      73.727       99.998
SET      73.727       99.998
SET      74.751       99.999
SET      77.311       99.999
SET      77.311       99.999
SET      77.311       99.999
SET      78.335       99.999
SET      78.335       99.999
SET      80.383       99.999
SET      80.895       99.999
SET      80.895       99.999
SET      82.431       99.999
SET      82.431       99.999
SET      86.527       99.999
SET      86.527       99.999
SET      86.527       99.999
SET      88.063       99.999
SET      88.063       99.999
SET      88.063      100.000
SET      92.671      100.000
SET      92.671      100.000
SET      92.671      100.000
SET      92.671      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     105.983      100.000
SET     106.495      100.000
SET     106.495      100.000
---
GET       1.559        0.000
GET      10.367        5.000
GET      11.007       10.000
GET      11.199       15.000
GET      11.263       20.000
GET      11.391       25.000
GET      11.455       30.000
GET      11.519       35.000
GET      11.583       40.000
GET      11.647       45.000
GET      11.647       50.000
GET      11.711       52.500
GET      11.711       55.000
GET      11.775       57.500
GET      11.775       60.000
GET      11.839       62.500
GET      11.839       65.000
GET      11.903       67.500
GET      11.967       70.000
GET      12.031       72.500
GET      12.095       75.000
GET      12.159       76.250
GET      12.159       77.500
GET      12.287       78.750
GET      12.351       80.000
GET      12.543       81.250
GET      12.735       82.500
GET      12.991       83.750
GET      13.375       85.000
GET      13.823       86.250
GET      14.271       87.500
GET      14.463       88.125
GET      14.783       88.750
GET      15.103       89.375
GET      15.679       90.000
GET      16.639       90.625
GET      17.919       91.250
GET      19.327       91.875
GET      20.351       92.500
GET      21.119       93.125
GET      21.759       93.750
GET      21.887       94.062
GET      22.143       94.375
GET      22.271       94.688
GET      22.527       95.000
GET      22.655       95.312
GET      22.783       95.625
GET      22.911       95.938
GET      23.039       96.250
GET      23.167       96.562
GET      23.295       96.875
GET      23.295       97.031
GET      23.423       97.188
GET      23.423       97.344
GET      23.551       97.500
GET      23.679       97.656
GET      23.679       97.812
GET      23.807       97.969
GET      23.935       98.125
GET      24.063       98.281
GET      24.191       98.438
GET      24.319       98.516
GET      24.575       98.594
GET      24.831       98.672
GET      25.087       98.750
GET      25.471       98.828
GET      25.983       98.906
GET      26.623       98.984
