hostname,value,timestamp
node_3,94.167334,1710202046
node_2,89.284328,1710202046
node_1,94.299438,1710202046
master,96.60348,1710202046
node_3,94.382532,1710202051
node_2,95.481728,1710202051
node_1,94.708156,1710202051
master,98.178742,1710202051
node_3,94.711136,1710202056
node_2,89.902964,1710202056
node_1,93.65414,1710202056
master,98.109516,1710202056
node_3,91.939326,1710202061
node_1,94.501892,1710202061
node_2,95.100976,1710202061
master,98.131656,1710202061
node_3,92.705586,1710202066
node_2,91.580692,1710202066
node_1,90.161002,1710202066
master,97.859652,1710202066
node_3,90.122404,1710202071
node_2,93.876888,1710202071
node_1,92.815552,1710202071
master,98.11197,1710202071
node_3,93.641944,1710202076
node_2,91.53829,1710202076
node_1,94.054464,1710202076
master,97.81256,1710202076
node_3,94.146186,1710202081
node_1,94.558502,1710202081
node_2,95.598808,1710202081
master,98.093616,1710202081
node_3,92.48769,1710202086
node_2,90.833396,1710202086
node_1,93.022764,1710202086
master,97.980038,1710202086
node_3,94.636458,1710202091
node_1,94.6641,1710202091
node_2,92.28692,1710202091
master,98.196796,1710202091
node_3,92.277262,1710202096
node_2,83.825856,1710202096
node_1,93.65876,1710202096
master,97.979794,1710202096
node_3,93.174114,1710202101
node_2,96.835924,1710202101
node_1,92.420698,1710202101
master,98.044326,1710202101
node_3,94.294072,1710202106
node_2,88.967892,1710202106
node_1,93.684262,1710202106
master,98.094272,1710202106
node_3,93.272844,1710202111
node_2,95.614076,1710202111
node_1,94.221708,1710202111
master,98.160902,1710202111
node_3,93.094294,1710202116
node_2,91.894772,1710202116
node_1,93.511752,1710202116
master,97.965912,1710202116
node_3,94.084988,1710202121
node_2,92.534944,1710202121
node_1,95.72442,1710202121
master,98.247026,1710202121
node_3,92.240352,1710202126
node_2,88.131372,1710202126
node_1,91.76002,1710202126
master,98.178382,1710202126
node_3,92.415478,1710202131
node_1,94.810724,1710202131
node_2,96.82821,1710202131
master,98.195028,1710202131
node_3,93.059618,1710202136
node_2,89.858406,1710202136
node_1,91.731134,1710202136
master,98.02841,1710202136
node_3,94.173352,1710202141
node_2,92.98721,1710202141
node_1,95.677224,1710202141
master,98.114398,1710202141
node_3,92.934506,1710202146
node_2,90.22211,1710202146
node_1,91.24931,1710202146
master,98.112118,1710202146
node_3,94.484452,1710202151
node_2,93.064538,1710202151
node_1,96.123858,1710202151
master,98.162082,1710202151
node_3,92.535682,1710202156
node_2,90.36215,1710202156
node_1,91.216956,1710202156
master,98.128848,1710202156
node_3,93.874146,1710202161
node_2,96.785538,1710202161
node_1,95.878626,1710202161
master,98.180954,1710202161
node_3,92.590272,1710202166
node_1,91.407848,1710202166
node_2,84.90455,1710202166
master,97.993462,1710202166
node_3,95.371748,1710202171
node_2,96.222876,1710202171
node_1,95.979192,1710202171
master,98.027834,1710202171
node_3,92.270638,1710202176
node_2,89.060454,1710202176
node_1,91.956986,1710202176
master,97.942856,1710202176
node_3,95.867672,1710202181
node_1,95.577806,1710202181
node_2,94.9989,1710202181
master,98.22988,1710202181
node_3,92.038032,1710202186
node_2,90.505154,1710202186
node_1,92.326458,1710202186
master,98.111072,1710202186
node_3,95.122404,1710202191
node_2,94.6937,1710202191
node_1,95.265982,1710202191
master,98.044784,1710202191
node_3,91.96772,1710202196
node_2,91.943562,1710202196
node_1,90.903548,1710202196
master,98.126238,1710202196
node_3,95.5512,1710202201
node_2,94.741288,1710202201
node_1,95.567628,1710202201
master,98.158808,1710202201
node_3,88.697072,1710202206
node_2,86.712434,1710202206
node_1,90.849526,1710202206
master,97.928052,1710202206
node_3,41.151302,1710202211
node_1,40.90271,1710202211
node_2,40.728248,1710202211
master,98.16185,1710202211
node_3,26.4697258,1710202216
node_1,25.74561,1710202216
node_2,20.9677066,1710202216
master,98.115608,1710202216
node_3,27.423506,1710202221
node_1,29.077308,1710202221
node_2,29.141902,1710202221
master,98.396092,1710202221
node_3,27.0433664,1710202226
node_2,25.709036,1710202226
node_1,25.611868,1710202226
master,98.128162,1710202226
node_3,29.305016,1710202231
node_2,29.14517,1710202231
node_1,29.53735,1710202231
master,97.892832,1710202231
node_3,26.728338,1710202236
node_2,24.3236254,1710202236
node_1,25.761178,1710202236
master,98.193808,1710202236
node_3,28.178354,1710202241
node_2,19.9999288,1710202241
node_1,30.007086,1710202241
master,98.19601,1710202241
node_3,27.652528,1710202246
node_2,16.9976722,1710202246
node_1,26.696628,1710202246
master,98.000134,1710202246
node_3,28.311968,1710202251
node_1,29.238996,1710202251
node_2,28.645104,1710202251
master,98.14515,1710202251
node_3,26.0565402,1710202256
node_2,26.962782,1710202256
node_1,25.645892,1710202256
master,98.061242,1710202256
node_3,29.196106,1710202261
node_2,20.0816894,1710202261
node_1,28.96818,1710202261
master,98.06147,1710202261
node_3,27.970082,1710202266
node_2,23.43942,1710202266
node_1,27.108608,1710202266
master,97.958984,1710202266
node_3,28.63846,1710202271
node_2,25.908802,1710202271
node_1,29.02045,1710202271
master,97.942498,1710202271
node_3,27.218158,1710202276
node_1,27.218224,1710202276
node_2,25.545416,1710202276
master,98.19443,1710202276
node_3,28.04067,1710202281
node_1,28.03548,1710202281
node_2,28.972652,1710202281
master,97.875944,1710202281
node_3,27.167502,1710202286
node_2,23.1315784,1710202286
node_1,27.607176,1710202286
master,98.012742,1710202286
node_3,29.729374,1710202291
node_2,28.501448,1710202291
node_1,28.379874,1710202291
master,98.177878,1710202291
node_3,27.644184,1710202296
node_2,26.900666,1710202296
master,98.095452,1710202296
node_3,28.577922,1710202301
node_2,27.89515,1710202301
master,98.028924,1710202301
node_3,28.575918,1710202306
node_2,24.707104,1710202306
master,98.144056,1710202306
node_3,27.007296,1710202311
node_2,27.52259,1710202311
master,98.01135,1710202311
node_3,29.26581,1710202316
node_2,26.340556,1710202316
master,97.92802,1710202316
node_3,28.809126,1710202321
node_2,29.467602,1710202321
master,98.094732,1710202321
node_3,27.5624,1710202326
node_2,23.435054,1710202326
master,98.108578,1710202326
node_3,28.046,1710202331
node_2,27.236092,1710202331
master,98.11192,1710202331
node_3,28.522832,1710202336
node_2,26.54343,1710202336
master,97.674884,1710202336
node_3,27.317556,1710202341
node_2,24.4312358,1710202341
master,98.213184,1710202341
node_3,26.8928862,1710202346
node_2,24.744032,1710202346
master,97.99425,1710202346
node_3,27.972922,1710202351
node_2,26.9644046,1710202351
master,98.080144,1710202351
