hostname,value,timestamp
master,1089.87968,1710208576
node_1,398.59924,1710208576
node_2,412.95158,1710208576
node_3,393.0625,1710208576
master,1093.3836,1710208581
node_1,399.63046,1710208581
node_2,406.85392,1710208581
node_3,391.69296,1710208581
master,1093.85156,1710208586
node_1,394.83672,1710208586
node_2,404.33988,1710208586
node_3,391.56014,1710208586
master,1094.55314,1710208591
node_1,393.40392,1710208591
node_2,406.43596,1710208591
node_3,389.54532,1710208591
master,1095.03904,1710208596
node_1,396.99138,1710208596
node_2,406.38358,1710208596
node_3,386.34218,1710208596
master,1095.91484,1710208601
node_1,397.57576,1710208601
node_2,401.2117,1710208601
node_3,384.47656,1710208601
master,1096.28904,1710208606
node_1,393.15312,1710208606
node_2,399.96874,1710208606
node_3,388.58282,1710208606
master,1096.41016,1710208611
node_1,390.78128,1710208611
node_2,400.85468,1710208611
node_3,391.8047,1710208611
master,1096.35626,1710208616
node_1,388.6992,1710208616
node_2,404.27656,1710208616
node_3,393.55702,1710208616
master,1096.2461,1710208621
node_1,385.95548,1710208621
node_2,405.09454,1710208621
node_3,394.93124,1710208621
master,1096.38826,1710208626
node_1,385.73438,1710208626
node_2,405.39456,1710208626
node_3,392.04532,1710208626
master,1096.35468,1710208631
node_1,383.53434,1710208631
node_2,400.92732,1710208631
node_3,387.15468,1710208631
master,1096.80548,1710208636
node_1,383.67422,1710208636
node_2,398.98748,1710208636
node_3,386.99998,1710208636
master,1096.76798,1710208641
node_1,384.6523,1710208641
node_2,394.55936,1710208641
node_3,386.19532,1710208641
master,1097.1914,1710208646
node_1,384.81252,1710208646
node_2,389.12888,1710208646
node_3,386.72734,1710208646
master,1097.2508,1710208651
node_1,382.10784,1710208651
node_2,388.2203,1710208651
node_3,390.60548,1710208651
master,1097.37032,1710208656
node_1,382.69296,1710208656
node_2,392.14998,1710208656
node_3,388.27892,1710208656
master,1097.42732,1710208661
node_1,376.02582,1710208661
node_2,393.12814,1710208661
node_3,377.90784,1710208661
master,1097.8578,1710208666
node_1,379.62266,1710208666
node_2,395.66018,1710208666
node_3,382.73674,1710208666
master,1098.67108,1710208671
node_1,375.2539,1710208671
node_2,391.63594,1710208671
node_3,386.5273,1710208671
master,1098.66408,1710208676
node_1,376.13126,1710208676
node_2,387.43204,1710208676
node_3,385.93202,1710208676
master,1098.56484,1710208681
node_1,378.1641,1710208681
node_2,388.11404,1710208681
node_3,385.55938,1710208681
master,1098.76954,1710208686
node_1,378.82112,1710208686
node_2,388.36796,1710208686
node_3,384.38048,1710208686
master,1098.88284,1710208691
node_1,381.86248,1710208691
node_2,388.7211,1710208691
node_3,378.94532,1710208691
master,1098.75548,1710208696
node_1,383.49922,1710208696
node_2,389.44376,1710208696
node_3,381.58828,1710208696
master,1098.67264,1710208701
node_1,383.05784,1710208701
node_2,390.55938,1710208701
node_3,383.17656,1710208701
master,1098.56092,1710208706
node_1,383.66018,1710208706
node_2,390.11562,1710208706
node_3,383.94218,1710208706
master,1098.8031,1710208711
node_1,371.57738,1710208711
node_2,388.98828,1710208711
node_3,381.6992,1710208711
master,1098.85312,1710208716
node_1,374.80624,1710208716
node_2,386.50624,1710208716
node_3,382.25936,1710208716
master,1098.87036,1710208721
node_1,377.52424,1710208721
node_2,387.26796,1710208721
node_3,382.03908,1710208721
master,1098.3375,1710208726
node_1,380.34922,1710208726
node_2,383.96562,1710208726
node_3,382.38284,1710208726
master,1098.26012,1710208731
node_1,382.57582,1710208731
node_2,388.23672,1710208731
node_3,372.91796,1710208731
master,1098.3242,1710208736
