hostname,value,timestamp
node_2,432.36718,1710811046
node_3,427.08438,1710811046
node_1,433.79376,1710811046
master,1198.29532,1710811046
node_2,441.96798,1710811051
node_3,438.53984,1710811051
node_1,441.81094,1710811051
master,1202.2836,1710811051
node_2,442.23672,1710811056
node_3,438.71798,1710811056
node_1,442.41644,1710811056
master,1203.10158,1710811056
node_2,442.67814,1710811061
node_3,438.86168,1710811061
node_1,442.59918,1710811061
master,1203.64532,1710811061
node_2,443.16722,1710811066
node_3,438.50624,1710811066
node_1,442.9711,1710811066
master,1204.03282,1710811066
node_2,443.5031,1710811071
node_3,438.64296,1710811071
node_1,443.40082,1710811071
master,1204.31252,1710811071
node_2,443.91564,1710811076
node_3,438.6406,1710811076
node_1,443.89218,1710811076
master,1204.71562,1710811076
node_2,444.19064,1710811081
node_3,438.04764,1710811081
node_1,444.16482,1710811081
master,1205.55548,1710811081
node_2,430.95468,1710811086
node_3,430.2719,1710811086
node_1,430.63594,1710811086
master,1206.3289,1710811086
node_2,427.12268,1710811091
node_3,425.67498,1710811091
node_1,426.79842,1710811091
master,1206.89846,1710811091
node_2,449.23748,1710811096
node_3,436.4555,1710811096
master,1208.08592,1710811096
node_1,473.3625,1710811096
node_2,504.3211,1710811101
node_3,472.45936,1710811101
node_1,539.89064,1710811101
master,1209.39842,1710811101
node_2,548.08672,1710811106
node_3,536.01018,1710811106
node_1,544.46718,1710811106
master,1210.47656,1710811106
node_2,548.72968,1710811111
node_3,545.12186,1710811111
node_1,545.24452,1710811111
master,1211.25076,1710811111
node_2,549.3,1710811116
node_3,545.8625,1710811116
node_1,545.65782,1710811116
master,1211.60702,1710811116
node_2,549.6578,1710811121
node_3,546.94376,1710811121
node_1,545.86174,1710811121
master,1211.9133,1710811121
node_2,550.22968,1710811126
node_3,547.92498,1710811126
node_1,546.1672,1710811126
master,1212.69764,1710811126
node_2,550.92656,1710811131
node_3,548.48436,1710811131
node_1,546.30158,1710811131
master,1213.1016,1710811131
node_2,551.01174,1710811136
node_3,548.98282,1710811136
node_1,546.27574,1710811136
master,1213.61722,1710811136
node_2,551.62344,1710811141
node_3,549.11482,1710811141
node_1,547.18436,1710811141
master,1214.11482,1710811141
node_2,552.08358,1710811146
node_3,550.2219,1710811146
node_1,549.01482,1710811146
master,1214.6133,1710811146
node_2,552.60154,1710811151
node_3,550.39456,1710811151
node_1,549.47422,1710811151
master,1215.49298,1710811151
node_2,552.65782,1710811156
node_3,550.77418,1710811156
node_1,549.68202,1710811156
master,1217.10544,1710811156
node_2,551.66172,1710811161
node_3,551.03514,1710811161
master,1225.72184,1710811161
node_1,549.1453,1710811161
node_2,534.68438,1710811166
node_3,553.90704,1710811166
node_1,497.15548,1710811166
master,1238.5961,1710811166
node_2,472.43204,1710811171
node_3,547.70858,1710811171
node_1,443.16562,1710811171
