hostname,value,timestamp,chart_family
node_2,4.2,1710758441,mmcblk0
node_3,2.6,1710758441,mmcblk0
node_1,0.4,1710758441,mmcblk0
master,4.4,1710758441,nvme0n1
master,4,1710758441,ubuntu--vg-ubuntu--lv
node_2,32,1710758446,mmcblk0
node_3,29.8,1710758446,mmcblk0
node_1,14.8,1710758446,mmcblk0
master,11.4,1710758446,nvme0n1
master,11.4,1710758446,ubuntu--vg-ubuntu--lv
node_2,11.2,1710758451,mmcblk0
node_3,10,1710758451,mmcblk0
node_1,4.8,1710758451,mmcblk0
master,3.2,1710758451,nvme0n1
master,3.2,1710758451,ubuntu--vg-ubuntu--lv
node_2,2,1710758456,mmcblk0
node_3,6.4,1710758456,mmcblk0
node_1,2.4,1710758456,mmcblk0
master,2.4,1710758456,nvme0n1
master,2.4,1710758456,ubuntu--vg-ubuntu--lv
node_2,8.4,1710758461,mmcblk0
node_3,12,1710758461,mmcblk0
node_1,5.4,1710758461,mmcblk0
master,3,1710758461,nvme0n1
master,3,1710758461,ubuntu--vg-ubuntu--lv
node_2,7.8,1710758466,mmcblk0
node_3,1.6,1710758466,mmcblk0
node_1,2,1710758466,mmcblk0
master,2.8,1710758466,nvme0n1
master,2.8,1710758466,ubuntu--vg-ubuntu--lv
node_2,16.4,1710758471,mmcblk0
node_3,12.8,1710758471,mmcblk0
node_1,8.6,1710758471,mmcblk0
master,6,1710758471,nvme0n1
master,6,1710758471,ubuntu--vg-ubuntu--lv
node_2,41.8,1710758476,mmcblk0
node_3,32.8,1710758476,mmcblk0
node_1,8.6,1710758476,mmcblk0
master,7.8,1710758476,nvme0n1
master,7.8,1710758476,ubuntu--vg-ubuntu--lv
node_2,32.2,1710758481,mmcblk0
node_3,28,1710758481,mmcblk0
node_1,23.2,1710758481,mmcblk0
master,18.8,1710758481,nvme0n1
master,18.8,1710758481,ubuntu--vg-ubuntu--lv
node_2,96,1710758486,mmcblk0
node_3,88,1710758486,mmcblk0
node_1,80.2,1710758486,mmcblk0
master,35.6,1710758486,nvme0n1
master,35.6,1710758486,ubuntu--vg-ubuntu--lv
node_2,75.4,1710758491,mmcblk0
node_3,1.4,1710758491,mmcblk0
node_1,5.6,1710758491,mmcblk0
master,15.2,1710758491,nvme0n1
master,15.2,1710758491,ubuntu--vg-ubuntu--lv
node_2,6.2,1710758496,mmcblk0
node_3,23.4,1710758496,mmcblk0
node_1,4.2,1710758496,mmcblk0
master,2.4,1710758496,nvme0n1
master,2.4,1710758496,ubuntu--vg-ubuntu--lv
node_2,6.6,1710758501,mmcblk0
node_3,1.4,1710758501,mmcblk0
node_1,13.4,1710758501,mmcblk0
master,2.4,1710758501,nvme0n1
master,2.4,1710758501,ubuntu--vg-ubuntu--lv
node_2,11.2,1710758506,mmcblk0
node_3,21.4,1710758506,mmcblk0
node_1,15.6,1710758506,mmcblk0
master,2.2,1710758506,nvme0n1
master,2.2,1710758506,ubuntu--vg-ubuntu--lv
node_2,14.6,1710758511,mmcblk0
node_3,1.4,1710758511,mmcblk0
node_1,1.2,1710758511,mmcblk0
master,2.6,1710758511,nvme0n1
master,2.6,1710758511,ubuntu--vg-ubuntu--lv
node_2,1.6,1710758516,mmcblk0
node_3,10.8,1710758516,mmcblk0
node_1,4,1710758516,mmcblk0
master,2.8,1710758516,nvme0n1
master,2.8,1710758516,ubuntu--vg-ubuntu--lv
node_2,4.2,1710758521,mmcblk0
node_3,3.4,1710758521,mmcblk0
node_1,0.2,1710758521,mmcblk0
master,2.8,1710758521,nvme0n1
master,2.8,1710758521,ubuntu--vg-ubuntu--lv
node_2,0.4,1710758526,mmcblk0
node_3,8.8,1710758526,mmcblk0
node_1,8.8,1710758526,mmcblk0
master,3.6,1710758526,nvme0n1
master,3.6,1710758526,ubuntu--vg-ubuntu--lv
node_2,44.2,1710758531,mmcblk0
node_3,45,1710758531,mmcblk0
node_1,35,1710758531,mmcblk0
master,16,1710758531,nvme0n1
master,16,1710758531,ubuntu--vg-ubuntu--lv
node_2,75.4,1710758536,mmcblk0
node_3,98.6,1710758536,mmcblk0
node_1,60.6,1710758536,mmcblk0
master,28.8,1710758536,nvme0n1
master,28.8,1710758536,ubuntu--vg-ubuntu--lv
node_2,19.6,1710758541,mmcblk0
node_3,49.4,1710758541,mmcblk0
node_1,13.2,1710758541,mmcblk0
master,9.8,1710758541,nvme0n1
master,9.8,1710758541,ubuntu--vg-ubuntu--lv
node_2,4.6,1710758546,mmcblk0
node_3,10,1710758546,mmcblk0
node_1,4,1710758546,mmcblk0
master,3.6,1710758546,nvme0n1
master,3.6,1710758546,ubuntu--vg-ubuntu--lv
node_2,20,1710758551,mmcblk0
node_3,3.8,1710758551,mmcblk0
node_1,2.4,1710758551,mmcblk0
master,3.2,1710758551,nvme0n1
master,3.2,1710758551,ubuntu--vg-ubuntu--lv
node_2,41.6,1710758556,mmcblk0
node_3,11.8,1710758556,mmcblk0
node_1,12,1710758556,mmcblk0
master,5.6,1710758556,nvme0n1
master,5.6,1710758556,ubuntu--vg-ubuntu--lv
node_2,6.2,1710758561,mmcblk0
node_3,0.2,1710758561,mmcblk0
node_1,0,1710758561,mmcblk0
master,6.2,1710758561,nvme0n1
master,6.2,1710758561,ubuntu--vg-ubuntu--lv
node_2,17,1710758566,mmcblk0
node_3,8,1710758566,mmcblk0
node_1,4.6,1710758566,mmcblk0
master,4,1710758566,nvme0n1
master,4,1710758566,ubuntu--vg-ubuntu--lv
node_2,11.8,1710758571,mmcblk0
node_3,14.8,1710758571,mmcblk0
node_1,6.8,1710758571,mmcblk0
master,6,1710758571,nvme0n1
master,6,1710758571,ubuntu--vg-ubuntu--lv
node_2,28.8,1710758576,mmcblk0
node_3,26.6,1710758576,mmcblk0
node_1,15.2,1710758576,mmcblk0
master,10.8,1710758576,nvme0n1
master,10.8,1710758576,ubuntu--vg-ubuntu--lv
node_2,3.4,1710758581,mmcblk0
node_3,1.6,1710758581,mmcblk0
node_1,0.2,1710758581,mmcblk0
master,3.4,1710758581,nvme0n1
master,3.4,1710758581,ubuntu--vg-ubuntu--lv
node_2,6.8,1710758586,mmcblk0
node_3,1.8,1710758586,mmcblk0
node_1,22.8,1710758586,mmcblk0
master,2.6,1710758586,nvme0n1
master,2.6,1710758586,ubuntu--vg-ubuntu--lv
node_2,7.6,1710758591,mmcblk0
node_3,22.2,1710758591,mmcblk0
node_1,9.6,1710758591,mmcblk0
master,2.8,1710758591,nvme0n1
master,2.8,1710758591,ubuntu--vg-ubuntu--lv
node_2,8.2,1710758596,mmcblk0
node_3,16.8,1710758596,mmcblk0
node_1,7,1710758596,mmcblk0
master,2.2,1710758596,nvme0n1
master,2.2,1710758596,ubuntu--vg-ubuntu--lv
node_2,4.2,1710758601,mmcblk0
node_3,8.4,1710758601,mmcblk0
node_1,4,1710758601,mmcblk0
master,3.2,1710758601,nvme0n1
master,3.4,1710758601,ubuntu--vg-ubuntu--lv
node_2,38.2,1710758606,mmcblk0
node_3,27.6,1710758606,mmcblk0
node_1,21,1710758606,mmcblk0
master,10,1710758606,nvme0n1
master,10,1710758606,ubuntu--vg-ubuntu--lv
node_2,18.6,1710758611,mmcblk0
node_3,13.6,1710758611,mmcblk0
node_1,15.4,1710758611,mmcblk0
master,14,1710758611,nvme0n1
master,14.2,1710758611,ubuntu--vg-ubuntu--lv
node_2,95.8,1710758616,mmcblk0
node_3,80.8,1710758616,mmcblk0
node_1,81.6,1710758616,mmcblk0
master,36.2,1710758616,nvme0n1
master,36.2,1710758616,ubuntu--vg-ubuntu--lv
node_2,63.4,1710758621,mmcblk0
node_3,16,1710758621,mmcblk0
node_1,6,1710758621,mmcblk0
master,19,1710758621,nvme0n1
master,19,1710758621,ubuntu--vg-ubuntu--lv
node_2,21.8,1710758626,mmcblk0
node_3,21.8,1710758626,mmcblk0
node_1,11.6,1710758626,mmcblk0
master,2,1710758626,nvme0n1
master,2,1710758626,ubuntu--vg-ubuntu--lv
node_2,18,1710758631,mmcblk0
node_3,0.4,1710758631,mmcblk0
node_1,0.2,1710758631,mmcblk0
master,3.2,1710758631,nvme0n1
master,3.2,1710758631,ubuntu--vg-ubuntu--lv
node_2,1.8,1710758636,mmcblk0
node_3,6,1710758636,mmcblk0
node_1,10.8,1710758636,mmcblk0
master,1.4,1710758636,nvme0n1
master,1.4,1710758636,ubuntu--vg-ubuntu--lv
node_2,3.6,1710758641,mmcblk0
node_3,8,1710758641,mmcblk0
node_1,4.2,1710758641,mmcblk0
master,3.4,1710758641,nvme0n1
master,3.4,1710758641,ubuntu--vg-ubuntu--lv
node_2,3.4,1710758646,mmcblk0
node_3,4,1710758646,mmcblk0
node_1,3.8,1710758646,mmcblk0
master,2,1710758646,nvme0n1
master,2,1710758646,ubuntu--vg-ubuntu--lv
node_2,4.4,1710758651,mmcblk0
node_3,5.8,1710758651,mmcblk0
node_1,7.2,1710758651,mmcblk0
master,3.2,1710758651,nvme0n1
master,3.2,1710758651,ubuntu--vg-ubuntu--lv
node_2,11,1710758656,mmcblk0
node_3,8.2,1710758656,mmcblk0
node_1,5.4,1710758656,mmcblk0
master,1.8,1710758656,nvme0n1
master,1.8,1710758656,ubuntu--vg-ubuntu--lv
node_2,34,1710758661,mmcblk0
node_3,36.8,1710758661,mmcblk0
node_1,29.4,1710758661,mmcblk0
master,15,1710758661,nvme0n1
master,15.2,1710758661,ubuntu--vg-ubuntu--lv
node_2,98.8,1710758666,mmcblk0
node_3,99.2,1710758666,mmcblk0
node_1,67.8,1710758666,mmcblk0
master,31,1710758666,nvme0n1
master,31,1710758666,ubuntu--vg-ubuntu--lv
node_2,31,1710758671,mmcblk0
node_3,27.6,1710758671,mmcblk0
node_1,13.4,1710758671,mmcblk0
master,9.6,1710758671,nvme0n1
master,9.6,1710758671,ubuntu--vg-ubuntu--lv
node_2,3.6,1710758676,mmcblk0
node_3,6.4,1710758676,mmcblk0
node_1,2.4,1710758676,mmcblk0
master,2.4,1710758676,nvme0n1
master,2.4,1710758676,ubuntu--vg-ubuntu--lv
node_2,20.8,1710758681,mmcblk0
node_3,7.6,1710758681,mmcblk0
node_1,2.8,1710758681,mmcblk0
master,3.8,1710758681,nvme0n1
master,3.8,1710758681,ubuntu--vg-ubuntu--lv
node_2,23.2,1710758686,mmcblk0
node_3,9.6,1710758686,mmcblk0
node_1,5.4,1710758686,mmcblk0
master,5.8,1710758686,nvme0n1
master,5.8,1710758686,ubuntu--vg-ubuntu--lv
node_2,23,1710758691,mmcblk0
node_3,5.4,1710758691,mmcblk0
node_1,1.8,1710758691,mmcblk0
master,6.4,1710758691,nvme0n1
master,6.4,1710758691,ubuntu--vg-ubuntu--lv
node_2,2.8,1710758696,mmcblk0
node_3,4.4,1710758696,mmcblk0
node_1,7.2,1710758696,mmcblk0
master,2.2,1710758696,nvme0n1
master,2.2,1710758696,ubuntu--vg-ubuntu--lv
node_2,11.8,1710758701,mmcblk0
node_3,10,1710758701,mmcblk0
node_1,8.6,1710758701,mmcblk0
master,6.8,1710758701,nvme0n1
master,6.8,1710758701,ubuntu--vg-ubuntu--lv
