hostname,value,timestamp
node_1,75.069144,1710777451
node_2,74.757754,1710777451
master,95.65688,1710777451
node_3,77.71401,1710777451
node_1,89.50508,1710777456
node_2,81.753716,1710777456
master,97.926446,1710777456
node_3,90.315898,1710777456
node_1,95.047976,1710777461
node_2,94.113846,1710777461
master,98.19562,1710777461
node_3,94.441976,1710777461
node_1,91.71697,1710777466
node_2,91.62733,1710777466
master,97.945228,1710777466
node_3,91.628528,1710777466
node_1,95.508652,1710777471
node_2,94.00361,1710777471
master,97.975006,1710777471
node_3,94.556764,1710777471
node_1,92.927242,1710777476
node_2,93.321022,1710777476
master,97.523686,1710777476
node_3,93.52604,1710777476
node_1,74.071212,1710777481
node_2,55.48103,1710777481
master,96.879902,1710777481
node_3,72.61247,1710777481
node_2,87.857782,1710777486
node_1,93.266318,1710777486
master,97.643554,1710777486
node_3,94.0396,1710777486
node_1,35.989344,1710777491
node_2,35.379535,1710777491
master,94.570218,1710777491
node_3,38.888721,1710777491
node_1,52.4961144,1710777496
node_2,31.789562,1710777496
master,94.626852,1710777496
node_3,11.8980116,1710777496
node_1,94.953732,1710777501
node_2,82.736842,1710777501
master,97.645696,1710777501
node_3,90.613378,1710777501
node_1,89.65177,1710777506
node_2,91.601486,1710777506
master,97.826108,1710777506
node_3,92.069072,1710777506
node_1,88.849458,1710777511
node_2,79.012588,1710777511
master,97.84486,1710777511
node_3,84.85976,1710777511
node_1,90.3389,1710777516
node_2,90.174044,1710777516
master,97.722112,1710777516
node_3,90.368158,1710777516
node_1,92.524692,1710777521
node_2,89.521034,1710777521
master,97.879896,1710777521
node_3,91.898028,1710777521
node_1,82.54743,1710777526
node_2,91.698208,1710777526
master,97.611294,1710777526
node_3,91.463426,1710777526
node_1,95.413036,1710777531
node_2,91.68908,1710777531
master,97.924794,1710777531
node_3,93.666456,1710777531
node_1,90.88994,1710777536
node_2,92.724678,1710777536
master,97.85916,1710777536
node_3,90.845444,1710777536
node_1,18.923313,1710777541
node_2,17.5046174,1710777541
master,94.719012,1710777541
node_3,19.0003552,1710777541
node_1,75.038948,1710777546
node_2,10.7723974,1710777546
master,95.6484,1710777546
node_3,13.6142588,1710777546
node_1,92.261618,1710777551
node_2,78.63789,1710777551
master,97.486998,1710777551
node_3,80.284292,1710777551
node_1,93.789624,1710777556
node_2,93.913088,1710777556
master,97.994682,1710777556
node_3,75.5913,1710777556
node_1,95.356036,1710777561
node_2,93.919092,1710777561
master,97.474738,1710777561
node_3,80.659992,1710777561
node_1,89.84404,1710777566
node_2,87.685836,1710777566
master,96.901578,1710777566
node_3,90.056544,1710777566
node_1,95.08624,1710777571
node_2,90.477298,1710777571
master,96.221094,1710777571
node_3,94.38504,1710777571
node_1,94.241256,1710777576
node_2,70.113456,1710777576
master,97.875208,1710777576
node_3,93.393032,1710777576
node_1,88.621816,1710777581
node_2,67.30673,1710777581
master,97.404466,1710777581
node_3,86.670802,1710777581
node_1,59.451204,1710777586
node_2,65.46076,1710777586
master,96.871272,1710777586
node_3,71.624742,1710777586
node_1,79.445946,1710777591
node_2,92.812222,1710777591
master,98.209772,1710777591
node_3,93.616158,1710777591
node_1,92.815944,1710777596
node_2,94.591278,1710777596
master,97.79306,1710777596
node_3,93.001978,1710777596
node_1,92.517128,1710777601
node_2,91.777578,1710777601
master,98.062978,1710777601
node_3,93.080018,1710777601
node_1,93.289864,1710777606
node_2,89.816716,1710777606
master,98.040552,1710777606
node_3,92.868536,1710777606
node_1,94.905848,1710777611
node_2,92.824404,1710777611
master,97.805044,1710777611
node_3,93.895148,1710777611
node_1,71.913444,1710777616
node_2,61.889536,1710777616
master,96.729818,1710777616
node_3,72.358494,1710777616
node_1,95.44191,1710777621
node_2,92.964178,1710777621
master,98.276994,1710777621
node_3,86.88235,1710777621
node_1,10.2701158,1710777626
node_2,19.198131,1710777626
master,93.360442,1710777626
node_3,11.4853584,1710777626
node_1,56.1772636,1710777631
node_2,15.2122849,1710777631
master,95.781196,1710777631
node_3,64.52959,1710777631
node_1,87.862182,1710777636
node_2,89.083438,1710777636
master,97.508702,1710777636
node_3,86.898526,1710777636
node_1,94.581576,1710777641
node_2,84.971576,1710777641
master,98.294656,1710777641
node_3,92.791678,1710777641
node_1,88.784278,1710777646
node_2,88.778482,1710777646
master,97.992102,1710777646
node_3,84.72325,1710777646
node_1,87.541348,1710777651
node_2,91.70275,1710777651
master,97.880736,1710777651
node_3,92.54355,1710777651
node_1,89.225228,1710777656
node_2,91.955416,1710777656
master,97.81304,1710777656
node_3,92.06335,1710777656
node_1,93.173638,1710777661
node_2,91.43207,1710777661
master,97.59417,1710777661
node_3,92.19692,1710777661
node_1,88.917494,1710777666
node_2,92.729868,1710777666
master,97.627096,1710777666
node_3,92.200394,1710777666
node_1,81.542946,1710777671
node_2,74.775534,1710777671
master,96.070942,1710777671
node_3,77.57109,1710777671
node_1,17.4392081,1710777676
node_2,15.5412532,1710777676
master,95.649278,1710777676
node_3,0.4087024,1710777676
node_1,87.36936,1710777681
node_2,7.1478824,1710777681
master,96.513148,1710777681
node_3,14.2530658,1710777681
node_1,90.97564,1710777686
node_2,71.428708,1710777686
master,97.383626,1710777686
node_3,0.1517709,1710777686
node_1,94.821688,1710777691
node_2,92.70141,1710777691
master,96.58973,1710777691
node_3,31.1346866,1710777691
node_1,94.328784,1710777696
node_2,94.535528,1710777696
master,97.571778,1710777696
node_3,84.2663,1710777696
node_1,95.003422,1710777701
node_2,86.763532,1710777701
master,97.856652,1710777701
node_3,93.940752,1710777701
node_1,93.173628,1710777706
node_2,71.657152,1710777706
master,97.791438,1710777706
node_3,94.159326,1710777706
node_1,88.231238,1710777711
node_2,87.338942,1710777711
master,95.060716,1710777711
node_3,88.602488,1710777711
node_1,67.343034,1710777716
node_2,94.457638,1710777716
master,97.796068,1710777716
node_3,94.6237,1710777716
node_1,87.507918,1710777721
node_2,86.623594,1710777721
master,97.291228,1710777721
node_3,61.110136,1710777721
