hostname,value,timestamp
node_1,94.107938,1710737796
node_3,94.640794,1710737796
master,96.184432,1710737796
node_2,85.051536,1710737796
node_1,95.218386,1710737801
master,97.81365,1710737801
node_3,94.99667,1710737801
node_2,92.38704,1710737801
node_1,94.836036,1710737806
master,97.825116,1710737806
node_3,94.34146,1710737806
node_2,95.500756,1710737806
node_1,95.11301,1710737811
master,97.824986,1710737811
node_3,95.291738,1710737811
node_2,92.74865,1710737811
node_1,94.158728,1710737816
node_3,93.468976,1710737816
master,97.322486,1710737816
node_2,85.588214,1710737816
node_1,95.527312,1710737821
master,97.827616,1710737821
node_3,94.838938,1710737821
node_2,92.524158,1710737821
node_1,79.029616,1710737826
master,96.653474,1710737826
node_3,74.873896,1710737826
node_2,84.388412,1710737826
node_1,94.23011,1710737831
node_3,92.55415,1710737831
master,97.993492,1710737831
node_2,93.488744,1710737831
node_1,93.957122,1710737836
master,97.708208,1710737836
node_3,94.875504,1710737836
node_2,94.519998,1710737836
node_1,93.975806,1710737841
master,97.979354,1710737841
node_3,92.778952,1710737841
node_2,88.826042,1710737841
node_1,93.41019,1710737846
master,97.655248,1710737846
node_3,94.32237,1710737846
node_2,94.160186,1710737846
node_1,95.124972,1710737851
master,98.195268,1710737851
node_3,94.499728,1710737851
node_2,94.249332,1710737851
node_1,93.532236,1710737856
master,97.642814,1710737856
node_3,91.449176,1710737856
node_2,94.709894,1710737856
node_1,91.38074,1710737861
master,97.572168,1710737861
node_3,88.666818,1710737861
node_2,89.53503,1710737861
node_1,82.041408,1710737866
master,97.193066,1710737866
node_3,76.664356,1710737866
node_2,87.506992,1710737866
node_1,94.794308,1710737871
master,98.009218,1710737871
node_3,94.982154,1710737871
node_2,93.527896,1710737871
node_1,90.645928,1710737876
master,97.858734,1710737876
node_3,92.641146,1710737876
node_2,94.952364,1710737876
node_1,94.659262,1710737881
master,97.794418,1710737881
node_3,87.80325,1710737881
node_2,94.489782,1710737881
node_1,93.542182,1710737886
node_3,93.492724,1710737886
master,97.6421,1710737886
node_2,94.910134,1710737886
node_1,94.591764,1710737891
master,97.389406,1710737891
node_3,93.749598,1710737891
node_2,93.812384,1710737891
node_1,94.038396,1710737896
master,98.028838,1710737896
node_3,94.21232,1710737896
node_2,77.545116,1710737896
node_1,94.24056,1710737901
master,97.377726,1710737901
node_3,93.224782,1710737901
node_2,66.67732,1710737901
node_1,86.050634,1710737906
master,97.506544,1710737906
node_3,93.889052,1710737906
node_2,87.457772,1710737906
node_1,95.150674,1710737911
master,97.419734,1710737911
node_3,94.27738,1710737911
node_2,93.947604,1710737911
node_1,92.19242,1710737916
master,97.900134,1710737916
node_3,94.650504,1710737916
node_2,95.066366,1710737916
node_1,95.297012,1710737921
node_3,94.840024,1710737921
master,97.472622,1710737921
node_2,94.995052,1710737921
node_1,85.074018,1710737926
master,97.439426,1710737926
node_3,94.37129,1710737926
node_2,94.722058,1710737926
node_1,95.15162,1710737931
master,97.709148,1710737931
node_3,95.053238,1710737931
node_2,94.458004,1710737931
node_1,74.968162,1710737936
master,96.498598,1710737936
node_3,81.345076,1710737936
node_2,77.639444,1710737936
node_1,95.8635,1710737941
master,97.909316,1710737941
node_3,93.183904,1710737941
node_2,91.874988,1710737941
node_1,92.002124,1710737946
master,97.84185,1710737946
node_3,92.20716,1710737946
node_2,92.854966,1710737946
node_1,94.035776,1710737951
node_3,93.330074,1710737951
master,97.77624,1710737951
node_2,93.13611,1710737951
node_1,93.508922,1710737956
master,97.758144,1710737956
node_3,93.08381,1710737956
node_2,94.803426,1710737956
node_1,95.71169,1710737961
node_3,94.984552,1710737961
master,97.877758,1710737961
node_2,93.75646,1710737961
node_1,94.48527,1710737966
master,97.943114,1710737966
node_3,94.085008,1710737966
node_2,95.375864,1710737966
node_1,95.273434,1710737971
node_3,93.791568,1710737971
master,97.488784,1710737971
node_2,91.854614,1710737971
node_1,78.73681,1710737976
master,97.62112,1710737976
node_3,77.932316,1710737976
node_2,79.82684,1710737976
node_1,94.75325,1710737981
master,97.940562,1710737981
node_3,95.093084,1710737981
node_2,94.044704,1710737981
node_1,92.885766,1710737986
master,97.843948,1710737986
node_3,93.483514,1710737986
node_2,94.659494,1710737986
node_1,95.722918,1710737991
master,97.811042,1710737991
node_3,95.408126,1710737991
node_2,94.384024,1710737991
node_1,90.665966,1710737996
master,97.90954,1710737996
node_3,95.08891,1710737996
node_2,95.31529,1710737996
node_1,94.626666,1710738001
master,97.59553,1710738001
node_3,91.941282,1710738001
node_2,93.710758,1710738001
node_1,93.66531,1710738006
master,98.092286,1710738006
node_3,92.57612,1710738006
node_2,93.918252,1710738006
node_1,95.007918,1710738011
master,97.621216,1710738011
node_3,93.27128,1710738011
node_2,93.740916,1710738011
