hostname,value,timestamp,chart_family
node_1,1,1710750321,mmcblk0
node_2,24,1710750321,mmcblk0
node_3,1.8,1710750321,mmcblk0
master,6.2,1710750321,nvme0n1
master,5.8,1710750321,ubuntu--vg-ubuntu--lv
node_1,2,1710750326,mmcblk0
node_2,5.6,1710750326,mmcblk0
node_3,1.6,1710750326,mmcblk0
master,3.4,1710750326,nvme0n1
master,3.4,1710750326,ubuntu--vg-ubuntu--lv
node_1,0.2,1710750331,mmcblk0
node_2,4.8,1710750331,mmcblk0
node_3,4,1710750331,mmcblk0
master,2,1710750331,nvme0n1
master,2,1710750331,ubuntu--vg-ubuntu--lv
node_1,1.4,1710750336,mmcblk0
node_2,6.2,1710750336,mmcblk0
node_3,0.8,1710750336,mmcblk0
master,3.4,1710750336,nvme0n1
master,3.4,1710750336,ubuntu--vg-ubuntu--lv
node_1,0.2,1710750341,mmcblk0
node_2,22.4,1710750341,mmcblk0
node_3,1,1710750341,mmcblk0
master,3.8,1710750341,nvme0n1
master,3.8,1710750341,ubuntu--vg-ubuntu--lv
node_1,2.2,1710750346,mmcblk0
node_2,1.6,1710750346,mmcblk0
node_3,1.2,1710750346,mmcblk0
master,3.6,1710750346,nvme0n1
master,3.6,1710750346,ubuntu--vg-ubuntu--lv
node_1,14,1710750351,mmcblk0
node_2,37.2,1710750351,mmcblk0
node_3,19.8,1710750351,mmcblk0
master,10.2,1710750351,nvme0n1
master,10.2,1710750351,ubuntu--vg-ubuntu--lv
node_1,9,1710750356,mmcblk0
node_2,1,1710750356,mmcblk0
node_3,12.8,1710750356,mmcblk0
master,3,1710750356,nvme0n1
master,3,1710750356,ubuntu--vg-ubuntu--lv
node_1,0.2,1710750361,mmcblk0
node_2,4.4,1710750361,mmcblk0
node_3,2.4,1710750361,mmcblk0
master,1.8,1710750361,nvme0n1
master,1.8,1710750361,ubuntu--vg-ubuntu--lv
node_1,5.6,1710750366,mmcblk0
node_2,5.2,1710750366,mmcblk0
node_3,5.4,1710750366,mmcblk0
master,3.2,1710750366,nvme0n1
master,3.2,1710750366,ubuntu--vg-ubuntu--lv
node_1,0.4,1710750371,mmcblk0
node_2,12.2,1710750371,mmcblk0
node_3,2.4,1710750371,mmcblk0
master,2,1710750371,nvme0n1
master,2,1710750371,ubuntu--vg-ubuntu--lv
node_1,2.8,1710750376,mmcblk0
node_2,0.8,1710750376,mmcblk0
node_3,2.4,1710750376,mmcblk0
master,2.8,1710750376,nvme0n1
master,2.8,1710750376,ubuntu--vg-ubuntu--lv
node_1,2,1710750381,mmcblk0
node_2,7.2,1710750381,mmcblk0
node_3,5.2,1710750381,mmcblk0
master,2.2,1710750381,nvme0n1
master,2.2,1710750381,ubuntu--vg-ubuntu--lv
node_1,5.8,1710750386,mmcblk0
node_2,13,1710750386,mmcblk0
node_3,6.8,1710750386,mmcblk0
master,4.2,1710750386,nvme0n1
master,4.2,1710750386,ubuntu--vg-ubuntu--lv
node_1,9.6,1710750391,mmcblk0
node_2,49.4,1710750391,mmcblk0
node_3,21.4,1710750391,mmcblk0
master,7.6,1710750391,nvme0n1
master,7.6,1710750391,ubuntu--vg-ubuntu--lv
node_1,4.4,1710750396,mmcblk0
node_2,3,1710750396,mmcblk0
node_3,1.6,1710750396,mmcblk0
master,3.4,1710750396,nvme0n1
master,3.4,1710750396,ubuntu--vg-ubuntu--lv
node_1,4.2,1710750401,mmcblk0
