hostname,value,timestamp,id,name
node_1,17.46019,1710750321,InOctets,received
node_1,-237.6144,1710750321,OutOctets,sent
node_2,131.262072,1710750321,InOctets,received
node_2,-248.1971488,1710750321,OutOctets,sent
node_3,8.6759494,1710750321,InOctets,received
node_3,-237.90784,1710750321,OutOctets,sent
master,1044.0050846,1710750321,InOctets,received
master,-584.686312,1710750321,OutOctets,sent
node_1,52.82141,1710750326,InOctets,received
node_1,-240.6688,1710750326,OutOctets,sent
node_2,13.5866739,1710750326,InOctets,received
node_2,-234.0381766,1710750326,OutOctets,sent
node_3,45.62965,1710750326,InOctets,received
node_3,-239.7081746,1710750326,OutOctets,sent
master,11.839786,1710750326,InOctets,received
master,-459.858348,1710750326,OutOctets,sent
node_1,1.2512,1710750331,InOctets,received
node_1,-236.4192,1710750331,OutOctets,sent
node_2,59.1397023,1710750331,InOctets,received
node_2,-237.5006794,1710750331,OutOctets,sent
node_3,9.1644971,1710750331,InOctets,received
node_3,-237.8963898,1710750331,OutOctets,sent
master,9.2391469,1710750331,InOctets,received
master,-419.7241234,1710750331,OutOctets,sent
node_1,54.2702135,1710750336,InOctets,received
node_1,-240.8800001,1710750336,OutOctets,sent
node_2,20.9411584,1710750336,InOctets,received
node_2,-239.7139201,1710750336,OutOctets,sent
node_3,46.4032966,1710750336,InOctets,received
node_3,-239.5084064,1710750336,OutOctets,sent
master,11.1381148,1710750336,InOctets,received
master,-474.438524,1710750336,OutOctets,sent
node_1,1.3825853,1710750341,InOctets,received
node_1,-236.4192,1710750341,OutOctets,sent
node_2,197.126802,1710750341,InOctets,received
node_2,-253.547874,1710750341,OutOctets,sent
node_3,9.9336786,1710750341,InOctets,received
node_3,-238.25196,1710750341,OutOctets,sent
master,24.250709,1710750341,InOctets,received
master,-635.353768,1710750341,OutOctets,sent
node_1,54.56018,1710750346,InOctets,received
node_1,-242.7253726,1710750346,OutOctets,sent
node_2,2.6403554,1710750346,InOctets,received
node_2,-232.4759199,1710750346,OutOctets,sent
node_3,61.7081294,1710750346,InOctets,received
node_3,-241.6040344,1710750346,OutOctets,sent
master,15.0797004,1710750346,InOctets,received
master,-464.900038,1710750346,OutOctets,sent
node_1,178.770402,1710750351,InOctets,received
node_1,-262.135422,1710750351,OutOctets,sent
node_2,240.869446,1710750351,InOctets,received
node_2,-263.215998,1710750351,OutOctets,sent
node_3,99.300408,1710750351,InOctets,received
node_3,-251.393186,1710750351,OutOctets,sent
master,82.790036,1710750351,InOctets,received
master,-996.67482,1710750351,OutOctets,sent
node_1,98.03233,1710750356,InOctets,received
node_1,-253.4650792,1710750356,OutOctets,sent
node_2,1.7609381,1710750356,InOctets,received
node_2,-232.8239961,1710750356,OutOctets,sent
node_3,51.1027936,1710750356,InOctets,received
node_3,-240.0228132,1710750356,OutOctets,sent
master,13.5633242,1710750356,InOctets,received
master,-464.233624,1710750356,OutOctets,sent
node_1,3.0570627,1710750361,InOctets,received
node_1,-237.1194553,1710750361,OutOctets,sent
node_2,64.3097,1710750361,InOctets,received
node_2,-237.60794,1710750361,OutOctets,sent
node_3,2.3477342,1710750361,InOctets,received
node_3,-237.42722,1710750361,OutOctets,sent
master,10.0160867,1710750361,InOctets,received
master,-420.7037314,1710750361,OutOctets,sent
node_1,65.2680284,1710750366,InOctets,received
node_1,-255.9269256,1710750366,OutOctets,sent
node_2,1.6182991,1710750366,InOctets,received
node_2,-245.8336777,1710750366,OutOctets,sent
node_3,58.473064,1710750366,InOctets,received
